Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1907,1049,2010,8244.89,ALL,ALL,ALL,0TO99
1920,1072,2010,13361.17,ALL,ALL,ALL,0TO99
1938,1068,2010,13980.08,ALL,ALL,ALL,0TO99
1907,1082,2010,24560.86,ALL,ALL,ALL,0TO99
1903,1080,2010,14899.41,ALL,ALL,ALL,0TO99
1922,1070,2010,9339.45,ALL,ALL,ALL,0TO99
1887,1059,2010,68856.95,ALL,ALL,ALL,0TO99
1943,1079,2010,5914.33,ALL,ALL,ALL,0TO99
1938,1081,2010,5815.04,ALL,ALL,ALL,0TO99
1914,1097,2010,4971.76,ALL,ALL,ALL,0TO99
1911,1050,2010,7962.73,ALL,ALL,ALL,0TO99
1898,1106,2010,7168.32,ALL,ALL,ALL,0TO99
1931,1072,2010,6791.59,ALL,ALL,ALL,0TO99
1918,1049,2010,9138.51,ALL,ALL,ALL,0TO99
1924,1039,2010,13251.02,ALL,ALL,ALL,0TO99
1905,1053,2010,8628.50,ALL,ALL,ALL,0TO99
1889,1086,2010,8218.11,ALL,ALL,ALL,0TO99
1892,1098,2010,10196.88,ALL,ALL,ALL,0TO99
1897,1080,2010,16202.96,ALL,ALL,ALL,0TO99
1893,1068,2010,8926.30,ALL,ALL,ALL,0TO99
1903,1047,2010,17023.34,ALL,ALL,ALL,0TO99
1904,1084,2010,11574.65,ALL,ALL,ALL,0TO99
1904,1078,2010,11328.75,ALL,ALL,ALL,0TO99
1902,1065,2010,7543.00,ALL,ALL,ALL,0TO99
1916,1055,2010,11614.60,ALL,ALL,ALL,0TO99
1888,1043,2010,16075.93,ALL,ALL,ALL,0TO99
1903,1085,2010,9521.15,ALL,ALL,ALL,0TO99
1915,1098,2010,20698.22,ALL,ALL,ALL,0TO99
1895,1072,2010,48057.87,ALL,ALL,ALL,0TO99
1884,1074,2010,17494.44,ALL,ALL,ALL,0TO99
1947,1075,2010,5651.94,ALL,ALL,ALL,0TO99
1903,1096,2010,29410.76,ALL,ALL,ALL,0TO99
1904,1039,2010,9219.65,ALL,ALL,ALL,0TO99
1880,1041,2010,19428.56,ALL,ALL,ALL,0TO99
1926,1083,2010,14875.75,ALL,ALL,ALL,0TO99
1908,1097,2010,12295.46,ALL,ALL,ALL,0TO99
1880,1055,2010,10565.43,ALL,ALL,ALL,0TO99
1930,1093,2010,2963.83,ALL,ALL,ALL,0TO99
1902,1102,2010,59196.69,ALL,ALL,ALL,0TO99
1900,1074,2010,16935.67,ALL,ALL,ALL,0TO99
1881,1091,2010,12297.98,ALL,ALL,ALL,0TO99
1912,1069,2010,25393.69,ALL,ALL,ALL,0TO99
1898,1045,2010,20668.29,ALL,ALL,ALL,0TO99
1913,1051,2010,11350.17,ALL,ALL,ALL,0TO99
1925,1064,2010,10616.61,ALL,ALL,ALL,0TO99
1868,1073,2010,158127.78,ALL,ALL,ALL,0TO99
1915,1063,2010,8557.75,ALL,ALL,ALL,0TO99
1924,1082,2010,7120.95,ALL,ALL,ALL,0TO99
1935,1083,2010,28329.50,ALL,ALL,ALL,0TO99
