Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2229,672,D24HourMean,QuarterlyMean,Mean,22.12
2228,679,D24HourMean,QuarterlyMean,Mean,22.93
2232,675,D24HourMean,QuarterlyMean,Mean,24.00
2224,680,D24HourMean,QuarterlyMean,Mean,25.20
2221,671,D24HourMean,QuarterlyMean,Mean,21.68
2233,682,D24HourMean,QuarterlyMean,Mean,25.63
2231,675,D24HourMean,QuarterlyMean,Mean,24.08
2229,685,D24HourMean,QuarterlyMean,Mean,26.79
2222,670,D24HourMean,QuarterlyMean,Mean,22.07
2234,682,D24HourMean,QuarterlyMean,Mean,25.96
2231,681,D24HourMean,QuarterlyMean,Mean,24.66
2220,671,D24HourMean,QuarterlyMean,Mean,21.84
2233,683,D24HourMean,QuarterlyMean,Mean,25.77
2232,684,D24HourMean,QuarterlyMean,Mean,26.21
2231,685,D24HourMean,QuarterlyMean,Mean,27.06
2219,671,D24HourMean,QuarterlyMean,Mean,22.48
2221,677,D24HourMean,QuarterlyMean,Mean,21.97
2224,683,D24HourMean,QuarterlyMean,Mean,24.36
2226,676,D24HourMean,QuarterlyMean,Mean,23.92
2231,682,D24HourMean,QuarterlyMean,Mean,24.55
2228,680,D24HourMean,QuarterlyMean,Mean,23.34
2219,672,D24HourMean,QuarterlyMean,Mean,21.73
2221,672,D24HourMean,QuarterlyMean,Mean,21.54
2227,671,D24HourMean,QuarterlyMean,Mean,21.03
2225,676,D24HourMean,QuarterlyMean,Mean,24.98
2223,672,D24HourMean,QuarterlyMean,Mean,22.12
2231,683,D24HourMean,QuarterlyMean,Mean,25.31
2230,683,D24HourMean,QuarterlyMean,Mean,25.07
2230,680,D24HourMean,QuarterlyMean,Mean,24.71
2226,679,D24HourMean,QuarterlyMean,Mean,21.19
2229,681,D24HourMean,QuarterlyMean,Mean,24.06
2226,682,D24HourMean,QuarterlyMean,Mean,24.22
2232,679,D24HourMean,QuarterlyMean,Mean,24.25
2227,674,D24HourMean,QuarterlyMean,Mean,22.98
2223,679,D24HourMean,QuarterlyMean,Mean,24.00
2224,675,D24HourMean,QuarterlyMean,Mean,23.36
2226,677,D24HourMean,QuarterlyMean,Mean,21.33
2232,673,D24HourMean,QuarterlyMean,Mean,23.71
2230,674,D24HourMean,QuarterlyMean,Mean,23.01
2221,669,D24HourMean,QuarterlyMean,Mean,22.69
2228,674,D24HourMean,QuarterlyMean,Mean,23.23
2230,681,D24HourMean,QuarterlyMean,Mean,24.46
2220,672,D24HourMean,QuarterlyMean,Mean,21.35
2226,678,D24HourMean,QuarterlyMean,Mean,21.14
2227,679,D24HourMean,QuarterlyMean,Mean,21.57
2222,678,D24HourMean,QuarterlyMean,Mean,23.15
2229,682,D24HourMean,QuarterlyMean,Mean,24.80
2225,681,D24HourMean,QuarterlyMean,Mean,24.36
2222,679,D24HourMean,QuarterlyMean,Mean,23.57
2231,686,D24HourMean,QuarterlyMean,Mean,27.45
2229,678,D24HourMean,QuarterlyMean,Mean,23.11
2230,684,D24HourMean,QuarterlyMean,Mean,26.89
2219,674,D24HourMean,QuarterlyMean,Mean,21.75
2221,676,D24HourMean,QuarterlyMean,Mean,21.75
2223,674,D24HourMean,QuarterlyMean,Mean,23.61
2225,671,D24HourMean,QuarterlyMean,Mean,21.09
2233,681,D24HourMean,QuarterlyMean,Mean,25.25
2226,683,D24HourMean,QuarterlyMean,Mean,25.89
2230,670,D24HourMean,QuarterlyMean,Mean,22.31
2228,671,D24HourMean,QuarterlyMean,Mean,21.57
2224,681,D24HourMean,QuarterlyMean,Mean,25.14
2227,673,D24HourMean,QuarterlyMean,Mean,22.87
2229,683,D24HourMean,QuarterlyMean,Mean,26.21
2227,682,D24HourMean,QuarterlyMean,Mean,23.74
2221,674,D24HourMean,QuarterlyMean,Mean,21.89
2229,675,D24HourMean,QuarterlyMean,Mean,22.96
2234,680,D24HourMean,QuarterlyMean,Mean,25.89
2223,676,D24HourMean,QuarterlyMean,Mean,23.44
2231,678,D24HourMean,QuarterlyMean,Mean,24.80
2219,675,D24HourMean,QuarterlyMean,Mean,22.23
2227,680,D24HourMean,QuarterlyMean,Mean,22.37
2232,685,D24HourMean,QuarterlyMean,Mean,26.89
2225,674,D24HourMean,QuarterlyMean,Mean,24.63
2234,681,D24HourMean,QuarterlyMean,Mean,26.10
2227,683,D24HourMean,QuarterlyMean,Mean,26.24
2224,682,D24HourMean,QuarterlyMean,Mean,23.93
2219,676,D24HourMean,QuarterlyMean,Mean,22.71
