Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2229,672,2010,3223.25,ALL,ALL,ALL,0TO99
2228,679,2010,924.57,ALL,ALL,ALL,0TO99
2232,675,2010,53834.15,ALL,ALL,ALL,0TO99
2224,680,2010,924.21,ALL,ALL,ALL,0TO99
2221,671,2010,937.16,ALL,ALL,ALL,0TO99
2233,682,2010,646.38,ALL,ALL,ALL,0TO99
2231,675,2010,65616.61,ALL,ALL,ALL,0TO99
2229,685,2010,904.32,ALL,ALL,ALL,0TO99
2222,670,2010,937.47,ALL,ALL,ALL,0TO99
2234,682,2010,291.97,ALL,ALL,ALL,0TO99
2231,681,2010,757.94,ALL,ALL,ALL,0TO99
2220,671,2010,909.03,ALL,ALL,ALL,0TO99
2233,683,2010,369.84,ALL,ALL,ALL,0TO99
2232,684,2010,607.87,ALL,ALL,ALL,0TO99
2231,685,2010,330.27,ALL,ALL,ALL,0TO99
2219,671,2010,284.19,ALL,ALL,ALL,0TO99
2221,677,2010,935.17,ALL,ALL,ALL,0TO99
2224,683,2010,847.36,ALL,ALL,ALL,0TO99
2226,676,2010,924.65,ALL,ALL,ALL,0TO99
2231,682,2010,757.55,ALL,ALL,ALL,0TO99
2228,680,2010,924.21,ALL,ALL,ALL,0TO99
2219,672,2010,848.63,ALL,ALL,ALL,0TO99
2221,672,2010,936.83,ALL,ALL,ALL,0TO99
2227,671,2010,1697.41,ALL,ALL,ALL,0TO99
2225,676,2010,926.77,ALL,ALL,ALL,0TO99
2223,672,2010,936.83,ALL,ALL,ALL,0TO99
2231,683,2010,751.94,ALL,ALL,ALL,0TO99
2230,683,2010,757.36,ALL,ALL,ALL,0TO99
2230,680,2010,789.74,ALL,ALL,ALL,0TO99
2226,679,2010,924.57,ALL,ALL,ALL,0TO99
2229,681,2010,827.44,ALL,ALL,ALL,0TO99
2226,682,2010,923.52,ALL,ALL,ALL,0TO99
2232,679,2010,588.77,ALL,ALL,ALL,0TO99
2227,674,2010,703.83,ALL,ALL,ALL,0TO99
2223,679,2010,924.57,ALL,ALL,ALL,0TO99
2224,675,2010,935.83,ALL,ALL,ALL,0TO99
2226,677,2010,925.24,ALL,ALL,ALL,0TO99
2232,673,2010,10622.70,ALL,ALL,ALL,0TO99
2230,674,2010,29676.00,ALL,ALL,ALL,0TO99
2221,669,2010,1350.64,ALL,ALL,ALL,0TO99
2228,674,2010,6784.50,ALL,ALL,ALL,0TO99
2230,681,2010,758.42,ALL,ALL,ALL,0TO99
2220,672,2010,933.30,ALL,ALL,ALL,0TO99
2226,678,2010,924.90,ALL,ALL,ALL,0TO99
2227,679,2010,924.57,ALL,ALL,ALL,0TO99
2222,678,2010,929.04,ALL,ALL,ALL,0TO99
2229,682,2010,761.88,ALL,ALL,ALL,0TO99
2225,681,2010,923.87,ALL,ALL,ALL,0TO99
2222,679,2010,924.30,ALL,ALL,ALL,0TO99
2231,686,2010,595.08,ALL,ALL,ALL,0TO99
2229,678,2010,924.90,ALL,ALL,ALL,0TO99
2230,684,2010,757.08,ALL,ALL,ALL,0TO99
2219,674,2010,945.61,ALL,ALL,ALL,0TO99
2221,676,2010,935.51,ALL,ALL,ALL,0TO99
2223,674,2010,936.18,ALL,ALL,ALL,0TO99
2225,671,2010,937.16,ALL,ALL,ALL,0TO99
2233,681,2010,524.67,ALL,ALL,ALL,0TO99
2226,683,2010,923.17,ALL,ALL,ALL,0TO99
2230,670,2010,3214.52,ALL,ALL,ALL,0TO99
2228,671,2010,3220.46,ALL,ALL,ALL,0TO99
2224,681,2010,923.87,ALL,ALL,ALL,0TO99
2227,673,2010,1311.73,ALL,ALL,ALL,0TO99
2229,683,2010,757.36,ALL,ALL,ALL,0TO99
2227,682,2010,923.52,ALL,ALL,ALL,0TO99
2221,674,2010,936.18,ALL,ALL,ALL,0TO99
2229,675,2010,62389.66,ALL,ALL,ALL,0TO99
2234,680,2010,455.47,ALL,ALL,ALL,0TO99
2223,676,2010,935.41,ALL,ALL,ALL,0TO99
2231,678,2010,622.58,ALL,ALL,ALL,0TO99
2219,675,2010,982.06,ALL,ALL,ALL,0TO99
2227,680,2010,924.21,ALL,ALL,ALL,0TO99
2232,685,2010,401.20,ALL,ALL,ALL,0TO99
2225,674,2010,936.18,ALL,ALL,ALL,0TO99
2234,681,2010,351.97,ALL,ALL,ALL,0TO99
2227,683,2010,953.43,ALL,ALL,ALL,0TO99
2224,682,2010,918.59,ALL,ALL,ALL,0TO99
2219,676,2010,1007.25,ALL,ALL,ALL,0TO99
2232,680,2010,758.21,ALL,ALL,ALL,0TO99
2223,670,2010,937.47,ALL,ALL,ALL,0TO99
2231,674,2010,22194.40,ALL,ALL,ALL,0TO99
2224,677,2010,925.42,ALL,ALL,ALL,0TO99
2229,670,2010,3225.45,ALL,ALL,ALL,0TO99
2224,672,2010,936.83,ALL,ALL,ALL,0TO99
2231,671,2010,3154.56,ALL,ALL,ALL,0TO99
2222,673,2010,936.51,ALL,ALL,ALL,0TO99
2222,671,2010,937.16,ALL,ALL,ALL,0TO99
2225,682,2010,923.52,ALL,ALL,ALL,0TO99
2225,675,2010,934.84,ALL,ALL,ALL,0TO99
2228,678,2010,924.90,ALL,ALL,ALL,0TO99
2228,672,2010,3223.13,ALL,ALL,ALL,0TO99
2229,680,2010,910.35,ALL,ALL,ALL,0TO99
2233,680,2010,606.86,ALL,ALL,ALL,0TO99
2232,683,2010,535.67,ALL,ALL,ALL,0TO99
2229,671,2010,3224.38,ALL,ALL,ALL,0TO99
2224,676,2010,931.67,ALL,ALL,ALL,0TO99
2223,673,2010,936.51,ALL,ALL,ALL,0TO99
2223,675,2010,935.84,ALL,ALL,ALL,0TO99
2229,679,2010,924.57,ALL,ALL,ALL,0TO99
2224,673,2010,936.51,ALL,ALL,ALL,0TO99
2227,676,2010,892.24,ALL,ALL,ALL,0TO99
2222,672,2010,936.83,ALL,ALL,ALL,0TO99
2230,685,2010,500.74,ALL,ALL,ALL,0TO99
2221,678,2010,925.58,ALL,ALL,ALL,0TO99
2221,673,2010,936.51,ALL,ALL,ALL,0TO99
2232,674,2010,63977.44,ALL,ALL,ALL,0TO99
2220,670,2010,937.47,ALL,ALL,ALL,0TO99
2225,672,2010,936.83,ALL,ALL,ALL,0TO99
2232,682,2010,737.47,ALL,ALL,ALL,0TO99
2223,678,2010,924.97,ALL,ALL,ALL,0TO99
2225,678,2010,924.90,ALL,ALL,ALL,0TO99
2231,673,2010,3222.13,ALL,ALL,ALL,0TO99
2225,684,2010,921.65,ALL,ALL,ALL,0TO99
2227,672,2010,1811.94,ALL,ALL,ALL,0TO99
2226,674,2010,847.06,ALL,ALL,ALL,0TO99
2230,671,2010,3224.38,ALL,ALL,ALL,0TO99
2230,679,2010,893.06,ALL,ALL,ALL,0TO99
2226,681,2010,923.87,ALL,ALL,ALL,0TO99
2227,681,2010,923.87,ALL,ALL,ALL,0TO99
2221,670,2010,937.47,ALL,ALL,ALL,0TO99
2222,677,2010,934.94,ALL,ALL,ALL,0TO99
2231,684,2010,629.04,ALL,ALL,ALL,0TO99
2230,678,2010,906.57,ALL,ALL,ALL,0TO99
2220,677,2010,917.88,ALL,ALL,ALL,0TO99
2228,682,2010,878.55,ALL,ALL,ALL,0TO99
2226,684,2010,964.38,ALL,ALL,ALL,0TO99
2222,675,2010,935.84,ALL,ALL,ALL,0TO99
2223,671,2010,937.16,ALL,ALL,ALL,0TO99
2228,673,2010,2548.63,ALL,ALL,ALL,0TO99
2220,675,2010,935.84,ALL,ALL,ALL,0TO99
2225,670,2010,1027.55,ALL,ALL,ALL,0TO99
2225,680,2010,924.21,ALL,ALL,ALL,0TO99
2231,672,2010,3215.45,ALL,ALL,ALL,0TO99
2220,673,2010,936.51,ALL,ALL,ALL,0TO99
2222,680,2010,857.87,ALL,ALL,ALL,0TO99
2225,677,2010,925.24,ALL,ALL,ALL,0TO99
2232,681,2010,757.94,ALL,ALL,ALL,0TO99
2226,671,2010,937.22,ALL,ALL,ALL,0TO99
2230,673,2010,3222.13,ALL,ALL,ALL,0TO99
2221,675,2010,935.84,ALL,ALL,ALL,0TO99
2226,673,2010,936.51,ALL,ALL,ALL,0TO99
2223,677,2010,930.01,ALL,ALL,ALL,0TO99
2234,683,2010,143.33,ALL,ALL,ALL,0TO99
2222,674,2010,936.18,ALL,ALL,ALL,0TO99
2219,673,2010,1125.57,ALL,ALL,ALL,0TO99
2230,675,2010,64086.26,ALL,ALL,ALL,0TO99
2225,683,2010,923.17,ALL,ALL,ALL,0TO99
2223,680,2010,924.21,ALL,ALL,ALL,0TO99
2220,669,2010,1308.82,ALL,ALL,ALL,0TO99
2228,677,2010,780.29,ALL,ALL,ALL,0TO99
2229,673,2010,3574.93,ALL,ALL,ALL,0TO99
2228,681,2010,921.73,ALL,ALL,ALL,0TO99
2233,674,2010,27771.88,ALL,ALL,ALL,0TO99
2226,680,2010,924.21,ALL,ALL,ALL,0TO99
2222,676,2010,935.51,ALL,ALL,ALL,0TO99
2229,684,2010,800.94,ALL,ALL,ALL,0TO99
2224,670,2010,937.47,ALL,ALL,ALL,0TO99
2224,679,2010,924.57,ALL,ALL,ALL,0TO99
2225,679,2010,924.57,ALL,ALL,ALL,0TO99
2224,674,2010,936.18,ALL,ALL,ALL,0TO99
2231,679,2010,762.56,ALL,ALL,ALL,0TO99
2231,680,2010,758.21,ALL,ALL,ALL,0TO99
2226,672,2010,936.83,ALL,ALL,ALL,0TO99
2225,673,2010,936.51,ALL,ALL,ALL,0TO99
2232,686,2010,438.17,ALL,ALL,ALL,0TO99
2228,683,2010,826.29,ALL,ALL,ALL,0TO99
2223,681,2010,911.08,ALL,ALL,ALL,0TO99
2230,682,2010,757.65,ALL,ALL,ALL,0TO99
2233,684,2010,470.17,ALL,ALL,ALL,0TO99
2227,677,2010,925.24,ALL,ALL,ALL,0TO99
2224,678,2010,924.90,ALL,ALL,ALL,0TO99
2220,674,2010,936.18,ALL,ALL,ALL,0TO99
2228,675,2010,18107.66,ALL,ALL,ALL,0TO99
2229,674,2010,54180.66,ALL,ALL,ALL,0TO99
2227,678,2010,924.90,ALL,ALL,ALL,0TO99
2220,676,2010,935.51,ALL,ALL,ALL,0TO99
2230,672,2010,3223.25,ALL,ALL,ALL,0TO99
2224,671,2010,937.16,ALL,ALL,ALL,0TO99
2219,670,2010,795.22,ALL,ALL,ALL,0TO99
