Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1902,1126,2010,2687.92,ALL,ALL,ALL,0TO99
1890,1111,2010,2163.23,ALL,ALL,ALL,0TO99
1904,1135,2010,6165.03,ALL,ALL,ALL,0TO99
1901,1129,2010,11696.17,ALL,ALL,ALL,0TO99
1920,1112,2010,6124.37,ALL,ALL,ALL,0TO99
1888,1126,2010,1649.27,ALL,ALL,ALL,0TO99
1900,1113,2010,4708.92,ALL,ALL,ALL,0TO99
1891,1117,2010,3404.01,ALL,ALL,ALL,0TO99
1890,1119,2010,2554.41,ALL,ALL,ALL,0TO99
1897,1118,2010,6691.61,ALL,ALL,ALL,0TO99
1897,1129,2010,3071.36,ALL,ALL,ALL,0TO99
1895,1108,2010,29117.91,ALL,ALL,ALL,0TO99
1907,1123,2010,3592.29,ALL,ALL,ALL,0TO99
1895,1116,2010,11388.56,ALL,ALL,ALL,0TO99
1901,1133,2010,6641.17,ALL,ALL,ALL,0TO99
1923,1120,2010,10476.18,ALL,ALL,ALL,0TO99
1892,1119,2010,3062.82,ALL,ALL,ALL,0TO99
1894,1126,2010,2161.62,ALL,ALL,ALL,0TO99
1920,1107,2010,5820.40,ALL,ALL,ALL,0TO99
1914,1115,2010,4696.28,ALL,ALL,ALL,0TO99
1907,1113,2010,7171.83,ALL,ALL,ALL,0TO99
1894,1114,2010,5844.19,ALL,ALL,ALL,0TO99
1894,1112,2010,4031.88,ALL,ALL,ALL,0TO99
1900,1109,2010,6387.86,ALL,ALL,ALL,0TO99
1891,1127,2010,2833.26,ALL,ALL,ALL,0TO99
1902,1111,2010,3513.95,ALL,ALL,ALL,0TO99
1915,1115,2010,6891.70,ALL,ALL,ALL,0TO99
1899,1134,2010,5387.73,ALL,ALL,ALL,0TO99
1889,1115,2010,2932.04,ALL,ALL,ALL,0TO99
1890,1120,2010,6600.16,ALL,ALL,ALL,0TO99
1902,1124,2010,8968.52,ALL,ALL,ALL,0TO99
1895,1124,2010,8668.16,ALL,ALL,ALL,0TO99
1902,1123,2010,10893.61,ALL,ALL,ALL,0TO99
1894,1109,2010,4181.27,ALL,ALL,ALL,0TO99
1913,1112,2010,3078.49,ALL,ALL,ALL,0TO99
1905,1115,2010,2910.12,ALL,ALL,ALL,0TO99
1897,1131,2010,3703.89,ALL,ALL,ALL,0TO99
1900,1129,2010,18427.57,ALL,ALL,ALL,0TO99
1901,1132,2010,4541.50,ALL,ALL,ALL,0TO99
