Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1098,755,D24HourMean,QuarterlyMean,Mean,9.46
1105,749,D24HourMean,QuarterlyMean,Mean,8.94
1093,754,D24HourMean,QuarterlyMean,Mean,10.73
1089,751,D24HourMean,QuarterlyMean,Mean,11.32
1088,743,D24HourMean,QuarterlyMean,Mean,11.37
1086,737,D24HourMean,QuarterlyMean,Mean,11.08
1113,741,D24HourMean,QuarterlyMean,Mean,14.56
1106,744,D24HourMean,QuarterlyMean,Mean,14.37
1102,749,D24HourMean,QuarterlyMean,Mean,9.08
1084,747,D24HourMean,QuarterlyMean,Mean,11.03
1101,754,D24HourMean,QuarterlyMean,Mean,10.44
1088,756,D24HourMean,QuarterlyMean,Mean,11.40
1090,746,D24HourMean,QuarterlyMean,Mean,10.37
1098,747,D24HourMean,QuarterlyMean,Mean,10.83
1090,758,D24HourMean,QuarterlyMean,Mean,10.11
1091,743,D24HourMean,QuarterlyMean,Mean,10.28
1088,742,D24HourMean,QuarterlyMean,Mean,9.34
1107,744,D24HourMean,QuarterlyMean,Mean,14.82
1101,749,D24HourMean,QuarterlyMean,Mean,9.50
1114,742,D24HourMean,QuarterlyMean,Mean,13.15
1090,754,D24HourMean,QuarterlyMean,Mean,10.52
1106,750,D24HourMean,QuarterlyMean,Mean,9.20
1112,748,D24HourMean,QuarterlyMean,Mean,10.18
1102,752,D24HourMean,QuarterlyMean,Mean,11.69
1098,753,D24HourMean,QuarterlyMean,Mean,10.15
1110,744,D24HourMean,QuarterlyMean,Mean,13.84
1085,750,D24HourMean,QuarterlyMean,Mean,10.21
1103,746,D24HourMean,QuarterlyMean,Mean,11.44
1087,738,D24HourMean,QuarterlyMean,Mean,9.62
1112,747,D24HourMean,QuarterlyMean,Mean,10.86
1098,742,D24HourMean,QuarterlyMean,Mean,13.85
1092,753,D24HourMean,QuarterlyMean,Mean,10.59
1088,739,D24HourMean,QuarterlyMean,Mean,8.48
1086,739,D24HourMean,QuarterlyMean,Mean,9.79
1103,747,D24HourMean,QuarterlyMean,Mean,10.22
1084,753,D24HourMean,QuarterlyMean,Mean,9.92
1113,746,D24HourMean,QuarterlyMean,Mean,10.61
1116,746,D24HourMean,QuarterlyMean,Mean,11.88
1086,752,D24HourMean,QuarterlyMean,Mean,10.37
1094,748,D24HourMean,QuarterlyMean,Mean,10.18
1096,743,D24HourMean,QuarterlyMean,Mean,12.90
1109,747,D24HourMean,QuarterlyMean,Mean,10.03
1085,746,D24HourMean,QuarterlyMean,Mean,10.66
1100,752,D24HourMean,QuarterlyMean,Mean,10.40
1090,757,D24HourMean,QuarterlyMean,Mean,10.81
1092,743,D24HourMean,QuarterlyMean,Mean,10.45
1087,744,D24HourMean,QuarterlyMean,Mean,13.62
1097,752,D24HourMean,QuarterlyMean,Mean,11.08
1108,745,D24HourMean,QuarterlyMean,Mean,13.10
1097,749,D24HourMean,QuarterlyMean,Mean,10.21
1093,753,D24HourMean,QuarterlyMean,Mean,10.64
1097,753,D24HourMean,QuarterlyMean,Mean,9.80
