Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1098,755,2010,26649.87,ALL,ALL,ALL,0TO99
1105,749,2010,8041.68,ALL,ALL,ALL,0TO99
1093,754,2010,39610.91,ALL,ALL,ALL,0TO99
1089,751,2010,29762.29,ALL,ALL,ALL,0TO99
1088,743,2010,6018.61,ALL,ALL,ALL,0TO99
1086,737,2010,1344.59,ALL,ALL,ALL,0TO99
1113,741,2010,16071.56,ALL,ALL,ALL,0TO99
1106,744,2010,28711.52,ALL,ALL,ALL,0TO99
1102,749,2010,8333.35,ALL,ALL,ALL,0TO99
1084,747,2010,4757.18,ALL,ALL,ALL,0TO99
1101,754,2010,11874.54,ALL,ALL,ALL,0TO99
1088,756,2010,7161.50,ALL,ALL,ALL,0TO99
1090,746,2010,8486.04,ALL,ALL,ALL,0TO99
1098,747,2010,56089.88,ALL,ALL,ALL,0TO99
1090,758,2010,19331.84,ALL,ALL,ALL,0TO99
1091,743,2010,10669.47,ALL,ALL,ALL,0TO99
1088,742,2010,11693.86,ALL,ALL,ALL,0TO99
1107,744,2010,24811.98,ALL,ALL,ALL,0TO99
1101,749,2010,11945.93,ALL,ALL,ALL,0TO99
1114,742,2010,6286.27,ALL,ALL,ALL,0TO99
1090,754,2010,27652.91,ALL,ALL,ALL,0TO99
1106,750,2010,6385.44,ALL,ALL,ALL,0TO99
1112,748,2010,6167.72,ALL,ALL,ALL,0TO99
1102,752,2010,14140.29,ALL,ALL,ALL,0TO99
1098,753,2010,21963.15,ALL,ALL,ALL,0TO99
1110,744,2010,39780.29,ALL,ALL,ALL,0TO99
1085,750,2010,5018.02,ALL,ALL,ALL,0TO99
1103,746,2010,74083.77,ALL,ALL,ALL,0TO99
1087,738,2010,1425.34,ALL,ALL,ALL,0TO99
1112,747,2010,8079.55,ALL,ALL,ALL,0TO99
1098,742,2010,12672.41,ALL,ALL,ALL,0TO99
1092,753,2010,39634.59,ALL,ALL,ALL,0TO99
