Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1714,833,D24HourMean,QuarterlyMean,Mean,58.70
1714,834,D24HourMean,QuarterlyMean,Mean,55.09
1714,835,D24HourMean,QuarterlyMean,Mean,51.25
1714,836,D24HourMean,QuarterlyMean,Mean,45.51
1714,837,D24HourMean,QuarterlyMean,Mean,41.69
1714,838,D24HourMean,QuarterlyMean,Mean,38.26
1714,839,D24HourMean,QuarterlyMean,Mean,36.13
1714,840,D24HourMean,QuarterlyMean,Mean,36.71
1714,841,D24HourMean,QuarterlyMean,Mean,35.54
1714,842,D24HourMean,QuarterlyMean,Mean,31.73
1714,843,D24HourMean,QuarterlyMean,Mean,31.50
1714,844,D24HourMean,QuarterlyMean,Mean,31.27
1714,845,D24HourMean,QuarterlyMean,Mean,30.05
1714,846,D24HourMean,QuarterlyMean,Mean,29.96
1715,832,D24HourMean,QuarterlyMean,Mean,57.66
1715,833,D24HourMean,QuarterlyMean,Mean,55.28
1715,834,D24HourMean,QuarterlyMean,Mean,51.93
1715,835,D24HourMean,QuarterlyMean,Mean,47.69
1715,836,D24HourMean,QuarterlyMean,Mean,43.60
1715,837,D24HourMean,QuarterlyMean,Mean,40.58
1715,838,D24HourMean,QuarterlyMean,Mean,38.13
1715,839,D24HourMean,QuarterlyMean,Mean,37.50
1715,840,D24HourMean,QuarterlyMean,Mean,36.12
1715,841,D24HourMean,QuarterlyMean,Mean,35.00
1715,842,D24HourMean,QuarterlyMean,Mean,31.78
1715,843,D24HourMean,QuarterlyMean,Mean,31.73
1715,844,D24HourMean,QuarterlyMean,Mean,31.09
1715,845,D24HourMean,QuarterlyMean,Mean,30.32
1715,846,D24HourMean,QuarterlyMean,Mean,29.47
1715,847,D24HourMean,QuarterlyMean,Mean,28.02
1716,832,D24HourMean,QuarterlyMean,Mean,51.33
1716,833,D24HourMean,QuarterlyMean,Mean,50.36
1716,834,D24HourMean,QuarterlyMean,Mean,45.70
1716,835,D24HourMean,QuarterlyMean,Mean,43.82
1716,836,D24HourMean,QuarterlyMean,Mean,41.41
1716,837,D24HourMean,QuarterlyMean,Mean,39.49
1716,838,D24HourMean,QuarterlyMean,Mean,38.55
