Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1714,833,2010,108.15,ALL,ALL,ALL,0TO99
1714,834,2010,111.08,ALL,ALL,ALL,0TO99
1714,835,2010,110.59,ALL,ALL,ALL,0TO99
1714,836,2010,112.80,ALL,ALL,ALL,0TO99
1714,837,2010,110.77,ALL,ALL,ALL,0TO99
1714,838,2010,109.99,ALL,ALL,ALL,0TO99
1714,839,2010,111.57,ALL,ALL,ALL,0TO99
1714,840,2010,112.03,ALL,ALL,ALL,0TO99
1714,841,2010,110.90,ALL,ALL,ALL,0TO99
1714,842,2010,113.81,ALL,ALL,ALL,0TO99
1714,843,2010,167.21,ALL,ALL,ALL,0TO99
1714,844,2010,204.91,ALL,ALL,ALL,0TO99
1714,845,2010,208.59,ALL,ALL,ALL,0TO99
1714,846,2010,204.64,ALL,ALL,ALL,0TO99
1715,832,2010,23.16,ALL,ALL,ALL,0TO99
1715,833,2010,29.04,ALL,ALL,ALL,0TO99
1715,834,2010,29.02,ALL,ALL,ALL,0TO99
1715,835,2010,28.99,ALL,ALL,ALL,0TO99
1715,836,2010,28.96,ALL,ALL,ALL,0TO99
1715,837,2010,28.94,ALL,ALL,ALL,0TO99
1715,838,2010,28.91,ALL,ALL,ALL,0TO99
1715,839,2010,28.88,ALL,ALL,ALL,0TO99
1715,840,2010,28.86,ALL,ALL,ALL,0TO99
1715,841,2010,28.83,ALL,ALL,ALL,0TO99
1715,842,2010,28.80,ALL,ALL,ALL,0TO99
1715,843,2010,28.77,ALL,ALL,ALL,0TO99
1715,844,2010,28.75,ALL,ALL,ALL,0TO99
1715,845,2010,28.72,ALL,ALL,ALL,0TO99
1715,846,2010,28.69,ALL,ALL,ALL,0TO99
1715,847,2010,174.10,ALL,ALL,ALL,0TO99
1716,832,2010,28.69,ALL,ALL,ALL,0TO99
1716,833,2010,29.04,ALL,ALL,ALL,0TO99
1716,834,2010,29.02,ALL,ALL,ALL,0TO99
1716,835,2010,28.99,ALL,ALL,ALL,0TO99
1716,836,2010,28.96,ALL,ALL,ALL,0TO99
1716,837,2010,28.94,ALL,ALL,ALL,0TO99
1716,838,2010,28.91,ALL,ALL,ALL,0TO99
1716,839,2010,28.88,ALL,ALL,ALL,0TO99
1716,840,2010,28.86,ALL,ALL,ALL,0TO99
1716,841,2010,28.83,ALL,ALL,ALL,0TO99
1716,842,2010,28.80,ALL,ALL,ALL,0TO99
1716,843,2010,28.77,ALL,ALL,ALL,0TO99
1716,844,2010,28.75,ALL,ALL,ALL,0TO99
1716,845,2010,28.72,ALL,ALL,ALL,0TO99
1716,846,2010,28.69,ALL,ALL,ALL,0TO99
1716,847,2010,32.60,ALL,ALL,ALL,0TO99
1717,831,2010,25.20,ALL,ALL,ALL,0TO99
1717,832,2010,29.07,ALL,ALL,ALL,0TO99
1717,833,2010,29.04,ALL,ALL,ALL,0TO99
1717,834,2010,29.02,ALL,ALL,ALL,0TO99
1717,835,2010,28.99,ALL,ALL,ALL,0TO99
1717,836,2010,28.96,ALL,ALL,ALL,0TO99
1717,837,2010,28.94,ALL,ALL,ALL,0TO99
1717,838,2010,28.91,ALL,ALL,ALL,0TO99
1717,839,2010,28.88,ALL,ALL,ALL,0TO99
1717,840,2010,28.86,ALL,ALL,ALL,0TO99
1717,841,2010,28.83,ALL,ALL,ALL,0TO99
1717,842,2010,28.80,ALL,ALL,ALL,0TO99
1717,843,2010,28.77,ALL,ALL,ALL,0TO99
1717,844,2010,28.75,ALL,ALL,ALL,0TO99
1717,845,2010,28.72,ALL,ALL,ALL,0TO99
1717,846,2010,28.69,ALL,ALL,ALL,0TO99
1717,847,2010,28.67,ALL,ALL,ALL,0TO99
1717,848,2010,57.49,ALL,ALL,ALL,0TO99
1718,831,2010,29.00,ALL,ALL,ALL,0TO99
1718,832,2010,29.07,ALL,ALL,ALL,0TO99
1718,833,2010,29.04,ALL,ALL,ALL,0TO99
1718,834,2010,29.02,ALL,ALL,ALL,0TO99
1718,835,2010,28.99,ALL,ALL,ALL,0TO99
1718,836,2010,28.96,ALL,ALL,ALL,0TO99
1718,837,2010,28.94,ALL,ALL,ALL,0TO99
1718,838,2010,28.91,ALL,ALL,ALL,0TO99
1718,839,2010,28.88,ALL,ALL,ALL,0TO99
1718,840,2010,28.86,ALL,ALL,ALL,0TO99
1718,841,2010,28.83,ALL,ALL,ALL,0TO99
1718,842,2010,28.80,ALL,ALL,ALL,0TO99
1718,843,2010,28.77,ALL,ALL,ALL,0TO99
1718,844,2010,28.75,ALL,ALL,ALL,0TO99
1718,845,2010,28.72,ALL,ALL,ALL,0TO99
1718,846,2010,28.69,ALL,ALL,ALL,0TO99
