Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1043,549,D24HourMean,QuarterlyMean,Mean,6.73
1010,523,D24HourMean,QuarterlyMean,Mean,6.14
1012,518,D24HourMean,QuarterlyMean,Mean,6.25
1011,536,D24HourMean,QuarterlyMean,Mean,5.71
1014,537,D24HourMean,QuarterlyMean,Mean,4.99
1030,560,D24HourMean,QuarterlyMean,Mean,6.98
996,538,D24HourMean,QuarterlyMean,Mean,8.36
1003,535,D24HourMean,QuarterlyMean,Mean,11.25
1009,528,D24HourMean,QuarterlyMean,Mean,5.07
1041,559,D24HourMean,QuarterlyMean,Mean,6.69
1006,559,D24HourMean,QuarterlyMean,Mean,10.01
1007,521,D24HourMean,QuarterlyMean,Mean,5.34
1010,546,D24HourMean,QuarterlyMean,Mean,6.52
1021,550,D24HourMean,QuarterlyMean,Mean,7.20
1001,527,D24HourMean,QuarterlyMean,Mean,11.57
1011,555,D24HourMean,QuarterlyMean,Mean,6.21
1018,541,D24HourMean,QuarterlyMean,Mean,5.55
1013,522,D24HourMean,QuarterlyMean,Mean,6.07
1017,541,D24HourMean,QuarterlyMean,Mean,4.94
1026,559,D24HourMean,QuarterlyMean,Mean,7.17
1018,533,D24HourMean,QuarterlyMean,Mean,7.13
1015,527,D24HourMean,QuarterlyMean,Mean,6.32
1028,549,D24HourMean,QuarterlyMean,Mean,6.75
1008,541,D24HourMean,QuarterlyMean,Mean,7.06
1010,522,D24HourMean,QuarterlyMean,Mean,6.20
999,545,D24HourMean,QuarterlyMean,Mean,8.49
1014,531,D24HourMean,QuarterlyMean,Mean,5.19
1018,550,D24HourMean,QuarterlyMean,Mean,5.05
898,554,D24HourMean,QuarterlyMean,Mean,10.03
1009,535,D24HourMean,QuarterlyMean,Mean,6.25
1011,550,D24HourMean,QuarterlyMean,Mean,5.61
1000,566,D24HourMean,QuarterlyMean,Mean,6.89
1003,566,D24HourMean,QuarterlyMean,Mean,5.41
889,555,D24HourMean,QuarterlyMean,Mean,8.41
1015,548,D24HourMean,QuarterlyMean,Mean,5.96
1023,538,D24HourMean,QuarterlyMean,Mean,6.36
1009,547,D24HourMean,QuarterlyMean,Mean,6.96
1003,543,D24HourMean,QuarterlyMean,Mean,10.78
1024,547,D24HourMean,QuarterlyMean,Mean,7.12
1012,566,D24HourMean,QuarterlyMean,Mean,5.14
1014,556,D24HourMean,QuarterlyMean,Mean,5.89
1004,543,D24HourMean,QuarterlyMean,Mean,11.40
1007,533,D24HourMean,QuarterlyMean,Mean,6.41
1032,538,D24HourMean,QuarterlyMean,Mean,6.39
1012,558,D24HourMean,QuarterlyMean,Mean,6.16
1030,537,D24HourMean,QuarterlyMean,Mean,6.25
995,547,D24HourMean,QuarterlyMean,Mean,8.67
1003,544,D24HourMean,QuarterlyMean,Mean,10.47
1003,525,D24HourMean,QuarterlyMean,Mean,5.61
995,537,D24HourMean,QuarterlyMean,Mean,9.03
999,542,D24HourMean,QuarterlyMean,Mean,10.28
1030,543,D24HourMean,QuarterlyMean,Mean,6.53
1038,558,D24HourMean,QuarterlyMean,Mean,7.20
1003,561,D24HourMean,QuarterlyMean,Mean,7.22
1007,550,D24HourMean,QuarterlyMean,Mean,15.01
1021,549,D24HourMean,QuarterlyMean,Mean,7.10
1013,554,D24HourMean,QuarterlyMean,Mean,5.23
1031,547,D24HourMean,QuarterlyMean,Mean,6.64
1005,533,D24HourMean,QuarterlyMean,Mean,8.30
1042,554,D24HourMean,QuarterlyMean,Mean,6.94
1006,555,D24HourMean,QuarterlyMean,Mean,14.28
1009,548,D24HourMean,QuarterlyMean,Mean,7.06
1006,562,D24HourMean,QuarterlyMean,Mean,7.83
1021,564,D24HourMean,QuarterlyMean,Mean,6.07
1014,538,D24HourMean,QuarterlyMean,Mean,5.01
1001,517,D24HourMean,QuarterlyMean,Mean,4.78
1015,530,D24HourMean,QuarterlyMean,Mean,6.13
1000,541,D24HourMean,QuarterlyMean,Mean,13.33
1016,543,D24HourMean,QuarterlyMean,Mean,5.98
1028,542,D24HourMean,QuarterlyMean,Mean,6.09
1043,543,D24HourMean,QuarterlyMean,Mean,6.36
1012,536,D24HourMean,QuarterlyMean,Mean,5.55
1029,540,D24HourMean,QuarterlyMean,Mean,6.41
1000,520,D24HourMean,QuarterlyMean,Mean,4.85
1024,535,D24HourMean,QuarterlyMean,Mean,6.36
1009,542,D24HourMean,QuarterlyMean,Mean,6.80
1033,550,D24HourMean,QuarterlyMean,Mean,7.19
1045,547,D24HourMean,QuarterlyMean,Mean,5.98
1009,553,D24HourMean,QuarterlyMean,Mean,6.41
1000,549,D24HourMean,QuarterlyMean,Mean,9.51
1022,531,D24HourMean,QuarterlyMean,Mean,6.60
1027,546,D24HourMean,QuarterlyMean,Mean,6.62
998,549,D24HourMean,QuarterlyMean,Mean,8.18
1023,537,D24HourMean,QuarterlyMean,Mean,6.12
1006,525,D24HourMean,QuarterlyMean,Mean,5.61
1026,560,D24HourMean,QuarterlyMean,Mean,7.12
1037,545,D24HourMean,QuarterlyMean,Mean,6.82
996,552,D24HourMean,QuarterlyMean,Mean,8.82
1011,553,D24HourMean,QuarterlyMean,Mean,5.93
1002,568,D24HourMean,QuarterlyMean,Mean,6.50
1040,563,D24HourMean,QuarterlyMean,Mean,6.80
1010,560,D24HourMean,QuarterlyMean,Mean,8.15
1003,569,D24HourMean,QuarterlyMean,Mean,7.13
1000,517,D24HourMean,QuarterlyMean,Mean,4.76
1003,530,D24HourMean,QuarterlyMean,Mean,8.29
1024,553,D24HourMean,QuarterlyMean,Mean,6.46
1031,548,D24HourMean,QuarterlyMean,Mean,7.19
1018,535,D24HourMean,QuarterlyMean,Mean,6.80
1009,537,D24HourMean,QuarterlyMean,Mean,5.77
1013,558,D24HourMean,QuarterlyMean,Mean,5.71
1017,559,D24HourMean,QuarterlyMean,Mean,6.80
1017,530,D24HourMean,QuarterlyMean,Mean,6.73
1010,566,D24HourMean,QuarterlyMean,Mean,6.64
1025,540,D24HourMean,QuarterlyMean,Mean,6.39
1004,542,D24HourMean,QuarterlyMean,Mean,11.40
1037,557,D24HourMean,QuarterlyMean,Mean,7.05
1003,515,D24HourMean,QuarterlyMean,Mean,4.45
1017,549,D24HourMean,QuarterlyMean,Mean,4.83
1025,548,D24HourMean,QuarterlyMean,Mean,6.99
1035,544,D24HourMean,QuarterlyMean,Mean,6.66
1014,564,D24HourMean,QuarterlyMean,Mean,6.16
1001,566,D24HourMean,QuarterlyMean,Mean,6.23
1014,554,D24HourMean,QuarterlyMean,Mean,5.39
1001,559,D24HourMean,QuarterlyMean,Mean,8.18
1028,544,D24HourMean,QuarterlyMean,Mean,6.23
1008,550,D24HourMean,QuarterlyMean,Mean,10.44
1034,534,D24HourMean,QuarterlyMean,Mean,6.48
1021,539,D24HourMean,QuarterlyMean,Mean,5.53
1037,544,D24HourMean,QuarterlyMean,Mean,6.82
1021,543,D24HourMean,QuarterlyMean,Mean,6.39
1020,556,D24HourMean,QuarterlyMean,Mean,5.68
1034,554,D24HourMean,QuarterlyMean,Mean,6.83
1010,515,D24HourMean,QuarterlyMean,Mean,5.16
1018,547,D24HourMean,QuarterlyMean,Mean,5.98
1007,514,D24HourMean,QuarterlyMean,Mean,5.03
1010,513,D24HourMean,QuarterlyMean,Mean,5.27
1023,540,D24HourMean,QuarterlyMean,Mean,6.32
1014,527,D24HourMean,QuarterlyMean,Mean,6.00
1011,542,D24HourMean,QuarterlyMean,Mean,6.16
1044,550,D24HourMean,QuarterlyMean,Mean,6.32
999,553,D24HourMean,QuarterlyMean,Mean,9.63
1037,559,D24HourMean,QuarterlyMean,Mean,7.05
998,543,D24HourMean,QuarterlyMean,Mean,8.56
1003,552,D24HourMean,QuarterlyMean,Mean,8.72
1019,532,D24HourMean,QuarterlyMean,Mean,6.85
997,536,D24HourMean,QuarterlyMean,Mean,8.27
1035,556,D24HourMean,QuarterlyMean,Mean,7.10
1014,570,D24HourMean,QuarterlyMean,Mean,4.92
996,539,D24HourMean,QuarterlyMean,Mean,8.53
1014,524,D24HourMean,QuarterlyMean,Mean,6.60
1026,535,D24HourMean,QuarterlyMean,Mean,6.18
1000,545,D24HourMean,QuarterlyMean,Mean,8.67
1047,558,D24HourMean,QuarterlyMean,Mean,6.53
1025,550,D24HourMean,QuarterlyMean,Mean,7.38
1031,553,D24HourMean,QuarterlyMean,Mean,7.50
1023,566,D24HourMean,QuarterlyMean,Mean,5.16
1000,554,D24HourMean,QuarterlyMean,Mean,8.08
896,546,D24HourMean,QuarterlyMean,Mean,8.82
1012,523,D24HourMean,QuarterlyMean,Mean,5.96
1015,553,D24HourMean,QuarterlyMean,Mean,5.17
1006,556,D24HourMean,QuarterlyMean,Mean,9.55
1010,551,D24HourMean,QuarterlyMean,Mean,6.00
1000,525,D24HourMean,QuarterlyMean,Mean,9.65
1003,523,D24HourMean,QuarterlyMean,Mean,5.86
1000,519,D24HourMean,QuarterlyMean,Mean,4.62
1001,537,D24HourMean,QuarterlyMean,Mean,10.21
1005,523,D24HourMean,QuarterlyMean,Mean,5.19
1005,530,D24HourMean,QuarterlyMean,Mean,5.52
999,558,D24HourMean,QuarterlyMean,Mean,8.13
1008,521,D24HourMean,QuarterlyMean,Mean,5.17
1006,527,D24HourMean,QuarterlyMean,Mean,5.77
1040,559,D24HourMean,QuarterlyMean,Mean,6.64
1020,543,D24HourMean,QuarterlyMean,Mean,6.76
1014,546,D24HourMean,QuarterlyMean,Mean,6.94
1008,543,D24HourMean,QuarterlyMean,Mean,7.55
888,556,D24HourMean,QuarterlyMean,Mean,8.36
1021,555,D24HourMean,QuarterlyMean,Mean,5.91
1039,557,D24HourMean,QuarterlyMean,Mean,6.85
1014,549,D24HourMean,QuarterlyMean,Mean,5.93
1020,567,D24HourMean,QuarterlyMean,Mean,5.46
1012,563,D24HourMean,QuarterlyMean,Mean,6.52
1025,543,D24HourMean,QuarterlyMean,Mean,6.18
1023,561,D24HourMean,QuarterlyMean,Mean,6.30
1004,553,D24HourMean,QuarterlyMean,Mean,9.41
1004,546,D24HourMean,QuarterlyMean,Mean,10.78
1003,526,D24HourMean,QuarterlyMean,Mean,6.13
1006,523,D24HourMean,QuarterlyMean,Mean,5.08
1016,551,D24HourMean,QuarterlyMean,Mean,5.57
1010,539,D24HourMean,QuarterlyMean,Mean,6.12
1002,556,D24HourMean,QuarterlyMean,Mean,9.00
1038,561,D24HourMean,QuarterlyMean,Mean,6.99
997,519,D24HourMean,QuarterlyMean,Mean,4.80
1010,549,D24HourMean,QuarterlyMean,Mean,6.32
1012,542,D24HourMean,QuarterlyMean,Mean,6.16
1008,558,D24HourMean,QuarterlyMean,Mean,7.66
1004,555,D24HourMean,QuarterlyMean,Mean,11.89
1021,552,D24HourMean,QuarterlyMean,Mean,5.75
1008,565,D24HourMean,QuarterlyMean,Mean,6.80
996,546,D24HourMean,QuarterlyMean,Mean,8.03
1008,517,D24HourMean,QuarterlyMean,Mean,5.46
1030,554,D24HourMean,QuarterlyMean,Mean,7.24
1031,552,D24HourMean,QuarterlyMean,Mean,7.29
1018,538,D24HourMean,QuarterlyMean,Mean,6.55
1002,560,D24HourMean,QuarterlyMean,Mean,7.38
1027,560,D24HourMean,QuarterlyMean,Mean,7.12
1035,549,D24HourMean,QuarterlyMean,Mean,6.60
1002,566,D24HourMean,QuarterlyMean,Mean,5.89
1038,550,D24HourMean,QuarterlyMean,Mean,6.59
1012,564,D24HourMean,QuarterlyMean,Mean,5.98
1024,551,D24HourMean,QuarterlyMean,Mean,6.94
1020,544,D24HourMean,QuarterlyMean,Mean,6.55
1000,550,D24HourMean,QuarterlyMean,Mean,9.68
1010,552,D24HourMean,QuarterlyMean,Mean,5.88
1007,551,D24HourMean,QuarterlyMean,Mean,16.23
1008,518,D24HourMean,QuarterlyMean,Mean,5.70
1032,560,D24HourMean,QuarterlyMean,Mean,6.82
1000,534,D24HourMean,QuarterlyMean,Mean,10.23
1024,534,D24HourMean,QuarterlyMean,Mean,6.36
1012,556,D24HourMean,QuarterlyMean,Mean,5.93
1013,573,D24HourMean,QuarterlyMean,Mean,6.75
1022,536,D24HourMean,QuarterlyMean,Mean,6.16
1011,561,D24HourMean,QuarterlyMean,Mean,6.87
1028,547,D24HourMean,QuarterlyMean,Mean,6.53
1006,528,D24HourMean,QuarterlyMean,Mean,5.48
1008,564,D24HourMean,QuarterlyMean,Mean,6.04
1042,556,D24HourMean,QuarterlyMean,Mean,7.36
1016,527,D24HourMean,QuarterlyMean,Mean,6.50
1021,536,D24HourMean,QuarterlyMean,Mean,6.05
891,551,D24HourMean,QuarterlyMean,Mean,8.55
1003,558,D24HourMean,QuarterlyMean,Mean,9.20
1023,533,D24HourMean,QuarterlyMean,Mean,6.62
1016,570,D24HourMean,QuarterlyMean,Mean,5.08
1001,565,D24HourMean,QuarterlyMean,Mean,6.44
1003,567,D24HourMean,QuarterlyMean,Mean,5.62
1007,549,D24HourMean,QuarterlyMean,Mean,14.48
1013,563,D24HourMean,QuarterlyMean,Mean,6.53
889,550,D24HourMean,QuarterlyMean,Mean,8.86
1013,570,D24HourMean,QuarterlyMean,Mean,6.02
886,555,D24HourMean,QuarterlyMean,Mean,7.01
1021,559,D24HourMean,QuarterlyMean,Mean,5.48
1003,519,D24HourMean,QuarterlyMean,Mean,4.34
1001,525,D24HourMean,QuarterlyMean,Mean,8.77
1035,537,D24HourMean,QuarterlyMean,Mean,6.16
1044,552,D24HourMean,QuarterlyMean,Mean,6.94
1001,549,D24HourMean,QuarterlyMean,Mean,8.62
1045,559,D24HourMean,QuarterlyMean,Mean,6.85
1001,556,D24HourMean,QuarterlyMean,Mean,8.82
1014,563,D24HourMean,QuarterlyMean,Mean,6.09
1020,557,D24HourMean,QuarterlyMean,Mean,5.46
1029,539,D24HourMean,QuarterlyMean,Mean,6.34
1023,544,D24HourMean,QuarterlyMean,Mean,6.46
1028,536,D24HourMean,QuarterlyMean,Mean,6.53
1010,571,D24HourMean,QuarterlyMean,Mean,6.75
1037,554,D24HourMean,QuarterlyMean,Mean,6.62
997,550,D24HourMean,QuarterlyMean,Mean,9.05
1010,563,D24HourMean,QuarterlyMean,Mean,5.43
1012,521,D24HourMean,QuarterlyMean,Mean,6.16
1029,563,D24HourMean,QuarterlyMean,Mean,7.19
887,557,D24HourMean,QuarterlyMean,Mean,7.75
1008,544,D24HourMean,QuarterlyMean,Mean,8.22
1013,516,D24HourMean,QuarterlyMean,Mean,6.04
1015,555,D24HourMean,QuarterlyMean,Mean,5.62
1004,548,D24HourMean,QuarterlyMean,Mean,9.89
1042,549,D24HourMean,QuarterlyMean,Mean,7.03
1008,527,D24HourMean,QuarterlyMean,Mean,5.45
1010,542,D24HourMean,QuarterlyMean,Mean,6.32
1039,539,D24HourMean,QuarterlyMean,Mean,6.48
1029,535,D24HourMean,QuarterlyMean,Mean,6.32
1013,519,D24HourMean,QuarterlyMean,Mean,6.34
1019,567,D24HourMean,QuarterlyMean,Mean,5.52
1027,556,D24HourMean,QuarterlyMean,Mean,6.85
1018,530,D24HourMean,QuarterlyMean,Mean,6.83
1034,559,D24HourMean,QuarterlyMean,Mean,6.68
1022,551,D24HourMean,QuarterlyMean,Mean,7.10
1036,536,D24HourMean,QuarterlyMean,Mean,6.21
1008,523,D24HourMean,QuarterlyMean,Mean,4.98
1025,557,D24HourMean,QuarterlyMean,Mean,5.93
997,554,D24HourMean,QuarterlyMean,Mean,8.56
1027,542,D24HourMean,QuarterlyMean,Mean,6.09
1040,550,D24HourMean,QuarterlyMean,Mean,6.69
