Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1043,549,2010,137.73,ALL,ALL,ALL,0TO99
1010,523,2010,1006.27,ALL,ALL,ALL,0TO99
1012,518,2010,1082.56,ALL,ALL,ALL,0TO99
1011,536,2010,4430.90,ALL,ALL,ALL,0TO99
1014,537,2010,1634.30,ALL,ALL,ALL,0TO99
1030,560,2010,1999.83,ALL,ALL,ALL,0TO99
996,538,2010,1703.52,ALL,ALL,ALL,0TO99
1003,535,2010,1320.31,ALL,ALL,ALL,0TO99
1009,528,2010,4573.80,ALL,ALL,ALL,0TO99
1041,559,2010,326.26,ALL,ALL,ALL,0TO99
1006,559,2010,9985.81,ALL,ALL,ALL,0TO99
1007,521,2010,6450.99,ALL,ALL,ALL,0TO99
1010,546,2010,2115.44,ALL,ALL,ALL,0TO99
1021,550,2010,7628.46,ALL,ALL,ALL,0TO99
1001,527,2010,172920.83,ALL,ALL,ALL,0TO99
1011,555,2010,1999.69,ALL,ALL,ALL,0TO99
1018,541,2010,116.05,ALL,ALL,ALL,0TO99
1013,522,2010,3630.32,ALL,ALL,ALL,0TO99
1017,541,2010,232.09,ALL,ALL,ALL,0TO99
1026,559,2010,819.39,ALL,ALL,ALL,0TO99
1018,533,2010,1100.19,ALL,ALL,ALL,0TO99
1015,527,2010,2166.56,ALL,ALL,ALL,0TO99
1028,549,2010,320.71,ALL,ALL,ALL,0TO99
1008,541,2010,5686.20,ALL,ALL,ALL,0TO99
1010,522,2010,743.72,ALL,ALL,ALL,0TO99
999,545,2010,4446.69,ALL,ALL,ALL,0TO99
1014,531,2010,3804.91,ALL,ALL,ALL,0TO99
1018,550,2010,128.57,ALL,ALL,ALL,0TO99
898,554,2010,1058.85,ALL,ALL,ALL,0TO99
1009,535,2010,3473.25,ALL,ALL,ALL,0TO99
1011,550,2010,3417.64,ALL,ALL,ALL,0TO99
1000,566,2010,2003.10,ALL,ALL,ALL,0TO99
1003,566,2010,1051.67,ALL,ALL,ALL,0TO99
889,555,2010,58.12,ALL,ALL,ALL,0TO99
1015,548,2010,27999.91,ALL,ALL,ALL,0TO99
1023,538,2010,598.05,ALL,ALL,ALL,0TO99
1009,547,2010,3363.10,ALL,ALL,ALL,0TO99
1003,543,2010,12664.65,ALL,ALL,ALL,0TO99
1024,547,2010,732.65,ALL,ALL,ALL,0TO99
1012,566,2010,490.74,ALL,ALL,ALL,0TO99
1014,556,2010,53653.66,ALL,ALL,ALL,0TO99
1004,543,2010,10150.27,ALL,ALL,ALL,0TO99
1007,533,2010,1119.90,ALL,ALL,ALL,0TO99
1032,538,2010,74.79,ALL,ALL,ALL,0TO99
1012,558,2010,8462.11,ALL,ALL,ALL,0TO99
1030,537,2010,75.02,ALL,ALL,ALL,0TO99
995,547,2010,15817.80,ALL,ALL,ALL,0TO99
1003,544,2010,12054.85,ALL,ALL,ALL,0TO99
1003,525,2010,24186.71,ALL,ALL,ALL,0TO99
995,537,2010,5202.03,ALL,ALL,ALL,0TO99
999,542,2010,8118.31,ALL,ALL,ALL,0TO99
1030,543,2010,74.82,ALL,ALL,ALL,0TO99
1038,558,2010,696.11,ALL,ALL,ALL,0TO99
1003,561,2010,4207.57,ALL,ALL,ALL,0TO99
1007,550,2010,14348.06,ALL,ALL,ALL,0TO99
1021,549,2010,372.58,ALL,ALL,ALL,0TO99
1013,554,2010,2504.06,ALL,ALL,ALL,0TO99
1031,547,2010,45.95,ALL,ALL,ALL,0TO99
1005,533,2010,6107.26,ALL,ALL,ALL,0TO99
1042,554,2010,125.96,ALL,ALL,ALL,0TO99
1006,555,2010,8009.19,ALL,ALL,ALL,0TO99
1009,548,2010,3656.34,ALL,ALL,ALL,0TO99
1006,562,2010,6510.63,ALL,ALL,ALL,0TO99
1021,564,2010,6838.78,ALL,ALL,ALL,0TO99
1014,538,2010,5205.52,ALL,ALL,ALL,0TO99
1001,517,2010,3649.71,ALL,ALL,ALL,0TO99
1015,530,2010,1326.15,ALL,ALL,ALL,0TO99
1000,541,2010,28846.57,ALL,ALL,ALL,0TO99
1016,543,2010,2782.72,ALL,ALL,ALL,0TO99
1028,542,2010,93.86,ALL,ALL,ALL,0TO99
1043,543,2010,30.21,ALL,ALL,ALL,0TO99
1012,536,2010,6122.56,ALL,ALL,ALL,0TO99
1029,540,2010,75.62,ALL,ALL,ALL,0TO99
1000,520,2010,3955.39,ALL,ALL,ALL,0TO99
1024,535,2010,219.17,ALL,ALL,ALL,0TO99
1009,542,2010,3379.64,ALL,ALL,ALL,0TO99
1033,550,2010,837.83,ALL,ALL,ALL,0TO99
1045,547,2010,9.61,ALL,ALL,ALL,0TO99
1009,553,2010,4103.78,ALL,ALL,ALL,0TO99
1000,549,2010,8037.74,ALL,ALL,ALL,0TO99
1022,531,2010,392.11,ALL,ALL,ALL,0TO99
1027,546,2010,45.95,ALL,ALL,ALL,0TO99
998,549,2010,8206.30,ALL,ALL,ALL,0TO99
1023,537,2010,1163.32,ALL,ALL,ALL,0TO99
1006,525,2010,2224.20,ALL,ALL,ALL,0TO99
1026,560,2010,1213.13,ALL,ALL,ALL,0TO99
1037,545,2010,45.95,ALL,ALL,ALL,0TO99
996,552,2010,11737.92,ALL,ALL,ALL,0TO99
1011,553,2010,1722.13,ALL,ALL,ALL,0TO99
1002,568,2010,7946.12,ALL,ALL,ALL,0TO99
1040,563,2010,1216.20,ALL,ALL,ALL,0TO99
1010,560,2010,2256.60,ALL,ALL,ALL,0TO99
1003,569,2010,69310.41,ALL,ALL,ALL,0TO99
1000,517,2010,3767.03,ALL,ALL,ALL,0TO99
1003,530,2010,7499.71,ALL,ALL,ALL,0TO99
1024,553,2010,646.22,ALL,ALL,ALL,0TO99
1031,548,2010,45.95,ALL,ALL,ALL,0TO99
1018,535,2010,3191.33,ALL,ALL,ALL,0TO99
1009,537,2010,8256.27,ALL,ALL,ALL,0TO99
1013,558,2010,684.08,ALL,ALL,ALL,0TO99
1017,559,2010,46490.30,ALL,ALL,ALL,0TO99
1017,530,2010,993.49,ALL,ALL,ALL,0TO99
1010,566,2010,395.48,ALL,ALL,ALL,0TO99
1025,540,2010,668.33,ALL,ALL,ALL,0TO99
1004,542,2010,11815.79,ALL,ALL,ALL,0TO99
1037,557,2010,705.17,ALL,ALL,ALL,0TO99
1003,515,2010,3519.25,ALL,ALL,ALL,0TO99
1017,549,2010,2555.60,ALL,ALL,ALL,0TO99
1025,548,2010,1127.78,ALL,ALL,ALL,0TO99
1035,544,2010,26.06,ALL,ALL,ALL,0TO99
1014,564,2010,324.04,ALL,ALL,ALL,0TO99
1001,566,2010,5768.69,ALL,ALL,ALL,0TO99
1014,554,2010,5371.51,ALL,ALL,ALL,0TO99
1001,559,2010,3035.15,ALL,ALL,ALL,0TO99
1028,544,2010,85.21,ALL,ALL,ALL,0TO99
1008,550,2010,14545.45,ALL,ALL,ALL,0TO99
1034,534,2010,67.11,ALL,ALL,ALL,0TO99
1021,539,2010,1669.18,ALL,ALL,ALL,0TO99
1037,544,2010,38.00,ALL,ALL,ALL,0TO99
1021,543,2010,2424.04,ALL,ALL,ALL,0TO99
1020,556,2010,306.82,ALL,ALL,ALL,0TO99
1034,554,2010,394.57,ALL,ALL,ALL,0TO99
1010,515,2010,345.38,ALL,ALL,ALL,0TO99
1018,547,2010,320.17,ALL,ALL,ALL,0TO99
1007,514,2010,2637.14,ALL,ALL,ALL,0TO99
1010,513,2010,360.89,ALL,ALL,ALL,0TO99
1023,540,2010,812.53,ALL,ALL,ALL,0TO99
1014,527,2010,854.26,ALL,ALL,ALL,0TO99
1011,542,2010,2697.09,ALL,ALL,ALL,0TO99
1044,550,2010,150.61,ALL,ALL,ALL,0TO99
999,553,2010,6035.87,ALL,ALL,ALL,0TO99
1037,559,2010,645.53,ALL,ALL,ALL,0TO99
998,543,2010,4931.68,ALL,ALL,ALL,0TO99
1003,552,2010,2636.23,ALL,ALL,ALL,0TO99
1019,532,2010,744.88,ALL,ALL,ALL,0TO99
997,536,2010,3153.17,ALL,ALL,ALL,0TO99
1035,556,2010,994.29,ALL,ALL,ALL,0TO99
1014,570,2010,1525.88,ALL,ALL,ALL,0TO99
996,539,2010,3117.40,ALL,ALL,ALL,0TO99
1014,524,2010,1711.22,ALL,ALL,ALL,0TO99
1026,535,2010,263.17,ALL,ALL,ALL,0TO99
1000,545,2010,4597.17,ALL,ALL,ALL,0TO99
1047,558,2010,138.26,ALL,ALL,ALL,0TO99
1025,550,2010,1941.94,ALL,ALL,ALL,0TO99
1031,553,2010,905.77,ALL,ALL,ALL,0TO99
1023,566,2010,12324.92,ALL,ALL,ALL,0TO99
1000,554,2010,3437.24,ALL,ALL,ALL,0TO99
896,546,2010,637.60,ALL,ALL,ALL,0TO99
1012,523,2010,1751.19,ALL,ALL,ALL,0TO99
1015,553,2010,4220.80,ALL,ALL,ALL,0TO99
1006,556,2010,9369.90,ALL,ALL,ALL,0TO99
1010,551,2010,3897.96,ALL,ALL,ALL,0TO99
1000,525,2010,10130.39,ALL,ALL,ALL,0TO99
1003,523,2010,8246.92,ALL,ALL,ALL,0TO99
1000,519,2010,5077.81,ALL,ALL,ALL,0TO99
1001,537,2010,50533.89,ALL,ALL,ALL,0TO99
1005,523,2010,9665.79,ALL,ALL,ALL,0TO99
1005,530,2010,1410.01,ALL,ALL,ALL,0TO99
999,558,2010,4687.89,ALL,ALL,ALL,0TO99
1008,521,2010,17273.67,ALL,ALL,ALL,0TO99
1006,527,2010,2854.66,ALL,ALL,ALL,0TO99
1040,559,2010,366.66,ALL,ALL,ALL,0TO99
