Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2087,819,D24HourMean,QuarterlyMean,Mean,55.07
2074,810,D24HourMean,QuarterlyMean,Mean,67.12
2114,867,D24HourMean,QuarterlyMean,Mean,26.79
2141,862,D24HourMean,QuarterlyMean,Mean,24.49
2107,841,D24HourMean,QuarterlyMean,Mean,34.40
2125,824,D24HourMean,QuarterlyMean,Mean,24.08
2071,849,D24HourMean,QuarterlyMean,Mean,90.57
2063,855,D24HourMean,QuarterlyMean,Mean,97.36
2143,849,D24HourMean,QuarterlyMean,Mean,18.97
2094,790,D24HourMean,QuarterlyMean,Mean,93.02
2060,858,D24HourMean,QuarterlyMean,Mean,85.43
2095,823,D24HourMean,QuarterlyMean,Mean,41.72
2100,859,D24HourMean,QuarterlyMean,Mean,28.47
2055,837,D24HourMean,QuarterlyMean,Mean,92.07
2120,811,D24HourMean,QuarterlyMean,Mean,27.66
2071,799,D24HourMean,QuarterlyMean,Mean,60.98
2096,851,D24HourMean,QuarterlyMean,Mean,29.27
2137,786,D24HourMean,QuarterlyMean,Mean,29.11
2065,832,D24HourMean,QuarterlyMean,Mean,106.92
2088,841,D24HourMean,QuarterlyMean,Mean,41.22
2119,834,D24HourMean,QuarterlyMean,Mean,24.69
2059,855,D24HourMean,QuarterlyMean,Mean,107.38
2081,796,D24HourMean,QuarterlyMean,Mean,76.69
2133,807,D24HourMean,QuarterlyMean,Mean,26.30
2055,814,D24HourMean,QuarterlyMean,Mean,46.23
2098,798,D24HourMean,QuarterlyMean,Mean,77.08
2089,790,D24HourMean,QuarterlyMean,Mean,94.08
2138,847,D24HourMean,QuarterlyMean,Mean,19.27
2128,790,D24HourMean,QuarterlyMean,Mean,35.49
2070,870,D24HourMean,QuarterlyMean,Mean,27.73
2129,868,D24HourMean,QuarterlyMean,Mean,23.11
2063,863,D24HourMean,QuarterlyMean,Mean,59.01
2118,848,D24HourMean,QuarterlyMean,Mean,25.23
2144,800,D24HourMean,QuarterlyMean,Mean,25.98
2073,799,D24HourMean,QuarterlyMean,Mean,62.11
2051,835,D24HourMean,QuarterlyMean,Mean,67.38
2077,858,D24HourMean,QuarterlyMean,Mean,47.98
2067,789,D24HourMean,QuarterlyMean,Mean,57.28
2053,809,D24HourMean,QuarterlyMean,Mean,29.99
2082,868,D24HourMean,QuarterlyMean,Mean,29.94
2114,840,D24HourMean,QuarterlyMean,Mean,28.72
2051,828,D24HourMean,QuarterlyMean,Mean,56.17
2064,868,D24HourMean,QuarterlyMean,Mean,37.14
2100,789,D24HourMean,QuarterlyMean,Mean,79.18
2093,812,D24HourMean,QuarterlyMean,Mean,58.07
2149,805,D24HourMean,QuarterlyMean,Mean,22.47
2131,835,D24HourMean,QuarterlyMean,Mean,21.91
2108,782,D24HourMean,QuarterlyMean,Mean,63.30
2065,838,D24HourMean,QuarterlyMean,Mean,106.67
2086,827,D24HourMean,QuarterlyMean,Mean,52.93
2058,866,D24HourMean,QuarterlyMean,Mean,61.59
2060,834,D24HourMean,QuarterlyMean,Mean,117.00
2063,831,D24HourMean,QuarterlyMean,Mean,112.82
2090,868,D24HourMean,QuarterlyMean,Mean,23.73
2126,860,D24HourMean,QuarterlyMean,Mean,28.55
2060,840,D24HourMean,QuarterlyMean,Mean,108.09
2061,791,D24HourMean,QuarterlyMean,Mean,41.94
2122,812,D24HourMean,QuarterlyMean,Mean,22.26
2144,858,D24HourMean,QuarterlyMean,Mean,25.56
2123,845,D24HourMean,QuarterlyMean,Mean,23.55
2074,793,D24HourMean,QuarterlyMean,Mean,67.06
2121,795,D24HourMean,QuarterlyMean,Mean,41.31
2098,828,D24HourMean,QuarterlyMean,Mean,31.74
2132,856,D24HourMean,QuarterlyMean,Mean,25.97
2097,812,D24HourMean,QuarterlyMean,Mean,57.80
2096,842,D24HourMean,QuarterlyMean,Mean,30.59
2075,810,D24HourMean,QuarterlyMean,Mean,66.77
2087,865,D24HourMean,QuarterlyMean,Mean,33.35
2141,843,D24HourMean,QuarterlyMean,Mean,17.26
2052,815,D24HourMean,QuarterlyMean,Mean,41.20
2086,801,D24HourMean,QuarterlyMean,Mean,80.82
2134,852,D24HourMean,QuarterlyMean,Mean,25.31
2146,858,D24HourMean,QuarterlyMean,Mean,24.82
2093,846,D24HourMean,QuarterlyMean,Mean,30.00
2131,799,D24HourMean,QuarterlyMean,Mean,34.34
2084,833,D24HourMean,QuarterlyMean,Mean,53.52
2089,851,D24HourMean,QuarterlyMean,Mean,32.11
2057,797,D24HourMean,QuarterlyMean,Mean,48.15
2075,814,D24HourMean,QuarterlyMean,Mean,74.60
2131,840,D24HourMean,QuarterlyMean,Mean,23.20
2053,835,D24HourMean,QuarterlyMean,Mean,73.62
2102,865,D24HourMean,QuarterlyMean,Mean,25.86
2133,789,D24HourMean,QuarterlyMean,Mean,33.44
2138,792,D24HourMean,QuarterlyMean,Mean,35.46
2107,805,D24HourMean,QuarterlyMean,Mean,65.35
2147,785,D24HourMean,QuarterlyMean,Mean,24.49
2102,868,D24HourMean,QuarterlyMean,Mean,24.73
2120,847,D24HourMean,QuarterlyMean,Mean,26.43
2127,820,D24HourMean,QuarterlyMean,Mean,28.22
2060,818,D24HourMean,QuarterlyMean,Mean,69.52
2093,834,D24HourMean,QuarterlyMean,Mean,35.15
2140,858,D24HourMean,QuarterlyMean,Mean,25.28
2122,817,D24HourMean,QuarterlyMean,Mean,24.82
2084,815,D24HourMean,QuarterlyMean,Mean,65.35
2140,798,D24HourMean,QuarterlyMean,Mean,29.69
2103,868,D24HourMean,QuarterlyMean,Mean,24.81
2083,825,D24HourMean,QuarterlyMean,Mean,57.54
2140,784,D24HourMean,QuarterlyMean,Mean,27.56
2148,784,D24HourMean,QuarterlyMean,Mean,23.50
2058,819,D24HourMean,QuarterlyMean,Mean,64.17
2054,861,D24HourMean,QuarterlyMean,Mean,152.69
2118,821,D24HourMean,QuarterlyMean,Mean,29.77
2154,796,D24HourMean,QuarterlyMean,Mean,21.64
2083,849,D24HourMean,QuarterlyMean,Mean,44.08
2099,807,D24HourMean,QuarterlyMean,Mean,56.14
2134,833,D24HourMean,QuarterlyMean,Mean,21.70
2051,792,D24HourMean,QuarterlyMean,Mean,62.38
2077,868,D24HourMean,QuarterlyMean,Mean,29.00
2055,787,D24HourMean,QuarterlyMean,Mean,56.58
2057,858,D24HourMean,QuarterlyMean,Mean,113.33
2110,818,D24HourMean,QuarterlyMean,Mean,49.36
2064,831,D24HourMean,QuarterlyMean,Mean,111.80
2140,808,D24HourMean,QuarterlyMean,Mean,22.72
2059,807,D24HourMean,QuarterlyMean,Mean,56.55
2095,840,D24HourMean,QuarterlyMean,Mean,32.23
2091,855,D24HourMean,QuarterlyMean,Mean,30.68
2072,809,D24HourMean,QuarterlyMean,Mean,65.74
2125,795,D24HourMean,QuarterlyMean,Mean,37.31
2091,809,D24HourMean,QuarterlyMean,Mean,55.91
2086,835,D24HourMean,QuarterlyMean,Mean,45.43
2079,825,D24HourMean,QuarterlyMean,Mean,67.49
2057,824,D24HourMean,QuarterlyMean,Mean,79.73
2055,789,D24HourMean,QuarterlyMean,Mean,57.08
2100,818,D24HourMean,QuarterlyMean,Mean,38.83
2119,837,D24HourMean,QuarterlyMean,Mean,26.02
2109,867,D24HourMean,QuarterlyMean,Mean,24.09
2110,852,D24HourMean,QuarterlyMean,Mean,30.78
2054,856,D24HourMean,QuarterlyMean,Mean,145.24
2102,847,D24HourMean,QuarterlyMean,Mean,28.19
2056,858,D24HourMean,QuarterlyMean,Mean,126.50
2111,838,D24HourMean,QuarterlyMean,Mean,30.20
2118,797,D24HourMean,QuarterlyMean,Mean,47.56
2075,847,D24HourMean,QuarterlyMean,Mean,77.73
2104,866,D24HourMean,QuarterlyMean,Mean,25.12
2081,793,D24HourMean,QuarterlyMean,Mean,82.97
2143,842,D24HourMean,QuarterlyMean,Mean,23.93
2139,823,D24HourMean,QuarterlyMean,Mean,21.72
2110,839,D24HourMean,QuarterlyMean,Mean,31.63
2118,860,D24HourMean,QuarterlyMean,Mean,29.92
2095,867,D24HourMean,QuarterlyMean,Mean,24.93
2070,837,D24HourMean,QuarterlyMean,Mean,94.51
2060,870,D24HourMean,QuarterlyMean,Mean,29.78
2070,785,D24HourMean,QuarterlyMean,Mean,64.34
