Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2087,819,2010,10.15,ALL,ALL,ALL,0TO99
2074,810,2010,119.27,ALL,ALL,ALL,0TO99
2114,867,2010,264025.03,ALL,ALL,ALL,0TO99
2141,862,2010,163.39,ALL,ALL,ALL,0TO99
2107,841,2010,183262.64,ALL,ALL,ALL,0TO99
2125,824,2010,0.00,ALL,ALL,ALL,0TO99
2071,849,2010,10.88,ALL,ALL,ALL,0TO99
2063,855,2010,111.74,ALL,ALL,ALL,0TO99
2143,849,2010,0.00,ALL,ALL,ALL,0TO99
2094,790,2010,71.84,ALL,ALL,ALL,0TO99
2060,858,2010,52.55,ALL,ALL,ALL,0TO99
2095,823,2010,10.11,ALL,ALL,ALL,0TO99
2100,859,2010,10.78,ALL,ALL,ALL,0TO99
2055,837,2010,11.01,ALL,ALL,ALL,0TO99
2120,811,2010,70.67,ALL,ALL,ALL,0TO99
2071,799,2010,120.31,ALL,ALL,ALL,0TO99
2096,851,2010,111.22,ALL,ALL,ALL,0TO99
2137,786,2010,0.00,ALL,ALL,ALL,0TO99
2065,832,2010,10.04,ALL,ALL,ALL,0TO99
2088,841,2010,112.29,ALL,ALL,ALL,0TO99
2119,834,2010,0.00,ALL,ALL,ALL,0TO99
2059,855,2010,111.74,ALL,ALL,ALL,0TO99
2081,796,2010,120.59,ALL,ALL,ALL,0TO99
2133,807,2010,0.00,ALL,ALL,ALL,0TO99
2055,814,2010,118.88,ALL,ALL,ALL,0TO99
2098,798,2010,71.40,ALL,ALL,ALL,0TO99
2089,790,2010,121.14,ALL,ALL,ALL,0TO99
2138,847,2010,141.63,ALL,ALL,ALL,0TO99
2128,790,2010,0.00,ALL,ALL,ALL,0TO99
2070,870,2010,419.07,ALL,ALL,ALL,0TO99
2129,868,2010,2330.14,ALL,ALL,ALL,0TO99
2063,863,2010,10.73,ALL,ALL,ALL,0TO99
2118,848,2010,0.00,ALL,ALL,ALL,0TO99
2144,800,2010,0.00,ALL,ALL,ALL,0TO99
2073,799,2010,120.31,ALL,ALL,ALL,0TO99
2051,835,2010,10.01,ALL,ALL,ALL,0TO99
2077,858,2010,10.79,ALL,ALL,ALL,0TO99
2067,789,2010,121.23,ALL,ALL,ALL,0TO99
2053,809,2010,119.37,ALL,ALL,ALL,0TO99
2082,868,2010,731.35,ALL,ALL,ALL,0TO99
2114,840,2010,0.00,ALL,ALL,ALL,0TO99
2051,828,2010,10.07,ALL,ALL,ALL,0TO99
2064,868,2010,178.28,ALL,ALL,ALL,0TO99
2100,789,2010,71.89,ALL,ALL,ALL,0TO99
2093,812,2010,81.00,ALL,ALL,ALL,0TO99
2149,805,2010,43.67,ALL,ALL,ALL,0TO99
2131,835,2010,21.98,ALL,ALL,ALL,0TO99
2108,782,2010,72.26,ALL,ALL,ALL,0TO99
2065,838,2010,11.00,ALL,ALL,ALL,0TO99
2086,827,2010,10.08,ALL,ALL,ALL,0TO99
2058,866,2010,10.70,ALL,ALL,ALL,0TO99
2060,834,2010,10.02,ALL,ALL,ALL,0TO99
2063,831,2010,10.04,ALL,ALL,ALL,0TO99
2090,868,2010,114.22,ALL,ALL,ALL,0TO99
2126,860,2010,4246.04,ALL,ALL,ALL,0TO99
2060,840,2010,10.98,ALL,ALL,ALL,0TO99
2061,791,2010,121.05,ALL,ALL,ALL,0TO99
2122,812,2010,70.62,ALL,ALL,ALL,0TO99
2144,858,2010,157.91,ALL,ALL,ALL,0TO99
2123,845,2010,0.00,ALL,ALL,ALL,0TO99
2074,793,2010,120.87,ALL,ALL,ALL,0TO99
2121,795,2010,71.57,ALL,ALL,ALL,0TO99
2098,828,2010,10.07,ALL,ALL,ALL,0TO99
2132,856,2010,251.25,ALL,ALL,ALL,0TO99
2097,812,2010,70.62,ALL,ALL,ALL,0TO99
2096,842,2010,12.56,ALL,ALL,ALL,0TO99
2075,810,2010,119.27,ALL,ALL,ALL,0TO99
2087,865,2010,378.73,ALL,ALL,ALL,0TO99
2141,843,2010,0.00,ALL,ALL,ALL,0TO99
2052,815,2010,118.78,ALL,ALL,ALL,0TO99
2086,801,2010,120.47,ALL,ALL,ALL,0TO99
2134,852,2010,277.28,ALL,ALL,ALL,0TO99
2146,858,2010,157.91,ALL,ALL,ALL,0TO99
2093,846,2010,111.76,ALL,ALL,ALL,0TO99
2131,799,2010,0.00,ALL,ALL,ALL,0TO99
2084,833,2010,10.03,ALL,ALL,ALL,0TO99
2089,851,2010,10.86,ALL,ALL,ALL,0TO99
2057,797,2010,120.50,ALL,ALL,ALL,0TO99
2075,814,2010,118.88,ALL,ALL,ALL,0TO99
2131,840,2010,853.80,ALL,ALL,ALL,0TO99
2053,835,2010,10.01,ALL,ALL,ALL,0TO99
2102,865,2010,580.76,ALL,ALL,ALL,0TO99
2133,789,2010,0.00,ALL,ALL,ALL,0TO99
2138,792,2010,0.00,ALL,ALL,ALL,0TO99
2107,805,2010,71.02,ALL,ALL,ALL,0TO99
2147,785,2010,0.00,ALL,ALL,ALL,0TO99
2102,868,2010,30063.03,ALL,ALL,ALL,0TO99
2120,847,2010,0.00,ALL,ALL,ALL,0TO99
2127,820,2010,70.21,ALL,ALL,ALL,0TO99
2060,818,2010,10.16,ALL,ALL,ALL,0TO99
2093,834,2010,10.02,ALL,ALL,ALL,0TO99
