Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2188,720,2010,6584.49,ALL,ALL,ALL,0TO99
2184,715,2010,7121.79,ALL,ALL,ALL,0TO99
2172,712,2010,1887.70,ALL,ALL,ALL,0TO99
2200,705,2010,5674.77,ALL,ALL,ALL,0TO99
2179,726,2010,1118.99,ALL,ALL,ALL,0TO99
2177,708,2010,4186.06,ALL,ALL,ALL,0TO99
2211,701,2010,1167.28,ALL,ALL,ALL,0TO99
2192,716,2010,6025.91,ALL,ALL,ALL,0TO99
2176,722,2010,1801.27,ALL,ALL,ALL,0TO99
2167,703,2010,1958.17,ALL,ALL,ALL,0TO99
2173,711,2010,2065.98,ALL,ALL,ALL,0TO99
2186,715,2010,9714.43,ALL,ALL,ALL,0TO99
2187,713,2010,49565.79,ALL,ALL,ALL,0TO99
2171,718,2010,764.50,ALL,ALL,ALL,0TO99
2228,687,2010,1135.09,ALL,ALL,ALL,0TO99
2212,703,2010,1166.24,ALL,ALL,ALL,0TO99
2174,715,2010,765.62,ALL,ALL,ALL,0TO99
2174,726,2010,1118.99,ALL,ALL,ALL,0TO99
2187,735,2010,3749.07,ALL,ALL,ALL,0TO99
2170,720,2010,763.73,ALL,ALL,ALL,0TO99
2227,690,2010,842.28,ALL,ALL,ALL,0TO99
2214,698,2010,997.91,ALL,ALL,ALL,0TO99
2178,723,2010,1777.27,ALL,ALL,ALL,0TO99
2220,692,2010,1014.95,ALL,ALL,ALL,0TO99
2189,717,2010,9780.75,ALL,ALL,ALL,0TO99
2184,733,2010,3753.21,ALL,ALL,ALL,0TO99
2211,702,2010,1166.76,ALL,ALL,ALL,0TO99
2172,710,2010,1951.18,ALL,ALL,ALL,0TO99
2223,692,2010,1014.95,ALL,ALL,ALL,0TO99
2174,705,2010,2086.81,ALL,ALL,ALL,0TO99
2217,699,2010,812.76,ALL,ALL,ALL,0TO99
2171,723,2010,893.46,ALL,ALL,ALL,0TO99
2183,713,2010,6622.45,ALL,ALL,ALL,0TO99
2173,708,2010,2140.86,ALL,ALL,ALL,0TO99
2186,714,2010,23198.54,ALL,ALL,ALL,0TO99
2185,722,2010,3764.26,ALL,ALL,ALL,0TO99
2216,696,2010,998.77,ALL,ALL,ALL,0TO99
2216,699,2010,997.50,ALL,ALL,ALL,0TO99
2184,705,2010,9191.99,ALL,ALL,ALL,0TO99
2188,715,2010,35278.44,ALL,ALL,ALL,0TO99
2227,688,2010,1134.63,ALL,ALL,ALL,0TO99
2176,720,2010,1803.07,ALL,ALL,ALL,0TO99
2180,720,2010,2303.26,ALL,ALL,ALL,0TO99
2215,697,2010,998.35,ALL,ALL,ALL,0TO99
2182,727,2010,1780.74,ALL,ALL,ALL,0TO99
2186,713,2010,42478.44,ALL,ALL,ALL,0TO99
2169,720,2010,2576.18,ALL,ALL,ALL,0TO99
2201,707,2010,2531.98,ALL,ALL,ALL,0TO99
2222,695,2010,954.60,ALL,ALL,ALL,0TO99
2166,703,2010,1966.51,ALL,ALL,ALL,0TO99
2223,691,2010,1015.37,ALL,ALL,ALL,0TO99
2186,726,2010,3767.30,ALL,ALL,ALL,0TO99
2228,684,2010,1086.08,ALL,ALL,ALL,0TO99
2179,729,2010,1117.23,ALL,ALL,ALL,0TO99
2215,696,2010,998.77,ALL,ALL,ALL,0TO99
2170,715,2010,842.64,ALL,ALL,ALL,0TO99
2195,707,2010,5978.29,ALL,ALL,ALL,0TO99
2192,726,2010,1535.32,ALL,ALL,ALL,0TO99
2176,725,2010,1119.56,ALL,ALL,ALL,0TO99
2181,724,2010,9866.49,ALL,ALL,ALL,0TO99
2171,708,2010,1953.01,ALL,ALL,ALL,0TO99
2181,731,2010,3757.32,ALL,ALL,ALL,0TO99
2200,712,2010,1018.83,ALL,ALL,ALL,0TO99
2175,710,2010,5548.46,ALL,ALL,ALL,0TO99
2184,712,2010,6625.65,ALL,ALL,ALL,0TO99
2180,721,2010,10136.70,ALL,ALL,ALL,0TO99
2175,721,2010,1780.72,ALL,ALL,ALL,0TO99
2179,713,2010,1809.29,ALL,ALL,ALL,0TO99
2175,717,2010,931.35,ALL,ALL,ALL,0TO99
2212,700,2010,1097.24,ALL,ALL,ALL,0TO99
2189,729,2010,3761.37,ALL,ALL,ALL,0TO99
2185,711,2010,23894.75,ALL,ALL,ALL,0TO99
2194,706,2010,5672.27,ALL,ALL,ALL,0TO99
2177,719,2010,1804.02,ALL,ALL,ALL,0TO99
2213,703,2010,1166.24,ALL,ALL,ALL,0TO99
2187,707,2010,5327.77,ALL,ALL,ALL,0TO99
2226,691,2010,805.19,ALL,ALL,ALL,0TO99
2174,724,2010,1085.50,ALL,ALL,ALL,0TO99
2176,707,2010,4068.47,ALL,ALL,ALL,0TO99
2191,720,2010,6049.42,ALL,ALL,ALL,0TO99
2209,701,2010,1751.54,ALL,ALL,ALL,0TO99
2185,710,2010,10990.92,ALL,ALL,ALL,0TO99
2186,706,2010,9667.61,ALL,ALL,ALL,0TO99
2190,715,2010,35178.24,ALL,ALL,ALL,0TO99
2189,714,2010,49843.57,ALL,ALL,ALL,0TO99
2178,732,2010,1115.42,ALL,ALL,ALL,0TO99
2176,705,2010,3702.48,ALL,ALL,ALL,0TO99
2181,709,2010,9942.34,ALL,ALL,ALL,0TO99
2212,704,2010,1165.73,ALL,ALL,ALL,0TO99
2195,708,2010,11179.14,ALL,ALL,ALL,0TO99
2185,738,2010,3288.58,ALL,ALL,ALL,0TO99
2194,705,2010,5674.77,ALL,ALL,ALL,0TO99
2229,686,2010,1090.14,ALL,ALL,ALL,0TO99
2170,717,2010,764.88,ALL,ALL,ALL,0TO99
2171,720,2010,763.73,ALL,ALL,ALL,0TO99
2193,711,2010,30526.91,ALL,ALL,ALL,0TO99
2192,717,2010,6003.22,ALL,ALL,ALL,0TO99
2209,702,2010,1166.76,ALL,ALL,ALL,0TO99
2190,716,2010,11644.19,ALL,ALL,ALL,0TO99
2227,685,2010,1135.97,ALL,ALL,ALL,0TO99
2181,732,2010,3755.28,ALL,ALL,ALL,0TO99
2194,707,2010,6131.60,ALL,ALL,ALL,0TO99
2190,727,2010,3765.31,ALL,ALL,ALL,0TO99
2171,722,2010,762.96,ALL,ALL,ALL,0TO99
2187,724,2010,3760.45,ALL,ALL,ALL,0TO99
2177,726,2010,1118.99,ALL,ALL,ALL,0TO99
2183,722,2010,9126.02,ALL,ALL,ALL,0TO99
2181,734,2010,3698.12,ALL,ALL,ALL,0TO99
2172,706,2010,2032.18,ALL,ALL,ALL,0TO99
2191,727,2010,3662.51,ALL,ALL,ALL,0TO99
2168,717,2010,2099.34,ALL,ALL,ALL,0TO99
2171,727,2010,1258.79,ALL,ALL,ALL,0TO99
2182,711,2010,6435.89,ALL,ALL,ALL,0TO99
2187,731,2010,3757.32,ALL,ALL,ALL,0TO99
2215,701,2010,998.64,ALL,ALL,ALL,0TO99
2179,728,2010,1117.81,ALL,ALL,ALL,0TO99
2191,711,2010,42268.66,ALL,ALL,ALL,0TO99
2169,717,2010,774.26,ALL,ALL,ALL,0TO99
2182,718,2010,1898.90,ALL,ALL,ALL,0TO99
2185,727,2010,3765.31,ALL,ALL,ALL,0TO99
2169,708,2010,2032.28,ALL,ALL,ALL,0TO99
2186,718,2010,10676.68,ALL,ALL,ALL,0TO99
2175,719,2010,1695.85,ALL,ALL,ALL,0TO99
2183,732,2010,3755.28,ALL,ALL,ALL,0TO99
2213,702,2010,1166.63,ALL,ALL,ALL,0TO99
2224,686,2010,1127.40,ALL,ALL,ALL,0TO99
2168,714,2010,1947.50,ALL,ALL,ALL,0TO99
2187,712,2010,49644.63,ALL,ALL,ALL,0TO99
2211,704,2010,1165.73,ALL,ALL,ALL,0TO99
2187,709,2010,22175.79,ALL,ALL,ALL,0TO99
2166,708,2010,2042.57,ALL,ALL,ALL,0TO99
2187,734,2010,3751.22,ALL,ALL,ALL,0TO99
2219,694,2010,1014.12,ALL,ALL,ALL,0TO99
2206,704,2010,1022.62,ALL,ALL,ALL,0TO99
2223,695,2010,725.50,ALL,ALL,ALL,0TO99
2176,714,2010,1808.45,ALL,ALL,ALL,0TO99
2181,707,2010,9175.42,ALL,ALL,ALL,0TO99
2190,720,2010,6148.14,ALL,ALL,ALL,0TO99
2185,719,2010,11388.28,ALL,ALL,ALL,0TO99
2227,689,2010,1134.19,ALL,ALL,ALL,0TO99
2186,711,2010,47870.30,ALL,ALL,ALL,0TO99
2188,710,2010,47306.45,ALL,ALL,ALL,0TO99
2180,725,2010,1119.56,ALL,ALL,ALL,0TO99
2189,708,2010,2707.23,ALL,ALL,ALL,0TO99
2171,710,2010,1951.18,ALL,ALL,ALL,0TO99
2177,706,2010,3700.84,ALL,ALL,ALL,0TO99
2172,717,2010,764.88,ALL,ALL,ALL,0TO99
2205,706,2010,1021.69,ALL,ALL,ALL,0TO99
2170,723,2010,2746.18,ALL,ALL,ALL,0TO99
2183,720,2010,13882.80,ALL,ALL,ALL,0TO99
2187,727,2010,3765.31,ALL,ALL,ALL,0TO99
2211,705,2010,1165.18,ALL,ALL,ALL,0TO99
2186,707,2010,6075.67,ALL,ALL,ALL,0TO99
2189,713,2010,49812.10,ALL,ALL,ALL,0TO99
2176,704,2010,3704.21,ALL,ALL,ALL,0TO99
2184,723,2010,3765.40,ALL,ALL,ALL,0TO99
2193,716,2010,6084.70,ALL,ALL,ALL,0TO99
2195,706,2010,5672.27,ALL,ALL,ALL,0TO99
2202,706,2010,1528.50,ALL,ALL,ALL,0TO99
2169,712,2010,1949.35,ALL,ALL,ALL,0TO99
2178,721,2010,1802.19,ALL,ALL,ALL,0TO99
2179,717,2010,1805.79,ALL,ALL,ALL,0TO99
2186,729,2010,3761.37,ALL,ALL,ALL,0TO99
2224,692,2010,764.80,ALL,ALL,ALL,0TO99
2184,725,2010,3769.20,ALL,ALL,ALL,0TO99
2180,728,2010,1117.81,ALL,ALL,ALL,0TO99
2169,716,2010,1137.65,ALL,ALL,ALL,0TO99
2178,706,2010,3785.89,ALL,ALL,ALL,0TO99
2201,708,2010,1020.74,ALL,ALL,ALL,0TO99
2176,717,2010,1805.79,ALL,ALL,ALL,0TO99
2194,713,2010,4370.09,ALL,ALL,ALL,0TO99
2171,728,2010,1503.17,ALL,ALL,ALL,0TO99
2223,689,2010,1016.20,ALL,ALL,ALL,0TO99
2180,718,2010,1804.88,ALL,ALL,ALL,0TO99
2190,731,2010,3488.00,ALL,ALL,ALL,0TO99
2182,722,2010,14199.64,ALL,ALL,ALL,0TO99
2185,714,2010,6619.38,ALL,ALL,ALL,0TO99
2175,730,2010,1185.87,ALL,ALL,ALL,0TO99
2178,720,2010,1803.07,ALL,ALL,ALL,0TO99
2183,707,2010,10262.33,ALL,ALL,ALL,0TO99
2168,713,2010,1948.41,ALL,ALL,ALL,0TO99
2177,725,2010,1119.56,ALL,ALL,ALL,0TO99
