Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1690,828,D24HourMean,QuarterlyMean,Mean,88.84
1654,788,D24HourMean,QuarterlyMean,Mean,88.04
1667,781,D24HourMean,QuarterlyMean,Mean,122.75
1637,785,D24HourMean,QuarterlyMean,Mean,63.22
1642,786,D24HourMean,QuarterlyMean,Mean,60.34
1668,825,D24HourMean,QuarterlyMean,Mean,48.11
1703,835,D24HourMean,QuarterlyMean,Mean,67.37
1664,789,D24HourMean,QuarterlyMean,Mean,102.66
1664,802,D24HourMean,QuarterlyMean,Mean,88.92
1691,836,D24HourMean,QuarterlyMean,Mean,54.89
1645,778,D24HourMean,QuarterlyMean,Mean,78.45
1648,793,D24HourMean,QuarterlyMean,Mean,74.93
1673,830,D24HourMean,QuarterlyMean,Mean,50.09
1642,795,D24HourMean,QuarterlyMean,Mean,53.86
1656,780,D24HourMean,QuarterlyMean,Mean,101.98
1644,790,D24HourMean,QuarterlyMean,Mean,62.91
1671,830,D24HourMean,QuarterlyMean,Mean,52.68
1679,812,D24HourMean,QuarterlyMean,Mean,126.82
1671,793,D24HourMean,QuarterlyMean,Mean,110.35
1673,814,D24HourMean,QuarterlyMean,Mean,85.10
1644,795,D24HourMean,QuarterlyMean,Mean,60.92
1682,831,D24HourMean,QuarterlyMean,Mean,60.16
1666,792,D24HourMean,QuarterlyMean,Mean,104.30
1667,773,D24HourMean,QuarterlyMean,Mean,124.50
1674,818,D24HourMean,QuarterlyMean,Mean,76.25
1696,831,D24HourMean,QuarterlyMean,Mean,90.70
1655,804,D24HourMean,QuarterlyMean,Mean,71.29
1695,831,D24HourMean,QuarterlyMean,Mean,87.06
1694,825,D24HourMean,QuarterlyMean,Mean,124.27
1659,774,D24HourMean,QuarterlyMean,Mean,110.58
1665,784,D24HourMean,QuarterlyMean,Mean,115.17
1654,814,D24HourMean,QuarterlyMean,Mean,51.42
1633,778,D24HourMean,QuarterlyMean,Mean,68.96
1666,791,D24HourMean,QuarterlyMean,Mean,106.89
1694,823,D24HourMean,QuarterlyMean,Mean,142.93
1644,794,D24HourMean,QuarterlyMean,Mean,63.34
1665,817,D24HourMean,QuarterlyMean,Mean,57.95
1677,829,D24HourMean,QuarterlyMean,Mean,57.69
1643,782,D24HourMean,QuarterlyMean,Mean,72.99
1672,801,D24HourMean,QuarterlyMean,Mean,99.28
1702,830,D24HourMean,QuarterlyMean,Mean,97.42
1659,804,D24HourMean,QuarterlyMean,Mean,82.65
1686,823,D24HourMean,QuarterlyMean,Mean,117.67
1649,781,D24HourMean,QuarterlyMean,Mean,88.11
1668,796,D24HourMean,QuarterlyMean,Mean,99.76
1674,814,D24HourMean,QuarterlyMean,Mean,90.11
1683,830,D24HourMean,QuarterlyMean,Mean,79.25
1656,806,D24HourMean,QuarterlyMean,Mean,72.08
1662,804,D24HourMean,QuarterlyMean,Mean,84.34
1694,826,D24HourMean,QuarterlyMean,Mean,117.34
1664,780,D24HourMean,QuarterlyMean,Mean,115.03
1666,777,D24HourMean,QuarterlyMean,Mean,120.60
1670,808,D24HourMean,QuarterlyMean,Mean,81.23
1659,809,D24HourMean,QuarterlyMean,Mean,69.16
1680,814,D24HourMean,QuarterlyMean,Mean,125.28
1680,819,D24HourMean,QuarterlyMean,Mean,103.82
1650,789,D24HourMean,QuarterlyMean,Mean,76.60
1639,781,D24HourMean,QuarterlyMean,Mean,68.68
1680,809,D24HourMean,QuarterlyMean,Mean,126.84
1698,834,D24HourMean,QuarterlyMean,Mean,77.70
1660,795,D24HourMean,QuarterlyMean,Mean,91.26
1664,793,D24HourMean,QuarterlyMean,Mean,97.76
1667,829,D24HourMean,QuarterlyMean,Mean,36.64
1680,825,D24HourMean,QuarterlyMean,Mean,87.06
1650,785,D24HourMean,QuarterlyMean,Mean,82.64
1665,808,D24HourMean,QuarterlyMean,Mean,81.39
1695,823,D24HourMean,QuarterlyMean,Mean,148.87
1667,776,D24HourMean,QuarterlyMean,Mean,122.61
1703,825,D24HourMean,QuarterlyMean,Mean,145.14
1652,776,D24HourMean,QuarterlyMean,Mean,91.41
1684,821,D24HourMean,QuarterlyMean,Mean,115.86
1694,831,D24HourMean,QuarterlyMean,Mean,82.96
1653,775,D24HourMean,QuarterlyMean,Mean,94.12
1647,778,D24HourMean,QuarterlyMean,Mean,82.98
