Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1818,972,D24HourMean,QuarterlyMean,Mean,11.95
1735,992,D24HourMean,QuarterlyMean,Mean,6.98
1767,981,D24HourMean,QuarterlyMean,Mean,10.14
1774,975,D24HourMean,QuarterlyMean,Mean,11.44
1826,978,D24HourMean,QuarterlyMean,Mean,10.86
1737,982,D24HourMean,QuarterlyMean,Mean,8.55
1798,974,D24HourMean,QuarterlyMean,Mean,19.21
1748,985,D24HourMean,QuarterlyMean,Mean,11.66
1781,932,D24HourMean,QuarterlyMean,Mean,14.64
1753,929,D24HourMean,QuarterlyMean,Mean,11.02
1765,945,D24HourMean,QuarterlyMean,Mean,12.42
1769,945,D24HourMean,QuarterlyMean,Mean,12.18
1726,992,D24HourMean,QuarterlyMean,Mean,7.59
1751,947,D24HourMean,QuarterlyMean,Mean,11.76
1772,931,D24HourMean,QuarterlyMean,Mean,11.59
1768,985,D24HourMean,QuarterlyMean,Mean,11.85
1814,982,D24HourMean,QuarterlyMean,Mean,10.55
1794,957,D24HourMean,QuarterlyMean,Mean,10.73
1765,959,D24HourMean,QuarterlyMean,Mean,14.11
1780,959,D24HourMean,QuarterlyMean,Mean,10.80
1748,974,D24HourMean,QuarterlyMean,Mean,15.00
1768,932,D24HourMean,QuarterlyMean,Mean,12.52
1760,936,D24HourMean,QuarterlyMean,Mean,13.06
1783,975,D24HourMean,QuarterlyMean,Mean,11.40
1766,966,D24HourMean,QuarterlyMean,Mean,13.25
1799,963,D24HourMean,QuarterlyMean,Mean,11.57
1741,945,D24HourMean,QuarterlyMean,Mean,11.50
1764,975,D24HourMean,QuarterlyMean,Mean,12.07
1742,927,D24HourMean,QuarterlyMean,Mean,11.84
1759,944,D24HourMean,QuarterlyMean,Mean,10.97
1784,970,D24HourMean,QuarterlyMean,Mean,10.21
1798,949,D24HourMean,QuarterlyMean,Mean,10.96
1740,933,D24HourMean,QuarterlyMean,Mean,12.19
1757,947,D24HourMean,QuarterlyMean,Mean,12.45
1775,957,D24HourMean,QuarterlyMean,Mean,15.13
1788,974,D24HourMean,QuarterlyMean,Mean,12.26
1809,972,D24HourMean,QuarterlyMean,Mean,11.64
1745,956,D24HourMean,QuarterlyMean,Mean,10.12
1749,930,D24HourMean,QuarterlyMean,Mean,12.19
1757,952,D24HourMean,QuarterlyMean,Mean,11.80
1764,928,D24HourMean,QuarterlyMean,Mean,13.19
1759,931,D24HourMean,QuarterlyMean,Mean,11.33
1829,980,D24HourMean,QuarterlyMean,Mean,11.24
1748,978,D24HourMean,QuarterlyMean,Mean,14.31
1748,942,D24HourMean,QuarterlyMean,Mean,12.47
1782,979,D24HourMean,QuarterlyMean,Mean,13.83
1822,975,D24HourMean,QuarterlyMean,Mean,12.04
1772,943,D24HourMean,QuarterlyMean,Mean,11.41
1778,952,D24HourMean,QuarterlyMean,Mean,12.12
1783,985,D24HourMean,QuarterlyMean,Mean,12.17
1743,965,D24HourMean,QuarterlyMean,Mean,10.95
1813,979,D24HourMean,QuarterlyMean,Mean,11.45
1732,931,D24HourMean,QuarterlyMean,Mean,16.08
1734,947,D24HourMean,QuarterlyMean,Mean,11.88
1755,992,D24HourMean,QuarterlyMean,Mean,10.23
1758,941,D24HourMean,QuarterlyMean,Mean,12.97
1735,943,D24HourMean,QuarterlyMean,Mean,9.56
1746,929,D24HourMean,QuarterlyMean,Mean,10.44
1750,944,D24HourMean,QuarterlyMean,Mean,12.17
1739,986,D24HourMean,QuarterlyMean,Mean,8.36
1769,951,D24HourMean,QuarterlyMean,Mean,14.65
1768,992,D24HourMean,QuarterlyMean,Mean,10.46
1730,980,D24HourMean,QuarterlyMean,Mean,8.76
1728,956,D24HourMean,QuarterlyMean,Mean,9.90
1758,946,D24HourMean,QuarterlyMean,Mean,12.72
1754,933,D24HourMean,QuarterlyMean,Mean,13.58
1788,976,D24HourMean,QuarterlyMean,Mean,13.33
1749,924,D24HourMean,QuarterlyMean,Mean,11.64
1758,942,D24HourMean,QuarterlyMean,Mean,11.83
1800,962,D24HourMean,QuarterlyMean,Mean,12.12
1746,984,D24HourMean,QuarterlyMean,Mean,12.44
1737,981,D24HourMean,QuarterlyMean,Mean,8.71
1757,943,D24HourMean,QuarterlyMean,Mean,11.05
1803,962,D24HourMean,QuarterlyMean,Mean,11.82
1758,991,D24HourMean,QuarterlyMean,Mean,8.95
1795,975,D24HourMean,QuarterlyMean,Mean,14.10
1745,982,D24HourMean,QuarterlyMean,Mean,11.26
1745,952,D24HourMean,QuarterlyMean,Mean,11.56
1762,975,D24HourMean,QuarterlyMean,Mean,12.55
1793,979,D24HourMean,QuarterlyMean,Mean,12.80
1766,989,D24HourMean,QuarterlyMean,Mean,10.65
1738,981,D24HourMean,QuarterlyMean,Mean,8.84
1773,970,D24HourMean,QuarterlyMean,Mean,10.76
1773,949,D24HourMean,QuarterlyMean,Mean,12.97
1795,969,D24HourMean,QuarterlyMean,Mean,11.62
1741,987,D24HourMean,QuarterlyMean,Mean,8.40
1734,946,D24HourMean,QuarterlyMean,Mean,10.63
1771,978,D24HourMean,QuarterlyMean,Mean,10.25
1777,985,D24HourMean,QuarterlyMean,Mean,11.85
1720,979,D24HourMean,QuarterlyMean,Mean,7.61
1767,956,D24HourMean,QuarterlyMean,Mean,15.33
1768,976,D24HourMean,QuarterlyMean,Mean,11.41
1798,951,D24HourMean,QuarterlyMean,Mean,11.94
1770,984,D24HourMean,QuarterlyMean,Mean,10.75
1781,959,D24HourMean,QuarterlyMean,Mean,10.05
1813,972,D24HourMean,QuarterlyMean,Mean,12.20
1747,962,D24HourMean,QuarterlyMean,Mean,12.40
1783,983,D24HourMean,QuarterlyMean,Mean,12.79
