Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1818,972,2010,49610.95,ALL,ALL,ALL,0TO99
1735,992,2010,1428.22,ALL,ALL,ALL,0TO99
1767,981,2010,151.68,ALL,ALL,ALL,0TO99
1774,975,2010,703.01,ALL,ALL,ALL,0TO99
1826,978,2010,6052.70,ALL,ALL,ALL,0TO99
1737,982,2010,202.06,ALL,ALL,ALL,0TO99
1798,974,2010,577.68,ALL,ALL,ALL,0TO99
1748,985,2010,883.10,ALL,ALL,ALL,0TO99
1781,932,2010,3691.30,ALL,ALL,ALL,0TO99
1753,929,2010,5269.15,ALL,ALL,ALL,0TO99
1765,945,2010,771.14,ALL,ALL,ALL,0TO99
1769,945,2010,364.26,ALL,ALL,ALL,0TO99
1726,992,2010,2408.90,ALL,ALL,ALL,0TO99
1751,947,2010,979.94,ALL,ALL,ALL,0TO99
1772,931,2010,1826.20,ALL,ALL,ALL,0TO99
1768,985,2010,2362.12,ALL,ALL,ALL,0TO99
1814,982,2010,829.26,ALL,ALL,ALL,0TO99
1794,957,2010,4731.78,ALL,ALL,ALL,0TO99
1765,959,2010,3743.31,ALL,ALL,ALL,0TO99
1780,959,2010,719.81,ALL,ALL,ALL,0TO99
1748,974,2010,843.51,ALL,ALL,ALL,0TO99
1768,932,2010,1907.85,ALL,ALL,ALL,0TO99
1760,936,2010,6182.98,ALL,ALL,ALL,0TO99
1783,975,2010,633.31,ALL,ALL,ALL,0TO99
1766,966,2010,7528.47,ALL,ALL,ALL,0TO99
1799,963,2010,976.65,ALL,ALL,ALL,0TO99
1741,945,2010,846.85,ALL,ALL,ALL,0TO99
1764,975,2010,697.61,ALL,ALL,ALL,0TO99
1742,927,2010,5099.55,ALL,ALL,ALL,0TO99
1759,944,2010,425.75,ALL,ALL,ALL,0TO99
1784,970,2010,218.61,ALL,ALL,ALL,0TO99
1798,949,2010,37958.82,ALL,ALL,ALL,0TO99
1740,933,2010,190288.83,ALL,ALL,ALL,0TO99
1757,947,2010,511.12,ALL,ALL,ALL,0TO99
1775,957,2010,399.18,ALL,ALL,ALL,0TO99
1788,974,2010,1734.90,ALL,ALL,ALL,0TO99
1809,972,2010,1125.78,ALL,ALL,ALL,0TO99
1745,956,2010,565.65,ALL,ALL,ALL,0TO99
1749,930,2010,4118.48,ALL,ALL,ALL,0TO99
1757,952,2010,557.59,ALL,ALL,ALL,0TO99
1764,928,2010,2572.80,ALL,ALL,ALL,0TO99
1759,931,2010,4386.02,ALL,ALL,ALL,0TO99
1829,980,2010,23504.22,ALL,ALL,ALL,0TO99
1748,978,2010,553.75,ALL,ALL,ALL,0TO99
1748,942,2010,4399.04,ALL,ALL,ALL,0TO99
1782,979,2010,2935.82,ALL,ALL,ALL,0TO99
1822,975,2010,203926.50,ALL,ALL,ALL,0TO99
1772,943,2010,2687.00,ALL,ALL,ALL,0TO99
1778,952,2010,1866.56,ALL,ALL,ALL,0TO99
1783,985,2010,5219.41,ALL,ALL,ALL,0TO99
1743,965,2010,1958.62,ALL,ALL,ALL,0TO99
1813,979,2010,457.87,ALL,ALL,ALL,0TO99
1732,931,2010,6149.05,ALL,ALL,ALL,0TO99
1734,947,2010,5225.34,ALL,ALL,ALL,0TO99
1755,992,2010,723.46,ALL,ALL,ALL,0TO99
1758,941,2010,1371.86,ALL,ALL,ALL,0TO99
1735,943,2010,1644.15,ALL,ALL,ALL,0TO99
1746,929,2010,5052.98,ALL,ALL,ALL,0TO99
1750,944,2010,1578.20,ALL,ALL,ALL,0TO99
1739,986,2010,408.34,ALL,ALL,ALL,0TO99
1769,951,2010,2176.15,ALL,ALL,ALL,0TO99
1768,992,2010,3475.53,ALL,ALL,ALL,0TO99
1730,980,2010,1013.80,ALL,ALL,ALL,0TO99
