Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2030,1144,D24HourMean,QuarterlyMean,Mean,5.72
2064,1145,D24HourMean,QuarterlyMean,Mean,6.13
2075,1141,D24HourMean,QuarterlyMean,Mean,6.56
2060,1152,D24HourMean,QuarterlyMean,Mean,6.20
2075,1142,D24HourMean,QuarterlyMean,Mean,6.51
2050,1152,D24HourMean,QuarterlyMean,Mean,6.11
2062,1152,D24HourMean,QuarterlyMean,Mean,6.08
2065,1140,D24HourMean,QuarterlyMean,Mean,6.21
2061,1150,D24HourMean,QuarterlyMean,Mean,6.39
2067,1138,D24HourMean,QuarterlyMean,Mean,6.37
2040,1149,D24HourMean,QuarterlyMean,Mean,5.87
2034,1145,D24HourMean,QuarterlyMean,Mean,5.88
2062,1140,D24HourMean,QuarterlyMean,Mean,6.37
2051,1142,D24HourMean,QuarterlyMean,Mean,6.95
2072,1142,D24HourMean,QuarterlyMean,Mean,6.14
2069,1143,D24HourMean,QuarterlyMean,Mean,6.01
2020,1144,D24HourMean,QuarterlyMean,Mean,5.64
2057,1150,D24HourMean,QuarterlyMean,Mean,5.94
2057,1145,D24HourMean,QuarterlyMean,Mean,6.55
2027,1149,D24HourMean,QuarterlyMean,Mean,6.18
2022,1143,D24HourMean,QuarterlyMean,Mean,5.31
2041,1153,D24HourMean,QuarterlyMean,Mean,5.38
2077,1139,D24HourMean,QuarterlyMean,Mean,7.02
2063,1154,D24HourMean,QuarterlyMean,Mean,6.06
2037,1145,D24HourMean,QuarterlyMean,Mean,6.47
2054,1141,D24HourMean,QuarterlyMean,Mean,6.84
2070,1137,D24HourMean,QuarterlyMean,Mean,6.17
2063,1136,D24HourMean,QuarterlyMean,Mean,6.72
2042,1143,D24HourMean,QuarterlyMean,Mean,6.58
2042,1151,D24HourMean,QuarterlyMean,Mean,5.49
2057,1142,D24HourMean,QuarterlyMean,Mean,6.73
2079,1153,D24HourMean,QuarterlyMean,Mean,6.39
2063,1147,D24HourMean,QuarterlyMean,Mean,6.30
2031,1145,D24HourMean,QuarterlyMean,Mean,5.65
2074,1145,D24HourMean,QuarterlyMean,Mean,6.35
2038,1149,D24HourMean,QuarterlyMean,Mean,5.68
2074,1146,D24HourMean,QuarterlyMean,Mean,6.02
2051,1146,D24HourMean,QuarterlyMean,Mean,6.66
