Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2030,1144,2010,470.43,ALL,ALL,ALL,0TO99
2064,1145,2010,368.48,ALL,ALL,ALL,0TO99
2075,1141,2010,2256.83,ALL,ALL,ALL,0TO99
2060,1152,2010,6298.20,ALL,ALL,ALL,0TO99
2075,1142,2010,209.65,ALL,ALL,ALL,0TO99
2050,1152,2010,1643.22,ALL,ALL,ALL,0TO99
2062,1152,2010,737.91,ALL,ALL,ALL,0TO99
2065,1140,2010,1088.31,ALL,ALL,ALL,0TO99
2061,1150,2010,782.81,ALL,ALL,ALL,0TO99
2067,1138,2010,728.05,ALL,ALL,ALL,0TO99
2040,1149,2010,495.13,ALL,ALL,ALL,0TO99
2034,1145,2010,290.20,ALL,ALL,ALL,0TO99
2062,1140,2010,591.01,ALL,ALL,ALL,0TO99
2051,1142,2010,288.27,ALL,ALL,ALL,0TO99
2072,1142,2010,515.36,ALL,ALL,ALL,0TO99
2069,1143,2010,1557.95,ALL,ALL,ALL,0TO99
2020,1144,2010,161.10,ALL,ALL,ALL,0TO99
2057,1150,2010,432.20,ALL,ALL,ALL,0TO99
2057,1145,2010,637.27,ALL,ALL,ALL,0TO99
2027,1149,2010,243.30,ALL,ALL,ALL,0TO99
2022,1143,2010,296.90,ALL,ALL,ALL,0TO99
2041,1153,2010,1120.43,ALL,ALL,ALL,0TO99
2077,1139,2010,573.36,ALL,ALL,ALL,0TO99
2063,1154,2010,877.96,ALL,ALL,ALL,0TO99
2037,1145,2010,287.90,ALL,ALL,ALL,0TO99
2054,1141,2010,506.25,ALL,ALL,ALL,0TO99
2070,1137,2010,829.38,ALL,ALL,ALL,0TO99
2063,1136,2010,272.51,ALL,ALL,ALL,0TO99
2042,1143,2010,616.87,ALL,ALL,ALL,0TO99
2042,1151,2010,582.16,ALL,ALL,ALL,0TO99
2057,1142,2010,781.27,ALL,ALL,ALL,0TO99
2079,1153,2010,564.06,ALL,ALL,ALL,0TO99
2063,1147,2010,524.12,ALL,ALL,ALL,0TO99
2031,1145,2010,505.22,ALL,ALL,ALL,0TO99
2074,1145,2010,0.00,ALL,ALL,ALL,0TO99
2038,1149,2010,949.47,ALL,ALL,ALL,0TO99
2074,1146,2010,0.00,ALL,ALL,ALL,0TO99
2051,1146,2010,2810.70,ALL,ALL,ALL,0TO99
2057,1152,2010,987.49,ALL,ALL,ALL,0TO99
2078,1138,2010,902.73,ALL,ALL,ALL,0TO99
2078,1153,2010,9455.06,ALL,ALL,ALL,0TO99
2068,1147,2010,403.13,ALL,ALL,ALL,0TO99
2070,1152,2010,160.08,ALL,ALL,ALL,0TO99
2060,1150,2010,760.17,ALL,ALL,ALL,0TO99
2044,1148,2010,426.22,ALL,ALL,ALL,0TO99
2066,1136,2010,500.23,ALL,ALL,ALL,0TO99
2066,1135,2010,402.87,ALL,ALL,ALL,0TO99
2074,1151,2010,307.78,ALL,ALL,ALL,0TO99
2075,1151,2010,209.88,ALL,ALL,ALL,0TO99
2048,1145,2010,893.08,ALL,ALL,ALL,0TO99
2066,1152,2010,550.82,ALL,ALL,ALL,0TO99
2037,1150,2010,210.02,ALL,ALL,ALL,0TO99
2063,1137,2010,315.33,ALL,ALL,ALL,0TO99
2075,1146,2010,0.00,ALL,ALL,ALL,0TO99
2062,1155,2010,269.66,ALL,ALL,ALL,0TO99
2055,1153,2010,376.04,ALL,ALL,ALL,0TO99
2052,1144,2010,240.01,ALL,ALL,ALL,0TO99
2051,1152,2010,1915.12,ALL,ALL,ALL,0TO99
2040,1147,2010,331.19,ALL,ALL,ALL,0TO99
2044,1153,2010,5540.23,ALL,ALL,ALL,0TO99
2049,1154,2010,88602.47,ALL,ALL,ALL,0TO99
2062,1144,2010,353.78,ALL,ALL,ALL,0TO99
2042,1146,2010,231.02,ALL,ALL,ALL,0TO99
2065,1149,2010,379.56,ALL,ALL,ALL,0TO99
2066,1153,2010,875.77,ALL,ALL,ALL,0TO99
2072,1137,2010,734.58,ALL,ALL,ALL,0TO99
2074,1153,2010,7340.67,ALL,ALL,ALL,0TO99
2041,1147,2010,351.75,ALL,ALL,ALL,0TO99
2055,1150,2010,355.39,ALL,ALL,ALL,0TO99
2070,1153,2010,5566.40,ALL,ALL,ALL,0TO99
2045,1146,2010,566.10,ALL,ALL,ALL,0TO99
2059,1140,2010,667.90,ALL,ALL,ALL,0TO99
2066,1142,2010,1294.15,ALL,ALL,ALL,0TO99
2074,1136,2010,576.18,ALL,ALL,ALL,0TO99
2055,1141,2010,534.61,ALL,ALL,ALL,0TO99
2053,1145,2010,420.57,ALL,ALL,ALL,0TO99
2030,1148,2010,273.69,ALL,ALL,ALL,0TO99
2077,1152,2010,278.78,ALL,ALL,ALL,0TO99
2064,1137,2010,311.26,ALL,ALL,ALL,0TO99
2056,1146,2010,1779.74,ALL,ALL,ALL,0TO99
2038,1146,2010,431.05,ALL,ALL,ALL,0TO99
2056,1152,2010,524.20,ALL,ALL,ALL,0TO99
2052,1151,2010,904.14,ALL,ALL,ALL,0TO99
2069,1138,2010,779.01,ALL,ALL,ALL,0TO99
2068,1149,2010,404.88,ALL,ALL,ALL,0TO99
2074,1137,2010,610.49,ALL,ALL,ALL,0TO99
2021,1144,2010,142.54,ALL,ALL,ALL,0TO99
2061,1144,2010,302.66,ALL,ALL,ALL,0TO99
2058,1148,2010,357.55,ALL,ALL,ALL,0TO99
2029,1144,2010,481.78,ALL,ALL,ALL,0TO99
2058,1144,2010,831.74,ALL,ALL,ALL,0TO99
2075,1145,2010,0.00,ALL,ALL,ALL,0TO99
2069,1140,2010,554.94,ALL,ALL,ALL,0TO99
2038,1152,2010,159.36,ALL,ALL,ALL,0TO99
2055,1154,2010,512.05,ALL,ALL,ALL,0TO99
2044,1147,2010,422.98,ALL,ALL,ALL,0TO99
2027,1150,2010,188.24,ALL,ALL,ALL,0TO99
2033,1146,2010,371.75,ALL,ALL,ALL,0TO99
2055,1142,2010,640.89,ALL,ALL,ALL,0TO99
2056,1145,2010,580.84,ALL,ALL,ALL,0TO99
2025,1149,2010,163.04,ALL,ALL,ALL,0TO99
2052,1154,2010,1286.64,ALL,ALL,ALL,0TO99
2057,1155,2010,661.27,ALL,ALL,ALL,0TO99
2073,1142,2010,430.30,ALL,ALL,ALL,0TO99
2056,1149,2010,3203.39,ALL,ALL,ALL,0TO99
2039,1150,2010,453.85,ALL,ALL,ALL,0TO99
2065,1145,2010,545.91,ALL,ALL,ALL,0TO99
2059,1153,2010,565.75,ALL,ALL,ALL,0TO99
2059,1147,2010,536.12,ALL,ALL,ALL,0TO99
2058,1150,2010,532.58,ALL,ALL,ALL,0TO99
2042,1152,2010,1177.03,ALL,ALL,ALL,0TO99
2073,1140,2010,670.04,ALL,ALL,ALL,0TO99
2067,1136,2010,482.28,ALL,ALL,ALL,0TO99
2064,1151,2010,890.61,ALL,ALL,ALL,0TO99
2073,1149,2010,21.19,ALL,ALL,ALL,0TO99
2079,1152,2010,190.28,ALL,ALL,ALL,0TO99
2057,1146,2010,414.67,ALL,ALL,ALL,0TO99
2072,1140,2010,1863.90,ALL,ALL,ALL,0TO99
2032,1144,2010,257.87,ALL,ALL,ALL,0TO99
2051,1148,2010,529.92,ALL,ALL,ALL,0TO99
2067,1148,2010,408.75,ALL,ALL,ALL,0TO99
2059,1149,2010,544.95,ALL,ALL,ALL,0TO99
2054,1142,2010,433.01,ALL,ALL,ALL,0TO99
2068,1153,2010,373.09,ALL,ALL,ALL,0TO99
2031,1144,2010,405.45,ALL,ALL,ALL,0TO99
2070,1150,2010,275.36,ALL,ALL,ALL,0TO99
2043,1151,2010,756.66,ALL,ALL,ALL,0TO99
2064,1155,2010,226.68,ALL,ALL,ALL,0TO99
2051,1143,2010,221.33,ALL,ALL,ALL,0TO99
2059,1144,2010,741.52,ALL,ALL,ALL,0TO99
2027,1142,2010,322.09,ALL,ALL,ALL,0TO99
2057,1144,2010,1146.98,ALL,ALL,ALL,0TO99
2062,1151,2010,2011.53,ALL,ALL,ALL,0TO99
2048,1143,2010,794.38,ALL,ALL,ALL,0TO99
2052,1153,2010,1438.73,ALL,ALL,ALL,0TO99
2075,1138,2010,412.90,ALL,ALL,ALL,0TO99
2071,1136,2010,453.44,ALL,ALL,ALL,0TO99
2061,1146,2010,666.58,ALL,ALL,ALL,0TO99
2053,1154,2010,1102.37,ALL,ALL,ALL,0TO99
2045,1147,2010,413.78,ALL,ALL,ALL,0TO99
2063,1146,2010,472.83,ALL,ALL,ALL,0TO99
2074,1140,2010,620.33,ALL,ALL,ALL,0TO99
2074,1149,2010,0.37,ALL,ALL,ALL,0TO99
2025,1148,2010,222.41,ALL,ALL,ALL,0TO99
2037,1149,2010,484.86,ALL,ALL,ALL,0TO99
2046,1140,2010,512.39,ALL,ALL,ALL,0TO99
2060,1148,2010,423.35,ALL,ALL,ALL,0TO99
2045,1151,2010,558.98,ALL,ALL,ALL,0TO99
2071,1140,2010,6306.55,ALL,ALL,ALL,0TO99
2022,1144,2010,175.40,ALL,ALL,ALL,0TO99
2064,1144,2010,353.60,ALL,ALL,ALL,0TO99
2052,1142,2010,291.73,ALL,ALL,ALL,0TO99
2059,1143,2010,842.19,ALL,ALL,ALL,0TO99
2060,1145,2010,432.51,ALL,ALL,ALL,0TO99
2070,1140,2010,875.69,ALL,ALL,ALL,0TO99
2046,1144,2010,9122.97,ALL,ALL,ALL,0TO99
2063,1143,2010,788.02,ALL,ALL,ALL,0TO99
2077,1151,2010,117.64,ALL,ALL,ALL,0TO99
2056,1140,2010,791.36,ALL,ALL,ALL,0TO99
2059,1155,2010,264.89,ALL,ALL,ALL,0TO99
2063,1145,2010,392.67,ALL,ALL,ALL,0TO99
2039,1152,2010,248.39,ALL,ALL,ALL,0TO99
2062,1149,2010,571.03,ALL,ALL,ALL,0TO99
2057,1153,2010,481.14,ALL,ALL,ALL,0TO99
2072,1146,2010,1559.68,ALL,ALL,ALL,0TO99
2044,1151,2010,645.04,ALL,ALL,ALL,0TO99
2054,1145,2010,429.68,ALL,ALL,ALL,0TO99
2054,1153,2010,2781.37,ALL,ALL,ALL,0TO99
2045,1145,2010,713.62,ALL,ALL,ALL,0TO99
2071,1145,2010,493.37,ALL,ALL,ALL,0TO99
2061,1139,2010,435.77,ALL,ALL,ALL,0TO99
2060,1153,2010,802.06,ALL,ALL,ALL,0TO99
2053,1142,2010,329.00,ALL,ALL,ALL,0TO99
2026,1148,2010,450.25,ALL,ALL,ALL,0TO99
2071,1151,2010,136.64,ALL,ALL,ALL,0TO99
2054,1144,2010,317.42,ALL,ALL,ALL,0TO99
2059,1145,2010,396.14,ALL,ALL,ALL,0TO99
2064,1143,2010,858.26,ALL,ALL,ALL,0TO99
2068,1139,2010,698.88,ALL,ALL,ALL,0TO99
2047,1143,2010,4211.64,ALL,ALL,ALL,0TO99
2076,1150,2010,152.65,ALL,ALL,ALL,0TO99
2073,1141,2010,571.05,ALL,ALL,ALL,0TO99
2069,1137,2010,519.60,ALL,ALL,ALL,0TO99
2071,1147,2010,417.84,ALL,ALL,ALL,0TO99
2033,1144,2010,208.58,ALL,ALL,ALL,0TO99
2025,1142,2010,9457.44,ALL,ALL,ALL,0TO99
2075,1152,2010,1584.73,ALL,ALL,ALL,0TO99
2054,1140,2010,534.86,ALL,ALL,ALL,0TO99
2073,1147,2010,0.42,ALL,ALL,ALL,0TO99
2048,1151,2010,3632.14,ALL,ALL,ALL,0TO99
2072,1138,2010,724.08,ALL,ALL,ALL,0TO99
2028,1148,2010,609.40,ALL,ALL,ALL,0TO99
2055,1145,2010,1620.22,ALL,ALL,ALL,0TO99
2066,1141,2010,769.02,ALL,ALL,ALL,0TO99
2048,1154,2010,75770.73,ALL,ALL,ALL,0TO99
2051,1151,2010,1070.20,ALL,ALL,ALL,0TO99
2049,1148,2010,634.62,ALL,ALL,ALL,0TO99
2061,1142,2010,28.93,ALL,ALL,ALL,0TO99
2062,1142,2010,507.55,ALL,ALL,ALL,0TO99
2081,1154,2010,7187.83,ALL,ALL,ALL,0TO99
2066,1137,2010,976.73,ALL,ALL,ALL,0TO99
2066,1140,2010,1020.22,ALL,ALL,ALL,0TO99
2065,1137,2010,480.65,ALL,ALL,ALL,0TO99
2047,1141,2010,309.59,ALL,ALL,ALL,0TO99
2050,1140,2010,277.08,ALL,ALL,ALL,0TO99
2026,1149,2010,218.11,ALL,ALL,ALL,0TO99
2073,1143,2010,384.22,ALL,ALL,ALL,0TO99
2074,1150,2010,272.65,ALL,ALL,ALL,0TO99
2062,1138,2010,715.96,ALL,ALL,ALL,0TO99
2075,1153,2010,15398.45,ALL,ALL,ALL,0TO99
2076,1140,2010,554.52,ALL,ALL,ALL,0TO99
2063,1149,2010,530.65,ALL,ALL,ALL,0TO99
2042,1144,2010,792.92,ALL,ALL,ALL,0TO99
2041,1144,2010,653.37,ALL,ALL,ALL,0TO99
2068,1150,2010,305.66,ALL,ALL,ALL,0TO99
2072,1153,2010,1354.55,ALL,ALL,ALL,0TO99
2053,1146,2010,367.36,ALL,ALL,ALL,0TO99
2075,1148,2010,0.00,ALL,ALL,ALL,0TO99
2071,1139,2010,959.66,ALL,ALL,ALL,0TO99
2056,1141,2010,701.34,ALL,ALL,ALL,0TO99
2027,1148,2010,609.56,ALL,ALL,ALL,0TO99
2054,1151,2010,360.87,ALL,ALL,ALL,0TO99
2072,1141,2010,772.92,ALL,ALL,ALL,0TO99
2051,1149,2010,481.65,ALL,ALL,ALL,0TO99
2046,1148,2010,371.61,ALL,ALL,ALL,0TO99
2065,1152,2010,744.20,ALL,ALL,ALL,0TO99
2056,1147,2010,624.09,ALL,ALL,ALL,0TO99
2065,1142,2010,5304.72,ALL,ALL,ALL,0TO99
2066,1154,2010,1630.46,ALL,ALL,ALL,0TO99
2050,1151,2010,982.39,ALL,ALL,ALL,0TO99
2075,1140,2010,1732.10,ALL,ALL,ALL,0TO99
2026,1144,2010,496.10,ALL,ALL,ALL,0TO99
2068,1154,2010,545.97,ALL,ALL,ALL,0TO99
2068,1152,2010,509.28,ALL,ALL,ALL,0TO99
2027,1145,2010,323.21,ALL,ALL,ALL,0TO99
2029,1148,2010,536.33,ALL,ALL,ALL,0TO99
2066,1150,2010,307.79,ALL,ALL,ALL,0TO99
2067,1153,2010,476.72,ALL,ALL,ALL,0TO99
2069,1151,2010,512.92,ALL,ALL,ALL,0TO99
2064,1141,2010,867.53,ALL,ALL,ALL,0TO99
2029,1143,2010,423.87,ALL,ALL,ALL,0TO99
2050,1143,2010,591.09,ALL,ALL,ALL,0TO99
2024,1143,2010,555.17,ALL,ALL,ALL,0TO99
