Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2131,638,D24HourMean,QuarterlyMean,Mean,14.96
2131,639,D24HourMean,QuarterlyMean,Mean,14.91
2132,638,D24HourMean,QuarterlyMean,Mean,14.73
2132,639,D24HourMean,QuarterlyMean,Mean,15.06
2132,640,D24HourMean,QuarterlyMean,Mean,15.72
2133,638,D24HourMean,QuarterlyMean,Mean,14.63
2133,639,D24HourMean,QuarterlyMean,Mean,14.71
2133,640,D24HourMean,QuarterlyMean,Mean,15.26
2133,641,D24HourMean,QuarterlyMean,Mean,15.31
2133,642,D24HourMean,QuarterlyMean,Mean,15.57
2133,643,D24HourMean,QuarterlyMean,Mean,14.56
2134,637,D24HourMean,QuarterlyMean,Mean,14.51
2134,638,D24HourMean,QuarterlyMean,Mean,14.48
2134,639,D24HourMean,QuarterlyMean,Mean,15.09
2134,640,D24HourMean,QuarterlyMean,Mean,15.41
2134,641,D24HourMean,QuarterlyMean,Mean,15.87
2134,642,D24HourMean,QuarterlyMean,Mean,15.98
2134,643,D24HourMean,QuarterlyMean,Mean,14.46
2135,637,D24HourMean,QuarterlyMean,Mean,15.06
2135,638,D24HourMean,QuarterlyMean,Mean,14.53
2135,639,D24HourMean,QuarterlyMean,Mean,14.70
2135,640,D24HourMean,QuarterlyMean,Mean,15.87
2135,641,D24HourMean,QuarterlyMean,Mean,15.50
2135,642,D24HourMean,QuarterlyMean,Mean,15.67
2135,643,D24HourMean,QuarterlyMean,Mean,13.78
2136,637,D24HourMean,QuarterlyMean,Mean,13.52
2136,638,D24HourMean,QuarterlyMean,Mean,13.73
2136,639,D24HourMean,QuarterlyMean,Mean,15.16
2136,640,D24HourMean,QuarterlyMean,Mean,15.50
2136,641,D24HourMean,QuarterlyMean,Mean,15.60
2136,642,D24HourMean,QuarterlyMean,Mean,15.32
2136,643,D24HourMean,QuarterlyMean,Mean,13.48
2136,644,D24HourMean,QuarterlyMean,Mean,13.45
2137,637,D24HourMean,QuarterlyMean,Mean,13.08
2137,638,D24HourMean,QuarterlyMean,Mean,13.90
