Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2,392,D24HourMean,QuarterlyMean,Mean,8.41
3590,394,D24HourMean,QuarterlyMean,Mean,5.55
3577,374,D24HourMean,QuarterlyMean,Mean,6.66
3596,395,D24HourMean,QuarterlyMean,Mean,5.43
2,370,D24HourMean,QuarterlyMean,Mean,9.70
3595,395,D24HourMean,QuarterlyMean,Mean,5.43
3576,383,D24HourMean,QuarterlyMean,Mean,6.34
3576,384,D24HourMean,QuarterlyMean,Mean,6.27
3580,385,D24HourMean,QuarterlyMean,Mean,6.04
3585,381,D24HourMean,QuarterlyMean,Mean,6.02
3575,381,D24HourMean,QuarterlyMean,Mean,8.62
3579,385,D24HourMean,QuarterlyMean,Mean,6.09
3588,390,D24HourMean,QuarterlyMean,Mean,5.66
3576,381,D24HourMean,QuarterlyMean,Mean,6.46
3595,393,D24HourMean,QuarterlyMean,Mean,5.55
3585,379,D24HourMean,QuarterlyMean,Mean,6.05
3584,380,D24HourMean,QuarterlyMean,Mean,6.07
3578,384,D24HourMean,QuarterlyMean,Mean,6.23
3583,380,D24HourMean,QuarterlyMean,Mean,6.07
3583,386,D24HourMean,QuarterlyMean,Mean,5.75
3580,377,D24HourMean,QuarterlyMean,Mean,6.37
3582,386,D24HourMean,QuarterlyMean,Mean,5.82
3593,395,D24HourMean,QuarterlyMean,Mean,5.50
3585,383,D24HourMean,QuarterlyMean,Mean,5.89
3598,368,D24HourMean,QuarterlyMean,Mean,6.85
3598,393,D24HourMean,QuarterlyMean,Mean,5.62
3591,395,D24HourMean,QuarterlyMean,Mean,5.50
3580,378,D24HourMean,QuarterlyMean,Mean,6.32
3584,370,D24HourMean,QuarterlyMean,Mean,6.83
3578,381,D24HourMean,QuarterlyMean,Mean,6.36
3599,393,D24HourMean,QuarterlyMean,Mean,5.62
3584,379,D24HourMean,QuarterlyMean,Mean,6.05
3594,395,D24HourMean,QuarterlyMean,Mean,5.43
3597,395,D24HourMean,QuarterlyMean,Mean,5.43
3580,379,D24HourMean,QuarterlyMean,Mean,6.27
3589,393,D24HourMean,QuarterlyMean,Mean,5.62
3588,393,D24HourMean,QuarterlyMean,Mean,5.62
11,370,D24HourMean,QuarterlyMean,Mean,9.75
3575,383,D24HourMean,QuarterlyMean,Mean,8.20
3584,383,D24HourMean,QuarterlyMean,Mean,5.89
3580,380,D24HourMean,QuarterlyMean,Mean,6.29
3598,396,D24HourMean,QuarterlyMean,Mean,5.43
15,368,D24HourMean,QuarterlyMean,Mean,9.43
3591,394,D24HourMean,QuarterlyMean,Mean,5.57
3579,381,D24HourMean,QuarterlyMean,Mean,6.29
3592,394,D24HourMean,QuarterlyMean,Mean,5.50
3585,380,D24HourMean,QuarterlyMean,Mean,6.07
3593,393,D24HourMean,QuarterlyMean,Mean,5.55
3578,385,D24HourMean,QuarterlyMean,Mean,6.16
3593,380,D24HourMean,QuarterlyMean,Mean,5.96
3581,381,D24HourMean,QuarterlyMean,Mean,6.16
3599,392,D24HourMean,QuarterlyMean,Mean,5.68
3582,384,D24HourMean,QuarterlyMean,Mean,5.89
3595,396,D24HourMean,QuarterlyMean,Mean,5.43
3596,394,D24HourMean,QuarterlyMean,Mean,5.50
3579,378,D24HourMean,QuarterlyMean,Mean,6.39
3577,382,D24HourMean,QuarterlyMean,Mean,6.34
3591,392,D24HourMean,QuarterlyMean,Mean,5.62
3577,378,D24HourMean,QuarterlyMean,Mean,6.50
3582,383,D24HourMean,QuarterlyMean,Mean,5.96
3600,390,D24HourMean,QuarterlyMean,Mean,5.86
3600,374,D24HourMean,QuarterlyMean,Mean,6.43
3581,379,D24HourMean,QuarterlyMean,Mean,6.20
3582,385,D24HourMean,QuarterlyMean,Mean,5.89
3576,392,D24HourMean,QuarterlyMean,Mean,5.95
3595,392,D24HourMean,QuarterlyMean,Mean,5.62
3584,382,D24HourMean,QuarterlyMean,Mean,5.95
3577,385,D24HourMean,QuarterlyMean,Mean,6.21
3579,384,D24HourMean,QuarterlyMean,Mean,6.16
3590,392,D24HourMean,QuarterlyMean,Mean,5.62
3581,378,D24HourMean,QuarterlyMean,Mean,6.25
3581,383,D24HourMean,QuarterlyMean,Mean,6.04
3591,393,D24HourMean,QuarterlyMean,Mean,5.55
1,395,D24HourMean,QuarterlyMean,Mean,8.58
3592,393,D24HourMean,QuarterlyMean,Mean,5.55
3583,381,D24HourMean,QuarterlyMean,Mean,6.02
3589,392,D24HourMean,QuarterlyMean,Mean,5.62
3580,384,D24HourMean,QuarterlyMean,Mean,6.04
3580,383,D24HourMean,QuarterlyMean,Mean,6.09
3576,382,D24HourMean,QuarterlyMean,Mean,6.39
3582,378,D24HourMean,QuarterlyMean,Mean,6.18
1,392,D24HourMean,QuarterlyMean,Mean,6.60
3597,396,D24HourMean,QuarterlyMean,Mean,5.43
3588,391,D24HourMean,QuarterlyMean,Mean,5.68
3594,379,D24HourMean,QuarterlyMean,Mean,6.00
3574,380,D24HourMean,QuarterlyMean,Mean,7.87
3587,392,D24HourMean,QuarterlyMean,Mean,5.68
3598,397,D24HourMean,QuarterlyMean,Mean,5.35
3585,384,D24HourMean,QuarterlyMean,Mean,5.82
3592,395,D24HourMean,QuarterlyMean,Mean,5.50
3578,380,D24HourMean,QuarterlyMean,Mean,6.41
3594,394,D24HourMean,QuarterlyMean,Mean,5.50
3578,382,D24HourMean,QuarterlyMean,Mean,6.29
3597,397,D24HourMean,QuarterlyMean,Mean,5.35
3596,396,D24HourMean,QuarterlyMean,Mean,5.43
3594,393,D24HourMean,QuarterlyMean,Mean,5.55
3585,382,D24HourMean,QuarterlyMean,Mean,5.95
3575,382,D24HourMean,QuarterlyMean,Mean,8.98
3582,381,D24HourMean,QuarterlyMean,Mean,6.09
3583,385,D24HourMean,QuarterlyMean,Mean,5.82
3582,369,D24HourMean,QuarterlyMean,Mean,6.87
18,380,D24HourMean,QuarterlyMean,Mean,-2.26
1,391,D24HourMean,QuarterlyMean,Mean,6.66
3576,378,D24HourMean,QuarterlyMean,Mean,6.55
3576,379,D24HourMean,QuarterlyMean,Mean,6.50
3577,379,D24HourMean,QuarterlyMean,Mean,6.52
3582,382,D24HourMean,QuarterlyMean,Mean,6.02
3599,394,D24HourMean,QuarterlyMean,Mean,5.57
3582,380,D24HourMean,QuarterlyMean,Mean,6.14
3581,377,D24HourMean,QuarterlyMean,Mean,6.30
3573,380,D24HourMean,QuarterlyMean,Mean,7.92
3583,378,D24HourMean,QuarterlyMean,Mean,6.11
10,380,D24HourMean,QuarterlyMean,Mean,7.13
3590,391,D24HourMean,QuarterlyMean,Mean,5.61
3587,379,D24HourMean,QuarterlyMean,Mean,6.05
3581,382,D24HourMean,QuarterlyMean,Mean,6.09
3583,382,D24HourMean,QuarterlyMean,Mean,5.95
1,398,D24HourMean,QuarterlyMean,Mean,8.81
3578,383,D24HourMean,QuarterlyMean,Mean,6.23
3575,380,D24HourMean,QuarterlyMean,Mean,8.56
3584,384,D24HourMean,QuarterlyMean,Mean,5.82
3575,379,D24HourMean,QuarterlyMean,Mean,7.78
3581,385,D24HourMean,QuarterlyMean,Mean,5.96
3579,383,D24HourMean,QuarterlyMean,Mean,6.16
9,387,D24HourMean,QuarterlyMean,Mean,9.05
3586,380,D24HourMean,QuarterlyMean,Mean,6.00
3586,382,D24HourMean,QuarterlyMean,Mean,5.95
3581,368,D24HourMean,QuarterlyMean,Mean,6.91
3577,381,D24HourMean,QuarterlyMean,Mean,6.41
3586,392,D24HourMean,QuarterlyMean,Mean,5.66
3581,384,D24HourMean,QuarterlyMean,Mean,5.96
3599,397,D24HourMean,QuarterlyMean,Mean,5.35
3595,394,D24HourMean,QuarterlyMean,Mean,5.50
3586,383,D24HourMean,QuarterlyMean,Mean,5.89
3583,379,D24HourMean,QuarterlyMean,Mean,6.13
3581,380,D24HourMean,QuarterlyMean,Mean,6.21
3586,381,D24HourMean,QuarterlyMean,Mean,6.02
3574,379,D24HourMean,QuarterlyMean,Mean,7.76
3583,383,D24HourMean,QuarterlyMean,Mean,5.96
3582,379,D24HourMean,QuarterlyMean,Mean,6.20
3579,377,D24HourMean,QuarterlyMean,Mean,6.45
3577,380,D24HourMean,QuarterlyMean,Mean,6.46
9,385,D24HourMean,QuarterlyMean,Mean,9.05
3577,383,D24HourMean,QuarterlyMean,Mean,6.29
3583,384,D24HourMean,QuarterlyMean,Mean,5.89
11,387,D24HourMean,QuarterlyMean,Mean,8.63
3586,379,D24HourMean,QuarterlyMean,Mean,6.05
3579,380,D24HourMean,QuarterlyMean,Mean,6.34
3584,381,D24HourMean,QuarterlyMean,Mean,6.02
3574,381,D24HourMean,QuarterlyMean,Mean,7.87
3577,384,D24HourMean,QuarterlyMean,Mean,6.29
3589,391,D24HourMean,QuarterlyMean,Mean,5.68
3580,382,D24HourMean,QuarterlyMean,Mean,6.16
3580,381,D24HourMean,QuarterlyMean,Mean,6.21
3578,379,D24HourMean,QuarterlyMean,Mean,6.46
3582,377,D24HourMean,QuarterlyMean,Mean,6.23
3575,378,D24HourMean,QuarterlyMean,Mean,7.82
3579,379,D24HourMean,QuarterlyMean,Mean,6.39
3587,391,D24HourMean,QuarterlyMean,Mean,5.66
3579,382,D24HourMean,QuarterlyMean,Mean,6.23
3578,378,D24HourMean,QuarterlyMean,Mean,6.45
3590,393,D24HourMean,QuarterlyMean,Mean,5.62
3576,380,D24HourMean,QuarterlyMean,Mean,6.52
3588,392,D24HourMean,QuarterlyMean,Mean,5.68
3593,394,D24HourMean,QuarterlyMean,Mean,5.50
