Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2,392,2010,904.87,ALL,ALL,ALL,0TO99
3590,394,2010,4107.81,ALL,ALL,ALL,0TO99
3577,374,2010,601.51,ALL,ALL,ALL,0TO99
3596,395,2010,2239.90,ALL,ALL,ALL,0TO99
2,370,2010,595.75,ALL,ALL,ALL,0TO99
3595,395,2010,3990.05,ALL,ALL,ALL,0TO99
3576,383,2010,10947.58,ALL,ALL,ALL,0TO99
3576,384,2010,9234.67,ALL,ALL,ALL,0TO99
3580,385,2010,6911.45,ALL,ALL,ALL,0TO99
3585,381,2010,7991.65,ALL,ALL,ALL,0TO99
3575,381,2010,10790.50,ALL,ALL,ALL,0TO99
3579,385,2010,7870.78,ALL,ALL,ALL,0TO99
3588,390,2010,2436.29,ALL,ALL,ALL,0TO99
3576,381,2010,10235.03,ALL,ALL,ALL,0TO99
3595,393,2010,1900.28,ALL,ALL,ALL,0TO99
3585,379,2010,16558.59,ALL,ALL,ALL,0TO99
3584,380,2010,10431.26,ALL,ALL,ALL,0TO99
3578,384,2010,10947.36,ALL,ALL,ALL,0TO99
3583,380,2010,10434.85,ALL,ALL,ALL,0TO99
3583,386,2010,920.28,ALL,ALL,ALL,0TO99
3580,377,2010,1847.03,ALL,ALL,ALL,0TO99
3582,386,2010,1685.02,ALL,ALL,ALL,0TO99
3593,395,2010,3475.13,ALL,ALL,ALL,0TO99
3585,383,2010,6179.87,ALL,ALL,ALL,0TO99
3598,368,2010,619.62,ALL,ALL,ALL,0TO99
3598,393,2010,1808.97,ALL,ALL,ALL,0TO99
3591,395,2010,1804.35,ALL,ALL,ALL,0TO99
3580,378,2010,2941.65,ALL,ALL,ALL,0TO99
3584,370,2010,1064.04,ALL,ALL,ALL,0TO99
3578,381,2010,6723.71,ALL,ALL,ALL,0TO99
3599,393,2010,1293.83,ALL,ALL,ALL,0TO99
3584,379,2010,36892.23,ALL,ALL,ALL,0TO99
3594,395,2010,3793.46,ALL,ALL,ALL,0TO99
3597,395,2010,1907.30,ALL,ALL,ALL,0TO99
3580,379,2010,2071.45,ALL,ALL,ALL,0TO99
3589,393,2010,3152.80,ALL,ALL,ALL,0TO99
3588,393,2010,1850.10,ALL,ALL,ALL,0TO99
11,370,2010,741.45,ALL,ALL,ALL,0TO99
3575,383,2010,8314.32,ALL,ALL,ALL,0TO99
3584,383,2010,4724.65,ALL,ALL,ALL,0TO99
3580,380,2010,3109.78,ALL,ALL,ALL,0TO99
3598,396,2010,2777.73,ALL,ALL,ALL,0TO99
15,368,2010,253.20,ALL,ALL,ALL,0TO99
3591,394,2010,4324.69,ALL,ALL,ALL,0TO99
3579,381,2010,4041.32,ALL,ALL,ALL,0TO99
3592,394,2010,4324.67,ALL,ALL,ALL,0TO99
3585,380,2010,9853.81,ALL,ALL,ALL,0TO99
3593,393,2010,2202.94,ALL,ALL,ALL,0TO99
3578,385,2010,6411.61,ALL,ALL,ALL,0TO99
3593,380,2010,1397.13,ALL,ALL,ALL,0TO99
3581,381,2010,10339.58,ALL,ALL,ALL,0TO99
3599,392,2010,949.13,ALL,ALL,ALL,0TO99
3582,384,2010,3251.09,ALL,ALL,ALL,0TO99
3595,396,2010,3560.03,ALL,ALL,ALL,0TO99
3596,394,2010,1569.37,ALL,ALL,ALL,0TO99
3579,378,2010,3028.64,ALL,ALL,ALL,0TO99
3577,382,2010,10695.55,ALL,ALL,ALL,0TO99
3591,392,2010,1941.33,ALL,ALL,ALL,0TO99
3577,378,2010,2717.83,ALL,ALL,ALL,0TO99
3582,383,2010,4819.54,ALL,ALL,ALL,0TO99
3600,390,2010,1534.42,ALL,ALL,ALL,0TO99
3600,374,2010,353.58,ALL,ALL,ALL,0TO99
3581,379,2010,1627.37,ALL,ALL,ALL,0TO99
3582,385,2010,3252.80,ALL,ALL,ALL,0TO99
3576,392,2010,1315.65,ALL,ALL,ALL,0TO99
3595,392,2010,1585.32,ALL,ALL,ALL,0TO99
3584,382,2010,8477.69,ALL,ALL,ALL,0TO99
3577,385,2010,1840.58,ALL,ALL,ALL,0TO99
3579,384,2010,10953.48,ALL,ALL,ALL,0TO99
3590,392,2010,3024.65,ALL,ALL,ALL,0TO99
3581,378,2010,2855.58,ALL,ALL,ALL,0TO99
3581,383,2010,9235.71,ALL,ALL,ALL,0TO99
3591,393,2010,3526.45,ALL,ALL,ALL,0TO99
1,395,2010,526.95,ALL,ALL,ALL,0TO99
3592,393,2010,3181.93,ALL,ALL,ALL,0TO99
3583,381,2010,10442.89,ALL,ALL,ALL,0TO99
3589,392,2010,3013.52,ALL,ALL,ALL,0TO99
3580,384,2010,9031.35,ALL,ALL,ALL,0TO99
3580,383,2010,10603.16,ALL,ALL,ALL,0TO99
3576,382,2010,10907.47,ALL,ALL,ALL,0TO99
3582,378,2010,1694.37,ALL,ALL,ALL,0TO99
1,392,2010,1092.97,ALL,ALL,ALL,0TO99
3597,396,2010,3701.01,ALL,ALL,ALL,0TO99
3588,391,2010,2732.15,ALL,ALL,ALL,0TO99
3594,379,2010,2466.28,ALL,ALL,ALL,0TO99
3574,380,2010,3517.29,ALL,ALL,ALL,0TO99
3587,392,2010,2691.54,ALL,ALL,ALL,0TO99
3598,397,2010,3367.98,ALL,ALL,ALL,0TO99
3585,384,2010,1798.17,ALL,ALL,ALL,0TO99
3592,395,2010,3009.83,ALL,ALL,ALL,0TO99
3578,380,2010,3037.17,ALL,ALL,ALL,0TO99
3594,394,2010,2820.84,ALL,ALL,ALL,0TO99
3578,382,2010,10753.80,ALL,ALL,ALL,0TO99
3597,397,2010,3221.19,ALL,ALL,ALL,0TO99
3596,396,2010,4054.16,ALL,ALL,ALL,0TO99
3594,393,2010,2012.38,ALL,ALL,ALL,0TO99
3585,382,2010,7611.38,ALL,ALL,ALL,0TO99
3575,382,2010,8335.01,ALL,ALL,ALL,0TO99
3582,381,2010,10442.89,ALL,ALL,ALL,0TO99
3583,385,2010,2093.64,ALL,ALL,ALL,0TO99
3582,369,2010,916.19,ALL,ALL,ALL,0TO99
18,380,2010,0.00,ALL,ALL,ALL,0TO99
1,391,2010,1821.44,ALL,ALL,ALL,0TO99
3576,378,2010,2291.22,ALL,ALL,ALL,0TO99
3576,379,2010,3035.39,ALL,ALL,ALL,0TO99
3577,379,2010,3035.39,ALL,ALL,ALL,0TO99
3582,382,2010,10007.64,ALL,ALL,ALL,0TO99
3599,394,2010,1454.78,ALL,ALL,ALL,0TO99
