Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1216,39,D24HourMean,QuarterlyMean,Mean,21.64
1214,39,D24HourMean,QuarterlyMean,Mean,23.30
1203,44,D24HourMean,QuarterlyMean,Mean,19.97
1212,45,D24HourMean,QuarterlyMean,Mean,20.14
1214,42,D24HourMean,QuarterlyMean,Mean,21.30
1219,42,D24HourMean,QuarterlyMean,Mean,18.82
1199,42,D24HourMean,QuarterlyMean,Mean,20.55
1194,39,D24HourMean,QuarterlyMean,Mean,18.98
1210,41,D24HourMean,QuarterlyMean,Mean,18.93
1198,44,D24HourMean,QuarterlyMean,Mean,22.68
1202,41,D24HourMean,QuarterlyMean,Mean,18.72
1218,43,D24HourMean,QuarterlyMean,Mean,19.48
1202,44,D24HourMean,QuarterlyMean,Mean,21.03
1218,45,D24HourMean,QuarterlyMean,Mean,20.43
1202,43,D24HourMean,QuarterlyMean,Mean,18.54
1198,46,D24HourMean,QuarterlyMean,Mean,16.87
1215,42,D24HourMean,QuarterlyMean,Mean,20.08
1204,44,D24HourMean,QuarterlyMean,Mean,19.61
1196,38,D24HourMean,QuarterlyMean,Mean,19.39
1206,44,D24HourMean,QuarterlyMean,Mean,19.95
1194,38,D24HourMean,QuarterlyMean,Mean,19.17
1207,39,D24HourMean,QuarterlyMean,Mean,18.19
1197,45,D24HourMean,QuarterlyMean,Mean,18.07
1201,41,D24HourMean,QuarterlyMean,Mean,18.72
1188,41,D24HourMean,QuarterlyMean,Mean,18.95
1219,45,D24HourMean,QuarterlyMean,Mean,21.70
1193,38,D24HourMean,QuarterlyMean,Mean,19.40
1215,41,D24HourMean,QuarterlyMean,Mean,19.17
1213,42,D24HourMean,QuarterlyMean,Mean,16.19
1197,40,D24HourMean,QuarterlyMean,Mean,23.03
1212,44,D24HourMean,QuarterlyMean,Mean,20.00
1209,39,D24HourMean,QuarterlyMean,Mean,20.66
1222,43,D24HourMean,QuarterlyMean,Mean,19.22
1211,43,D24HourMean,QuarterlyMean,Mean,20.69
1209,40,D24HourMean,QuarterlyMean,Mean,22.21
1212,42,D24HourMean,QuarterlyMean,Mean,21.92
1214,43,D24HourMean,QuarterlyMean,Mean,22.95
1213,41,D24HourMean,QuarterlyMean,Mean,16.37
1198,40,D24HourMean,QuarterlyMean,Mean,20.58
1202,45,D24HourMean,QuarterlyMean,Mean,21.49
1199,43,D24HourMean,QuarterlyMean,Mean,20.61
1205,39,D24HourMean,QuarterlyMean,Mean,16.41
1207,44,D24HourMean,QuarterlyMean,Mean,19.37
1200,42,D24HourMean,QuarterlyMean,Mean,18.40
1206,37,D24HourMean,QuarterlyMean,Mean,23.71
1210,42,D24HourMean,QuarterlyMean,Mean,18.75
1221,45,D24HourMean,QuarterlyMean,Mean,19.82
1206,40,D24HourMean,QuarterlyMean,Mean,22.07
1200,43,D24HourMean,QuarterlyMean,Mean,18.66
1204,43,D24HourMean,QuarterlyMean,Mean,19.71
1219,43,D24HourMean,QuarterlyMean,Mean,18.71
1213,46,D24HourMean,QuarterlyMean,Mean,20.56
1208,42,D24HourMean,QuarterlyMean,Mean,16.00
1208,41,D24HourMean,QuarterlyMean,Mean,18.53
1214,46,D24HourMean,QuarterlyMean,Mean,18.54
1215,45,D24HourMean,QuarterlyMean,Mean,20.69
1213,40,D24HourMean,QuarterlyMean,Mean,19.80
1192,39,D24HourMean,QuarterlyMean,Mean,19.50
1190,41,D24HourMean,QuarterlyMean,Mean,18.30
1203,37,D24HourMean,QuarterlyMean,Mean,19.43
1199,40,D24HourMean,QuarterlyMean,Mean,18.67
1211,40,D24HourMean,QuarterlyMean,Mean,23.53
1211,42,D24HourMean,QuarterlyMean,Mean,18.72
1216,41,D24HourMean,QuarterlyMean,Mean,19.08
1216,42,D24HourMean,QuarterlyMean,Mean,20.83
1196,39,D24HourMean,QuarterlyMean,Mean,20.34
1195,38,D24HourMean,QuarterlyMean,Mean,19.22
1222,45,D24HourMean,QuarterlyMean,Mean,18.17
1216,43,D24HourMean,QuarterlyMean,Mean,20.27
1203,43,D24HourMean,QuarterlyMean,Mean,18.43
1200,44,D24HourMean,QuarterlyMean,Mean,20.98
1213,43,D24HourMean,QuarterlyMean,Mean,22.87
1197,44,D24HourMean,QuarterlyMean,Mean,20.14
1214,44,D24HourMean,QuarterlyMean,Mean,20.55
1209,41,D24HourMean,QuarterlyMean,Mean,21.06
