Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1829,1042,2010,4335.02,ALL,ALL,ALL,0TO99
1783,1054,2010,4171.05,ALL,ALL,ALL,0TO99
1804,1009,2010,2176.69,ALL,ALL,ALL,0TO99
1838,1052,2010,3391.46,ALL,ALL,ALL,0TO99
1801,1041,2010,3631.10,ALL,ALL,ALL,0TO99
1866,1049,2010,1932.86,ALL,ALL,ALL,0TO99
1813,999,2010,7502.98,ALL,ALL,ALL,0TO99
1791,1026,2010,4117.25,ALL,ALL,ALL,0TO99
1809,1040,2010,1306.51,ALL,ALL,ALL,0TO99
1830,1016,2010,2332.09,ALL,ALL,ALL,0TO99
1830,1054,2010,13039.05,ALL,ALL,ALL,0TO99
1788,1034,2010,4760.43,ALL,ALL,ALL,0TO99
1787,1040,2010,6512.91,ALL,ALL,ALL,0TO99
1814,1002,2010,1928.32,ALL,ALL,ALL,0TO99
1818,1031,2010,1150.39,ALL,ALL,ALL,0TO99
1832,1002,2010,1597.23,ALL,ALL,ALL,0TO99
1834,1030,2010,1590.90,ALL,ALL,ALL,0TO99
1784,1035,2010,3887.32,ALL,ALL,ALL,0TO99
1794,1044,2010,3228.41,ALL,ALL,ALL,0TO99
1846,1053,2010,749.01,ALL,ALL,ALL,0TO99
1859,1013,2010,4327.69,ALL,ALL,ALL,0TO99
1815,1029,2010,2230.09,ALL,ALL,ALL,0TO99
1833,1011,2010,766.97,ALL,ALL,ALL,0TO99
1857,1053,2010,1325.37,ALL,ALL,ALL,0TO99
1837,1027,2010,789.31,ALL,ALL,ALL,0TO99
1820,999,2010,7104.55,ALL,ALL,ALL,0TO99
1776,1037,2010,4047.56,ALL,ALL,ALL,0TO99
1794,990,2010,1078.36,ALL,ALL,ALL,0TO99
1826,1006,2010,1474.62,ALL,ALL,ALL,0TO99
1822,1054,2010,22406.27,ALL,ALL,ALL,0TO99
1847,1021,2010,7657.36,ALL,ALL,ALL,0TO99
1815,1035,2010,9330.93,ALL,ALL,ALL,0TO99
1816,996,2010,33217.08,ALL,ALL,ALL,0TO99
1839,1029,2010,1535.21,ALL,ALL,ALL,0TO99
1869,1005,2010,87.39,ALL,ALL,ALL,0TO99
1860,1031,2010,9391.08,ALL,ALL,ALL,0TO99
1849,1000,2010,23608.57,ALL,ALL,ALL,0TO99
1795,994,2010,4644.75,ALL,ALL,ALL,0TO99
1829,1039,2010,6251.28,ALL,ALL,ALL,0TO99
1841,996,2010,33096.86,ALL,ALL,ALL,0TO99
1821,1030,2010,2189.55,ALL,ALL,ALL,0TO99
1799,1041,2010,3724.14,ALL,ALL,ALL,0TO99
1824,1062,2010,4298.36,ALL,ALL,ALL,0TO99
1825,985,2010,4077.15,ALL,ALL,ALL,0TO99
1851,1014,2010,4471.67,ALL,ALL,ALL,0TO99
1842,1062,2010,11763.50,ALL,ALL,ALL,0TO99
1792,1044,2010,2800.74,ALL,ALL,ALL,0TO99
1815,996,2010,207254.81,ALL,ALL,ALL,0TO99
1836,1052,2010,2533.52,ALL,ALL,ALL,0TO99
1865,1053,2010,2731.30,ALL,ALL,ALL,0TO99
1837,1026,2010,1480.23,ALL,ALL,ALL,0TO99
1806,1005,2010,1520.76,ALL,ALL,ALL,0TO99
1871,1050,2010,19250.40,ALL,ALL,ALL,0TO99
1834,1054,2010,11793.02,ALL,ALL,ALL,0TO99
1825,1045,2010,64874.77,ALL,ALL,ALL,0TO99
1850,1025,2010,6762.09,ALL,ALL,ALL,0TO99
1805,1006,2010,2888.60,ALL,ALL,ALL,0TO99
1789,1040,2010,8782.88,ALL,ALL,ALL,0TO99
1792,1013,2010,2569.27,ALL,ALL,ALL,0TO99
1795,1047,2010,21935.24,ALL,ALL,ALL,0TO99
1824,1018,2010,953.95,ALL,ALL,ALL,0TO99
1846,1057,2010,2460.58,ALL,ALL,ALL,0TO99
1767,1039,2010,4501.61,ALL,ALL,ALL,0TO99
