Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1896,552,2010,2103.45,ALL,ALL,ALL,0TO99
1916,530,2010,151.04,ALL,ALL,ALL,0TO99
1901,537,2010,255.65,ALL,ALL,ALL,0TO99
1929,565,2010,250.78,ALL,ALL,ALL,0TO99
1909,535,2010,704.13,ALL,ALL,ALL,0TO99
1921,577,2010,137.94,ALL,ALL,ALL,0TO99
1925,560,2010,204.76,ALL,ALL,ALL,0TO99
1935,549,2010,243.07,ALL,ALL,ALL,0TO99
1939,543,2010,215.70,ALL,ALL,ALL,0TO99
1942,538,2010,244.61,ALL,ALL,ALL,0TO99
1929,545,2010,301.31,ALL,ALL,ALL,0TO99
1909,528,2010,339.04,ALL,ALL,ALL,0TO99
1920,537,2010,429.74,ALL,ALL,ALL,0TO99
1928,556,2010,223.35,ALL,ALL,ALL,0TO99
1922,575,2010,970.88,ALL,ALL,ALL,0TO99
1932,564,2010,250.79,ALL,ALL,ALL,0TO99
1917,538,2010,677.89,ALL,ALL,ALL,0TO99
1904,530,2010,226.87,ALL,ALL,ALL,0TO99
1903,553,2010,708.39,ALL,ALL,ALL,0TO99
1907,554,2010,705.85,ALL,ALL,ALL,0TO99
1936,571,2010,246.46,ALL,ALL,ALL,0TO99
1910,528,2010,392.75,ALL,ALL,ALL,0TO99
1917,560,2010,204.76,ALL,ALL,ALL,0TO99
1916,538,2010,2908.74,ALL,ALL,ALL,0TO99
1898,565,2010,700.85,ALL,ALL,ALL,0TO99
1939,567,2010,186.28,ALL,ALL,ALL,0TO99
1914,527,2010,435.55,ALL,ALL,ALL,0TO99
1916,582,2010,1761.61,ALL,ALL,ALL,0TO99
1932,568,2010,250.76,ALL,ALL,ALL,0TO99
1899,559,2010,445.41,ALL,ALL,ALL,0TO99
1913,534,2010,193.56,ALL,ALL,ALL,0TO99
1908,525,2010,190.99,ALL,ALL,ALL,0TO99
1912,542,2010,1271.39,ALL,ALL,ALL,0TO99
1928,558,2010,223.35,ALL,ALL,ALL,0TO99
1932,559,2010,223.35,ALL,ALL,ALL,0TO99
1931,539,2010,221.82,ALL,ALL,ALL,0TO99
1937,555,2010,234.88,ALL,ALL,ALL,0TO99
1931,554,2010,223.34,ALL,ALL,ALL,0TO99
1906,550,2010,289.56,ALL,ALL,ALL,0TO99
1903,559,2010,326.53,ALL,ALL,ALL,0TO99
1929,574,2010,137.97,ALL,ALL,ALL,0TO99
1931,550,2010,223.31,ALL,ALL,ALL,0TO99
1942,555,2010,263.85,ALL,ALL,ALL,0TO99
1913,541,2010,785.73,ALL,ALL,ALL,0TO99
1943,541,2010,173.63,ALL,ALL,ALL,0TO99
1942,551,2010,119.83,ALL,ALL,ALL,0TO99
1920,549,2010,139.10,ALL,ALL,ALL,0TO99
1906,562,2010,326.53,ALL,ALL,ALL,0TO99
1918,580,2010,1713.80,ALL,ALL,ALL,0TO99
1909,533,2010,541.95,ALL,ALL,ALL,0TO99
1920,542,2010,517.51,ALL,ALL,ALL,0TO99
1924,561,2010,177.84,ALL,ALL,ALL,0TO99
1920,553,2010,231.95,ALL,ALL,ALL,0TO99
1918,527,2010,435.54,ALL,ALL,ALL,0TO99
1931,560,2010,223.57,ALL,ALL,ALL,0TO99
1922,570,2010,229.70,ALL,ALL,ALL,0TO99
1925,547,2010,390.07,ALL,ALL,ALL,0TO99
1917,559,2010,204.76,ALL,ALL,ALL,0TO99
1897,546,2010,1058.04,ALL,ALL,ALL,0TO99
1901,568,2010,222.98,ALL,ALL,ALL,0TO99
1910,530,2010,435.67,ALL,ALL,ALL,0TO99
1891,549,2010,1868.14,ALL,ALL,ALL,0TO99
1929,576,2010,137.95,ALL,ALL,ALL,0TO99
1912,569,2010,266.67,ALL,ALL,ALL,0TO99
1945,544,2010,240.05,ALL,ALL,ALL,0TO99
1932,557,2010,223.35,ALL,ALL,ALL,0TO99
1932,558,2010,223.35,ALL,ALL,ALL,0TO99
1900,548,2010,951.08,ALL,ALL,ALL,0TO99
1931,576,2010,137.95,ALL,ALL,ALL,0TO99
1921,582,2010,331.63,ALL,ALL,ALL,0TO99
1917,568,2010,229.72,ALL,ALL,ALL,0TO99
1927,566,2010,250.78,ALL,ALL,ALL,0TO99
1893,547,2010,540.32,ALL,ALL,ALL,0TO99
1910,540,2010,973.35,ALL,ALL,ALL,0TO99
1923,562,2010,159.79,ALL,ALL,ALL,0TO99
1902,548,2010,544.34,ALL,ALL,ALL,0TO99
1922,558,2010,204.76,ALL,ALL,ALL,0TO99
1904,564,2010,326.52,ALL,ALL,ALL,0TO99
1923,575,2010,970.88,ALL,ALL,ALL,0TO99
1907,549,2010,277.39,ALL,ALL,ALL,0TO99
1916,580,2010,1718.62,ALL,ALL,ALL,0TO99
1922,571,2010,512.46,ALL,ALL,ALL,0TO99
1935,553,2010,223.55,ALL,ALL,ALL,0TO99
1930,542,2010,277.64,ALL,ALL,ALL,0TO99
1889,552,2010,528.92,ALL,ALL,ALL,0TO99
1932,542,2010,1132.32,ALL,ALL,ALL,0TO99
1899,538,2010,208.69,ALL,ALL,ALL,0TO99
1911,537,2010,494.33,ALL,ALL,ALL,0TO99
1901,553,2010,708.39,ALL,ALL,ALL,0TO99
1906,565,2010,326.51,ALL,ALL,ALL,0TO99
1925,557,2010,206.33,ALL,ALL,ALL,0TO99
1916,551,2010,142.76,ALL,ALL,ALL,0TO99
1930,552,2010,223.33,ALL,ALL,ALL,0TO99
1932,554,2010,223.34,ALL,ALL,ALL,0TO99
1897,566,2010,235.50,ALL,ALL,ALL,0TO99
1906,552,2010,634.85,ALL,ALL,ALL,0TO99
1913,523,2010,274.23,ALL,ALL,ALL,0TO99
1930,580,2010,137.91,ALL,ALL,ALL,0TO99
1892,553,2010,1819.88,ALL,ALL,ALL,0TO99
1934,552,2010,223.33,ALL,ALL,ALL,0TO99
1937,558,2010,234.89,ALL,ALL,ALL,0TO99
1917,574,2010,970.95,ALL,ALL,ALL,0TO99
1920,541,2010,519.24,ALL,ALL,ALL,0TO99
1915,563,2010,227.80,ALL,ALL,ALL,0TO99
1934,553,2010,223.33,ALL,ALL,ALL,0TO99
1929,581,2010,137.90,ALL,ALL,ALL,0TO99
1927,578,2010,137.93,ALL,ALL,ALL,0TO99
1910,536,2010,704.20,ALL,ALL,ALL,0TO99
1925,550,2010,505.37,ALL,ALL,ALL,0TO99
1940,542,2010,190.36,ALL,ALL,ALL,0TO99
1943,573,2010,192.77,ALL,ALL,ALL,0TO99
1906,551,2010,361.02,ALL,ALL,ALL,0TO99
1916,547,2010,194.17,ALL,ALL,ALL,0TO99
1896,563,2010,248149.78,ALL,ALL,ALL,0TO99
1931,537,2010,341.06,ALL,ALL,ALL,0TO99
1936,541,2010,1393.05,ALL,ALL,ALL,0TO99
1899,546,2010,150.45,ALL,ALL,ALL,0TO99
1901,561,2010,326.53,ALL,ALL,ALL,0TO99
1929,551,2010,223.32,ALL,ALL,ALL,0TO99
1929,560,2010,223.35,ALL,ALL,ALL,0TO99
1911,543,2010,1282.99,ALL,ALL,ALL,0TO99
1894,547,2010,1161.81,ALL,ALL,ALL,0TO99
1912,534,2010,151.04,ALL,ALL,ALL,0TO99
1894,562,2010,483.84,ALL,ALL,ALL,0TO99
1895,545,2010,121.37,ALL,ALL,ALL,0TO99
1900,561,2010,316.26,ALL,ALL,ALL,0TO99
1937,549,2010,241.64,ALL,ALL,ALL,0TO99
1934,540,2010,879.89,ALL,ALL,ALL,0TO99
1938,562,2010,250.79,ALL,ALL,ALL,0TO99
1910,525,2010,227.69,ALL,ALL,ALL,0TO99
1943,546,2010,173.69,ALL,ALL,ALL,0TO99
1940,552,2010,234.87,ALL,ALL,ALL,0TO99
1929,543,2010,1666.99,ALL,ALL,ALL,0TO99
1915,564,2010,229.74,ALL,ALL,ALL,0TO99
1942,537,2010,255.94,ALL,ALL,ALL,0TO99
1932,537,2010,219.62,ALL,ALL,ALL,0TO99
1918,557,2010,204.76,ALL,ALL,ALL,0TO99
1914,550,2010,194.19,ALL,ALL,ALL,0TO99
1933,541,2010,277.87,ALL,ALL,ALL,0TO99
1938,571,2010,186.25,ALL,ALL,ALL,0TO99
1911,551,2010,247.60,ALL,ALL,ALL,0TO99
1932,560,2010,230.28,ALL,ALL,ALL,0TO99
1941,565,2010,177.73,ALL,ALL,ALL,0TO99
1918,553,2010,192.87,ALL,ALL,ALL,0TO99
1929,553,2010,223.33,ALL,ALL,ALL,0TO99
1909,566,2010,326.50,ALL,ALL,ALL,0TO99
1891,552,2010,1896.49,ALL,ALL,ALL,0TO99
1934,537,2010,217.30,ALL,ALL,ALL,0TO99
1934,563,2010,250.79,ALL,ALL,ALL,0TO99
1909,545,2010,1231.58,ALL,ALL,ALL,0TO99
1894,548,2010,2148.37,ALL,ALL,ALL,0TO99
1892,546,2010,121.37,ALL,ALL,ALL,0TO99
1937,550,2010,234.85,ALL,ALL,ALL,0TO99
1937,538,2010,218.46,ALL,ALL,ALL,0TO99
1939,566,2010,186.29,ALL,ALL,ALL,0TO99
1926,570,2010,250.74,ALL,ALL,ALL,0TO99
1908,530,2010,361.28,ALL,ALL,ALL,0TO99
1929,578,2010,137.93,ALL,ALL,ALL,0TO99
1911,539,2010,1124.52,ALL,ALL,ALL,0TO99
1933,566,2010,250.78,ALL,ALL,ALL,0TO99
1934,555,2010,223.87,ALL,ALL,ALL,0TO99
1907,557,2010,201.20,ALL,ALL,ALL,0TO99
1923,565,2010,188.97,ALL,ALL,ALL,0TO99
1902,556,2010,503.29,ALL,ALL,ALL,0TO99
1936,553,2010,232.94,ALL,ALL,ALL,0TO99
1922,549,2010,277.00,ALL,ALL,ALL,0TO99
1918,562,2010,204.76,ALL,ALL,ALL,0TO99
1900,553,2010,708.39,ALL,ALL,ALL,0TO99
1939,570,2010,186.26,ALL,ALL,ALL,0TO99
1900,543,2010,166.48,ALL,ALL,ALL,0TO99
1937,544,2010,902.36,ALL,ALL,ALL,0TO99
1915,541,2010,194.09,ALL,ALL,ALL,0TO99
1910,549,2010,277.39,ALL,ALL,ALL,0TO99
1943,548,2010,173.71,ALL,ALL,ALL,0TO99
1904,551,2010,708.34,ALL,ALL,ALL,0TO99
1915,534,2010,384.53,ALL,ALL,ALL,0TO99
1928,550,2010,223.31,ALL,ALL,ALL,0TO99
1914,559,2010,204.54,ALL,ALL,ALL,0TO99
1907,566,2010,328.36,ALL,ALL,ALL,0TO99
1897,549,2010,2148.46,ALL,ALL,ALL,0TO99
1901,535,2010,255.60,ALL,ALL,ALL,0TO99
1903,534,2010,255.39,ALL,ALL,ALL,0TO99
1908,547,2010,277.37,ALL,ALL,ALL,0TO99
1905,558,2010,245.52,ALL,ALL,ALL,0TO99
1909,562,2010,242.30,ALL,ALL,ALL,0TO99
1910,543,2010,1042.96,ALL,ALL,ALL,0TO99
1910,553,2010,272.10,ALL,ALL,ALL,0TO99
1939,555,2010,234.88,ALL,ALL,ALL,0TO99
1904,535,2010,264.21,ALL,ALL,ALL,0TO99
1938,567,2010,186.28,ALL,ALL,ALL,0TO99
1913,563,2010,229.74,ALL,ALL,ALL,0TO99
1939,554,2010,234.88,ALL,ALL,ALL,0TO99
1911,533,2010,324.71,ALL,ALL,ALL,0TO99
1915,555,2010,204.12,ALL,ALL,ALL,0TO99
1940,553,2010,234.87,ALL,ALL,ALL,0TO99
1942,546,2010,184.34,ALL,ALL,ALL,0TO99
1930,560,2010,223.35,ALL,ALL,ALL,0TO99
1930,545,2010,1582.66,ALL,ALL,ALL,0TO99
1896,564,2010,37955.43,ALL,ALL,ALL,0TO99
1901,539,2010,255.69,ALL,ALL,ALL,0TO99
1917,543,2010,194.12,ALL,ALL,ALL,0TO99
1921,559,2010,198.71,ALL,ALL,ALL,0TO99
1926,549,2010,236.21,ALL,ALL,ALL,0TO99
1923,576,2010,812.26,ALL,ALL,ALL,0TO99
1928,546,2010,248.80,ALL,ALL,ALL,0TO99
1940,546,2010,199.68,ALL,ALL,ALL,0TO99
1937,554,2010,234.88,ALL,ALL,ALL,0TO99
1910,562,2010,221.76,ALL,ALL,ALL,0TO99
1939,542,2010,709.59,ALL,ALL,ALL,0TO99
1925,540,2010,411.93,ALL,ALL,ALL,0TO99
1916,556,2010,204.75,ALL,ALL,ALL,0TO99
1924,576,2010,593.67,ALL,ALL,ALL,0TO99
1912,537,2010,387.27,ALL,ALL,ALL,0TO99
1945,554,2010,278.80,ALL,ALL,ALL,0TO99
1908,544,2010,278.40,ALL,ALL,ALL,0TO99
1900,545,2010,136.61,ALL,ALL,ALL,0TO99
1931,565,2010,250.78,ALL,ALL,ALL,0TO99
1911,524,2010,227.67,ALL,ALL,ALL,0TO99
1927,554,2010,223.34,ALL,ALL,ALL,0TO99
1922,577,2010,139.35,ALL,ALL,ALL,0TO99
1898,539,2010,121.31,ALL,ALL,ALL,0TO99
1905,535,2010,400.20,ALL,ALL,ALL,0TO99
1893,554,2010,1997.57,ALL,ALL,ALL,0TO99
1941,549,2010,866.11,ALL,ALL,ALL,0TO99
1917,577,2010,970.75,ALL,ALL,ALL,0TO99
1941,570,2010,186.26,ALL,ALL,ALL,0TO99
1932,575,2010,160.61,ALL,ALL,ALL,0TO99
1906,534,2010,435.66,ALL,ALL,ALL,0TO99
1924,579,2010,137.92,ALL,ALL,ALL,0TO99
1932,577,2010,155.71,ALL,ALL,ALL,0TO99
1901,540,2010,140.41,ALL,ALL,ALL,0TO99
1926,571,2010,250.73,ALL,ALL,ALL,0TO99
1944,546,2010,173.69,ALL,ALL,ALL,0TO99
1921,536,2010,498.59,ALL,ALL,ALL,0TO99
1940,540,2010,1012.20,ALL,ALL,ALL,0TO99
1925,538,2010,277.50,ALL,ALL,ALL,0TO99
1906,564,2010,326.52,ALL,ALL,ALL,0TO99
1930,543,2010,1836.02,ALL,ALL,ALL,0TO99
1920,567,2010,227.93,ALL,ALL,ALL,0TO99
1898,570,2010,1636.04,ALL,ALL,ALL,0TO99
1905,562,2010,326.53,ALL,ALL,ALL,0TO99
1921,541,2010,519.24,ALL,ALL,ALL,0TO99
1930,557,2010,223.35,ALL,ALL,ALL,0TO99
1927,552,2010,223.33,ALL,ALL,ALL,0TO99
1925,577,2010,137.94,ALL,ALL,ALL,0TO99
1912,550,2010,194.19,ALL,ALL,ALL,0TO99
1914,547,2010,194.17,ALL,ALL,ALL,0TO99
1919,570,2010,531.04,ALL,ALL,ALL,0TO99
1919,574,2010,970.95,ALL,ALL,ALL,0TO99
1913,525,2010,277.93,ALL,ALL,ALL,0TO99
1935,556,2010,234.72,ALL,ALL,ALL,0TO99
1907,564,2010,326.52,ALL,ALL,ALL,0TO99
1908,538,2010,175.01,ALL,ALL,ALL,0TO99
1911,547,2010,275.85,ALL,ALL,ALL,0TO99
1940,548,2010,1044.58,ALL,ALL,ALL,0TO99
1923,536,2010,277.45,ALL,ALL,ALL,0TO99
1938,550,2010,234.85,ALL,ALL,ALL,0TO99
1919,548,2010,139.66,ALL,ALL,ALL,0TO99
1934,569,2010,236.59,ALL,ALL,ALL,0TO99
1936,568,2010,186.28,ALL,ALL,ALL,0TO99
1919,536,2010,654.07,ALL,ALL,ALL,0TO99
1895,553,2010,2148.77,ALL,ALL,ALL,0TO99
1922,566,2010,160.16,ALL,ALL,ALL,0TO99
1938,560,2010,250.79,ALL,ALL,ALL,0TO99
1891,548,2010,273.47,ALL,ALL,ALL,0TO99
1936,539,2010,257.23,ALL,ALL,ALL,0TO99
1938,565,2010,186.29,ALL,ALL,ALL,0TO99
1933,556,2010,223.35,ALL,ALL,ALL,0TO99
1913,558,2010,201.26,ALL,ALL,ALL,0TO99
1897,539,2010,121.08,ALL,ALL,ALL,0TO99
1945,569,2010,150.98,ALL,ALL,ALL,0TO99
1911,536,2010,673.80,ALL,ALL,ALL,0TO99
1938,544,2010,443.38,ALL,ALL,ALL,0TO99
1903,561,2010,326.53,ALL,ALL,ALL,0TO99
1908,559,2010,201.20,ALL,ALL,ALL,0TO99
1923,553,2010,529.55,ALL,ALL,ALL,0TO99
1930,575,2010,137.96,ALL,ALL,ALL,0TO99
1933,545,2010,2299.04,ALL,ALL,ALL,0TO99
1910,529,2010,435.63,ALL,ALL,ALL,0TO99
