Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1757,1139,2010,139.07,ALL,ALL,ALL,0TO99
1767,1144,2010,283.90,ALL,ALL,ALL,0TO99
1793,1092,2010,9775.39,ALL,ALL,ALL,0TO99
1781,1092,2010,12916.84,ALL,ALL,ALL,0TO99
1751,1126,2010,262.89,ALL,ALL,ALL,0TO99
1774,1070,2010,12544.79,ALL,ALL,ALL,0TO99
1758,1117,2010,60520.75,ALL,ALL,ALL,0TO99
1786,1106,2010,31128.44,ALL,ALL,ALL,0TO99
1786,1100,2010,8680.43,ALL,ALL,ALL,0TO99
1812,1087,2010,16973.17,ALL,ALL,ALL,0TO99
1742,1119,2010,73.18,ALL,ALL,ALL,0TO99
1813,1071,2010,22664.20,ALL,ALL,ALL,0TO99
1777,1113,2010,1724.46,ALL,ALL,ALL,0TO99
1725,1104,2010,3090.89,ALL,ALL,ALL,0TO99
1772,1125,2010,3351.87,ALL,ALL,ALL,0TO99
1788,1073,2010,18343.74,ALL,ALL,ALL,0TO99
1754,1129,2010,171.16,ALL,ALL,ALL,0TO99
1758,1066,2010,3906.38,ALL,ALL,ALL,0TO99
1800,1070,2010,28462.78,ALL,ALL,ALL,0TO99
1781,1080,2010,14300.95,ALL,ALL,ALL,0TO99
1790,1100,2010,38964.97,ALL,ALL,ALL,0TO99
1760,1117,2010,60812.92,ALL,ALL,ALL,0TO99
1782,1109,2010,21130.47,ALL,ALL,ALL,0TO99
1735,1140,2010,144.75,ALL,ALL,ALL,0TO99
1769,1086,2010,4550.86,ALL,ALL,ALL,0TO99
1775,1134,2010,2094.39,ALL,ALL,ALL,0TO99
1752,1123,2010,262.76,ALL,ALL,ALL,0TO99
1781,1075,2010,13715.00,ALL,ALL,ALL,0TO99
1784,1105,2010,24361.63,ALL,ALL,ALL,0TO99
1762,1076,2010,27661.17,ALL,ALL,ALL,0TO99
1802,1072,2010,23364.61,ALL,ALL,ALL,0TO99
1806,1088,2010,6819.64,ALL,ALL,ALL,0TO99
1783,1087,2010,20855.98,ALL,ALL,ALL,0TO99
1783,1115,2010,1724.30,ALL,ALL,ALL,0TO99
1768,1091,2010,11702.56,ALL,ALL,ALL,0TO99
1777,1073,2010,33965.72,ALL,ALL,ALL,0TO99
