Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2219,986,D24HourMean,QuarterlyMean,Mean,7.10
2252,984,D24HourMean,QuarterlyMean,Mean,10.69
2232,981,D24HourMean,QuarterlyMean,Mean,8.71
2224,988,D24HourMean,QuarterlyMean,Mean,9.79
2247,982,D24HourMean,QuarterlyMean,Mean,8.60
2221,989,D24HourMean,QuarterlyMean,Mean,7.91
2206,993,D24HourMean,QuarterlyMean,Mean,9.68
2225,985,D24HourMean,QuarterlyMean,Mean,7.07
2218,983,D24HourMean,QuarterlyMean,Mean,8.74
2237,976,D24HourMean,QuarterlyMean,Mean,11.80
2235,986,D24HourMean,QuarterlyMean,Mean,9.01
2229,990,D24HourMean,QuarterlyMean,Mean,9.34
2240,978,D24HourMean,QuarterlyMean,Mean,10.14
2213,992,D24HourMean,QuarterlyMean,Mean,7.25
2230,982,D24HourMean,QuarterlyMean,Mean,9.25
2249,978,D24HourMean,QuarterlyMean,Mean,12.44
2202,993,D24HourMean,QuarterlyMean,Mean,9.18
2218,987,D24HourMean,QuarterlyMean,Mean,6.84
2229,976,D24HourMean,QuarterlyMean,Mean,12.40
2257,979,D24HourMean,QuarterlyMean,Mean,13.18
2210,992,D24HourMean,QuarterlyMean,Mean,6.99
2215,991,D24HourMean,QuarterlyMean,Mean,7.62
2251,977,D24HourMean,QuarterlyMean,Mean,11.83
2239,982,D24HourMean,QuarterlyMean,Mean,10.35
2242,972,D24HourMean,QuarterlyMean,Mean,10.84
2232,977,D24HourMean,QuarterlyMean,Mean,11.39
2251,985,D24HourMean,QuarterlyMean,Mean,10.09
2259,977,D24HourMean,QuarterlyMean,Mean,13.59
2259,973,D24HourMean,QuarterlyMean,Mean,12.57
2208,994,D24HourMean,QuarterlyMean,Mean,7.83
2219,989,D24HourMean,QuarterlyMean,Mean,8.63
2228,986,D24HourMean,QuarterlyMean,Mean,7.80
2228,977,D24HourMean,QuarterlyMean,Mean,11.34
2230,988,D24HourMean,QuarterlyMean,Mean,9.12
2257,977,D24HourMean,QuarterlyMean,Mean,11.94
2217,985,D24HourMean,QuarterlyMean,Mean,8.04
2201,994,D24HourMean,QuarterlyMean,Mean,9.34
2262,973,D24HourMean,QuarterlyMean,Mean,12.47
2259,975,D24HourMean,QuarterlyMean,Mean,11.33
2264,978,D24HourMean,QuarterlyMean,Mean,12.79
2246,978,D24HourMean,QuarterlyMean,Mean,12.30
2234,977,D24HourMean,QuarterlyMean,Mean,10.15
2241,975,D24HourMean,QuarterlyMean,Mean,9.90
2223,987,D24HourMean,QuarterlyMean,Mean,7.17
2204,993,D24HourMean,QuarterlyMean,Mean,9.28
2242,975,D24HourMean,QuarterlyMean,Mean,9.86
2237,981,D24HourMean,QuarterlyMean,Mean,10.33
2227,988,D24HourMean,QuarterlyMean,Mean,9.27
2222,983,D24HourMean,QuarterlyMean,Mean,8.08
2254,976,D24HourMean,QuarterlyMean,Mean,10.70
2230,979,D24HourMean,QuarterlyMean,Mean,7.37
2225,986,D24HourMean,QuarterlyMean,Mean,7.70
2260,975,D24HourMean,QuarterlyMean,Mean,12.17
2244,972,D24HourMean,QuarterlyMean,Mean,9.91
2253,985,D24HourMean,QuarterlyMean,Mean,12.53
2233,973,D24HourMean,QuarterlyMean,Mean,12.92
2206,991,D24HourMean,QuarterlyMean,Mean,9.17
2228,991,D24HourMean,QuarterlyMean,Mean,9.20
2206,994,D24HourMean,QuarterlyMean,Mean,8.63
2233,984,D24HourMean,QuarterlyMean,Mean,8.25
2236,979,D24HourMean,QuarterlyMean,Mean,9.78
2237,973,D24HourMean,QuarterlyMean,Mean,13.62
2242,984,D24HourMean,QuarterlyMean,Mean,9.17
2241,984,D24HourMean,QuarterlyMean,Mean,9.02
2241,973,D24HourMean,QuarterlyMean,Mean,11.21
