Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2219,986,2010,2437.37,ALL,ALL,ALL,0TO99
2252,984,2010,1113.30,ALL,ALL,ALL,0TO99
2232,981,2010,18298.32,ALL,ALL,ALL,0TO99
2224,988,2010,1624.48,ALL,ALL,ALL,0TO99
2247,982,2010,1041.67,ALL,ALL,ALL,0TO99
2221,989,2010,518.09,ALL,ALL,ALL,0TO99
2206,993,2010,828.74,ALL,ALL,ALL,0TO99
2225,985,2010,5533.03,ALL,ALL,ALL,0TO99
2218,983,2010,10763.36,ALL,ALL,ALL,0TO99
2237,976,2010,3955.89,ALL,ALL,ALL,0TO99
2235,986,2010,663.18,ALL,ALL,ALL,0TO99
2229,990,2010,479.52,ALL,ALL,ALL,0TO99
2240,978,2010,7167.39,ALL,ALL,ALL,0TO99
2213,992,2010,586.67,ALL,ALL,ALL,0TO99
2230,982,2010,12157.76,ALL,ALL,ALL,0TO99
2249,978,2010,54045.57,ALL,ALL,ALL,0TO99
2202,993,2010,885.78,ALL,ALL,ALL,0TO99
2218,987,2010,1529.60,ALL,ALL,ALL,0TO99
2229,976,2010,3376.37,ALL,ALL,ALL,0TO99
2257,979,2010,5185.84,ALL,ALL,ALL,0TO99
2210,992,2010,527.76,ALL,ALL,ALL,0TO99
2215,991,2010,603.77,ALL,ALL,ALL,0TO99
2251,977,2010,27770.54,ALL,ALL,ALL,0TO99
2239,982,2010,545.59,ALL,ALL,ALL,0TO99
2242,972,2010,2921.51,ALL,ALL,ALL,0TO99
2232,977,2010,4341.90,ALL,ALL,ALL,0TO99
2251,985,2010,1111.43,ALL,ALL,ALL,0TO99
2259,977,2010,8629.09,ALL,ALL,ALL,0TO99
2259,973,2010,1932.21,ALL,ALL,ALL,0TO99
2208,994,2010,592.26,ALL,ALL,ALL,0TO99
2219,989,2010,876.17,ALL,ALL,ALL,0TO99
2228,986,2010,1944.91,ALL,ALL,ALL,0TO99
2228,977,2010,2829.06,ALL,ALL,ALL,0TO99
2230,988,2010,577.00,ALL,ALL,ALL,0TO99
2257,977,2010,8386.70,ALL,ALL,ALL,0TO99
2217,985,2010,1859.20,ALL,ALL,ALL,0TO99
2201,994,2010,4067.95,ALL,ALL,ALL,0TO99
2262,973,2010,1143.81,ALL,ALL,ALL,0TO99
2259,975,2010,3456.36,ALL,ALL,ALL,0TO99
