Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1787,632,D24HourMean,QuarterlyMean,Mean,16.36
1798,649,D24HourMean,QuarterlyMean,Mean,16.46
1777,662,D24HourMean,QuarterlyMean,Mean,20.13
1795,629,D24HourMean,QuarterlyMean,Mean,18.74
1797,662,D24HourMean,QuarterlyMean,Mean,21.60
1777,664,D24HourMean,QuarterlyMean,Mean,19.95
1798,660,D24HourMean,QuarterlyMean,Mean,18.84
1800,656,D24HourMean,QuarterlyMean,Mean,19.56
1798,639,D24HourMean,QuarterlyMean,Mean,18.88
1797,663,D24HourMean,QuarterlyMean,Mean,21.32
1792,650,D24HourMean,QuarterlyMean,Mean,19.21
1794,648,D24HourMean,QuarterlyMean,Mean,17.67
1800,650,D24HourMean,QuarterlyMean,Mean,16.41
1806,624,D24HourMean,QuarterlyMean,Mean,15.29
1771,616,D24HourMean,QuarterlyMean,Mean,6.66
1775,656,D24HourMean,QuarterlyMean,Mean,20.16
1793,646,D24HourMean,QuarterlyMean,Mean,21.24
1788,639,D24HourMean,QuarterlyMean,Mean,18.98
1773,616,D24HourMean,QuarterlyMean,Mean,6.76
1775,618,D24HourMean,QuarterlyMean,Mean,12.56
1791,632,D24HourMean,QuarterlyMean,Mean,17.62
1772,622,D24HourMean,QuarterlyMean,Mean,15.97
1787,650,D24HourMean,QuarterlyMean,Mean,17.76
1786,668,D24HourMean,QuarterlyMean,Mean,20.38
1776,659,D24HourMean,QuarterlyMean,Mean,25.37
1806,637,D24HourMean,QuarterlyMean,Mean,18.43
1778,648,D24HourMean,QuarterlyMean,Mean,19.19
1776,628,D24HourMean,QuarterlyMean,Mean,17.14
1799,663,D24HourMean,QuarterlyMean,Mean,20.55
1798,656,D24HourMean,QuarterlyMean,Mean,20.45
1781,663,D24HourMean,QuarterlyMean,Mean,19.68
1785,652,D24HourMean,QuarterlyMean,Mean,18.82
1782,666,D24HourMean,QuarterlyMean,Mean,20.71
1794,646,D24HourMean,QuarterlyMean,Mean,17.42
1786,629,D24HourMean,QuarterlyMean,Mean,17.62
1789,662,D24HourMean,QuarterlyMean,Mean,20.95
1783,627,D24HourMean,QuarterlyMean,Mean,16.87
1798,624,D24HourMean,QuarterlyMean,Mean,14.73
1783,633,D24HourMean,QuarterlyMean,Mean,14.73
1801,635,D24HourMean,QuarterlyMean,Mean,18.59
1805,645,D24HourMean,QuarterlyMean,Mean,18.40
1773,619,D24HourMean,QuarterlyMean,Mean,13.43
1777,653,D24HourMean,QuarterlyMean,Mean,20.56
1780,636,D24HourMean,QuarterlyMean,Mean,15.70
1792,644,D24HourMean,QuarterlyMean,Mean,18.12
1791,634,D24HourMean,QuarterlyMean,Mean,17.39
1792,621,D24HourMean,QuarterlyMean,Mean,14.48
1797,649,D24HourMean,QuarterlyMean,Mean,16.03
1802,637,D24HourMean,QuarterlyMean,Mean,19.48
1780,610,D24HourMean,QuarterlyMean,Mean,10.93
1777,644,D24HourMean,QuarterlyMean,Mean,17.67
1799,643,D24HourMean,QuarterlyMean,Mean,18.01
1792,639,D24HourMean,QuarterlyMean,Mean,17.52
1794,621,D24HourMean,QuarterlyMean,Mean,14.41
1796,619,D24HourMean,QuarterlyMean,Mean,14.28
1787,621,D24HourMean,QuarterlyMean,Mean,13.10
1778,669,D24HourMean,QuarterlyMean,Mean,21.68
1783,662,D24HourMean,QuarterlyMean,Mean,18.36
1784,669,D24HourMean,QuarterlyMean,Mean,22.00
1775,615,D24HourMean,QuarterlyMean,Mean,13.22
1792,661,D24HourMean,QuarterlyMean,Mean,20.32
1784,648,D24HourMean,QuarterlyMean,Mean,21.03
1795,668,D24HourMean,QuarterlyMean,Mean,22.24
1797,622,D24HourMean,QuarterlyMean,Mean,14.55
1772,668,D24HourMean,QuarterlyMean,Mean,21.35
1789,658,D24HourMean,QuarterlyMean,Mean,19.76
1794,667,D24HourMean,QuarterlyMean,Mean,22.68
1793,654,D24HourMean,QuarterlyMean,Mean,21.32
1791,626,D24HourMean,QuarterlyMean,Mean,15.64
1802,658,D24HourMean,QuarterlyMean,Mean,20.48
1772,637,D24HourMean,QuarterlyMean,Mean,16.69
1779,618,D24HourMean,QuarterlyMean,Mean,13.52
1785,654,D24HourMean,QuarterlyMean,Mean,18.14
1796,614,D24HourMean,QuarterlyMean,Mean,13.87
1789,625,D24HourMean,QuarterlyMean,Mean,16.26
1799,630,D24HourMean,QuarterlyMean,Mean,18.01
1769,625,D24HourMean,QuarterlyMean,Mean,15.34
1802,624,D24HourMean,QuarterlyMean,Mean,15.13
1788,632,D24HourMean,QuarterlyMean,Mean,17.57
1794,638,D24HourMean,QuarterlyMean,Mean,18.53
1791,661,D24HourMean,QuarterlyMean,Mean,21.35
1774,649,D24HourMean,QuarterlyMean,Mean,17.01
1783,615,D24HourMean,QuarterlyMean,Mean,13.00
1784,644,D24HourMean,QuarterlyMean,Mean,21.16
1781,623,D24HourMean,QuarterlyMean,Mean,14.78
1773,617,D24HourMean,QuarterlyMean,Mean,6.80
1776,634,D24HourMean,QuarterlyMean,Mean,15.42
1800,664,D24HourMean,QuarterlyMean,Mean,20.50
1782,651,D24HourMean,QuarterlyMean,Mean,19.09
1801,653,D24HourMean,QuarterlyMean,Mean,11.35
1774,669,D24HourMean,QuarterlyMean,Mean,21.38
1802,641,D24HourMean,QuarterlyMean,Mean,20.50
1794,653,D24HourMean,QuarterlyMean,Mean,20.05
1772,664,D24HourMean,QuarterlyMean,Mean,22.00
1781,622,D24HourMean,QuarterlyMean,Mean,16.80
1781,662,D24HourMean,QuarterlyMean,Mean,18.79
1799,649,D24HourMean,QuarterlyMean,Mean,11.20
1781,669,D24HourMean,QuarterlyMean,Mean,21.96
1802,648,D24HourMean,QuarterlyMean,Mean,21.43
1779,626,D24HourMean,QuarterlyMean,Mean,16.21
1787,663,D24HourMean,QuarterlyMean,Mean,19.26
1794,622,D24HourMean,QuarterlyMean,Mean,13.77
1789,651,D24HourMean,QuarterlyMean,Mean,20.08
1776,668,D24HourMean,QuarterlyMean,Mean,21.35
1799,646,D24HourMean,QuarterlyMean,Mean,10.93
1785,644,D24HourMean,QuarterlyMean,Mean,21.16
1794,627,D24HourMean,QuarterlyMean,Mean,16.44
1783,641,D24HourMean,QuarterlyMean,Mean,22.12
1793,665,D24HourMean,QuarterlyMean,Mean,20.37
1808,618,D24HourMean,QuarterlyMean,Mean,13.47
1775,647,D24HourMean,QuarterlyMean,Mean,17.75
1798,632,D24HourMean,QuarterlyMean,Mean,17.34
1796,616,D24HourMean,QuarterlyMean,Mean,13.75
1803,618,D24HourMean,QuarterlyMean,Mean,15.82
1805,623,D24HourMean,QuarterlyMean,Mean,15.55
1782,611,D24HourMean,QuarterlyMean,Mean,11.91
1773,637,D24HourMean,QuarterlyMean,Mean,16.74
1784,636,D24HourMean,QuarterlyMean,Mean,16.69
1803,635,D24HourMean,QuarterlyMean,Mean,19.61
1797,634,D24HourMean,QuarterlyMean,Mean,15.88
1788,652,D24HourMean,QuarterlyMean,Mean,19.74
1781,638,D24HourMean,QuarterlyMean,Mean,16.15
1796,654,D24HourMean,QuarterlyMean,Mean,19.63
1775,613,D24HourMean,QuarterlyMean,Mean,6.53
1782,609,D24HourMean,QuarterlyMean,Mean,13.20
1785,656,D24HourMean,QuarterlyMean,Mean,19.97
1771,618,D24HourMean,QuarterlyMean,Mean,6.78
1773,656,D24HourMean,QuarterlyMean,Mean,21.35
1775,655,D24HourMean,QuarterlyMean,Mean,17.89
1787,641,D24HourMean,QuarterlyMean,Mean,18.69
1787,623,D24HourMean,QuarterlyMean,Mean,14.22
1784,620,D24HourMean,QuarterlyMean,Mean,14.71
1787,656,D24HourMean,QuarterlyMean,Mean,20.69
1798,653,D24HourMean,QuarterlyMean,Mean,17.44
1776,633,D24HourMean,QuarterlyMean,Mean,16.75
1786,622,D24HourMean,QuarterlyMean,Mean,14.00
1791,655,D24HourMean,QuarterlyMean,Mean,19.89
1784,633,D24HourMean,QuarterlyMean,Mean,15.46
1796,632,D24HourMean,QuarterlyMean,Mean,17.10
1806,636,D24HourMean,QuarterlyMean,Mean,18.22
1786,624,D24HourMean,QuarterlyMean,Mean,14.76
1787,659,D24HourMean,QuarterlyMean,Mean,20.11
1802,645,D24HourMean,QuarterlyMean,Mean,21.89
1796,639,D24HourMean,QuarterlyMean,Mean,10.27
1795,631,D24HourMean,QuarterlyMean,Mean,17.39
1777,638,D24HourMean,QuarterlyMean,Mean,17.89
1780,640,D24HourMean,QuarterlyMean,Mean,18.61
1792,622,D24HourMean,QuarterlyMean,Mean,15.01
1779,621,D24HourMean,QuarterlyMean,Mean,15.11
1782,656,D24HourMean,QuarterlyMean,Mean,20.84
1802,635,D24HourMean,QuarterlyMean,Mean,19.13
1782,642,D24HourMean,QuarterlyMean,Mean,20.66
1793,632,D24HourMean,QuarterlyMean,Mean,17.62
1801,639,D24HourMean,QuarterlyMean,Mean,22.39
1775,623,D24HourMean,QuarterlyMean,Mean,16.03
1774,621,D24HourMean,QuarterlyMean,Mean,13.78
1779,623,D24HourMean,QuarterlyMean,Mean,15.39
1789,626,D24HourMean,QuarterlyMean,Mean,15.88
1780,607,D24HourMean,QuarterlyMean,Mean,12.50
1802,625,D24HourMean,QuarterlyMean,Mean,15.47
1804,659,D24HourMean,QuarterlyMean,Mean,21.85
1796,637,D24HourMean,QuarterlyMean,Mean,19.50
1784,668,D24HourMean,QuarterlyMean,Mean,21.40
1789,665,D24HourMean,QuarterlyMean,Mean,20.22
1788,664,D24HourMean,QuarterlyMean,Mean,24.58
1796,620,D24HourMean,QuarterlyMean,Mean,15.06
1804,626,D24HourMean,QuarterlyMean,Mean,16.62
1782,635,D24HourMean,QuarterlyMean,Mean,15.57
1789,620,D24HourMean,QuarterlyMean,Mean,13.10
1807,644,D24HourMean,QuarterlyMean,Mean,18.30
1778,641,D24HourMean,QuarterlyMean,Mean,17.41
1780,664,D24HourMean,QuarterlyMean,Mean,19.93
1779,631,D24HourMean,QuarterlyMean,Mean,16.92
1803,629,D24HourMean,QuarterlyMean,Mean,17.42
1775,658,D24HourMean,QuarterlyMean,Mean,21.88
1775,663,D24HourMean,QuarterlyMean,Mean,23.68
1785,651,D24HourMean,QuarterlyMean,Mean,19.53
1792,654,D24HourMean,QuarterlyMean,Mean,19.87
1791,656,D24HourMean,QuarterlyMean,Mean,20.39
1804,639,D24HourMean,QuarterlyMean,Mean,19.24
1785,627,D24HourMean,QuarterlyMean,Mean,16.90
1791,631,D24HourMean,QuarterlyMean,Mean,16.93
1795,660,D24HourMean,QuarterlyMean,Mean,21.11
1797,617,D24HourMean,QuarterlyMean,Mean,16.70
1806,638,D24HourMean,QuarterlyMean,Mean,18.85
1779,636,D24HourMean,QuarterlyMean,Mean,15.57
1793,617,D24HourMean,QuarterlyMean,Mean,13.20
1771,620,D24HourMean,QuarterlyMean,Mean,12.50
1789,647,D24HourMean,QuarterlyMean,Mean,18.36
1788,613,D24HourMean,QuarterlyMean,Mean,11.47
1775,638,D24HourMean,QuarterlyMean,Mean,16.78
1781,617,D24HourMean,QuarterlyMean,Mean,11.49
1796,621,D24HourMean,QuarterlyMean,Mean,14.88
1795,637,D24HourMean,QuarterlyMean,Mean,19.01
1804,625,D24HourMean,QuarterlyMean,Mean,15.77
1803,627,D24HourMean,QuarterlyMean,Mean,16.95
1786,615,D24HourMean,QuarterlyMean,Mean,7.13
1781,642,D24HourMean,QuarterlyMean,Mean,20.18
1792,667,D24HourMean,QuarterlyMean,Mean,21.72
1777,668,D24HourMean,QuarterlyMean,Mean,20.87
1772,634,D24HourMean,QuarterlyMean,Mean,15.41
1799,619,D24HourMean,QuarterlyMean,Mean,14.53
1783,612,D24HourMean,QuarterlyMean,Mean,6.68
1807,633,D24HourMean,QuarterlyMean,Mean,16.65
1770,628,D24HourMean,QuarterlyMean,Mean,17.86
1775,610,D24HourMean,QuarterlyMean,Mean,12.06
1772,665,D24HourMean,QuarterlyMean,Mean,21.67
1782,608,D24HourMean,QuarterlyMean,Mean,12.31
1788,659,D24HourMean,QuarterlyMean,Mean,20.21
1786,647,D24HourMean,QuarterlyMean,Mean,21.12
1776,621,D24HourMean,QuarterlyMean,Mean,15.54
1784,664,D24HourMean,QuarterlyMean,Mean,19.05
1798,662,D24HourMean,QuarterlyMean,Mean,19.92
1785,638,D24HourMean,QuarterlyMean,Mean,17.93
1796,618,D24HourMean,QuarterlyMean,Mean,14.15
1781,661,D24HourMean,QuarterlyMean,Mean,18.71
1795,650,D24HourMean,QuarterlyMean,Mean,18.24
1799,653,D24HourMean,QuarterlyMean,Mean,17.32
1784,613,D24HourMean,QuarterlyMean,Mean,12.41
1781,635,D24HourMean,QuarterlyMean,Mean,15.22
1784,658,D24HourMean,QuarterlyMean,Mean,17.99
1799,616,D24HourMean,QuarterlyMean,Mean,15.88
1795,669,D24HourMean,QuarterlyMean,Mean,22.31
1796,635,D24HourMean,QuarterlyMean,Mean,15.75
1790,633,D24HourMean,QuarterlyMean,Mean,17.81
1793,625,D24HourMean,QuarterlyMean,Mean,15.70
1775,641,D24HourMean,QuarterlyMean,Mean,17.85
1773,633,D24HourMean,QuarterlyMean,Mean,14.43
1785,643,D24HourMean,QuarterlyMean,Mean,21.06
1787,633,D24HourMean,QuarterlyMean,Mean,16.75
1774,626,D24HourMean,QuarterlyMean,Mean,16.05
1773,650,D24HourMean,QuarterlyMean,Mean,10.30
1790,668,D24HourMean,QuarterlyMean,Mean,22.69
1779,656,D24HourMean,QuarterlyMean,Mean,19.98
