Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1657,668,D24HourMean,QuarterlyMean,Mean,21.80
1710,674,D24HourMean,QuarterlyMean,Mean,22.32
1715,660,D24HourMean,QuarterlyMean,Mean,20.13
1690,673,D24HourMean,QuarterlyMean,Mean,22.23
1702,679,D24HourMean,QuarterlyMean,Mean,23.76
1703,673,D24HourMean,QuarterlyMean,Mean,23.38
1685,675,D24HourMean,QuarterlyMean,Mean,21.59
1714,669,D24HourMean,QuarterlyMean,Mean,23.63
1664,683,D24HourMean,QuarterlyMean,Mean,28.33
1670,682,D24HourMean,QuarterlyMean,Mean,26.12
1688,671,D24HourMean,QuarterlyMean,Mean,21.64
1675,683,D24HourMean,QuarterlyMean,Mean,24.93
1685,669,D24HourMean,QuarterlyMean,Mean,21.17
1707,640,D24HourMean,QuarterlyMean,Mean,14.20
1651,669,D24HourMean,QuarterlyMean,Mean,25.99
1695,671,D24HourMean,QuarterlyMean,Mean,21.93
1710,652,D24HourMean,QuarterlyMean,Mean,16.93
1707,675,D24HourMean,QuarterlyMean,Mean,22.20
1671,674,D24HourMean,QuarterlyMean,Mean,21.25
1712,633,D24HourMean,QuarterlyMean,Mean,11.57
1701,679,D24HourMean,QuarterlyMean,Mean,23.65
1707,663,D24HourMean,QuarterlyMean,Mean,20.53
1707,666,D24HourMean,QuarterlyMean,Mean,21.91
1696,653,D24HourMean,QuarterlyMean,Mean,15.95
1710,668,D24HourMean,QuarterlyMean,Mean,22.02
1659,672,D24HourMean,QuarterlyMean,Mean,23.68
1669,654,D24HourMean,QuarterlyMean,Mean,19.30
1678,680,D24HourMean,QuarterlyMean,Mean,22.93
1674,665,D24HourMean,QuarterlyMean,Mean,20.24
1699,657,D24HourMean,QuarterlyMean,Mean,17.99
1719,640,D24HourMean,QuarterlyMean,Mean,14.58
1712,651,D24HourMean,QuarterlyMean,Mean,16.23
1699,666,D24HourMean,QuarterlyMean,Mean,22.02
1700,657,D24HourMean,QuarterlyMean,Mean,16.90
1679,678,D24HourMean,QuarterlyMean,Mean,22.18
1666,664,D24HourMean,QuarterlyMean,Mean,20.18
1667,685,D24HourMean,QuarterlyMean,Mean,29.06
1704,662,D24HourMean,QuarterlyMean,Mean,19.09
1712,678,D24HourMean,QuarterlyMean,Mean,22.83
1682,663,D24HourMean,QuarterlyMean,Mean,19.79
1714,663,D24HourMean,QuarterlyMean,Mean,19.56
1696,654,D24HourMean,QuarterlyMean,Mean,17.65
1695,645,D24HourMean,QuarterlyMean,Mean,15.17
1708,677,D24HourMean,QuarterlyMean,Mean,23.31
1705,670,D24HourMean,QuarterlyMean,Mean,22.21
1702,658,D24HourMean,QuarterlyMean,Mean,17.93
1704,660,D24HourMean,QuarterlyMean,Mean,19.50
1700,662,D24HourMean,QuarterlyMean,Mean,20.58
1689,664,D24HourMean,QuarterlyMean,Mean,19.82
1709,654,D24HourMean,QuarterlyMean,Mean,18.30
1672,681,D24HourMean,QuarterlyMean,Mean,26.48
1707,639,D24HourMean,QuarterlyMean,Mean,15.11
1658,662,D24HourMean,QuarterlyMean,Mean,23.01
1693,654,D24HourMean,QuarterlyMean,Mean,17.63
1656,667,D24HourMean,QuarterlyMean,Mean,24.14
1717,639,D24HourMean,QuarterlyMean,Mean,13.28
1700,647,D24HourMean,QuarterlyMean,Mean,14.00
1663,661,D24HourMean,QuarterlyMean,Mean,20.71
1716,640,D24HourMean,QuarterlyMean,Mean,14.43
1687,663,D24HourMean,QuarterlyMean,Mean,20.45
1696,678,D24HourMean,QuarterlyMean,Mean,22.93
1699,661,D24HourMean,QuarterlyMean,Mean,18.37
1714,637,D24HourMean,QuarterlyMean,Mean,16.06
1702,648,D24HourMean,QuarterlyMean,Mean,14.30
1697,645,D24HourMean,QuarterlyMean,Mean,14.40
1698,678,D24HourMean,QuarterlyMean,Mean,23.82
1690,663,D24HourMean,QuarterlyMean,Mean,20.64
1667,658,D24HourMean,QuarterlyMean,Mean,20.24
1655,669,D24HourMean,QuarterlyMean,Mean,24.36
1697,654,D24HourMean,QuarterlyMean,Mean,18.33
1713,647,D24HourMean,QuarterlyMean,Mean,16.64
1697,664,D24HourMean,QuarterlyMean,Mean,21.86
1704,667,D24HourMean,QuarterlyMean,Mean,23.25
1711,651,D24HourMean,QuarterlyMean,Mean,16.64
1698,671,D24HourMean,QuarterlyMean,Mean,23.07
1705,675,D24HourMean,QuarterlyMean,Mean,22.55
1664,682,D24HourMean,QuarterlyMean,Mean,15.32
1666,674,D24HourMean,QuarterlyMean,Mean,21.46
1709,638,D24HourMean,QuarterlyMean,Mean,14.30
1712,667,D24HourMean,QuarterlyMean,Mean,22.18
1690,670,D24HourMean,QuarterlyMean,Mean,21.14
1686,679,D24HourMean,QuarterlyMean,Mean,22.98
1700,680,D24HourMean,QuarterlyMean,Mean,23.95
1708,671,D24HourMean,QuarterlyMean,Mean,21.80
1669,656,D24HourMean,QuarterlyMean,Mean,18.32
1668,670,D24HourMean,QuarterlyMean,Mean,19.50
1696,671,D24HourMean,QuarterlyMean,Mean,22.74
1671,663,D24HourMean,QuarterlyMean,Mean,18.28
1700,673,D24HourMean,QuarterlyMean,Mean,21.65
1694,660,D24HourMean,QuarterlyMean,Mean,17.73
1675,659,D24HourMean,QuarterlyMean,Mean,19.92
1663,672,D24HourMean,QuarterlyMean,Mean,24.34
1715,663,D24HourMean,QuarterlyMean,Mean,20.63
1694,665,D24HourMean,QuarterlyMean,Mean,22.16
1711,660,D24HourMean,QuarterlyMean,Mean,18.75
1683,678,D24HourMean,QuarterlyMean,Mean,23.47
1708,670,D24HourMean,QuarterlyMean,Mean,21.97
1665,655,D24HourMean,QuarterlyMean,Mean,21.22
1711,650,D24HourMean,QuarterlyMean,Mean,16.06
1654,670,D24HourMean,QuarterlyMean,Mean,25.36
1657,664,D24HourMean,QuarterlyMean,Mean,20.69
1713,673,D24HourMean,QuarterlyMean,Mean,23.28
1683,661,D24HourMean,QuarterlyMean,Mean,19.82
1672,654,D24HourMean,QuarterlyMean,Mean,17.91
1702,652,D24HourMean,QuarterlyMean,Mean,15.70
1669,683,D24HourMean,QuarterlyMean,Mean,27.55
1671,678,D24HourMean,QuarterlyMean,Mean,26.40
1707,684,D24HourMean,QuarterlyMean,Mean,25.56
1711,633,D24HourMean,QuarterlyMean,Mean,12.28
1696,656,D24HourMean,QuarterlyMean,Mean,19.45
1703,676,D24HourMean,QuarterlyMean,Mean,23.22
1707,654,D24HourMean,QuarterlyMean,Mean,17.52
1704,654,D24HourMean,QuarterlyMean,Mean,16.79
1706,679,D24HourMean,QuarterlyMean,Mean,23.55
1702,662,D24HourMean,QuarterlyMean,Mean,20.53
1672,665,D24HourMean,QuarterlyMean,Mean,20.16
1672,663,D24HourMean,QuarterlyMean,Mean,18.72
1713,642,D24HourMean,QuarterlyMean,Mean,14.15
1665,683,D24HourMean,QuarterlyMean,Mean,29.52
1710,634,D24HourMean,QuarterlyMean,Mean,12.26
1709,649,D24HourMean,QuarterlyMean,Mean,16.44
1683,665,D24HourMean,QuarterlyMean,Mean,20.63
1707,636,D24HourMean,QuarterlyMean,Mean,13.30
1703,669,D24HourMean,QuarterlyMean,Mean,21.93
1720,652,D24HourMean,QuarterlyMean,Mean,18.27
1673,674,D24HourMean,QuarterlyMean,Mean,20.55
1691,677,D24HourMean,QuarterlyMean,Mean,23.36
1695,652,D24HourMean,QuarterlyMean,Mean,16.46
1696,667,D24HourMean,QuarterlyMean,Mean,23.47
1709,657,D24HourMean,QuarterlyMean,Mean,17.65
1681,681,D24HourMean,QuarterlyMean,Mean,23.41
1663,669,D24HourMean,QuarterlyMean,Mean,21.30
1689,668,D24HourMean,QuarterlyMean,Mean,22.05
1674,660,D24HourMean,QuarterlyMean,Mean,19.14
