Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1183,722,D24HourMean,QuarterlyMean,Mean,15.22
1188,722,D24HourMean,QuarterlyMean,Mean,16.06
1185,722,D24HourMean,QuarterlyMean,Mean,16.14
1184,720,D24HourMean,QuarterlyMean,Mean,15.39
1186,724,D24HourMean,QuarterlyMean,Mean,16.37
1183,723,D24HourMean,QuarterlyMean,Mean,15.11
1186,722,D24HourMean,QuarterlyMean,Mean,15.24
1183,720,D24HourMean,QuarterlyMean,Mean,15.14
1184,722,D24HourMean,QuarterlyMean,Mean,15.72
1184,721,D24HourMean,QuarterlyMean,Mean,15.19
1183,721,D24HourMean,QuarterlyMean,Mean,15.09
1186,723,D24HourMean,QuarterlyMean,Mean,15.22
1187,722,D24HourMean,QuarterlyMean,Mean,15.67
1188,719,D24HourMean,QuarterlyMean,Mean,16.95
