Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1183,722,2010,16141.94,ALL,ALL,ALL,0TO99
1188,722,2010,8068.25,ALL,ALL,ALL,0TO99
1185,722,2010,67354.74,ALL,ALL,ALL,0TO99
1184,720,2010,25751.70,ALL,ALL,ALL,0TO99
1186,724,2010,10214.14,ALL,ALL,ALL,0TO99
1183,723,2010,9895.59,ALL,ALL,ALL,0TO99
1186,722,2010,62678.50,ALL,ALL,ALL,0TO99
1183,720,2010,16478.28,ALL,ALL,ALL,0TO99
1184,722,2010,33754.19,ALL,ALL,ALL,0TO99
1184,721,2010,21877.97,ALL,ALL,ALL,0TO99
1183,721,2010,13835.34,ALL,ALL,ALL,0TO99
1186,723,2010,27679.12,ALL,ALL,ALL,0TO99
1187,722,2010,20506.38,ALL,ALL,ALL,0TO99
1188,719,2010,5578.87,ALL,ALL,ALL,0TO99
