Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1659,692,D24HourMean,QuarterlyMean,Mean,30.89
1641,695,D24HourMean,QuarterlyMean,Mean,30.62
1647,693,D24HourMean,QuarterlyMean,Mean,30.08
1641,692,D24HourMean,QuarterlyMean,Mean,28.28
1644,694,D24HourMean,QuarterlyMean,Mean,29.33
1649,697,D24HourMean,QuarterlyMean,Mean,31.07
1637,692,D24HourMean,QuarterlyMean,Mean,30.47
1640,695,D24HourMean,QuarterlyMean,Mean,29.70
1645,695,D24HourMean,QuarterlyMean,Mean,31.10
1650,695,D24HourMean,QuarterlyMean,Mean,29.92
1640,694,D24HourMean,QuarterlyMean,Mean,29.09
1638,694,D24HourMean,QuarterlyMean,Mean,30.87
1633,691,D24HourMean,QuarterlyMean,Mean,29.92
1653,695,D24HourMean,QuarterlyMean,Mean,30.59
1640,693,D24HourMean,QuarterlyMean,Mean,28.64
1658,693,D24HourMean,QuarterlyMean,Mean,31.34
1644,695,D24HourMean,QuarterlyMean,Mean,29.80
1657,692,D24HourMean,QuarterlyMean,Mean,30.42
1640,692,D24HourMean,QuarterlyMean,Mean,29.06
1656,694,D24HourMean,QuarterlyMean,Mean,30.56
1654,695,D24HourMean,QuarterlyMean,Mean,31.09
1654,694,D24HourMean,QuarterlyMean,Mean,30.65
1655,694,D24HourMean,QuarterlyMean,Mean,30.73
1648,694,D24HourMean,QuarterlyMean,Mean,30.01
1662,694,D24HourMean,QuarterlyMean,Mean,32.85
1634,694,D24HourMean,QuarterlyMean,Mean,33.06
1652,696,D24HourMean,QuarterlyMean,Mean,31.54
1642,693,D24HourMean,QuarterlyMean,Mean,28.83
1660,693,D24HourMean,QuarterlyMean,Mean,31.60
1634,692,D24HourMean,QuarterlyMean,Mean,31.94
1657,694,D24HourMean,QuarterlyMean,Mean,30.82
1650,696,D24HourMean,QuarterlyMean,Mean,30.64
1661,693,D24HourMean,QuarterlyMean,Mean,32.47
1651,697,D24HourMean,QuarterlyMean,Mean,31.71
1647,696,D24HourMean,QuarterlyMean,Mean,30.67
1637,694,D24HourMean,QuarterlyMean,Mean,31.10
1651,696,D24HourMean,QuarterlyMean,Mean,31.21
1662,693,D24HourMean,QuarterlyMean,Mean,32.05
1634,693,D24HourMean,QuarterlyMean,Mean,32.79
1651,695,D24HourMean,QuarterlyMean,Mean,30.06
1639,693,D24HourMean,QuarterlyMean,Mean,30.17
1648,696,D24HourMean,QuarterlyMean,Mean,30.19
1650,697,D24HourMean,QuarterlyMean,Mean,32.05
1654,693,D24HourMean,QuarterlyMean,Mean,30.06
1637,693,D24HourMean,QuarterlyMean,Mean,30.76
1658,694,D24HourMean,QuarterlyMean,Mean,31.51
1656,693,D24HourMean,QuarterlyMean,Mean,30.82
1633,693,D24HourMean,QuarterlyMean,Mean,30.62
1639,695,D24HourMean,QuarterlyMean,Mean,30.12
1657,693,D24HourMean,QuarterlyMean,Mean,30.89
1659,694,D24HourMean,QuarterlyMean,Mean,31.63
1646,695,D24HourMean,QuarterlyMean,Mean,30.95
1636,694,D24HourMean,QuarterlyMean,Mean,31.65
1653,694,D24HourMean,QuarterlyMean,Mean,30.36
1655,693,D24HourMean,QuarterlyMean,Mean,30.61
1647,695,D24HourMean,QuarterlyMean,Mean,30.76
1642,695,D24HourMean,QuarterlyMean,Mean,30.36
1638,692,D24HourMean,QuarterlyMean,Mean,30.03
1647,697,D24HourMean,QuarterlyMean,Mean,31.03
1652,694,D24HourMean,QuarterlyMean,Mean,30.26
1648,697,D24HourMean,QuarterlyMean,Mean,30.73
1661,694,D24HourMean,QuarterlyMean,Mean,33.05
1643,693,D24HourMean,QuarterlyMean,Mean,29.67
1636,692,D24HourMean,QuarterlyMean,Mean,30.82
1658,692,D24HourMean,QuarterlyMean,Mean,31.12
1637,695,D24HourMean,QuarterlyMean,Mean,31.58
1638,695,D24HourMean,QuarterlyMean,Mean,31.12
1646,696,D24HourMean,QuarterlyMean,Mean,30.37
1655,695,D24HourMean,QuarterlyMean,Mean,31.15
1660,694,D24HourMean,QuarterlyMean,Mean,32.44
1639,692,D24HourMean,QuarterlyMean,Mean,29.98
1652,697,D24HourMean,QuarterlyMean,Mean,32.06
1633,692,D24HourMean,QuarterlyMean,Mean,28.91
1642,692,D24HourMean,QuarterlyMean,Mean,28.59
1659,693,D24HourMean,QuarterlyMean,Mean,31.69
1648,695,D24HourMean,QuarterlyMean,Mean,30.03
1641,693,D24HourMean,QuarterlyMean,Mean,28.94
1645,694,D24HourMean,QuarterlyMean,Mean,30.81
1636,695,D24HourMean,QuarterlyMean,Mean,31.79
1635,692,D24HourMean,QuarterlyMean,Mean,31.94
1641,694,D24HourMean,QuarterlyMean,Mean,29.06
1652,695,D24HourMean,QuarterlyMean,Mean,29.64
1661,695,D24HourMean,QuarterlyMean,Mean,33.10
1643,695,D24HourMean,QuarterlyMean,Mean,30.03
1636,693,D24HourMean,QuarterlyMean,Mean,31.38
1649,696,D24HourMean,QuarterlyMean,Mean,30.85
1646,694,D24HourMean,QuarterlyMean,Mean,30.87
