Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1659,692,2010,13207.36,ALL,ALL,ALL,0TO99
1641,695,2010,9528.15,ALL,ALL,ALL,0TO99
1647,693,2010,4608.22,ALL,ALL,ALL,0TO99
1641,692,2010,4189.14,ALL,ALL,ALL,0TO99
1644,694,2010,5709.36,ALL,ALL,ALL,0TO99
1649,697,2010,6027.13,ALL,ALL,ALL,0TO99
1637,692,2010,5609.19,ALL,ALL,ALL,0TO99
1640,695,2010,19612.13,ALL,ALL,ALL,0TO99
1645,695,2010,10125.93,ALL,ALL,ALL,0TO99
1650,695,2010,7201.22,ALL,ALL,ALL,0TO99
1640,694,2010,13633.88,ALL,ALL,ALL,0TO99
1638,694,2010,7400.48,ALL,ALL,ALL,0TO99
1633,691,2010,60845.13,ALL,ALL,ALL,0TO99
1653,695,2010,6574.06,ALL,ALL,ALL,0TO99
1640,693,2010,2425.58,ALL,ALL,ALL,0TO99
1658,693,2010,11265.04,ALL,ALL,ALL,0TO99
1644,695,2010,9680.73,ALL,ALL,ALL,0TO99
1657,692,2010,12121.33,ALL,ALL,ALL,0TO99
1640,692,2010,4958.67,ALL,ALL,ALL,0TO99
1656,694,2010,6216.48,ALL,ALL,ALL,0TO99
1654,695,2010,5583.61,ALL,ALL,ALL,0TO99
1654,694,2010,9593.40,ALL,ALL,ALL,0TO99
1655,694,2010,10046.35,ALL,ALL,ALL,0TO99
1648,694,2010,6236.20,ALL,ALL,ALL,0TO99
1662,694,2010,10908.47,ALL,ALL,ALL,0TO99
1634,694,2010,313235.09,ALL,ALL,ALL,0TO99
1652,696,2010,6424.27,ALL,ALL,ALL,0TO99
1642,693,2010,3131.82,ALL,ALL,ALL,0TO99
1660,693,2010,15475.40,ALL,ALL,ALL,0TO99
1634,692,2010,22350.97,ALL,ALL,ALL,0TO99
1657,694,2010,4810.26,ALL,ALL,ALL,0TO99
1650,696,2010,6438.96,ALL,ALL,ALL,0TO99
1661,693,2010,13502.47,ALL,ALL,ALL,0TO99
1651,697,2010,6279.94,ALL,ALL,ALL,0TO99
1647,696,2010,7660.33,ALL,ALL,ALL,0TO99
1637,694,2010,9958.65,ALL,ALL,ALL,0TO99
1651,696,2010,6693.94,ALL,ALL,ALL,0TO99
1662,693,2010,9489.54,ALL,ALL,ALL,0TO99
1634,693,2010,127769.13,ALL,ALL,ALL,0TO99
1651,695,2010,10673.31,ALL,ALL,ALL,0TO99
1639,693,2010,2338.45,ALL,ALL,ALL,0TO99
1648,696,2010,5905.25,ALL,ALL,ALL,0TO99
1650,697,2010,5581.39,ALL,ALL,ALL,0TO99
1654,693,2010,8124.93,ALL,ALL,ALL,0TO99
1637,693,2010,4843.57,ALL,ALL,ALL,0TO99
1658,694,2010,5957.68,ALL,ALL,ALL,0TO99
1656,693,2010,14243.67,ALL,ALL,ALL,0TO99
1633,693,2010,111027.19,ALL,ALL,ALL,0TO99
1639,695,2010,9318.52,ALL,ALL,ALL,0TO99
1657,693,2010,9592.92,ALL,ALL,ALL,0TO99
1659,694,2010,8544.79,ALL,ALL,ALL,0TO99
1646,695,2010,8904.54,ALL,ALL,ALL,0TO99
1636,694,2010,12533.58,ALL,ALL,ALL,0TO99
1653,694,2010,11177.39,ALL,ALL,ALL,0TO99
1655,693,2010,11129.84,ALL,ALL,ALL,0TO99
1647,695,2010,7394.42,ALL,ALL,ALL,0TO99
1642,695,2010,9817.84,ALL,ALL,ALL,0TO99
1638,692,2010,4750.93,ALL,ALL,ALL,0TO99
1647,697,2010,7846.98,ALL,ALL,ALL,0TO99
1652,694,2010,8811.05,ALL,ALL,ALL,0TO99
1648,697,2010,6813.84,ALL,ALL,ALL,0TO99
1661,694,2010,11216.58,ALL,ALL,ALL,0TO99
1643,693,2010,5246.18,ALL,ALL,ALL,0TO99
1636,692,2010,8653.35,ALL,ALL,ALL,0TO99
1658,692,2010,14056.53,ALL,ALL,ALL,0TO99
1637,695,2010,13855.10,ALL,ALL,ALL,0TO99
1638,695,2010,8735.68,ALL,ALL,ALL,0TO99
1646,696,2010,10779.36,ALL,ALL,ALL,0TO99
1655,695,2010,5519.74,ALL,ALL,ALL,0TO99
1660,694,2010,9593.80,ALL,ALL,ALL,0TO99
1639,692,2010,4296.13,ALL,ALL,ALL,0TO99
1652,697,2010,5507.68,ALL,ALL,ALL,0TO99
1633,692,2010,65272.27,ALL,ALL,ALL,0TO99
1642,692,2010,5204.94,ALL,ALL,ALL,0TO99
1659,693,2010,14614.08,ALL,ALL,ALL,0TO99
1648,695,2010,5824.94,ALL,ALL,ALL,0TO99
1641,693,2010,2509.66,ALL,ALL,ALL,0TO99
1645,694,2010,13810.09,ALL,ALL,ALL,0TO99
1636,695,2010,14099.41,ALL,ALL,ALL,0TO99
1635,692,2010,11675.95,ALL,ALL,ALL,0TO99
1641,694,2010,4712.64,ALL,ALL,ALL,0TO99
1652,695,2010,9146.63,ALL,ALL,ALL,0TO99
1661,695,2010,5868.17,ALL,ALL,ALL,0TO99
1643,695,2010,9876.36,ALL,ALL,ALL,0TO99
1636,693,2010,4348.37,ALL,ALL,ALL,0TO99
1649,696,2010,6153.30,ALL,ALL,ALL,0TO99
1646,694,2010,7022.08,ALL,ALL,ALL,0TO99
