Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1649,685,D24HourMean,QuarterlyMean,Mean,25.94
1661,683,D24HourMean,QuarterlyMean,Mean,26.51
1649,681,D24HourMean,QuarterlyMean,Mean,25.22
1645,680,D24HourMean,QuarterlyMean,Mean,27.00
1663,685,D24HourMean,QuarterlyMean,Mean,27.12
1652,672,D24HourMean,QuarterlyMean,Mean,24.61
1653,674,D24HourMean,QuarterlyMean,Mean,23.15
1645,681,D24HourMean,QuarterlyMean,Mean,26.46
1653,677,D24HourMean,QuarterlyMean,Mean,24.22
1639,681,D24HourMean,QuarterlyMean,Mean,27.73
1639,680,D24HourMean,QuarterlyMean,Mean,28.30
1661,679,D24HourMean,QuarterlyMean,Mean,26.13
1648,680,D24HourMean,QuarterlyMean,Mean,26.21
1641,680,D24HourMean,QuarterlyMean,Mean,28.28
1654,676,D24HourMean,QuarterlyMean,Mean,25.70
1654,681,D24HourMean,QuarterlyMean,Mean,26.41
1651,674,D24HourMean,QuarterlyMean,Mean,25.77
1656,682,D24HourMean,QuarterlyMean,Mean,26.15
1648,686,D24HourMean,QuarterlyMean,Mean,27.11
1650,686,D24HourMean,QuarterlyMean,Mean,27.67
1644,681,D24HourMean,QuarterlyMean,Mean,27.23
1648,672,D24HourMean,QuarterlyMean,Mean,25.97
1652,679,D24HourMean,QuarterlyMean,Mean,25.55
1640,681,D24HourMean,QuarterlyMean,Mean,27.40
1658,686,D24HourMean,QuarterlyMean,Mean,27.78
1649,673,D24HourMean,QuarterlyMean,Mean,25.77
1641,674,D24HourMean,QuarterlyMean,Mean,27.50
1650,675,D24HourMean,QuarterlyMean,Mean,25.96
1652,677,D24HourMean,QuarterlyMean,Mean,25.47
1659,680,D24HourMean,QuarterlyMean,Mean,26.68
1649,672,D24HourMean,QuarterlyMean,Mean,25.80
1650,669,D24HourMean,QuarterlyMean,Mean,26.00
1655,678,D24HourMean,QuarterlyMean,Mean,25.25
1655,681,D24HourMean,QuarterlyMean,Mean,27.01
1661,678,D24HourMean,QuarterlyMean,Mean,25.50
1639,683,D24HourMean,QuarterlyMean,Mean,27.97
1660,679,D24HourMean,QuarterlyMean,Mean,26.27
1656,683,D24HourMean,QuarterlyMean,Mean,27.14
1657,686,D24HourMean,QuarterlyMean,Mean,28.14
1658,685,D24HourMean,QuarterlyMean,Mean,27.92
1658,683,D24HourMean,QuarterlyMean,Mean,28.63
1658,682,D24HourMean,QuarterlyMean,Mean,28.34
1647,685,D24HourMean,QuarterlyMean,Mean,27.34
1654,677,D24HourMean,QuarterlyMean,Mean,25.09
1648,685,D24HourMean,QuarterlyMean,Mean,27.03
1659,682,D24HourMean,QuarterlyMean,Mean,27.94
1648,671,D24HourMean,QuarterlyMean,Mean,25.56
1653,682,D24HourMean,QuarterlyMean,Mean,26.52
1663,684,D24HourMean,QuarterlyMean,Mean,28.91
1645,683,D24HourMean,QuarterlyMean,Mean,26.38
1650,670,D24HourMean,QuarterlyMean,Mean,25.96
1639,678,D24HourMean,QuarterlyMean,Mean,28.77
1654,682,D24HourMean,QuarterlyMean,Mean,26.18
1663,679,D24HourMean,QuarterlyMean,Mean,25.97
1653,676,D24HourMean,QuarterlyMean,Mean,24.84
1647,671,D24HourMean,QuarterlyMean,Mean,25.78
1659,685,D24HourMean,QuarterlyMean,Mean,28.33
1663,683,D24HourMean,QuarterlyMean,Mean,28.39
1659,677,D24HourMean,QuarterlyMean,Mean,26.76
1659,686,D24HourMean,QuarterlyMean,Mean,28.22
1652,685,D24HourMean,QuarterlyMean,Mean,26.18
1650,683,D24HourMean,QuarterlyMean,Mean,24.82
1638,678,D24HourMean,QuarterlyMean,Mean,29.03
1654,685,D24HourMean,QuarterlyMean,Mean,27.50
1657,682,D24HourMean,QuarterlyMean,Mean,26.49
1657,685,D24HourMean,QuarterlyMean,Mean,28.38
1643,680,D24HourMean,QuarterlyMean,Mean,28.23
1652,673,D24HourMean,QuarterlyMean,Mean,25.04
