Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1649,685,2010,3261.54,ALL,ALL,ALL,0TO99
1661,683,2010,2448.03,ALL,ALL,ALL,0TO99
1649,681,2010,4264.68,ALL,ALL,ALL,0TO99
1645,680,2010,5168.76,ALL,ALL,ALL,0TO99
1663,685,2010,2468.28,ALL,ALL,ALL,0TO99
1652,672,2010,3828.15,ALL,ALL,ALL,0TO99
1653,674,2010,2620.80,ALL,ALL,ALL,0TO99
1645,681,2010,6050.04,ALL,ALL,ALL,0TO99
1653,677,2010,1872.82,ALL,ALL,ALL,0TO99
1639,681,2010,4168.42,ALL,ALL,ALL,0TO99
1639,680,2010,8032.47,ALL,ALL,ALL,0TO99
1661,679,2010,762.42,ALL,ALL,ALL,0TO99
1648,680,2010,4328.35,ALL,ALL,ALL,0TO99
1641,680,2010,11253.42,ALL,ALL,ALL,0TO99
1654,676,2010,1816.94,ALL,ALL,ALL,0TO99
1654,681,2010,10557.27,ALL,ALL,ALL,0TO99
1651,674,2010,2288.13,ALL,ALL,ALL,0TO99
1656,682,2010,8218.52,ALL,ALL,ALL,0TO99
1648,686,2010,6077.57,ALL,ALL,ALL,0TO99
1650,686,2010,5663.88,ALL,ALL,ALL,0TO99
1644,681,2010,7120.02,ALL,ALL,ALL,0TO99
1648,672,2010,6102.30,ALL,ALL,ALL,0TO99
1652,679,2010,5527.85,ALL,ALL,ALL,0TO99
1640,681,2010,5431.85,ALL,ALL,ALL,0TO99
1658,686,2010,4330.50,ALL,ALL,ALL,0TO99
1649,673,2010,5360.64,ALL,ALL,ALL,0TO99
1641,674,2010,1418.75,ALL,ALL,ALL,0TO99
1650,675,2010,1816.97,ALL,ALL,ALL,0TO99
1652,677,2010,1880.29,ALL,ALL,ALL,0TO99
1659,680,2010,2380.64,ALL,ALL,ALL,0TO99
1649,672,2010,4553.80,ALL,ALL,ALL,0TO99
1650,669,2010,2634.79,ALL,ALL,ALL,0TO99
1655,678,2010,2868.17,ALL,ALL,ALL,0TO99
1655,681,2010,12487.32,ALL,ALL,ALL,0TO99
1661,678,2010,762.70,ALL,ALL,ALL,0TO99
1639,683,2010,3871.03,ALL,ALL,ALL,0TO99
1660,679,2010,1185.01,ALL,ALL,ALL,0TO99
1656,683,2010,7448.48,ALL,ALL,ALL,0TO99
1657,686,2010,5195.72,ALL,ALL,ALL,0TO99
