Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1912,573,D24HourMean,QuarterlyMean,Mean,6.89
1905,575,D24HourMean,QuarterlyMean,Mean,9.31
1910,573,D24HourMean,QuarterlyMean,Mean,4.27
1913,578,D24HourMean,QuarterlyMean,Mean,8.69
1906,570,D24HourMean,QuarterlyMean,Mean,7.10
1904,571,D24HourMean,QuarterlyMean,Mean,7.54
1906,579,D24HourMean,QuarterlyMean,Mean,8.41
1909,581,D24HourMean,QuarterlyMean,Mean,8.06
1901,573,D24HourMean,QuarterlyMean,Mean,9.19
1900,574,D24HourMean,QuarterlyMean,Mean,9.65
1888,593,D24HourMean,QuarterlyMean,Mean,12.31
1913,577,D24HourMean,QuarterlyMean,Mean,7.26
1911,581,D24HourMean,QuarterlyMean,Mean,4.71
1913,579,D24HourMean,QuarterlyMean,Mean,8.67
1908,580,D24HourMean,QuarterlyMean,Mean,7.94
1905,580,D24HourMean,QuarterlyMean,Mean,8.55
1896,574,D24HourMean,QuarterlyMean,Mean,9.12
1902,573,D24HourMean,QuarterlyMean,Mean,8.96
1910,576,D24HourMean,QuarterlyMean,Mean,8.06
1909,570,D24HourMean,QuarterlyMean,Mean,8.18
1912,571,D24HourMean,QuarterlyMean,Mean,7.42
1885,593,D24HourMean,QuarterlyMean,Mean,12.38
1886,592,D24HourMean,QuarterlyMean,Mean,11.83
1895,571,D24HourMean,QuarterlyMean,Mean,8.65
1896,572,D24HourMean,QuarterlyMean,Mean,8.65
1910,575,D24HourMean,QuarterlyMean,Mean,8.58
1901,576,D24HourMean,QuarterlyMean,Mean,8.82
1896,571,D24HourMean,QuarterlyMean,Mean,8.39
1905,581,D24HourMean,QuarterlyMean,Mean,8.58
1887,593,D24HourMean,QuarterlyMean,Mean,11.98
1898,571,D24HourMean,QuarterlyMean,Mean,8.29
1900,573,D24HourMean,QuarterlyMean,Mean,9.70
1909,573,D24HourMean,QuarterlyMean,Mean,7.48
1902,578,D24HourMean,QuarterlyMean,Mean,9.65
1888,594,D24HourMean,QuarterlyMean,Mean,13.22
1896,573,D24HourMean,QuarterlyMean,Mean,7.90
1909,575,D24HourMean,QuarterlyMean,Mean,9.19
1905,572,D24HourMean,QuarterlyMean,Mean,7.48
1899,575,D24HourMean,QuarterlyMean,Mean,8.93
1903,571,D24HourMean,QuarterlyMean,Mean,7.31
1913,573,D24HourMean,QuarterlyMean,Mean,7.45
1899,579,D24HourMean,QuarterlyMean,Mean,9.58
1887,595,D24HourMean,QuarterlyMean,Mean,13.24
1912,578,D24HourMean,QuarterlyMean,Mean,8.17
1901,581,D24HourMean,QuarterlyMean,Mean,8.43
1903,577,D24HourMean,QuarterlyMean,Mean,9.08
1902,570,D24HourMean,QuarterlyMean,Mean,7.48
1907,570,D24HourMean,QuarterlyMean,Mean,8.43
1906,574,D24HourMean,QuarterlyMean,Mean,8.01
1898,577,D24HourMean,QuarterlyMean,Mean,9.01
1886,593,D24HourMean,QuarterlyMean,Mean,11.81
1911,580,D24HourMean,QuarterlyMean,Mean,8.39
1888,595,D24HourMean,QuarterlyMean,Mean,12.67
1910,574,D24HourMean,QuarterlyMean,Mean,4.32
1898,574,D24HourMean,QuarterlyMean,Mean,8.27
1901,577,D24HourMean,QuarterlyMean,Mean,9.03
1913,576,D24HourMean,QuarterlyMean,Mean,7.52
1903,574,D24HourMean,QuarterlyMean,Mean,8.56
1906,575,D24HourMean,QuarterlyMean,Mean,8.62
1913,575,D24HourMean,QuarterlyMean,Mean,8.37
1889,596,D24HourMean,QuarterlyMean,Mean,13.35
1889,597,D24HourMean,QuarterlyMean,Mean,12.58
1899,580,D24HourMean,QuarterlyMean,Mean,9.97
1912,580,D24HourMean,QuarterlyMean,Mean,7.75
1902,571,D24HourMean,QuarterlyMean,Mean,7.05
1898,573,D24HourMean,QuarterlyMean,Mean,8.75
1905,576,D24HourMean,QuarterlyMean,Mean,8.03
1887,594,D24HourMean,QuarterlyMean,Mean,12.72
