Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2020,930,D24HourMean,QuarterlyMean,Mean,15.00
2002,956,D24HourMean,QuarterlyMean,Mean,13.93
2020,960,D24HourMean,QuarterlyMean,Mean,12.23
2037,942,D24HourMean,QuarterlyMean,Mean,13.16
2019,931,D24HourMean,QuarterlyMean,Mean,14.53
2026,939,D24HourMean,QuarterlyMean,Mean,11.19
2039,970,D24HourMean,QuarterlyMean,Mean,14.96
2066,975,D24HourMean,QuarterlyMean,Mean,15.48
2019,962,D24HourMean,QuarterlyMean,Mean,13.00
2008,954,D24HourMean,QuarterlyMean,Mean,10.87
2024,958,D24HourMean,QuarterlyMean,Mean,14.27
2032,944,D24HourMean,QuarterlyMean,Mean,14.53
2057,971,D24HourMean,QuarterlyMean,Mean,12.88
2016,966,D24HourMean,QuarterlyMean,Mean,12.60
2048,969,D24HourMean,QuarterlyMean,Mean,16.47
2080,922,D24HourMean,QuarterlyMean,Mean,17.99
2023,962,D24HourMean,QuarterlyMean,Mean,12.93
2014,960,D24HourMean,QuarterlyMean,Mean,11.71
2040,967,D24HourMean,QuarterlyMean,Mean,15.70
1997,957,D24HourMean,QuarterlyMean,Mean,14.23
2050,937,D24HourMean,QuarterlyMean,Mean,17.50
2061,942,D24HourMean,QuarterlyMean,Mean,15.84
2038,964,D24HourMean,QuarterlyMean,Mean,13.39
2021,954,D24HourMean,QuarterlyMean,Mean,14.60
2043,941,D24HourMean,QuarterlyMean,Mean,13.64
2025,925,D24HourMean,QuarterlyMean,Mean,18.22
2031,937,D24HourMean,QuarterlyMean,Mean,13.29
2014,956,D24HourMean,QuarterlyMean,Mean,10.35
2052,970,D24HourMean,QuarterlyMean,Mean,15.72
2050,913,D24HourMean,QuarterlyMean,Mean,14.64
2038,961,D24HourMean,QuarterlyMean,Mean,13.29
2060,970,D24HourMean,QuarterlyMean,Mean,11.85
2030,938,D24HourMean,QuarterlyMean,Mean,13.17
2040,914,D24HourMean,QuarterlyMean,Mean,13.25
2016,947,D24HourMean,QuarterlyMean,Mean,12.29
2037,943,D24HourMean,QuarterlyMean,Mean,14.11
2025,957,D24HourMean,QuarterlyMean,Mean,15.63
2023,971,D24HourMean,QuarterlyMean,Mean,13.84
2006,953,D24HourMean,QuarterlyMean,Mean,12.50
2064,974,D24HourMean,QuarterlyMean,Mean,12.79
2027,958,D24HourMean,QuarterlyMean,Mean,13.75
2015,968,D24HourMean,QuarterlyMean,Mean,13.81
2023,934,D24HourMean,QuarterlyMean,Mean,13.03
2038,939,D24HourMean,QuarterlyMean,Mean,15.46
2029,945,D24HourMean,QuarterlyMean,Mean,13.04
2010,952,D24HourMean,QuarterlyMean,Mean,11.32
2015,950,D24HourMean,QuarterlyMean,Mean,11.37
2030,937,D24HourMean,QuarterlyMean,Mean,12.69
2062,950,D24HourMean,QuarterlyMean,Mean,15.40
2039,940,D24HourMean,QuarterlyMean,Mean,14.05
2045,969,D24HourMean,QuarterlyMean,Mean,15.20
2040,968,D24HourMean,QuarterlyMean,Mean,16.19
2021,930,D24HourMean,QuarterlyMean,Mean,14.75
2018,937,D24HourMean,QuarterlyMean,Mean,11.85
2079,925,D24HourMean,QuarterlyMean,Mean,17.62
2023,939,D24HourMean,QuarterlyMean,Mean,9.52
2025,929,D24HourMean,QuarterlyMean,Mean,14.19
2038,912,D24HourMean,QuarterlyMean,Mean,15.62
2064,969,D24HourMean,QuarterlyMean,Mean,15.04
2018,930,D24HourMean,QuarterlyMean,Mean,14.78
2008,953,D24HourMean,QuarterlyMean,Mean,11.61
2028,937,D24HourMean,QuarterlyMean,Mean,13.29
2017,947,D24HourMean,QuarterlyMean,Mean,12.29
2029,968,D24HourMean,QuarterlyMean,Mean,16.54
2024,928,D24HourMean,QuarterlyMean,Mean,16.16
2027,947,D24HourMean,QuarterlyMean,Mean,12.13
2014,967,D24HourMean,QuarterlyMean,Mean,11.94
2018,968,D24HourMean,QuarterlyMean,Mean,14.61
2026,967,D24HourMean,QuarterlyMean,Mean,18.18
2081,923,D24HourMean,QuarterlyMean,Mean,17.86
2031,943,D24HourMean,QuarterlyMean,Mean,14.17
2030,926,D24HourMean,QuarterlyMean,Mean,14.49
2008,941,D24HourMean,QuarterlyMean,Mean,15.40
2020,953,D24HourMean,QuarterlyMean,Mean,13.38
2015,955,D24HourMean,QuarterlyMean,Mean,12.40
2027,967,D24HourMean,QuarterlyMean,Mean,18.95
2030,968,D24HourMean,QuarterlyMean,Mean,16.82
2028,952,D24HourMean,QuarterlyMean,Mean,12.68
2030,969,D24HourMean,QuarterlyMean,Mean,16.01
2013,943,D24HourMean,QuarterlyMean,Mean,14.98
2027,939,D24HourMean,QuarterlyMean,Mean,12.77
2026,934,D24HourMean,QuarterlyMean,Mean,11.75
2021,948,D24HourMean,QuarterlyMean,Mean,10.82
2035,939,D24HourMean,QuarterlyMean,Mean,14.88
2031,939,D24HourMean,QuarterlyMean,Mean,14.04
2015,958,D24HourMean,QuarterlyMean,Mean,11.47
2015,939,D24HourMean,QuarterlyMean,Mean,12.99
2025,932,D24HourMean,QuarterlyMean,Mean,12.46
2031,944,D24HourMean,QuarterlyMean,Mean,14.23
2024,970,D24HourMean,QuarterlyMean,Mean,14.54
2032,939,D24HourMean,QuarterlyMean,Mean,13.85
2033,940,D24HourMean,QuarterlyMean,Mean,14.20
2016,948,D24HourMean,QuarterlyMean,Mean,11.21
2048,929,D24HourMean,QuarterlyMean,Mean,18.12
2024,964,D24HourMean,QuarterlyMean,Mean,14.86
2048,972,D24HourMean,QuarterlyMean,Mean,12.33
2007,956,D24HourMean,QuarterlyMean,Mean,10.73
2016,960,D24HourMean,QuarterlyMean,Mean,12.28
2060,952,D24HourMean,QuarterlyMean,Mean,15.58
2023,956,D24HourMean,QuarterlyMean,Mean,13.49
2018,947,D24HourMean,QuarterlyMean,Mean,11.99
2019,958,D24HourMean,QuarterlyMean,Mean,11.36
2028,951,D24HourMean,QuarterlyMean,Mean,13.16
2010,958,D24HourMean,QuarterlyMean,Mean,9.94
2040,938,D24HourMean,QuarterlyMean,Mean,14.11
2012,964,D24HourMean,QuarterlyMean,Mean,10.49
2063,970,D24HourMean,QuarterlyMean,Mean,13.31
2040,940,D24HourMean,QuarterlyMean,Mean,13.77
2038,968,D24HourMean,QuarterlyMean,Mean,16.32
2009,953,D24HourMean,QuarterlyMean,Mean,11.16
2042,969,D24HourMean,QuarterlyMean,Mean,16.61
2037,914,D24HourMean,QuarterlyMean,Mean,14.45
2056,911,D24HourMean,QuarterlyMean,Mean,14.21
2018,948,D24HourMean,QuarterlyMean,Mean,11.28
2059,923,D24HourMean,QuarterlyMean,Mean,14.50
2012,957,D24HourMean,QuarterlyMean,Mean,10.33
2016,944,D24HourMean,QuarterlyMean,Mean,12.52
2019,942,D24HourMean,QuarterlyMean,Mean,10.52
2026,936,D24HourMean,QuarterlyMean,Mean,12.15
2032,936,D24HourMean,QuarterlyMean,Mean,12.77
2026,966,D24HourMean,QuarterlyMean,Mean,19.29
2025,965,D24HourMean,QuarterlyMean,Mean,18.09
2026,935,D24HourMean,QuarterlyMean,Mean,11.82
2016,943,D24HourMean,QuarterlyMean,Mean,13.60
2023,955,D24HourMean,QuarterlyMean,Mean,13.40
2026,959,D24HourMean,QuarterlyMean,Mean,14.37
2031,948,D24HourMean,QuarterlyMean,Mean,14.43
2031,927,D24HourMean,QuarterlyMean,Mean,13.65
2017,937,D24HourMean,QuarterlyMean,Mean,12.71
2025,939,D24HourMean,QuarterlyMean,Mean,10.58
2037,944,D24HourMean,QuarterlyMean,Mean,13.34
2014,945,D24HourMean,QuarterlyMean,Mean,13.15
2009,964,D24HourMean,QuarterlyMean,Mean,10.65
2038,915,D24HourMean,QuarterlyMean,Mean,14.48
2065,973,D24HourMean,QuarterlyMean,Mean,13.15
2032,943,D24HourMean,QuarterlyMean,Mean,14.12
2023,944,D24HourMean,QuarterlyMean,Mean,12.45
2025,944,D24HourMean,QuarterlyMean,Mean,12.10
2049,911,D24HourMean,QuarterlyMean,Mean,14.32
2040,960,D24HourMean,QuarterlyMean,Mean,12.66
2020,941,D24HourMean,QuarterlyMean,Mean,10.16
2037,973,D24HourMean,QuarterlyMean,Mean,14.17
2040,942,D24HourMean,QuarterlyMean,Mean,12.71
2013,953,D24HourMean,QuarterlyMean,Mean,10.56
2027,932,D24HourMean,QuarterlyMean,Mean,12.20
2044,971,D24HourMean,QuarterlyMean,Mean,14.82
2036,966,D24HourMean,QuarterlyMean,Mean,13.99
2027,951,D24HourMean,QuarterlyMean,Mean,12.21
2057,964,D24HourMean,QuarterlyMean,Mean,15.10
2042,970,D24HourMean,QuarterlyMean,Mean,16.24
2028,947,D24HourMean,QuarterlyMean,Mean,12.60
2043,913,D24HourMean,QuarterlyMean,Mean,14.44
2043,969,D24HourMean,QuarterlyMean,Mean,15.72
2020,954,D24HourMean,QuarterlyMean,Mean,14.46
2034,970,D24HourMean,QuarterlyMean,Mean,16.46
2030,971,D24HourMean,QuarterlyMean,Mean,15.34
2035,947,D24HourMean,QuarterlyMean,Mean,13.02
2014,964,D24HourMean,QuarterlyMean,Mean,11.86
2054,927,D24HourMean,QuarterlyMean,Mean,16.66
2028,933,D24HourMean,QuarterlyMean,Mean,11.55
2016,968,D24HourMean,QuarterlyMean,Mean,13.95
2039,913,D24HourMean,QuarterlyMean,Mean,13.74
2028,949,D24HourMean,QuarterlyMean,Mean,13.62
2082,923,D24HourMean,QuarterlyMean,Mean,18.56
2030,943,D24HourMean,QuarterlyMean,Mean,14.33
2026,964,D24HourMean,QuarterlyMean,Mean,15.21
2015,940,D24HourMean,QuarterlyMean,Mean,12.64
2034,971,D24HourMean,QuarterlyMean,Mean,17.25
2047,972,D24HourMean,QuarterlyMean,Mean,12.51
2049,971,D24HourMean,QuarterlyMean,Mean,14.67
2051,912,D24HourMean,QuarterlyMean,Mean,15.23
2025,927,D24HourMean,QuarterlyMean,Mean,16.23
2061,972,D24HourMean,QuarterlyMean,Mean,11.40
2025,928,D24HourMean,QuarterlyMean,Mean,14.73
2060,911,D24HourMean,QuarterlyMean,Mean,14.57
2007,946,D24HourMean,QuarterlyMean,Mean,14.54
2023,931,D24HourMean,QuarterlyMean,Mean,14.05
2014,966,D24HourMean,QuarterlyMean,Mean,11.44
2012,968,D24HourMean,QuarterlyMean,Mean,11.08
2034,948,D24HourMean,QuarterlyMean,Mean,13.59
2041,946,D24HourMean,QuarterlyMean,Mean,14.12
2039,951,D24HourMean,QuarterlyMean,Mean,14.35
2028,945,D24HourMean,QuarterlyMean,Mean,13.02
2047,966,D24HourMean,QuarterlyMean,Mean,15.17
2058,972,D24HourMean,QuarterlyMean,Mean,11.57
2024,940,D24HourMean,QuarterlyMean,Mean,11.21
2022,932,D24HourMean,QuarterlyMean,Mean,13.91
2015,951,D24HourMean,QuarterlyMean,Mean,11.27
2027,944,D24HourMean,QuarterlyMean,Mean,13.42
2030,940,D24HourMean,QuarterlyMean,Mean,14.70
2020,965,D24HourMean,QuarterlyMean,Mean,14.41
2036,933,D24HourMean,QuarterlyMean,Mean,14.62
2018,935,D24HourMean,QuarterlyMean,Mean,13.64
2061,969,D24HourMean,QuarterlyMean,Mean,13.12
2038,945,D24HourMean,QuarterlyMean,Mean,13.17
2022,947,D24HourMean,QuarterlyMean,Mean,11.52
2029,967,D24HourMean,QuarterlyMean,Mean,16.94
2015,964,D24HourMean,QuarterlyMean,Mean,11.90
2029,927,D24HourMean,QuarterlyMean,Mean,13.98
2036,968,D24HourMean,QuarterlyMean,Mean,15.47
2017,936,D24HourMean,QuarterlyMean,Mean,13.36
2011,953,D24HourMean,QuarterlyMean,Mean,10.42
2021,968,D24HourMean,QuarterlyMean,Mean,15.11
2046,940,D24HourMean,QuarterlyMean,Mean,15.26
2020,969,D24HourMean,QuarterlyMean,Mean,15.02
2022,952,D24HourMean,QuarterlyMean,Mean,13.00
2043,912,D24HourMean,QuarterlyMean,Mean,14.14
2041,974,D24HourMean,QuarterlyMean,Mean,12.76
2052,969,D24HourMean,QuarterlyMean,Mean,16.02
2007,953,D24HourMean,QuarterlyMean,Mean,12.20
2031,945,D24HourMean,QuarterlyMean,Mean,13.90
2042,915,D24HourMean,QuarterlyMean,Mean,13.91
2028,970,D24HourMean,QuarterlyMean,Mean,15.86
2023,950,D24HourMean,QuarterlyMean,Mean,11.84
2035,972,D24HourMean,QuarterlyMean,Mean,15.90
2042,973,D24HourMean,QuarterlyMean,Mean,12.91
2022,934,D24HourMean,QuarterlyMean,Mean,13.08
2022,964,D24HourMean,QuarterlyMean,Mean,13.85
2022,938,D24HourMean,QuarterlyMean,Mean,10.27
2025,953,D24HourMean,QuarterlyMean,Mean,12.19
2014,949,D24HourMean,QuarterlyMean,Mean,10.92
2021,970,D24HourMean,QuarterlyMean,Mean,15.12
2027,933,D24HourMean,QuarterlyMean,Mean,11.80
2041,973,D24HourMean,QuarterlyMean,Mean,12.92
2008,950,D24HourMean,QuarterlyMean,Mean,12.62
2056,970,D24HourMean,QuarterlyMean,Mean,13.36
2046,973,D24HourMean,QuarterlyMean,Mean,12.48
2051,913,D24HourMean,QuarterlyMean,Mean,15.38
2042,942,D24HourMean,QuarterlyMean,Mean,13.19
2039,968,D24HourMean,QuarterlyMean,Mean,15.88
2019,940,D24HourMean,QuarterlyMean,Mean,10.41
2028,954,D24HourMean,QuarterlyMean,Mean,14.33
2056,972,D24HourMean,QuarterlyMean,Mean,11.88
2044,970,D24HourMean,QuarterlyMean,Mean,15.63
2070,929,D24HourMean,QuarterlyMean,Mean,20.43
2017,952,D24HourMean,QuarterlyMean,Mean,12.43
2031,953,D24HourMean,QuarterlyMean,Mean,13.46
2025,934,D24HourMean,QuarterlyMean,Mean,12.37
2020,947,D24HourMean,QuarterlyMean,Mean,11.11
2021,971,D24HourMean,QuarterlyMean,Mean,13.15
2064,953,D24HourMean,QuarterlyMean,Mean,14.49
2035,964,D24HourMean,QuarterlyMean,Mean,14.00
2038,973,D24HourMean,QuarterlyMean,Mean,13.52
2019,929,D24HourMean,QuarterlyMean,Mean,16.05
2023,965,D24HourMean,QuarterlyMean,Mean,16.21
2041,972,D24HourMean,QuarterlyMean,Mean,14.41
2023,947,D24HourMean,QuarterlyMean,Mean,11.99
2018,967,D24HourMean,QuarterlyMean,Mean,13.82
2026,965,D24HourMean,QuarterlyMean,Mean,19.03
2022,937,D24HourMean,QuarterlyMean,Mean,10.78
2080,923,D24HourMean,QuarterlyMean,Mean,18.23
2014,963,D24HourMean,QuarterlyMean,Mean,10.78
2010,953,D24HourMean,QuarterlyMean,Mean,11.03
2035,934,D24HourMean,QuarterlyMean,Mean,13.02
2055,911,D24HourMean,QuarterlyMean,Mean,13.49
2033,935,D24HourMean,QuarterlyMean,Mean,12.59
2063,953,D24HourMean,QuarterlyMean,Mean,14.22
2021,937,D24HourMean,QuarterlyMean,Mean,11.20
2013,961,D24HourMean,QuarterlyMean,Mean,10.62
2024,963,D24HourMean,QuarterlyMean,Mean,14.03
2037,971,D24HourMean,QuarterlyMean,Mean,16.42
2024,934,D24HourMean,QuarterlyMean,Mean,12.83
2036,944,D24HourMean,QuarterlyMean,Mean,13.22
2039,912,D24HourMean,QuarterlyMean,Mean,15.46
2021,958,D24HourMean,QuarterlyMean,Mean,12.76
2004,956,D24HourMean,QuarterlyMean,Mean,12.14
2026,951,D24HourMean,QuarterlyMean,Mean,12.06
2022,967,D24HourMean,QuarterlyMean,Mean,16.88
2028,944,D24HourMean,QuarterlyMean,Mean,13.59
2014,958,D24HourMean,QuarterlyMean,Mean,11.45
2034,941,D24HourMean,QuarterlyMean,Mean,13.68
2061,970,D24HourMean,QuarterlyMean,Mean,12.00
2020,967,D24HourMean,QuarterlyMean,Mean,14.73
2025,963,D24HourMean,QuarterlyMean,Mean,15.22
2021,964,D24HourMean,QuarterlyMean,Mean,14.04
2050,973,D24HourMean,QuarterlyMean,Mean,12.15
2064,925,D24HourMean,QuarterlyMean,Mean,15.92
2048,939,D24HourMean,QuarterlyMean,Mean,16.57
2030,949,D24HourMean,QuarterlyMean,Mean,14.04
2062,935,D24HourMean,QuarterlyMean,Mean,18.01
2072,915,D24HourMean,QuarterlyMean,Mean,17.26
2016,952,D24HourMean,QuarterlyMean,Mean,12.26
2015,960,D24HourMean,QuarterlyMean,Mean,12.03
2033,945,D24HourMean,QuarterlyMean,Mean,14.00
2040,946,D24HourMean,QuarterlyMean,Mean,13.69
2035,951,D24HourMean,QuarterlyMean,Mean,14.42
2010,964,D24HourMean,QuarterlyMean,Mean,10.56
2030,947,D24HourMean,QuarterlyMean,Mean,13.85
2054,912,D24HourMean,QuarterlyMean,Mean,14.32
2018,951,D24HourMean,QuarterlyMean,Mean,11.65
2028,956,D24HourMean,QuarterlyMean,Mean,14.01
2043,973,D24HourMean,QuarterlyMean,Mean,12.72
2049,938,D24HourMean,QuarterlyMean,Mean,16.26
2017,950,D24HourMean,QuarterlyMean,Mean,11.33
2053,959,D24HourMean,QuarterlyMean,Mean,15.40
2055,969,D24HourMean,QuarterlyMean,Mean,14.17
2029,951,D24HourMean,QuarterlyMean,Mean,13.51
2035,973,D24HourMean,QuarterlyMean,Mean,15.66
2019,935,D24HourMean,QuarterlyMean,Mean,13.12
2034,944,D24HourMean,QuarterlyMean,Mean,14.22
2023,969,D24HourMean,QuarterlyMean,Mean,15.61
2012,951,D24HourMean,QuarterlyMean,Mean,10.57
2038,970,D24HourMean,QuarterlyMean,Mean,15.13
