Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2020,930,2010,7603.83,ALL,ALL,ALL,0TO99
2002,956,2010,1028.08,ALL,ALL,ALL,0TO99
2020,960,2010,2243.88,ALL,ALL,ALL,0TO99
2037,942,2010,8702.34,ALL,ALL,ALL,0TO99
2019,931,2010,2026.91,ALL,ALL,ALL,0TO99
2026,939,2010,4064.64,ALL,ALL,ALL,0TO99
2039,970,2010,3102.96,ALL,ALL,ALL,0TO99
2066,975,2010,5575.22,ALL,ALL,ALL,0TO99
2019,962,2010,7334.71,ALL,ALL,ALL,0TO99
2008,954,2010,917.60,ALL,ALL,ALL,0TO99
2024,958,2010,3805.97,ALL,ALL,ALL,0TO99
2032,944,2010,2945.40,ALL,ALL,ALL,0TO99
2057,971,2010,2628.18,ALL,ALL,ALL,0TO99
2016,966,2010,2299.66,ALL,ALL,ALL,0TO99
2048,969,2010,4496.22,ALL,ALL,ALL,0TO99
2080,922,2010,1955.51,ALL,ALL,ALL,0TO99
2023,962,2010,2241.49,ALL,ALL,ALL,0TO99
2014,960,2010,1655.66,ALL,ALL,ALL,0TO99
2040,967,2010,1061.03,ALL,ALL,ALL,0TO99
1997,957,2010,4096.62,ALL,ALL,ALL,0TO99
2050,937,2010,1646.49,ALL,ALL,ALL,0TO99
2061,942,2010,4091.49,ALL,ALL,ALL,0TO99
2038,964,2010,1940.30,ALL,ALL,ALL,0TO99
2021,954,2010,4428.87,ALL,ALL,ALL,0TO99
2043,941,2010,1316.33,ALL,ALL,ALL,0TO99
2025,925,2010,1016.90,ALL,ALL,ALL,0TO99
2031,937,2010,1363.94,ALL,ALL,ALL,0TO99
2014,956,2010,199.54,ALL,ALL,ALL,0TO99
2052,970,2010,2430.68,ALL,ALL,ALL,0TO99
2050,913,2010,4897.08,ALL,ALL,ALL,0TO99
2038,961,2010,1305.70,ALL,ALL,ALL,0TO99
2060,970,2010,6462.81,ALL,ALL,ALL,0TO99
2030,938,2010,10541.34,ALL,ALL,ALL,0TO99
2040,914,2010,7465.84,ALL,ALL,ALL,0TO99
2016,947,2010,1170.48,ALL,ALL,ALL,0TO99
2037,943,2010,8296.78,ALL,ALL,ALL,0TO99
2025,957,2010,17910.16,ALL,ALL,ALL,0TO99
2023,971,2010,2595.94,ALL,ALL,ALL,0TO99
2006,953,2010,1984.66,ALL,ALL,ALL,0TO99
2064,974,2010,3547.50,ALL,ALL,ALL,0TO99
2027,958,2010,1725.41,ALL,ALL,ALL,0TO99
2015,968,2010,4070.52,ALL,ALL,ALL,0TO99
2023,934,2010,1095.30,ALL,ALL,ALL,0TO99
2038,939,2010,1139559.13,ALL,ALL,ALL,0TO99
2029,945,2010,2407.13,ALL,ALL,ALL,0TO99
2010,952,2010,2704.91,ALL,ALL,ALL,0TO99
2015,950,2010,1002.69,ALL,ALL,ALL,0TO99
2030,937,2010,2263.61,ALL,ALL,ALL,0TO99
2062,950,2010,1503.27,ALL,ALL,ALL,0TO99
2039,940,2010,295398.56,ALL,ALL,ALL,0TO99
2045,969,2010,23264.99,ALL,ALL,ALL,0TO99
2040,968,2010,2071.75,ALL,ALL,ALL,0TO99
2021,930,2010,9286.69,ALL,ALL,ALL,0TO99
2018,937,2010,1779.96,ALL,ALL,ALL,0TO99
2079,925,2010,1132.30,ALL,ALL,ALL,0TO99
2023,939,2010,1422.02,ALL,ALL,ALL,0TO99
2025,929,2010,2341.23,ALL,ALL,ALL,0TO99
2038,912,2010,1025.29,ALL,ALL,ALL,0TO99
2064,969,2010,4557.69,ALL,ALL,ALL,0TO99
2018,930,2010,3582.44,ALL,ALL,ALL,0TO99
2008,953,2010,1970.91,ALL,ALL,ALL,0TO99
2028,937,2010,2513.09,ALL,ALL,ALL,0TO99
2017,947,2010,862.61,ALL,ALL,ALL,0TO99
2029,968,2010,4462.72,ALL,ALL,ALL,0TO99
2024,928,2010,1579.31,ALL,ALL,ALL,0TO99
2027,947,2010,3735.71,ALL,ALL,ALL,0TO99
2014,967,2010,7312.03,ALL,ALL,ALL,0TO99
2018,968,2010,1859.63,ALL,ALL,ALL,0TO99
2026,967,2010,6939.23,ALL,ALL,ALL,0TO99
2081,923,2010,7410.76,ALL,ALL,ALL,0TO99
2031,943,2010,4111.16,ALL,ALL,ALL,0TO99
2030,926,2010,1952.27,ALL,ALL,ALL,0TO99
2008,941,2010,1885.08,ALL,ALL,ALL,0TO99
2020,953,2010,14688.78,ALL,ALL,ALL,0TO99
2015,955,2010,458.50,ALL,ALL,ALL,0TO99
2027,967,2010,7840.49,ALL,ALL,ALL,0TO99
2030,968,2010,4702.62,ALL,ALL,ALL,0TO99
2028,952,2010,4274.59,ALL,ALL,ALL,0TO99
2030,969,2010,5602.29,ALL,ALL,ALL,0TO99
2013,943,2010,2804.14,ALL,ALL,ALL,0TO99
2027,939,2010,8148.13,ALL,ALL,ALL,0TO99
2026,934,2010,1573.57,ALL,ALL,ALL,0TO99
2021,948,2010,2592.97,ALL,ALL,ALL,0TO99
2035,939,2010,17723.88,ALL,ALL,ALL,0TO99
2031,939,2010,4218.36,ALL,ALL,ALL,0TO99
2015,958,2010,1178.10,ALL,ALL,ALL,0TO99
2015,939,2010,4746.89,ALL,ALL,ALL,0TO99
2025,932,2010,648.39,ALL,ALL,ALL,0TO99
2031,944,2010,4121.46,ALL,ALL,ALL,0TO99
2024,970,2010,2039.15,ALL,ALL,ALL,0TO99
2032,939,2010,3823.74,ALL,ALL,ALL,0TO99
2033,940,2010,7270.28,ALL,ALL,ALL,0TO99
2016,948,2010,1004.34,ALL,ALL,ALL,0TO99
2048,929,2010,1087.33,ALL,ALL,ALL,0TO99
2024,964,2010,2678.84,ALL,ALL,ALL,0TO99
2048,972,2010,1184.45,ALL,ALL,ALL,0TO99
2007,956,2010,1345.49,ALL,ALL,ALL,0TO99
2016,960,2010,2129.53,ALL,ALL,ALL,0TO99
2060,952,2010,1257.40,ALL,ALL,ALL,0TO99
2023,956,2010,4534.31,ALL,ALL,ALL,0TO99
2018,947,2010,544.54,ALL,ALL,ALL,0TO99
2019,958,2010,983.46,ALL,ALL,ALL,0TO99
2028,951,2010,2125.69,ALL,ALL,ALL,0TO99
2010,958,2010,368.06,ALL,ALL,ALL,0TO99
2040,938,2010,14694.05,ALL,ALL,ALL,0TO99
2012,964,2010,4439.86,ALL,ALL,ALL,0TO99
2063,970,2010,1585.72,ALL,ALL,ALL,0TO99
2040,940,2010,32952.36,ALL,ALL,ALL,0TO99
2038,968,2010,1995.43,ALL,ALL,ALL,0TO99
2009,953,2010,2695.34,ALL,ALL,ALL,0TO99
2042,969,2010,5036.78,ALL,ALL,ALL,0TO99
2037,914,2010,4245.03,ALL,ALL,ALL,0TO99
2056,911,2010,4771.75,ALL,ALL,ALL,0TO99
2018,948,2010,1698.36,ALL,ALL,ALL,0TO99
2059,923,2010,64.78,ALL,ALL,ALL,0TO99
2012,957,2010,1422.16,ALL,ALL,ALL,0TO99
2016,944,2010,5008.71,ALL,ALL,ALL,0TO99
2019,942,2010,40018.54,ALL,ALL,ALL,0TO99
2026,936,2010,2275.11,ALL,ALL,ALL,0TO99
2032,936,2010,1368.86,ALL,ALL,ALL,0TO99
2026,966,2010,5715.10,ALL,ALL,ALL,0TO99
2025,965,2010,6823.13,ALL,ALL,ALL,0TO99
2026,935,2010,3654.24,ALL,ALL,ALL,0TO99
2016,943,2010,3906.72,ALL,ALL,ALL,0TO99
2023,955,2010,1939.33,ALL,ALL,ALL,0TO99
2026,959,2010,3413.93,ALL,ALL,ALL,0TO99
2031,948,2010,2360.21,ALL,ALL,ALL,0TO99
2031,927,2010,706.61,ALL,ALL,ALL,0TO99
2017,937,2010,3279.94,ALL,ALL,ALL,0TO99
2025,939,2010,2604.04,ALL,ALL,ALL,0TO99
2037,944,2010,56906.48,ALL,ALL,ALL,0TO99
2014,945,2010,14223.88,ALL,ALL,ALL,0TO99
2009,964,2010,2505.72,ALL,ALL,ALL,0TO99
2038,915,2010,2074.84,ALL,ALL,ALL,0TO99
2065,973,2010,3884.78,ALL,ALL,ALL,0TO99
2032,943,2010,4911.00,ALL,ALL,ALL,0TO99
2023,944,2010,1277.58,ALL,ALL,ALL,0TO99
2025,944,2010,5479.68,ALL,ALL,ALL,0TO99
2049,911,2010,4580.27,ALL,ALL,ALL,0TO99
2040,960,2010,1620.67,ALL,ALL,ALL,0TO99
2020,941,2010,5003.00,ALL,ALL,ALL,0TO99
2037,973,2010,1103.78,ALL,ALL,ALL,0TO99
2040,942,2010,4132.13,ALL,ALL,ALL,0TO99
2013,953,2010,1046.04,ALL,ALL,ALL,0TO99
2027,932,2010,1352.56,ALL,ALL,ALL,0TO99
2044,971,2010,3173.92,ALL,ALL,ALL,0TO99
2036,966,2010,3420.37,ALL,ALL,ALL,0TO99
2027,951,2010,1974.45,ALL,ALL,ALL,0TO99
2057,964,2010,889.09,ALL,ALL,ALL,0TO99
2042,970,2010,7379.83,ALL,ALL,ALL,0TO99
2028,947,2010,3713.84,ALL,ALL,ALL,0TO99
2043,913,2010,2831.42,ALL,ALL,ALL,0TO99
2043,969,2010,6816.14,ALL,ALL,ALL,0TO99
2020,954,2010,10687.76,ALL,ALL,ALL,0TO99
2034,970,2010,4494.12,ALL,ALL,ALL,0TO99
2030,971,2010,1038.83,ALL,ALL,ALL,0TO99
2035,947,2010,2115.29,ALL,ALL,ALL,0TO99
2014,964,2010,3228.28,ALL,ALL,ALL,0TO99
2054,927,2010,750.80,ALL,ALL,ALL,0TO99
2028,933,2010,1391.88,ALL,ALL,ALL,0TO99
2016,968,2010,1860.76,ALL,ALL,ALL,0TO99
2039,913,2010,1704.15,ALL,ALL,ALL,0TO99
2028,949,2010,3232.52,ALL,ALL,ALL,0TO99
2082,923,2010,18463.69,ALL,ALL,ALL,0TO99
2030,943,2010,3129.44,ALL,ALL,ALL,0TO99
2026,964,2010,5264.90,ALL,ALL,ALL,0TO99
2015,940,2010,3551.75,ALL,ALL,ALL,0TO99
2034,971,2010,5205.71,ALL,ALL,ALL,0TO99
2047,972,2010,616.88,ALL,ALL,ALL,0TO99
2049,971,2010,15107.08,ALL,ALL,ALL,0TO99
2051,912,2010,44491.60,ALL,ALL,ALL,0TO99
2025,927,2010,2635.48,ALL,ALL,ALL,0TO99
2061,972,2010,810.47,ALL,ALL,ALL,0TO99
2025,928,2010,1570.55,ALL,ALL,ALL,0TO99
2060,911,2010,3624.91,ALL,ALL,ALL,0TO99
2007,946,2010,2351.11,ALL,ALL,ALL,0TO99
2023,931,2010,9666.89,ALL,ALL,ALL,0TO99
2014,966,2010,1787.10,ALL,ALL,ALL,0TO99
2012,968,2010,932.43,ALL,ALL,ALL,0TO99
2034,948,2010,2715.56,ALL,ALL,ALL,0TO99
2041,946,2010,3421.24,ALL,ALL,ALL,0TO99
2039,951,2010,305.06,ALL,ALL,ALL,0TO99
2028,945,2010,2458.94,ALL,ALL,ALL,0TO99
2047,966,2010,2976.09,ALL,ALL,ALL,0TO99
2058,972,2010,1747.08,ALL,ALL,ALL,0TO99
2024,940,2010,2618.94,ALL,ALL,ALL,0TO99
2022,932,2010,834.02,ALL,ALL,ALL,0TO99
2015,951,2010,1140.46,ALL,ALL,ALL,0TO99
2027,944,2010,3376.61,ALL,ALL,ALL,0TO99
2030,940,2010,3933.85,ALL,ALL,ALL,0TO99
2020,965,2010,7065.81,ALL,ALL,ALL,0TO99
2036,933,2010,569.19,ALL,ALL,ALL,0TO99
2018,935,2010,5244.08,ALL,ALL,ALL,0TO99
2061,969,2010,2419.86,ALL,ALL,ALL,0TO99
2038,945,2010,3227.50,ALL,ALL,ALL,0TO99
2022,947,2010,1696.93,ALL,ALL,ALL,0TO99
2029,967,2010,16141.01,ALL,ALL,ALL,0TO99
2015,964,2010,2042.80,ALL,ALL,ALL,0TO99
2029,927,2010,2407.29,ALL,ALL,ALL,0TO99
2036,968,2010,2496.36,ALL,ALL,ALL,0TO99
2017,936,2010,4900.32,ALL,ALL,ALL,0TO99
2011,953,2010,1481.71,ALL,ALL,ALL,0TO99
2021,968,2010,6684.14,ALL,ALL,ALL,0TO99
2046,940,2010,1834.73,ALL,ALL,ALL,0TO99
2020,969,2010,3521.31,ALL,ALL,ALL,0TO99
2022,952,2010,2652.20,ALL,ALL,ALL,0TO99
2043,912,2010,1348.78,ALL,ALL,ALL,0TO99
2041,974,2010,1817.59,ALL,ALL,ALL,0TO99
2052,969,2010,727.36,ALL,ALL,ALL,0TO99
