Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1360,1234,2010,0.00,ALL,ALL,ALL,0TO99
1395,1228,2010,0.00,ALL,ALL,ALL,0TO99
1351,1198,2010,0.00,ALL,ALL,ALL,0TO99
1349,1170,2010,0.85,ALL,ALL,ALL,0TO99
1365,1255,2010,0.00,ALL,ALL,ALL,0TO99
1317,1203,2010,0.00,ALL,ALL,ALL,0TO99
1304,1236,2010,0.00,ALL,ALL,ALL,0TO99
1252,1256,2010,0.37,ALL,ALL,ALL,0TO99
1253,1257,2010,0.41,ALL,ALL,ALL,0TO99
1254,1256,2010,0.61,ALL,ALL,ALL,0TO99
1254,1258,2010,0.61,ALL,ALL,ALL,0TO99
1255,1257,2010,0.42,ALL,ALL,ALL,0TO99
1257,1256,2010,0.61,ALL,ALL,ALL,0TO99
1258,1256,2010,0.61,ALL,ALL,ALL,0TO99
1258,1258,2010,0.59,ALL,ALL,ALL,0TO99
1258,1259,2010,0.54,ALL,ALL,ALL,0TO99
1259,1253,2010,0.40,ALL,ALL,ALL,0TO99
1259,1255,2010,0.42,ALL,ALL,ALL,0TO99
1260,1256,2010,0.61,ALL,ALL,ALL,0TO99
1260,1259,2010,0.60,ALL,ALL,ALL,0TO99
1262,1231,2010,0.44,ALL,ALL,ALL,0TO99
1262,1256,2010,0.61,ALL,ALL,ALL,0TO99
1262,1258,2010,0.28,ALL,ALL,ALL,0TO99
1262,1259,2010,0.53,ALL,ALL,ALL,0TO99
1263,1229,2010,0.37,ALL,ALL,ALL,0TO99
1263,1230,2010,0.57,ALL,ALL,ALL,0TO99
1263,1231,2010,0.55,ALL,ALL,ALL,0TO99
1263,1258,2010,0.13,ALL,ALL,ALL,0TO99
1264,1223,2010,0.55,ALL,ALL,ALL,0TO99
1264,1224,2010,0.30,ALL,ALL,ALL,0TO99
1264,1229,2010,1642.68,ALL,ALL,ALL,0TO99
1264,1232,2010,0.47,ALL,ALL,ALL,0TO99
1264,1234,2010,0.52,ALL,ALL,ALL,0TO99
