Column,Row,Metric,Seasonal Metric,Annual Metric,Values
904,730,D24HourMean,QuarterlyMean,Mean,13.91
896,733,D24HourMean,QuarterlyMean,Mean,17.36
899,702,D24HourMean,QuarterlyMean,Mean,8.62
889,703,D24HourMean,QuarterlyMean,Mean,12.33
895,730,D24HourMean,QuarterlyMean,Mean,14.52
885,711,D24HourMean,QuarterlyMean,Mean,9.88
896,724,D24HourMean,QuarterlyMean,Mean,13.96
891,710,D24HourMean,QuarterlyMean,Mean,10.57
917,716,D24HourMean,QuarterlyMean,Mean,10.78
912,714,D24HourMean,QuarterlyMean,Mean,12.43
898,728,D24HourMean,QuarterlyMean,Mean,16.26
901,722,D24HourMean,QuarterlyMean,Mean,14.12
881,707,D24HourMean,QuarterlyMean,Mean,12.48
895,727,D24HourMean,QuarterlyMean,Mean,15.01
906,736,D24HourMean,QuarterlyMean,Mean,11.98
899,721,D24HourMean,QuarterlyMean,Mean,14.46
905,706,D24HourMean,QuarterlyMean,Mean,10.64
883,709,D24HourMean,QuarterlyMean,Mean,10.42
895,714,D24HourMean,QuarterlyMean,Mean,10.42
908,720,D24HourMean,QuarterlyMean,Mean,11.62
903,708,D24HourMean,QuarterlyMean,Mean,12.53
882,711,D24HourMean,QuarterlyMean,Mean,9.62
891,699,D24HourMean,QuarterlyMean,Mean,11.37
902,705,D24HourMean,QuarterlyMean,Mean,9.37
882,716,D24HourMean,QuarterlyMean,Mean,11.83
900,730,D24HourMean,QuarterlyMean,Mean,17.68
901,717,D24HourMean,QuarterlyMean,Mean,13.07
906,720,D24HourMean,QuarterlyMean,Mean,12.25
886,711,D24HourMean,QuarterlyMean,Mean,9.98
883,706,D24HourMean,QuarterlyMean,Mean,12.13
912,715,D24HourMean,QuarterlyMean,Mean,12.46
907,709,D24HourMean,QuarterlyMean,Mean,11.69
910,713,D24HourMean,QuarterlyMean,Mean,13.02
893,713,D24HourMean,QuarterlyMean,Mean,11.94
896,730,D24HourMean,QuarterlyMean,Mean,15.46
902,728,D24HourMean,QuarterlyMean,Mean,15.71
898,717,D24HourMean,QuarterlyMean,Mean,12.08
911,718,D24HourMean,QuarterlyMean,Mean,11.94
894,737,D24HourMean,QuarterlyMean,Mean,21.36
893,707,D24HourMean,QuarterlyMean,Mean,10.96
904,737,D24HourMean,QuarterlyMean,Mean,17.19
889,702,D24HourMean,QuarterlyMean,Mean,13.43
896,705,D24HourMean,QuarterlyMean,Mean,10.61
892,711,D24HourMean,QuarterlyMean,Mean,11.10
890,714,D24HourMean,QuarterlyMean,Mean,11.08
882,712,D24HourMean,QuarterlyMean,Mean,9.84
893,727,D24HourMean,QuarterlyMean,Mean,13.60
892,730,D24HourMean,QuarterlyMean,Mean,11.47
902,730,D24HourMean,QuarterlyMean,Mean,16.80
907,713,D24HourMean,QuarterlyMean,Mean,11.94
884,713,D24HourMean,QuarterlyMean,Mean,10.13
904,734,D24HourMean,QuarterlyMean,Mean,15.08
893,735,D24HourMean,QuarterlyMean,Mean,16.44
904,725,D24HourMean,QuarterlyMean,Mean,13.10
901,709,D24HourMean,QuarterlyMean,Mean,13.22
912,712,D24HourMean,QuarterlyMean,Mean,11.77
904,712,D24HourMean,QuarterlyMean,Mean,12.68
893,706,D24HourMean,QuarterlyMean,Mean,10.18
903,727,D24HourMean,QuarterlyMean,Mean,14.62
883,718,D24HourMean,QuarterlyMean,Mean,12.70
899,711,D24HourMean,QuarterlyMean,Mean,9.75
881,713,D24HourMean,QuarterlyMean,Mean,10.18
893,720,D24HourMean,QuarterlyMean,Mean,13.32
887,711,D24HourMean,QuarterlyMean,Mean,10.27
892,715,D24HourMean,QuarterlyMean,Mean,10.64
886,710,D24HourMean,QuarterlyMean,Mean,9.89
905,708,D24HourMean,QuarterlyMean,Mean,11.37
905,719,D24HourMean,QuarterlyMean,Mean,11.59
891,732,D24HourMean,QuarterlyMean,Mean,12.70
892,712,D24HourMean,QuarterlyMean,Mean,11.03
903,730,D24HourMean,QuarterlyMean,Mean,15.47
910,718,D24HourMean,QuarterlyMean,Mean,12.80
909,711,D24HourMean,QuarterlyMean,Mean,11.71
903,711,D24HourMean,QuarterlyMean,Mean,10.20
902,736,D24HourMean,QuarterlyMean,Mean,21.68
893,734,D24HourMean,QuarterlyMean,Mean,15.10
898,708,D24HourMean,QuarterlyMean,Mean,11.93
888,711,D24HourMean,QuarterlyMean,Mean,10.67
884,708,D24HourMean,QuarterlyMean,Mean,11.12
903,718,D24HourMean,QuarterlyMean,Mean,12.73
885,707,D24HourMean,QuarterlyMean,Mean,12.15
902,702,D24HourMean,QuarterlyMean,Mean,9.17
892,709,D24HourMean,QuarterlyMean,Mean,11.18
899,712,D24HourMean,QuarterlyMean,Mean,11.66
890,713,D24HourMean,QuarterlyMean,Mean,10.98
886,712,D24HourMean,QuarterlyMean,Mean,10.81
900,710,D24HourMean,QuarterlyMean,Mean,10.83
900,728,D24HourMean,QuarterlyMean,Mean,16.44
891,709,D24HourMean,QuarterlyMean,Mean,10.78
887,707,D24HourMean,QuarterlyMean,Mean,9.86
903,725,D24HourMean,QuarterlyMean,Mean,13.70
893,701,D24HourMean,QuarterlyMean,Mean,10.79
901,708,D24HourMean,QuarterlyMean,Mean,12.98
897,706,D24HourMean,QuarterlyMean,Mean,10.64
886,714,D24HourMean,QuarterlyMean,Mean,11.17
908,727,D24HourMean,QuarterlyMean,Mean,12.08
888,717,D24HourMean,QuarterlyMean,Mean,12.16
899,699,D24HourMean,QuarterlyMean,Mean,9.36
899,698,D24HourMean,QuarterlyMean,Mean,9.92
913,716,D24HourMean,QuarterlyMean,Mean,10.81
903,731,D24HourMean,QuarterlyMean,Mean,15.34
889,719,D24HourMean,QuarterlyMean,Mean,12.77
898,733,D24HourMean,QuarterlyMean,Mean,19.76
897,707,D24HourMean,QuarterlyMean,Mean,11.98
890,703,D24HourMean,QuarterlyMean,Mean,12.76
901,705,D24HourMean,QuarterlyMean,Mean,9.13
899,708,D24HourMean,QuarterlyMean,Mean,12.46
908,733,D24HourMean,QuarterlyMean,Mean,10.21
891,719,D24HourMean,QuarterlyMean,Mean,14.33
899,707,D24HourMean,QuarterlyMean,Mean,10.78
907,727,D24HourMean,QuarterlyMean,Mean,12.50
890,719,D24HourMean,QuarterlyMean,Mean,13.28
892,706,D24HourMean,QuarterlyMean,Mean,9.39
898,735,D24HourMean,QuarterlyMean,Mean,23.38
895,704,D24HourMean,QuarterlyMean,Mean,10.30
903,700,D24HourMean,QuarterlyMean,Mean,9.46
894,705,D24HourMean,QuarterlyMean,Mean,9.84
901,730,D24HourMean,QuarterlyMean,Mean,17.49
906,728,D24HourMean,QuarterlyMean,Mean,12.97
896,707,D24HourMean,QuarterlyMean,Mean,12.93
899,720,D24HourMean,QuarterlyMean,Mean,14.35
907,725,D24HourMean,QuarterlyMean,Mean,11.49
916,716,D24HourMean,QuarterlyMean,Mean,11.15
883,713,D24HourMean,QuarterlyMean,Mean,10.24
905,725,D24HourMean,QuarterlyMean,Mean,12.95
896,710,D24HourMean,QuarterlyMean,Mean,11.15
901,726,D24HourMean,QuarterlyMean,Mean,15.77
888,710,D24HourMean,QuarterlyMean,Mean,10.67
899,735,D24HourMean,QuarterlyMean,Mean,23.80
885,718,D24HourMean,QuarterlyMean,Mean,12.08
898,725,D24HourMean,QuarterlyMean,Mean,14.58
897,731,D24HourMean,QuarterlyMean,Mean,16.40
899,704,D24HourMean,QuarterlyMean,Mean,9.12
912,713,D24HourMean,QuarterlyMean,Mean,12.36
892,705,D24HourMean,QuarterlyMean,Mean,10.13
903,732,D24HourMean,QuarterlyMean,Mean,15.43
903,714,D24HourMean,QuarterlyMean,Mean,13.68
884,706,D24HourMean,QuarterlyMean,Mean,12.56
902,732,D24HourMean,QuarterlyMean,Mean,16.84
899,701,D24HourMean,QuarterlyMean,Mean,8.43
898,724,D24HourMean,QuarterlyMean,Mean,13.72
902,709,D24HourMean,QuarterlyMean,Mean,12.98
