Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
904,730,2010,1214.16,ALL,ALL,ALL,0TO99
896,733,2010,427.47,ALL,ALL,ALL,0TO99
899,702,2010,15853.49,ALL,ALL,ALL,0TO99
889,703,2010,24063.43,ALL,ALL,ALL,0TO99
895,730,2010,1668.10,ALL,ALL,ALL,0TO99
885,711,2010,30504.76,ALL,ALL,ALL,0TO99
896,724,2010,2238.72,ALL,ALL,ALL,0TO99
891,710,2010,21338.28,ALL,ALL,ALL,0TO99
917,716,2010,10018.88,ALL,ALL,ALL,0TO99
912,714,2010,10279.34,ALL,ALL,ALL,0TO99
898,728,2010,1669.88,ALL,ALL,ALL,0TO99
901,722,2010,2242.74,ALL,ALL,ALL,0TO99
881,707,2010,38482.29,ALL,ALL,ALL,0TO99
895,727,2010,1670.77,ALL,ALL,ALL,0TO99
906,736,2010,1236.43,ALL,ALL,ALL,0TO99
899,721,2010,2241.08,ALL,ALL,ALL,0TO99
905,706,2010,11447.57,ALL,ALL,ALL,0TO99
883,709,2010,66514.35,ALL,ALL,ALL,0TO99
895,714,2010,21888.39,ALL,ALL,ALL,0TO99
908,720,2010,3426.09,ALL,ALL,ALL,0TO99
903,708,2010,8589.64,ALL,ALL,ALL,0TO99
882,711,2010,16336.52,ALL,ALL,ALL,0TO99
891,699,2010,16319.52,ALL,ALL,ALL,0TO99
902,705,2010,18438.26,ALL,ALL,ALL,0TO99
882,716,2010,19037.49,ALL,ALL,ALL,0TO99
900,730,2010,468.88,ALL,ALL,ALL,0TO99
901,717,2010,16191.87,ALL,ALL,ALL,0TO99
906,720,2010,3854.53,ALL,ALL,ALL,0TO99
886,711,2010,22602.54,ALL,ALL,ALL,0TO99
883,706,2010,34228.31,ALL,ALL,ALL,0TO99
912,715,2010,5881.18,ALL,ALL,ALL,0TO99
907,709,2010,20707.82,ALL,ALL,ALL,0TO99
910,713,2010,4320.22,ALL,ALL,ALL,0TO99
893,713,2010,4843.14,ALL,ALL,ALL,0TO99
896,730,2010,1668.10,ALL,ALL,ALL,0TO99
902,728,2010,5479.03,ALL,ALL,ALL,0TO99
898,717,2010,9903.40,ALL,ALL,ALL,0TO99
911,718,2010,3572.82,ALL,ALL,ALL,0TO99
894,737,2010,468.72,ALL,ALL,ALL,0TO99
893,707,2010,48110.01,ALL,ALL,ALL,0TO99
904,737,2010,1248.78,ALL,ALL,ALL,0TO99
889,702,2010,27675.83,ALL,ALL,ALL,0TO99
896,705,2010,205294.38,ALL,ALL,ALL,0TO99
892,711,2010,13805.15,ALL,ALL,ALL,0TO99
890,714,2010,25266.60,ALL,ALL,ALL,0TO99
882,712,2010,21428.53,ALL,ALL,ALL,0TO99
893,727,2010,1921.09,ALL,ALL,ALL,0TO99
892,730,2010,1668.10,ALL,ALL,ALL,0TO99
902,730,2010,292.10,ALL,ALL,ALL,0TO99
907,713,2010,2820.08,ALL,ALL,ALL,0TO99
884,713,2010,23482.16,ALL,ALL,ALL,0TO99
904,734,2010,1237.80,ALL,ALL,ALL,0TO99
893,735,2010,427.00,ALL,ALL,ALL,0TO99
904,725,2010,1649.83,ALL,ALL,ALL,0TO99
901,709,2010,11828.78,ALL,ALL,ALL,0TO99
912,712,2010,8712.79,ALL,ALL,ALL,0TO99
904,712,2010,7519.54,ALL,ALL,ALL,0TO99
893,706,2010,98540.78,ALL,ALL,ALL,0TO99
903,727,2010,2466.44,ALL,ALL,ALL,0TO99
883,718,2010,6858.25,ALL,ALL,ALL,0TO99
899,711,2010,10101.99,ALL,ALL,ALL,0TO99
881,713,2010,19907.37,ALL,ALL,ALL,0TO99
893,720,2010,3801.50,ALL,ALL,ALL,0TO99
887,711,2010,13657.47,ALL,ALL,ALL,0TO99
892,715,2010,4443.96,ALL,ALL,ALL,0TO99
886,710,2010,51490.88,ALL,ALL,ALL,0TO99
905,708,2010,31774.25,ALL,ALL,ALL,0TO99
905,719,2010,4011.62,ALL,ALL,ALL,0TO99
891,732,2010,1268.52,ALL,ALL,ALL,0TO99
892,712,2010,7943.82,ALL,ALL,ALL,0TO99
903,730,2010,416.95,ALL,ALL,ALL,0TO99
910,718,2010,4029.43,ALL,ALL,ALL,0TO99
909,711,2010,5293.77,ALL,ALL,ALL,0TO99
903,711,2010,9195.80,ALL,ALL,ALL,0TO99
902,736,2010,334.63,ALL,ALL,ALL,0TO99
893,734,2010,427.24,ALL,ALL,ALL,0TO99
898,708,2010,13365.25,ALL,ALL,ALL,0TO99
888,711,2010,8814.31,ALL,ALL,ALL,0TO99
884,708,2010,54577.23,ALL,ALL,ALL,0TO99
903,718,2010,9851.42,ALL,ALL,ALL,0TO99
885,707,2010,62820.85,ALL,ALL,ALL,0TO99
902,702,2010,28381.72,ALL,ALL,ALL,0TO99
892,709,2010,29957.63,ALL,ALL,ALL,0TO99
899,712,2010,15377.41,ALL,ALL,ALL,0TO99
890,713,2010,26458.08,ALL,ALL,ALL,0TO99
886,712,2010,16811.92,ALL,ALL,ALL,0TO99
900,710,2010,7799.08,ALL,ALL,ALL,0TO99
900,728,2010,2579.62,ALL,ALL,ALL,0TO99
891,709,2010,39428.22,ALL,ALL,ALL,0TO99
