Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1268,585,D24HourMean,QuarterlyMean,Mean,6.04
1268,594,D24HourMean,QuarterlyMean,Mean,7.06
1258,603,D24HourMean,QuarterlyMean,Mean,6.89
1264,605,D24HourMean,QuarterlyMean,Mean,7.06
1260,602,D24HourMean,QuarterlyMean,Mean,6.20
1273,587,D24HourMean,QuarterlyMean,Mean,5.84
1274,588,D24HourMean,QuarterlyMean,Mean,6.34
1274,604,D24HourMean,QuarterlyMean,Mean,8.01
1278,594,D24HourMean,QuarterlyMean,Mean,7.55
1262,593,D24HourMean,QuarterlyMean,Mean,6.27
1275,604,D24HourMean,QuarterlyMean,Mean,8.55
1272,593,D24HourMean,QuarterlyMean,Mean,6.83
1262,586,D24HourMean,QuarterlyMean,Mean,5.39
1261,606,D24HourMean,QuarterlyMean,Mean,7.08
1269,606,D24HourMean,QuarterlyMean,Mean,8.15
1277,600,D24HourMean,QuarterlyMean,Mean,8.81
1271,611,D24HourMean,QuarterlyMean,Mean,8.06
1278,607,D24HourMean,QuarterlyMean,Mean,9.65
1272,598,D24HourMean,QuarterlyMean,Mean,7.48
1272,588,D24HourMean,QuarterlyMean,Mean,6.11
1270,604,D24HourMean,QuarterlyMean,Mean,6.96
1264,612,D24HourMean,QuarterlyMean,Mean,8.41
1271,593,D24HourMean,QuarterlyMean,Mean,6.76
1261,593,D24HourMean,QuarterlyMean,Mean,6.53
1278,597,D24HourMean,QuarterlyMean,Mean,6.89
1261,598,D24HourMean,QuarterlyMean,Mean,6.75
1270,585,D24HourMean,QuarterlyMean,Mean,5.95
1271,594,D24HourMean,QuarterlyMean,Mean,7.47
1263,584,D24HourMean,QuarterlyMean,Mean,5.98
1272,602,D24HourMean,QuarterlyMean,Mean,8.23
1260,609,D24HourMean,QuarterlyMean,Mean,6.59
1260,598,D24HourMean,QuarterlyMean,Mean,6.96
1276,599,D24HourMean,QuarterlyMean,Mean,7.96
1273,593,D24HourMean,QuarterlyMean,Mean,7.31
1259,590,D24HourMean,QuarterlyMean,Mean,5.50
1261,605,D24HourMean,QuarterlyMean,Mean,7.03
1269,584,D24HourMean,QuarterlyMean,Mean,5.89
1265,598,D24HourMean,QuarterlyMean,Mean,7.57
1273,591,D24HourMean,QuarterlyMean,Mean,6.55
1266,593,D24HourMean,QuarterlyMean,Mean,7.59
1258,601,D24HourMean,QuarterlyMean,Mean,6.99
1276,591,D24HourMean,QuarterlyMean,Mean,6.82
1271,598,D24HourMean,QuarterlyMean,Mean,9.17
1259,598,D24HourMean,QuarterlyMean,Mean,6.90
1272,587,D24HourMean,QuarterlyMean,Mean,5.52
1256,582,D24HourMean,QuarterlyMean,Mean,4.92
1267,589,D24HourMean,QuarterlyMean,Mean,5.95
1276,592,D24HourMean,QuarterlyMean,Mean,7.19
1269,593,D24HourMean,QuarterlyMean,Mean,7.22
1270,583,D24HourMean,QuarterlyMean,Mean,4.72
1278,604,D24HourMean,QuarterlyMean,Mean,8.06
1266,589,D24HourMean,QuarterlyMean,Mean,6.43
1268,584,D24HourMean,QuarterlyMean,Mean,5.62
1281,597,D24HourMean,QuarterlyMean,Mean,8.43
1269,599,D24HourMean,QuarterlyMean,Mean,9.65
1282,599,D24HourMean,QuarterlyMean,Mean,9.29
1267,601,D24HourMean,QuarterlyMean,Mean,6.75
1270,596,D24HourMean,QuarterlyMean,Mean,7.45
1266,598,D24HourMean,QuarterlyMean,Mean,7.54
1261,604,D24HourMean,QuarterlyMean,Mean,6.66
1279,599,D24HourMean,QuarterlyMean,Mean,7.55
1264,613,D24HourMean,QuarterlyMean,Mean,8.93
1259,605,D24HourMean,QuarterlyMean,Mean,7.59
1260,591,D24HourMean,QuarterlyMean,Mean,5.68
1271,614,D24HourMean,QuarterlyMean,Mean,4.99
1261,609,D24HourMean,QuarterlyMean,Mean,6.90
1260,588,D24HourMean,QuarterlyMean,Mean,5.30
1265,587,D24HourMean,QuarterlyMean,Mean,6.20
1268,601,D24HourMean,QuarterlyMean,Mean,6.98
1267,587,D24HourMean,QuarterlyMean,Mean,6.04
1260,608,D24HourMean,QuarterlyMean,Mean,7.08
1280,601,D24HourMean,QuarterlyMean,Mean,8.70
1261,603,D24HourMean,QuarterlyMean,Mean,6.50
1276,596,D24HourMean,QuarterlyMean,Mean,6.14
1274,609,D24HourMean,QuarterlyMean,Mean,8.49
1279,596,D24HourMean,QuarterlyMean,Mean,8.06
1272,601,D24HourMean,QuarterlyMean,Mean,8.46
1264,586,D24HourMean,QuarterlyMean,Mean,6.25
1265,605,D24HourMean,QuarterlyMean,Mean,7.43
1257,604,D24HourMean,QuarterlyMean,Mean,7.31
1262,607,D24HourMean,QuarterlyMean,Mean,6.71
1264,598,D24HourMean,QuarterlyMean,Mean,7.19
1264,596,D24HourMean,QuarterlyMean,Mean,7.05
1267,610,D24HourMean,QuarterlyMean,Mean,9.29
1265,592,D24HourMean,QuarterlyMean,Mean,7.03
1261,600,D24HourMean,QuarterlyMean,Mean,6.02
1263,611,D24HourMean,QuarterlyMean,Mean,8.11
1273,584,D24HourMean,QuarterlyMean,Mean,6.43
1258,608,D24HourMean,QuarterlyMean,Mean,6.82
1266,587,D24HourMean,QuarterlyMean,Mean,6.09
1263,607,D24HourMean,QuarterlyMean,Mean,7.62
1266,603,D24HourMean,QuarterlyMean,Mean,7.29
1280,599,D24HourMean,QuarterlyMean,Mean,7.99
1263,599,D24HourMean,QuarterlyMean,Mean,6.76
1270,609,D24HourMean,QuarterlyMean,Mean,9.24
1260,599,D24HourMean,QuarterlyMean,Mean,6.44
1268,606,D24HourMean,QuarterlyMean,Mean,7.94
1273,600,D24HourMean,QuarterlyMean,Mean,7.97
1257,608,D24HourMean,QuarterlyMean,Mean,7.05
1265,610,D24HourMean,QuarterlyMean,Mean,10.38
1270,614,D24HourMean,QuarterlyMean,Mean,13.88
1265,586,D24HourMean,QuarterlyMean,Mean,5.66
1264,583,D24HourMean,QuarterlyMean,Mean,5.59
1271,609,D24HourMean,QuarterlyMean,Mean,9.46
1276,605,D24HourMean,QuarterlyMean,Mean,8.39
1270,582,D24HourMean,QuarterlyMean,Mean,5.28
1275,610,D24HourMean,QuarterlyMean,Mean,10.44
1272,591,D24HourMean,QuarterlyMean,Mean,6.75
1258,584,D24HourMean,QuarterlyMean,Mean,6.02
1270,597,D24HourMean,QuarterlyMean,Mean,7.06
1273,606,D24HourMean,QuarterlyMean,Mean,7.83
1272,606,D24HourMean,QuarterlyMean,Mean,7.83
1266,602,D24HourMean,QuarterlyMean,Mean,6.80
1259,601,D24HourMean,QuarterlyMean,Mean,6.68
1270,605,D24HourMean,QuarterlyMean,Mean,7.47
1264,589,D24HourMean,QuarterlyMean,Mean,7.12
1267,614,D24HourMean,QuarterlyMean,Mean,9.60
1263,606,D24HourMean,QuarterlyMean,Mean,6.89
1262,606,D24HourMean,QuarterlyMean,Mean,6.76
1261,612,D24HourMean,QuarterlyMean,Mean,7.96
1277,603,D24HourMean,QuarterlyMean,Mean,8.55
1272,596,D24HourMean,QuarterlyMean,Mean,8.17
1265,611,D24HourMean,QuarterlyMean,Mean,7.90
1269,587,D24HourMean,QuarterlyMean,Mean,5.84
1271,613,D24HourMean,QuarterlyMean,Mean,11.06
1269,585,D24HourMean,QuarterlyMean,Mean,5.98
1261,582,D24HourMean,QuarterlyMean,Mean,5.21
1281,600,D24HourMean,QuarterlyMean,Mean,8.60
1272,594,D24HourMean,QuarterlyMean,Mean,7.80
1262,584,D24HourMean,QuarterlyMean,Mean,5.50
1258,585,D24HourMean,QuarterlyMean,Mean,5.77
1265,615,D24HourMean,QuarterlyMean,Mean,9.44
1275,593,D24HourMean,QuarterlyMean,Mean,6.41
1261,584,D24HourMean,QuarterlyMean,Mean,5.61
1266,597,D24HourMean,QuarterlyMean,Mean,7.73
1282,605,D24HourMean,QuarterlyMean,Mean,9.65
1260,600,D24HourMean,QuarterlyMean,Mean,6.98
1266,607,D24HourMean,QuarterlyMean,Mean,8.10
1277,604,D24HourMean,QuarterlyMean,Mean,8.13
1283,600,D24HourMean,QuarterlyMean,Mean,9.74
1260,611,D24HourMean,QuarterlyMean,Mean,8.11
1263,601,D24HourMean,QuarterlyMean,Mean,7.17
1264,606,D24HourMean,QuarterlyMean,Mean,7.38
1269,602,D24HourMean,QuarterlyMean,Mean,7.05
1268,605,D24HourMean,QuarterlyMean,Mean,8.36
1263,612,D24HourMean,QuarterlyMean,Mean,8.74
1266,614,D24HourMean,QuarterlyMean,Mean,8.65
1273,586,D24HourMean,QuarterlyMean,Mean,5.43
1276,607,D24HourMean,QuarterlyMean,Mean,7.68
1278,595,D24HourMean,QuarterlyMean,Mean,7.57
1271,610,D24HourMean,QuarterlyMean,Mean,8.44
1257,609,D24HourMean,QuarterlyMean,Mean,7.69
1265,595,D24HourMean,QuarterlyMean,Mean,7.55
1270,608,D24HourMean,QuarterlyMean,Mean,9.34
1274,601,D24HourMean,QuarterlyMean,Mean,7.99
1258,582,D24HourMean,QuarterlyMean,Mean,5.30
1260,597,D24HourMean,QuarterlyMean,Mean,6.94
1280,598,D24HourMean,QuarterlyMean,Mean,7.78
1262,592,D24HourMean,QuarterlyMean,Mean,6.16
1266,583,D24HourMean,QuarterlyMean,Mean,5.88
1270,589,D24HourMean,QuarterlyMean,Mean,6.36
1259,603,D24HourMean,QuarterlyMean,Mean,6.41
1276,597,D24HourMean,QuarterlyMean,Mean,7.33
1266,585,D24HourMean,QuarterlyMean,Mean,6.04
1276,602,D24HourMean,QuarterlyMean,Mean,8.11
1274,598,D24HourMean,QuarterlyMean,Mean,8.11
1270,599,D24HourMean,QuarterlyMean,Mean,8.50
1267,612,D24HourMean,QuarterlyMean,Mean,8.58
1263,595,D24HourMean,QuarterlyMean,Mean,7.17
1273,601,D24HourMean,QuarterlyMean,Mean,8.39
1275,591,D24HourMean,QuarterlyMean,Mean,6.29
1276,604,D24HourMean,QuarterlyMean,Mean,8.17
1262,605,D24HourMean,QuarterlyMean,Mean,6.44
1279,607,D24HourMean,QuarterlyMean,Mean,10.55
1264,584,D24HourMean,QuarterlyMean,Mean,5.93
1265,608,D24HourMean,QuarterlyMean,Mean,7.94
1279,601,D24HourMean,QuarterlyMean,Mean,8.32
1261,594,D24HourMean,QuarterlyMean,Mean,6.55
1271,582,D24HourMean,QuarterlyMean,Mean,5.93
1271,606,D24HourMean,QuarterlyMean,Mean,9.25
1277,606,D24HourMean,QuarterlyMean,Mean,9.43
1279,594,D24HourMean,QuarterlyMean,Mean,7.62
1264,588,D24HourMean,QuarterlyMean,Mean,7.03
1272,585,D24HourMean,QuarterlyMean,Mean,5.14
1272,607,D24HourMean,QuarterlyMean,Mean,8.13
1279,606,D24HourMean,QuarterlyMean,Mean,9.56
1281,598,D24HourMean,QuarterlyMean,Mean,8.04
1269,607,D24HourMean,QuarterlyMean,Mean,8.27
1260,604,D24HourMean,QuarterlyMean,Mean,6.68
1273,583,D24HourMean,QuarterlyMean,Mean,6.59
1265,594,D24HourMean,QuarterlyMean,Mean,7.48
1283,602,D24HourMean,QuarterlyMean,Mean,10.49
1259,608,D24HourMean,QuarterlyMean,Mean,6.92
1276,588,D24HourMean,QuarterlyMean,Mean,6.66
1260,589,D24HourMean,QuarterlyMean,Mean,5.57
1282,603,D24HourMean,QuarterlyMean,Mean,4.56
1271,588,D24HourMean,QuarterlyMean,Mean,6.68
