Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1268,585,2010,22.60,ALL,ALL,ALL,0TO99
1268,594,2010,9.41,ALL,ALL,ALL,0TO99
1258,603,2010,319.56,ALL,ALL,ALL,0TO99
1264,605,2010,126.78,ALL,ALL,ALL,0TO99
1260,602,2010,209.69,ALL,ALL,ALL,0TO99
1273,587,2010,21.98,ALL,ALL,ALL,0TO99
1274,588,2010,21.96,ALL,ALL,ALL,0TO99
1274,604,2010,123.13,ALL,ALL,ALL,0TO99
1278,594,2010,54.47,ALL,ALL,ALL,0TO99
1262,593,2010,48.49,ALL,ALL,ALL,0TO99
1275,604,2010,123.13,ALL,ALL,ALL,0TO99
1272,593,2010,14.60,ALL,ALL,ALL,0TO99
1262,586,2010,48.64,ALL,ALL,ALL,0TO99
1261,606,2010,795.52,ALL,ALL,ALL,0TO99
1269,606,2010,9.04,ALL,ALL,ALL,0TO99
1277,600,2010,14.50,ALL,ALL,ALL,0TO99
1271,611,2010,1259.83,ALL,ALL,ALL,0TO99
1278,607,2010,997.61,ALL,ALL,ALL,0TO99
1272,598,2010,14.50,ALL,ALL,ALL,0TO99
1272,588,2010,21.96,ALL,ALL,ALL,0TO99
1270,604,2010,9.04,ALL,ALL,ALL,0TO99
1264,612,2010,126.65,ALL,ALL,ALL,0TO99
1271,593,2010,14.72,ALL,ALL,ALL,0TO99
1261,593,2010,48.49,ALL,ALL,ALL,0TO99
1278,597,2010,152.33,ALL,ALL,ALL,0TO99
1261,598,2010,105.27,ALL,ALL,ALL,0TO99
1270,585,2010,21.96,ALL,ALL,ALL,0TO99
1271,594,2010,14.51,ALL,ALL,ALL,0TO99
1263,584,2010,48.69,ALL,ALL,ALL,0TO99
1272,602,2010,37.76,ALL,ALL,ALL,0TO99
1260,609,2010,954.12,ALL,ALL,ALL,0TO99
1260,598,2010,143.46,ALL,ALL,ALL,0TO99
1276,599,2010,14.50,ALL,ALL,ALL,0TO99
1273,593,2010,14.53,ALL,ALL,ALL,0TO99
1259,590,2010,40.45,ALL,ALL,ALL,0TO99
1261,605,2010,833.09,ALL,ALL,ALL,0TO99
1269,584,2010,21.96,ALL,ALL,ALL,0TO99
1265,598,2010,41.80,ALL,ALL,ALL,0TO99
1273,591,2010,21.69,ALL,ALL,ALL,0TO99
1266,593,2010,48.49,ALL,ALL,ALL,0TO99
1258,601,2010,198.68,ALL,ALL,ALL,0TO99
1276,591,2010,21.95,ALL,ALL,ALL,0TO99
1271,598,2010,14.50,ALL,ALL,ALL,0TO99
1259,598,2010,129.04,ALL,ALL,ALL,0TO99
1272,587,2010,21.98,ALL,ALL,ALL,0TO99
1256,582,2010,79.61,ALL,ALL,ALL,0TO99
1267,589,2010,48.51,ALL,ALL,ALL,0TO99
1276,592,2010,21.95,ALL,ALL,ALL,0TO99
1269,593,2010,11.59,ALL,ALL,ALL,0TO99
1270,583,2010,21.96,ALL,ALL,ALL,0TO99
1278,604,2010,113.32,ALL,ALL,ALL,0TO99
1266,589,2010,48.51,ALL,ALL,ALL,0TO99
1268,584,2010,29.03,ALL,ALL,ALL,0TO99
1281,597,2010,113.55,ALL,ALL,ALL,0TO99
1269,599,2010,9.04,ALL,ALL,ALL,0TO99
1282,599,2010,142.93,ALL,ALL,ALL,0TO99
1267,601,2010,5.62,ALL,ALL,ALL,0TO99
1270,596,2010,14.33,ALL,ALL,ALL,0TO99
1266,598,2010,5.84,ALL,ALL,ALL,0TO99
1261,604,2010,675.19,ALL,ALL,ALL,0TO99
1279,599,2010,69.87,ALL,ALL,ALL,0TO99
1264,613,2010,126.62,ALL,ALL,ALL,0TO99
1259,605,2010,360.82,ALL,ALL,ALL,0TO99
1260,591,2010,48.50,ALL,ALL,ALL,0TO99
1271,614,2010,118.72,ALL,ALL,ALL,0TO99
1261,609,2010,954.12,ALL,ALL,ALL,0TO99
1260,588,2010,48.51,ALL,ALL,ALL,0TO99
1265,587,2010,48.55,ALL,ALL,ALL,0TO99
1268,601,2010,6.56,ALL,ALL,ALL,0TO99
1267,587,2010,47.57,ALL,ALL,ALL,0TO99
1260,608,2010,953.85,ALL,ALL,ALL,0TO99
1280,601,2010,14.49,ALL,ALL,ALL,0TO99
1261,603,2010,375.99,ALL,ALL,ALL,0TO99
1276,596,2010,86.32,ALL,ALL,ALL,0TO99
1274,609,2010,3774.96,ALL,ALL,ALL,0TO99
1279,596,2010,153.77,ALL,ALL,ALL,0TO99
1272,601,2010,21.49,ALL,ALL,ALL,0TO99
1264,586,2010,48.64,ALL,ALL,ALL,0TO99
1265,605,2010,126.78,ALL,ALL,ALL,0TO99
1257,604,2010,319.52,ALL,ALL,ALL,0TO99
1262,607,2010,954.39,ALL,ALL,ALL,0TO99
1264,598,2010,48.46,ALL,ALL,ALL,0TO99
1264,596,2010,48.47,ALL,ALL,ALL,0TO99
1267,610,2010,70.34,ALL,ALL,ALL,0TO99
1265,592,2010,48.49,ALL,ALL,ALL,0TO99
1261,600,2010,147.10,ALL,ALL,ALL,0TO99
1263,611,2010,129.09,ALL,ALL,ALL,0TO99
1273,584,2010,21.96,ALL,ALL,ALL,0TO99
1258,608,2010,442.15,ALL,ALL,ALL,0TO99
1266,587,2010,48.55,ALL,ALL,ALL,0TO99
1263,607,2010,451.83,ALL,ALL,ALL,0TO99
1266,603,2010,111.92,ALL,ALL,ALL,0TO99
1280,599,2010,122.66,ALL,ALL,ALL,0TO99
1263,599,2010,68.02,ALL,ALL,ALL,0TO99
1270,609,2010,12.48,ALL,ALL,ALL,0TO99
1260,599,2010,147.12,ALL,ALL,ALL,0TO99
1268,606,2010,9.04,ALL,ALL,ALL,0TO99
1273,600,2010,15.12,ALL,ALL,ALL,0TO99
1257,608,2010,399.44,ALL,ALL,ALL,0TO99
1265,610,2010,121.23,ALL,ALL,ALL,0TO99
1270,614,2010,114.17,ALL,ALL,ALL,0TO99
1265,586,2010,48.64,ALL,ALL,ALL,0TO99
1264,583,2010,54.39,ALL,ALL,ALL,0TO99
1271,609,2010,538.67,ALL,ALL,ALL,0TO99
1276,605,2010,123.11,ALL,ALL,ALL,0TO99
1270,582,2010,21.07,ALL,ALL,ALL,0TO99
1275,610,2010,2786.74,ALL,ALL,ALL,0TO99
1272,591,2010,21.95,ALL,ALL,ALL,0TO99
1258,584,2010,48.51,ALL,ALL,ALL,0TO99
1270,597,2010,14.50,ALL,ALL,ALL,0TO99
1273,606,2010,3716.36,ALL,ALL,ALL,0TO99
1272,606,2010,2939.57,ALL,ALL,ALL,0TO99
1266,602,2010,12.00,ALL,ALL,ALL,0TO99
1259,601,2010,147.09,ALL,ALL,ALL,0TO99
1270,605,2010,9.04,ALL,ALL,ALL,0TO99
1264,589,2010,48.51,ALL,ALL,ALL,0TO99
1267,614,2010,70.29,ALL,ALL,ALL,0TO99
1263,606,2010,476.74,ALL,ALL,ALL,0TO99
1262,606,2010,954.53,ALL,ALL,ALL,0TO99
1261,612,2010,304.03,ALL,ALL,ALL,0TO99
1277,603,2010,102.12,ALL,ALL,ALL,0TO99
1272,596,2010,14.50,ALL,ALL,ALL,0TO99
1265,611,2010,114.48,ALL,ALL,ALL,0TO99
