Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1209,610,D24HourMean,QuarterlyMean,Mean,7.90
1212,578,D24HourMean,QuarterlyMean,Mean,5.82
1195,635,D24HourMean,QuarterlyMean,Mean,6.16
1202,615,D24HourMean,QuarterlyMean,Mean,7.96
1209,584,D24HourMean,QuarterlyMean,Mean,5.70
1214,581,D24HourMean,QuarterlyMean,Mean,5.07
1213,604,D24HourMean,QuarterlyMean,Mean,8.13
1194,626,D24HourMean,QuarterlyMean,Mean,6.89
1206,597,D24HourMean,QuarterlyMean,Mean,8.22
1217,621,D24HourMean,QuarterlyMean,Mean,7.78
1207,617,D24HourMean,QuarterlyMean,Mean,8.48
1196,628,D24HourMean,QuarterlyMean,Mean,6.60
1199,613,D24HourMean,QuarterlyMean,Mean,7.34
1218,606,D24HourMean,QuarterlyMean,Mean,6.04
1216,599,D24HourMean,QuarterlyMean,Mean,6.32
1226,618,D24HourMean,QuarterlyMean,Mean,8.84
1220,596,D24HourMean,QuarterlyMean,Mean,5.32
1207,583,D24HourMean,QuarterlyMean,Mean,6.34
1201,635,D24HourMean,QuarterlyMean,Mean,7.54
1217,616,D24HourMean,QuarterlyMean,Mean,8.27
1218,590,D24HourMean,QuarterlyMean,Mean,6.30
1209,588,D24HourMean,QuarterlyMean,Mean,6.71
1215,598,D24HourMean,QuarterlyMean,Mean,7.13
1199,626,D24HourMean,QuarterlyMean,Mean,7.08
1217,618,D24HourMean,QuarterlyMean,Mean,8.25
1200,624,D24HourMean,QuarterlyMean,Mean,6.82
1220,602,D24HourMean,QuarterlyMean,Mean,5.88
1224,592,D24HourMean,QuarterlyMean,Mean,4.96
1223,586,D24HourMean,QuarterlyMean,Mean,5.19
1220,575,D24HourMean,QuarterlyMean,Mean,4.92
1216,581,D24HourMean,QuarterlyMean,Mean,5.16
1219,613,D24HourMean,QuarterlyMean,Mean,7.61
1213,573,D24HourMean,QuarterlyMean,Mean,6.76
1220,592,D24HourMean,QuarterlyMean,Mean,5.41
1204,603,D24HourMean,QuarterlyMean,Mean,7.66
1209,602,D24HourMean,QuarterlyMean,Mean,9.12
1220,584,D24HourMean,QuarterlyMean,Mean,4.98
1222,582,D24HourMean,QuarterlyMean,Mean,5.46
1198,615,D24HourMean,QuarterlyMean,Mean,6.98
1215,599,D24HourMean,QuarterlyMean,Mean,6.29
1199,636,D24HourMean,QuarterlyMean,Mean,8.08
1223,614,D24HourMean,QuarterlyMean,Mean,8.39
1192,614,D24HourMean,QuarterlyMean,Mean,6.94
1220,579,D24HourMean,QuarterlyMean,Mean,7.52
1225,615,D24HourMean,QuarterlyMean,Mean,8.67
1206,619,D24HourMean,QuarterlyMean,Mean,8.08
