Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1209,610,2010,33.54,ALL,ALL,ALL,0TO99
1212,578,2010,29.09,ALL,ALL,ALL,0TO99
1195,635,2010,131.03,ALL,ALL,ALL,0TO99
1202,615,2010,40.00,ALL,ALL,ALL,0TO99
1209,584,2010,29.08,ALL,ALL,ALL,0TO99
1214,581,2010,29.08,ALL,ALL,ALL,0TO99
1213,604,2010,33.57,ALL,ALL,ALL,0TO99
1194,626,2010,39.92,ALL,ALL,ALL,0TO99
1206,597,2010,29.05,ALL,ALL,ALL,0TO99
1217,621,2010,1398.34,ALL,ALL,ALL,0TO99
1207,617,2010,39.96,ALL,ALL,ALL,0TO99
1196,628,2010,43.20,ALL,ALL,ALL,0TO99
1199,613,2010,40.01,ALL,ALL,ALL,0TO99
1218,606,2010,485.12,ALL,ALL,ALL,0TO99
1216,599,2010,29.04,ALL,ALL,ALL,0TO99
1226,618,2010,513.26,ALL,ALL,ALL,0TO99
1220,596,2010,514.90,ALL,ALL,ALL,0TO99
1207,583,2010,29.08,ALL,ALL,ALL,0TO99
1201,635,2010,131.03,ALL,ALL,ALL,0TO99
1217,616,2010,28.97,ALL,ALL,ALL,0TO99
1218,590,2010,29.07,ALL,ALL,ALL,0TO99
1209,588,2010,29.08,ALL,ALL,ALL,0TO99
1215,598,2010,29.05,ALL,ALL,ALL,0TO99
1199,626,2010,39.92,ALL,ALL,ALL,0TO99
1217,618,2010,28.96,ALL,ALL,ALL,0TO99
1200,624,2010,39.94,ALL,ALL,ALL,0TO99
1220,602,2010,399.63,ALL,ALL,ALL,0TO99
1224,592,2010,460.81,ALL,ALL,ALL,0TO99
1223,586,2010,516.73,ALL,ALL,ALL,0TO99
1220,575,2010,496.95,ALL,ALL,ALL,0TO99
1216,581,2010,29.08,ALL,ALL,ALL,0TO99
1219,613,2010,359.64,ALL,ALL,ALL,0TO99
1213,573,2010,29.10,ALL,ALL,ALL,0TO99
1220,592,2010,477.27,ALL,ALL,ALL,0TO99
1204,603,2010,84.27,ALL,ALL,ALL,0TO99
1209,602,2010,33.57,ALL,ALL,ALL,0TO99
1220,584,2010,339.80,ALL,ALL,ALL,0TO99
1222,582,2010,515.40,ALL,ALL,ALL,0TO99
1198,615,2010,40.00,ALL,ALL,ALL,0TO99
1215,599,2010,29.04,ALL,ALL,ALL,0TO99
1199,636,2010,131.00,ALL,ALL,ALL,0TO99
1223,614,2010,702.34,ALL,ALL,ALL,0TO99
1192,614,2010,39.86,ALL,ALL,ALL,0TO99
1220,579,2010,515.54,ALL,ALL,ALL,0TO99
1225,615,2010,513.53,ALL,ALL,ALL,0TO99
1206,619,2010,39.97,ALL,ALL,ALL,0TO99
1215,631,2010,913.31,ALL,ALL,ALL,0TO99
1213,572,2010,35.74,ALL,ALL,ALL,0TO99
1208,624,2010,39.94,ALL,ALL,ALL,0TO99
1216,609,2010,29.00,ALL,ALL,ALL,0TO99
1217,613,2010,28.99,ALL,ALL,ALL,0TO99
1214,575,2010,29.10,ALL,ALL,ALL,0TO99
1214,631,2010,913.31,ALL,ALL,ALL,0TO99
1204,601,2010,47.62,ALL,ALL,ALL,0TO99
1208,598,2010,29.05,ALL,ALL,ALL,0TO99
1213,615,2010,40.00,ALL,ALL,ALL,0TO99
1212,628,2010,889.93,ALL,ALL,ALL,0TO99
1225,578,2010,515.58,ALL,ALL,ALL,0TO99
1200,632,2010,131.12,ALL,ALL,ALL,0TO99
1202,632,2010,109.76,ALL,ALL,ALL,0TO99
1204,627,2010,39.91,ALL,ALL,ALL,0TO99
1201,634,2010,131.06,ALL,ALL,ALL,0TO99
1206,595,2010,29.06,ALL,ALL,ALL,0TO99
1189,617,2010,39.14,ALL,ALL,ALL,0TO99
1203,642,2010,128.43,ALL,ALL,ALL,0TO99
1219,597,2010,514.84,ALL,ALL,ALL,0TO99
1228,583,2010,515.35,ALL,ALL,ALL,0TO99
1225,584,2010,515.30,ALL,ALL,ALL,0TO99
1206,624,2010,39.94,ALL,ALL,ALL,0TO99
1217,589,2010,29.07,ALL,ALL,ALL,0TO99
1221,597,2010,513.88,ALL,ALL,ALL,0TO99
1221,609,2010,620.96,ALL,ALL,ALL,0TO99
1192,615,2010,40.00,ALL,ALL,ALL,0TO99
1219,579,2010,515.54,ALL,ALL,ALL,0TO99
1218,620,2010,116.51,ALL,ALL,ALL,0TO99
1206,584,2010,29.08,ALL,ALL,ALL,0TO99
1223,578,2010,515.58,ALL,ALL,ALL,0TO99
1216,588,2010,29.08,ALL,ALL,ALL,0TO99
1208,584,2010,29.08,ALL,ALL,ALL,0TO99
1213,584,2010,29.08,ALL,ALL,ALL,0TO99
1205,615,2010,35.31,ALL,ALL,ALL,0TO99
1215,606,2010,30.05,ALL,ALL,ALL,0TO99
1219,603,2010,514.46,ALL,ALL,ALL,0TO99
1223,577,2010,451.92,ALL,ALL,ALL,0TO99
1201,625,2010,39.93,ALL,ALL,ALL,0TO99
1221,607,2010,465.28,ALL,ALL,ALL,0TO99
1221,611,2010,705.77,ALL,ALL,ALL,0TO99
1203,629,2010,39.89,ALL,ALL,ALL,0TO99
1207,579,2010,29.09,ALL,ALL,ALL,0TO99
1191,623,2010,39.94,ALL,ALL,ALL,0TO99
1200,617,2010,39.99,ALL,ALL,ALL,0TO99
1213,574,2010,29.10,ALL,ALL,ALL,0TO99
1229,582,2010,515.40,ALL,ALL,ALL,0TO99
1199,623,2010,39.94,ALL,ALL,ALL,0TO99
1209,626,2010,39.92,ALL,ALL,ALL,0TO99
1210,619,2010,39.97,ALL,ALL,ALL,0TO99
1226,585,2010,515.25,ALL,ALL,ALL,0TO99
1216,618,2010,28.96,ALL,ALL,ALL,0TO99
1205,582,2010,29.08,ALL,ALL,ALL,0TO99
1205,583,2010,29.08,ALL,ALL,ALL,0TO99
1207,626,2010,39.92,ALL,ALL,ALL,0TO99
