Column,Row,Metric,Seasonal Metric,Annual Metric,Values
912,711,D24HourMean,QuarterlyMean,Mean,11.45
951,719,D24HourMean,QuarterlyMean,Mean,7.84
922,704,D24HourMean,QuarterlyMean,Mean,10.03
953,718,D24HourMean,QuarterlyMean,Mean,7.70
944,719,D24HourMean,QuarterlyMean,Mean,4.58
941,705,D24HourMean,QuarterlyMean,Mean,9.56
917,713,D24HourMean,QuarterlyMean,Mean,10.88
955,709,D24HourMean,QuarterlyMean,Mean,8.77
917,699,D24HourMean,QuarterlyMean,Mean,9.60
926,704,D24HourMean,QuarterlyMean,Mean,9.44
910,707,D24HourMean,QuarterlyMean,Mean,10.04
951,715,D24HourMean,QuarterlyMean,Mean,7.89
931,699,D24HourMean,QuarterlyMean,Mean,8.70
937,698,D24HourMean,QuarterlyMean,Mean,7.20
929,695,D24HourMean,QuarterlyMean,Mean,7.80
956,716,D24HourMean,QuarterlyMean,Mean,8.25
936,711,D24HourMean,QuarterlyMean,Mean,7.82
944,704,D24HourMean,QuarterlyMean,Mean,10.16
932,709,D24HourMean,QuarterlyMean,Mean,9.65
952,709,D24HourMean,QuarterlyMean,Mean,8.20
941,710,D24HourMean,QuarterlyMean,Mean,9.99
963,708,D24HourMean,QuarterlyMean,Mean,8.11
932,717,D24HourMean,QuarterlyMean,Mean,9.19
940,708,D24HourMean,QuarterlyMean,Mean,9.39
939,701,D24HourMean,QuarterlyMean,Mean,8.39
926,717,D24HourMean,QuarterlyMean,Mean,9.10
943,698,D24HourMean,QuarterlyMean,Mean,7.61
964,711,D24HourMean,QuarterlyMean,Mean,8.20
955,713,D24HourMean,QuarterlyMean,Mean,9.55
912,702,D24HourMean,QuarterlyMean,Mean,8.94
927,691,D24HourMean,QuarterlyMean,Mean,12.38
957,713,D24HourMean,QuarterlyMean,Mean,8.56
944,707,D24HourMean,QuarterlyMean,Mean,8.01
950,709,D24HourMean,QuarterlyMean,Mean,8.62
930,691,D24HourMean,QuarterlyMean,Mean,7.36
919,715,D24HourMean,QuarterlyMean,Mean,9.22
945,708,D24HourMean,QuarterlyMean,Mean,9.32
951,708,D24HourMean,QuarterlyMean,Mean,7.80
923,708,D24HourMean,QuarterlyMean,Mean,9.43
953,707,D24HourMean,QuarterlyMean,Mean,8.22
919,711,D24HourMean,QuarterlyMean,Mean,10.42
946,704,D24HourMean,QuarterlyMean,Mean,9.84
920,703,D24HourMean,QuarterlyMean,Mean,9.34
949,709,D24HourMean,QuarterlyMean,Mean,8.65
916,713,D24HourMean,QuarterlyMean,Mean,11.20
