Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1978,1016,D24HourMean,QuarterlyMean,Mean,12.65
1974,1016,D24HourMean,QuarterlyMean,Mean,12.01
1957,1006,D24HourMean,QuarterlyMean,Mean,9.09
1954,1013,D24HourMean,QuarterlyMean,Mean,10.98
1953,1009,D24HourMean,QuarterlyMean,Mean,9.89
1971,1013,D24HourMean,QuarterlyMean,Mean,13.08
1953,1004,D24HourMean,QuarterlyMean,Mean,9.04
1971,1015,D24HourMean,QuarterlyMean,Mean,13.53
1988,1009,D24HourMean,QuarterlyMean,Mean,14.40
1945,1007,D24HourMean,QuarterlyMean,Mean,13.40
1991,1012,D24HourMean,QuarterlyMean,Mean,14.47
1965,1021,D24HourMean,QuarterlyMean,Mean,12.08
1961,1012,D24HourMean,QuarterlyMean,Mean,10.98
1972,1015,D24HourMean,QuarterlyMean,Mean,13.12
1961,1020,D24HourMean,QuarterlyMean,Mean,12.16
1958,1005,D24HourMean,QuarterlyMean,Mean,8.74
1970,1012,D24HourMean,QuarterlyMean,Mean,14.01
1958,999,D24HourMean,QuarterlyMean,Mean,9.95
1989,1014,D24HourMean,QuarterlyMean,Mean,14.16
1942,1012,D24HourMean,QuarterlyMean,Mean,11.18
1986,1013,D24HourMean,QuarterlyMean,Mean,15.34
1970,995,D24HourMean,QuarterlyMean,Mean,10.10
1967,995,D24HourMean,QuarterlyMean,Mean,10.72
1981,1013,D24HourMean,QuarterlyMean,Mean,12.66
1968,997,D24HourMean,QuarterlyMean,Mean,10.43
1962,1013,D24HourMean,QuarterlyMean,Mean,11.18
1954,1011,D24HourMean,QuarterlyMean,Mean,10.15
1948,1013,D24HourMean,QuarterlyMean,Mean,9.77
1962,996,D24HourMean,QuarterlyMean,Mean,11.00
1968,1021,D24HourMean,QuarterlyMean,Mean,13.24
1952,1011,D24HourMean,QuarterlyMean,Mean,9.19
1950,1013,D24HourMean,QuarterlyMean,Mean,10.17
1988,1011,D24HourMean,QuarterlyMean,Mean,14.34
1957,1002,D24HourMean,QuarterlyMean,Mean,9.32
1962,1019,D24HourMean,QuarterlyMean,Mean,12.16
1981,1015,D24HourMean,QuarterlyMean,Mean,13.85
1958,1008,D24HourMean,QuarterlyMean,Mean,10.27
1972,1016,D24HourMean,QuarterlyMean,Mean,13.32
1944,1008,D24HourMean,QuarterlyMean,Mean,13.25
1962,1021,D24HourMean,QuarterlyMean,Mean,12.30
1988,1017,D24HourMean,QuarterlyMean,Mean,14.33
1985,1011,D24HourMean,QuarterlyMean,Mean,15.30
1962,1022,D24HourMean,QuarterlyMean,Mean,12.68
1973,1016,D24HourMean,QuarterlyMean,Mean,12.43
1979,988,D24HourMean,QuarterlyMean,Mean,11.11
1977,1014,D24HourMean,QuarterlyMean,Mean,13.04
1944,1014,D24HourMean,QuarterlyMean,Mean,10.76
1973,1020,D24HourMean,QuarterlyMean,Mean,13.44
1962,995,D24HourMean,QuarterlyMean,Mean,12.64
1985,1015,D24HourMean,QuarterlyMean,Mean,14.94
1968,1022,D24HourMean,QuarterlyMean,Mean,14.65
1964,1000,D24HourMean,QuarterlyMean,Mean,9.58
1985,984,D24HourMean,QuarterlyMean,Mean,13.26
1970,994,D24HourMean,QuarterlyMean,Mean,10.32
1971,989,D24HourMean,QuarterlyMean,Mean,12.08
1967,1012,D24HourMean,QuarterlyMean,Mean,12.81
1957,1003,D24HourMean,QuarterlyMean,Mean,8.61
1965,1018,D24HourMean,QuarterlyMean,Mean,13.33
1970,1014,D24HourMean,QuarterlyMean,Mean,13.53
1956,1018,D24HourMean,QuarterlyMean,Mean,12.32
1965,1023,D24HourMean,QuarterlyMean,Mean,14.41
1940,1009,D24HourMean,QuarterlyMean,Mean,12.20
1957,996,D24HourMean,QuarterlyMean,Mean,12.23
1970,991,D24HourMean,QuarterlyMean,Mean,12.37
1952,1012,D24HourMean,QuarterlyMean,Mean,9.62
1988,1014,D24HourMean,QuarterlyMean,Mean,14.43
1971,994,D24HourMean,QuarterlyMean,Mean,10.12
1954,1016,D24HourMean,QuarterlyMean,Mean,11.31
1956,1002,D24HourMean,QuarterlyMean,Mean,9.71
1990,1009,D24HourMean,QuarterlyMean,Mean,13.97
1948,1014,D24HourMean,QuarterlyMean,Mean,9.89
1961,995,D24HourMean,QuarterlyMean,Mean,12.88
1955,1003,D24HourMean,QuarterlyMean,Mean,9.54
1967,1014,D24HourMean,QuarterlyMean,Mean,13.72
1957,1009,D24HourMean,QuarterlyMean,Mean,9.97
1951,1014,D24HourMean,QuarterlyMean,Mean,10.47
