Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1978,1016,2010,2554.05,ALL,ALL,ALL,0TO99
1974,1016,2010,1869.48,ALL,ALL,ALL,0TO99
1957,1006,2010,207.39,ALL,ALL,ALL,0TO99
1954,1013,2010,2983.28,ALL,ALL,ALL,0TO99
1953,1009,2010,416.45,ALL,ALL,ALL,0TO99
1971,1013,2010,1571.81,ALL,ALL,ALL,0TO99
1953,1004,2010,3649.86,ALL,ALL,ALL,0TO99
1971,1015,2010,1068.61,ALL,ALL,ALL,0TO99
1988,1009,2010,9397.00,ALL,ALL,ALL,0TO99
1945,1007,2010,629.00,ALL,ALL,ALL,0TO99
1991,1012,2010,10360.07,ALL,ALL,ALL,0TO99
1965,1021,2010,5136.92,ALL,ALL,ALL,0TO99
1961,1012,2010,789.55,ALL,ALL,ALL,0TO99
1972,1015,2010,2946.04,ALL,ALL,ALL,0TO99
1961,1020,2010,9069.51,ALL,ALL,ALL,0TO99
1958,1005,2010,202.72,ALL,ALL,ALL,0TO99
1970,1012,2010,3704.29,ALL,ALL,ALL,0TO99
1958,999,2010,2085.67,ALL,ALL,ALL,0TO99
1989,1014,2010,4004.00,ALL,ALL,ALL,0TO99
1942,1012,2010,4329.42,ALL,ALL,ALL,0TO99
1986,1013,2010,1918.47,ALL,ALL,ALL,0TO99
1970,995,2010,1254.35,ALL,ALL,ALL,0TO99
1967,995,2010,5587.57,ALL,ALL,ALL,0TO99
1981,1013,2010,1876.88,ALL,ALL,ALL,0TO99
1968,997,2010,2560.28,ALL,ALL,ALL,0TO99
1962,1013,2010,417.71,ALL,ALL,ALL,0TO99
1954,1011,2010,8362.51,ALL,ALL,ALL,0TO99
1948,1013,2010,3867.80,ALL,ALL,ALL,0TO99
1962,996,2010,108692.77,ALL,ALL,ALL,0TO99
1968,1021,2010,3327.85,ALL,ALL,ALL,0TO99
1952,1011,2010,1176.86,ALL,ALL,ALL,0TO99
1950,1013,2010,2261.59,ALL,ALL,ALL,0TO99
1988,1011,2010,7417.25,ALL,ALL,ALL,0TO99
1957,1002,2010,35379.61,ALL,ALL,ALL,0TO99
1962,1019,2010,2762.38,ALL,ALL,ALL,0TO99
1981,1015,2010,2351.11,ALL,ALL,ALL,0TO99
1958,1008,2010,3458.92,ALL,ALL,ALL,0TO99
1972,1016,2010,2425.04,ALL,ALL,ALL,0TO99
1944,1008,2010,567.88,ALL,ALL,ALL,0TO99
1962,1021,2010,5003.67,ALL,ALL,ALL,0TO99
1988,1017,2010,8445.69,ALL,ALL,ALL,0TO99
1985,1011,2010,9961.50,ALL,ALL,ALL,0TO99
1962,1022,2010,16242.10,ALL,ALL,ALL,0TO99
1973,1016,2010,2667.86,ALL,ALL,ALL,0TO99
1979,988,2010,4335.67,ALL,ALL,ALL,0TO99
1977,1014,2010,3477.18,ALL,ALL,ALL,0TO99
1944,1014,2010,10376.25,ALL,ALL,ALL,0TO99
1973,1020,2010,8015.46,ALL,ALL,ALL,0TO99
1962,995,2010,14023.49,ALL,ALL,ALL,0TO99
1985,1015,2010,3357.76,ALL,ALL,ALL,0TO99
1968,1022,2010,7431.41,ALL,ALL,ALL,0TO99
1964,1000,2010,3249.61,ALL,ALL,ALL,0TO99
1985,984,2010,1593.84,ALL,ALL,ALL,0TO99
1970,994,2010,4332.12,ALL,ALL,ALL,0TO99
1971,989,2010,1048.49,ALL,ALL,ALL,0TO99
1967,1012,2010,10384.64,ALL,ALL,ALL,0TO99
1957,1003,2010,1457.22,ALL,ALL,ALL,0TO99
1965,1018,2010,3178.01,ALL,ALL,ALL,0TO99
1970,1014,2010,1813.30,ALL,ALL,ALL,0TO99
1956,1018,2010,3584.60,ALL,ALL,ALL,0TO99
1965,1023,2010,8508.26,ALL,ALL,ALL,0TO99
1940,1009,2010,6664.12,ALL,ALL,ALL,0TO99
1957,996,2010,645.46,ALL,ALL,ALL,0TO99
1970,991,2010,1373.96,ALL,ALL,ALL,0TO99
1952,1012,2010,588.92,ALL,ALL,ALL,0TO99
1988,1014,2010,3112.31,ALL,ALL,ALL,0TO99
1971,994,2010,47342.04,ALL,ALL,ALL,0TO99
1954,1016,2010,9258.16,ALL,ALL,ALL,0TO99
1956,1002,2010,27517.80,ALL,ALL,ALL,0TO99
1990,1009,2010,1150.32,ALL,ALL,ALL,0TO99
1948,1014,2010,1275.79,ALL,ALL,ALL,0TO99
1961,995,2010,6201.10,ALL,ALL,ALL,0TO99
1955,1003,2010,3260.07,ALL,ALL,ALL,0TO99
1967,1014,2010,1875.15,ALL,ALL,ALL,0TO99
1957,1009,2010,615.67,ALL,ALL,ALL,0TO99
1951,1014,2010,2045.06,ALL,ALL,ALL,0TO99
1987,1018,2010,5882.61,ALL,ALL,ALL,0TO99
1958,998,2010,3558.67,ALL,ALL,ALL,0TO99
1988,1010,2010,8199.80,ALL,ALL,ALL,0TO99
1961,1014,2010,451.21,ALL,ALL,ALL,0TO99
1943,1014,2010,1138.80,ALL,ALL,ALL,0TO99
1956,1013,2010,1302.66,ALL,ALL,ALL,0TO99
1962,999,2010,2140.33,ALL,ALL,ALL,0TO99
1961,1013,2010,624.69,ALL,ALL,ALL,0TO99
1967,1023,2010,3723.40,ALL,ALL,ALL,0TO99
1969,1022,2010,20820.77,ALL,ALL,ALL,0TO99
1967,1018,2010,2137.22,ALL,ALL,ALL,0TO99
1965,1012,2010,13690.20,ALL,ALL,ALL,0TO99
1976,1016,2010,1360.94,ALL,ALL,ALL,0TO99
1957,1010,2010,758.44,ALL,ALL,ALL,0TO99
1958,1003,2010,1258.50,ALL,ALL,ALL,0TO99
1951,1004,2010,1345.73,ALL,ALL,ALL,0TO99
1964,1020,2010,13530.42,ALL,ALL,ALL,0TO99
1977,1017,2010,1622.39,ALL,ALL,ALL,0TO99
1961,1015,2010,1769.92,ALL,ALL,ALL,0TO99
1938,1014,2010,3317.68,ALL,ALL,ALL,0TO99
1972,1021,2010,4405.28,ALL,ALL,ALL,0TO99
1957,1011,2010,1779.88,ALL,ALL,ALL,0TO99
1973,993,2010,8440.19,ALL,ALL,ALL,0TO99
1956,1007,2010,733.33,ALL,ALL,ALL,0TO99
1969,1017,2010,3131.68,ALL,ALL,ALL,0TO99
1978,1013,2010,3473.90,ALL,ALL,ALL,0TO99
1948,1012,2010,4603.66,ALL,ALL,ALL,0TO99
1964,1017,2010,3495.78,ALL,ALL,ALL,0TO99
1964,1012,2010,4375.55,ALL,ALL,ALL,0TO99
1956,1008,2010,469.13,ALL,ALL,ALL,0TO99
1983,1015,2010,4795.34,ALL,ALL,ALL,0TO99
1985,1013,2010,5595.20,ALL,ALL,ALL,0TO99
1966,1012,2010,63342.37,ALL,ALL,ALL,0TO99
1966,1021,2010,4630.94,ALL,ALL,ALL,0TO99
1991,1013,2010,5489.24,ALL,ALL,ALL,0TO99
1966,1018,2010,4286.10,ALL,ALL,ALL,0TO99
1964,1013,2010,2359.03,ALL,ALL,ALL,0TO99
1968,1017,2010,2209.72,ALL,ALL,ALL,0TO99
1982,1012,2010,5866.39,ALL,ALL,ALL,0TO99
1967,994,2010,7030.98,ALL,ALL,ALL,0TO99
1993,1012,2010,4026.10,ALL,ALL,ALL,0TO99
1954,1003,2010,3142.30,ALL,ALL,ALL,0TO99
1982,986,2010,10941.52,ALL,ALL,ALL,0TO99
1950,1014,2010,6346.74,ALL,ALL,ALL,0TO99
1946,1013,2010,2802.15,ALL,ALL,ALL,0TO99
1990,1010,2010,1107.69,ALL,ALL,ALL,0TO99
1950,1010,2010,851.14,ALL,ALL,ALL,0TO99
1969,991,2010,748.27,ALL,ALL,ALL,0TO99
1957,1000,2010,502.44,ALL,ALL,ALL,0TO99
1967,991,2010,1979.58,ALL,ALL,ALL,0TO99
1986,1014,2010,3057.85,ALL,ALL,ALL,0TO99
1968,1019,2010,10180.51,ALL,ALL,ALL,0TO99
1963,995,2010,10504.11,ALL,ALL,ALL,0TO99
1977,990,2010,10198.61,ALL,ALL,ALL,0TO99
