Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1069,756,D24HourMean,QuarterlyMean,Mean,10.37
1079,750,D24HourMean,QuarterlyMean,Mean,11.55
1078,748,D24HourMean,QuarterlyMean,Mean,12.19
1069,743,D24HourMean,QuarterlyMean,Mean,13.35
1079,743,D24HourMean,QuarterlyMean,Mean,13.84
1079,756,D24HourMean,QuarterlyMean,Mean,10.66
1063,744,D24HourMean,QuarterlyMean,Mean,12.62
1070,757,D24HourMean,QuarterlyMean,Mean,8.84
1084,751,D24HourMean,QuarterlyMean,Mean,10.61
1081,756,D24HourMean,QuarterlyMean,Mean,10.25
1075,742,D24HourMean,QuarterlyMean,Mean,13.12
1074,754,D24HourMean,QuarterlyMean,Mean,11.82
1081,753,D24HourMean,QuarterlyMean,Mean,10.01
1062,744,D24HourMean,QuarterlyMean,Mean,12.52
1062,740,D24HourMean,QuarterlyMean,Mean,14.14
1078,752,D24HourMean,QuarterlyMean,Mean,10.78
1080,744,D24HourMean,QuarterlyMean,Mean,13.40
1074,752,D24HourMean,QuarterlyMean,Mean,13.25
1077,752,D24HourMean,QuarterlyMean,Mean,10.72
1075,756,D24HourMean,QuarterlyMean,Mean,9.62
1081,747,D24HourMean,QuarterlyMean,Mean,12.23
1077,749,D24HourMean,QuarterlyMean,Mean,11.94
1080,747,D24HourMean,QuarterlyMean,Mean,12.25
1073,751,D24HourMean,QuarterlyMean,Mean,13.32
1080,754,D24HourMean,QuarterlyMean,Mean,9.70
1078,747,D24HourMean,QuarterlyMean,Mean,12.31
1059,745,D24HourMean,QuarterlyMean,Mean,11.76
1079,755,D24HourMean,QuarterlyMean,Mean,9.80
1074,757,D24HourMean,QuarterlyMean,Mean,9.08
1066,744,D24HourMean,QuarterlyMean,Mean,12.97
1067,757,D24HourMean,QuarterlyMean,Mean,7.99
1077,757,D24HourMean,QuarterlyMean,Mean,10.57
1080,743,D24HourMean,QuarterlyMean,Mean,13.42
1077,753,D24HourMean,QuarterlyMean,Mean,11.77
1070,756,D24HourMean,QuarterlyMean,Mean,10.03
1070,758,D24HourMean,QuarterlyMean,Mean,8.51
1075,749,D24HourMean,QuarterlyMean,Mean,11.86
1073,743,D24HourMean,QuarterlyMean,Mean,13.82
1082,749,D24HourMean,QuarterlyMean,Mean,12.78
1074,751,D24HourMean,QuarterlyMean,Mean,13.77
1082,746,D24HourMean,QuarterlyMean,Mean,11.76
1075,758,D24HourMean,QuarterlyMean,Mean,9.22
1074,742,D24HourMean,QuarterlyMean,Mean,13.09
1081,751,D24HourMean,QuarterlyMean,Mean,11.66
1075,744,D24HourMean,QuarterlyMean,Mean,14.13
1082,748,D24HourMean,QuarterlyMean,Mean,11.18
1079,747,D24HourMean,QuarterlyMean,Mean,12.56
1076,744,D24HourMean,QuarterlyMean,Mean,13.78
1071,756,D24HourMean,QuarterlyMean,Mean,9.87
1073,755,D24HourMean,QuarterlyMean,Mean,10.04
1082,752,D24HourMean,QuarterlyMean,Mean,9.99
1076,754,D24HourMean,QuarterlyMean,Mean,10.38
1056,744,D24HourMean,QuarterlyMean,Mean,12.15
1080,756,D24HourMean,QuarterlyMean,Mean,11.06
1079,748,D24HourMean,QuarterlyMean,Mean,11.98
1076,753,D24HourMean,QuarterlyMean,Mean,12.26
1068,757,D24HourMean,QuarterlyMean,Mean,8.77
1076,747,D24HourMean,QuarterlyMean,Mean,12.60
1081,748,D24HourMean,QuarterlyMean,Mean,11.28
1074,758,D24HourMean,QuarterlyMean,Mean,9.01
1071,747,D24HourMean,QuarterlyMean,Mean,10.79
1064,744,D24HourMean,QuarterlyMean,Mean,13.24
1079,754,D24HourMean,QuarterlyMean,Mean,10.16
1083,742,D24HourMean,QuarterlyMean,Mean,11.59
1081,742,D24HourMean,QuarterlyMean,Mean,13.27
1062,743,D24HourMean,QuarterlyMean,Mean,12.75
1077,742,D24HourMean,QuarterlyMean,Mean,13.67
1066,757,D24HourMean,QuarterlyMean,Mean,7.57
1071,760,D24HourMean,QuarterlyMean,Mean,7.68
1078,753,D24HourMean,QuarterlyMean,Mean,9.62
1061,743,D24HourMean,QuarterlyMean,Mean,12.62
1066,743,D24HourMean,QuarterlyMean,Mean,13.49
1083,753,D24HourMean,QuarterlyMean,Mean,9.68
1078,756,D24HourMean,QuarterlyMean,Mean,10.71
1077,750,D24HourMean,QuarterlyMean,Mean,12.08
1082,753,D24HourMean,QuarterlyMean,Mean,9.29
1079,749,D24HourMean,QuarterlyMean,Mean,13.08
1075,751,D24HourMean,QuarterlyMean,Mean,13.90
1061,742,D24HourMean,QuarterlyMean,Mean,13.04
1061,745,D24HourMean,QuarterlyMean,Mean,11.56
1077,743,D24HourMean,QuarterlyMean,Mean,13.40
1058,746,D24HourMean,QuarterlyMean,Mean,11.30
1072,757,D24HourMean,QuarterlyMean,Mean,9.48
1064,742,D24HourMean,QuarterlyMean,Mean,14.62
1070,742,D24HourMean,QuarterlyMean,Mean,13.62
1080,755,D24HourMean,QuarterlyMean,Mean,9.99
1069,744,D24HourMean,QuarterlyMean,Mean,12.72
1068,742,D24HourMean,QuarterlyMean,Mean,13.32
1076,742,D24HourMean,QuarterlyMean,Mean,13.42
1080,750,D24HourMean,QuarterlyMean,Mean,11.72
1073,750,D24HourMean,QuarterlyMean,Mean,10.78
1078,743,D24HourMean,QuarterlyMean,Mean,13.62
1068,743,D24HourMean,QuarterlyMean,Mean,13.10
1071,744,D24HourMean,QuarterlyMean,Mean,13.39
1075,748,D24HourMean,QuarterlyMean,Mean,12.53
1062,741,D24HourMean,QuarterlyMean,Mean,13.80
1058,743,D24HourMean,QuarterlyMean,Mean,12.82
1074,756,D24HourMean,QuarterlyMean,Mean,9.97
1073,760,D24HourMean,QuarterlyMean,Mean,7.98
1065,743,D24HourMean,QuarterlyMean,Mean,13.90
1060,743,D24HourMean,QuarterlyMean,Mean,12.90
1077,756,D24HourMean,QuarterlyMean,Mean,9.97
1067,743,D24HourMean,QuarterlyMean,Mean,13.09
1081,743,D24HourMean,QuarterlyMean,Mean,12.90
1057,744,D24HourMean,QuarterlyMean,Mean,11.65
1083,754,D24HourMean,QuarterlyMean,Mean,9.96
1081,752,D24HourMean,QuarterlyMean,Mean,9.70
1079,753,D24HourMean,QuarterlyMean,Mean,9.94
1073,758,D24HourMean,QuarterlyMean,Mean,9.12
1059,746,D24HourMean,QuarterlyMean,Mean,11.42
1060,745,D24HourMean,QuarterlyMean,Mean,11.85
1083,741,D24HourMean,QuarterlyMean,Mean,11.66
1071,743,D24HourMean,QuarterlyMean,Mean,13.84
1078,742,D24HourMean,QuarterlyMean,Mean,13.46
1080,753,D24HourMean,QuarterlyMean,Mean,9.51
1083,750,D24HourMean,QuarterlyMean,Mean,12.55
1068,758,D24HourMean,QuarterlyMean,Mean,7.70
1071,748,D24HourMean,QuarterlyMean,Mean,9.82
1082,756,D24HourMean,QuarterlyMean,Mean,10.11
1074,749,D24HourMean,QuarterlyMean,Mean,11.44
1076,756,D24HourMean,QuarterlyMean,Mean,9.55
1081,744,D24HourMean,QuarterlyMean,Mean,12.50
1072,743,D24HourMean,QuarterlyMean,Mean,14.08
1075,754,D24HourMean,QuarterlyMean,Mean,10.95
1073,752,D24HourMean,QuarterlyMean,Mean,12.92
1077,755,D24HourMean,QuarterlyMean,Mean,9.92
1073,742,D24HourMean,QuarterlyMean,Mean,13.65
1082,750,D24HourMean,QuarterlyMean,Mean,12.53
1072,756,D24HourMean,QuarterlyMean,Mean,9.13
1079,745,D24HourMean,QuarterlyMean,Mean,15.18
1080,742,D24HourMean,QuarterlyMean,Mean,13.85
1073,757,D24HourMean,QuarterlyMean,Mean,9.15
1068,749,D24HourMean,QuarterlyMean,Mean,9.50
1081,750,D24HourMean,QuarterlyMean,Mean,12.21
1080,752,D24HourMean,QuarterlyMean,Mean,9.67
1069,742,D24HourMean,QuarterlyMean,Mean,13.59
1060,744,D24HourMean,QuarterlyMean,Mean,12.75
1082,755,D24HourMean,QuarterlyMean,Mean,9.96
1082,741,D24HourMean,QuarterlyMean,Mean,12.72
1076,751,D24HourMean,QuarterlyMean,Mean,12.55
1064,745,D24HourMean,QuarterlyMean,Mean,12.55
1075,743,D24HourMean,QuarterlyMean,Mean,13.29
1065,742,D24HourMean,QuarterlyMean,Mean,14.62
1083,755,D24HourMean,QuarterlyMean,Mean,11.01
1077,748,D24HourMean,QuarterlyMean,Mean,12.50
1072,758,D24HourMean,QuarterlyMean,Mean,9.17
1058,744,D24HourMean,QuarterlyMean,Mean,12.02
1071,758,D24HourMean,QuarterlyMean,Mean,8.82
1079,751,D24HourMean,QuarterlyMean,Mean,10.62
1078,754,D24HourMean,QuarterlyMean,Mean,9.99
1083,751,D24HourMean,QuarterlyMean,Mean,11.17
1074,750,D24HourMean,QuarterlyMean,Mean,11.86
1081,755,D24HourMean,QuarterlyMean,Mean,9.63
1077,751,D24HourMean,QuarterlyMean,Mean,11.30
1076,743,D24HourMean,QuarterlyMean,Mean,13.20
1082,743,D24HourMean,QuarterlyMean,Mean,12.01
1082,747,D24HourMean,QuarterlyMean,Mean,11.62
1076,757,D24HourMean,QuarterlyMean,Mean,10.11
1075,755,D24HourMean,QuarterlyMean,Mean,9.75
1083,756,D24HourMean,QuarterlyMean,Mean,10.66
1070,743,D24HourMean,QuarterlyMean,Mean,13.24
1082,751,D24HourMean,QuarterlyMean,Mean,11.82
1079,742,D24HourMean,QuarterlyMean,Mean,13.77
1074,743,D24HourMean,QuarterlyMean,Mean,13.59
1080,746,D24HourMean,QuarterlyMean,Mean,13.43
1083,752,D24HourMean,QuarterlyMean,Mean,9.46
1072,741,D24HourMean,QuarterlyMean,Mean,14.15
1080,751,D24HourMean,QuarterlyMean,Mean,11.44
1079,752,D24HourMean,QuarterlyMean,Mean,10.95
1060,742,D24HourMean,QuarterlyMean,Mean,12.99
1077,747,D24HourMean,QuarterlyMean,Mean,12.93
1072,760,D24HourMean,QuarterlyMean,Mean,7.87
1083,748,D24HourMean,QuarterlyMean,Mean,10.96
1068,744,D24HourMean,QuarterlyMean,Mean,12.80
1078,746,D24HourMean,QuarterlyMean,Mean,13.97
1083,747,D24HourMean,QuarterlyMean,Mean,11.11
1062,742,D24HourMean,QuarterlyMean,Mean,12.97
1077,754,D24HourMean,QuarterlyMean,Mean,9.97
1080,749,D24HourMean,QuarterlyMean,Mean,11.28
1079,746,D24HourMean,QuarterlyMean,Mean,13.70
1067,744,D24HourMean,QuarterlyMean,Mean,13.00
1072,742,D24HourMean,QuarterlyMean,Mean,13.70
1076,749,D24HourMean,QuarterlyMean,Mean,12.14
1059,744,D24HourMean,QuarterlyMean,Mean,12.42
1057,743,D24HourMean,QuarterlyMean,Mean,12.87
1083,743,D24HourMean,QuarterlyMean,Mean,11.76
1076,752,D24HourMean,QuarterlyMean,Mean,13.28
1058,745,D24HourMean,QuarterlyMean,Mean,11.90
1077,744,D24HourMean,QuarterlyMean,Mean,13.37
1072,747,D24HourMean,QuarterlyMean,Mean,10.42
1076,748,D24HourMean,QuarterlyMean,Mean,12.28
1078,755,D24HourMean,QuarterlyMean,Mean,9.80
1074,753,D24HourMean,QuarterlyMean,Mean,13.18
1073,756,D24HourMean,QuarterlyMean,Mean,9.77
1063,742,D24HourMean,QuarterlyMean,Mean,14.10
1071,757,D24HourMean,QuarterlyMean,Mean,9.25
1071,742,D24HourMean,QuarterlyMean,Mean,13.70
1075,745,D24HourMean,QuarterlyMean,Mean,14.30
1081,745,D24HourMean,QuarterlyMean,Mean,11.91
1078,744,D24HourMean,QuarterlyMean,Mean,13.38
1069,757,D24HourMean,QuarterlyMean,Mean,9.10
1063,743,D24HourMean,QuarterlyMean,Mean,13.19
1075,753,D24HourMean,QuarterlyMean,Mean,13.12
1082,742,D24HourMean,QuarterlyMean,Mean,12.10
1075,750,D24HourMean,QuarterlyMean,Mean,12.41
1079,744,D24HourMean,QuarterlyMean,Mean,14.30
1081,749,D24HourMean,QuarterlyMean,Mean,11.49
1076,755,D24HourMean,QuarterlyMean,Mean,10.11
1057,745,D24HourMean,QuarterlyMean,Mean,11.61
1065,744,D24HourMean,QuarterlyMean,Mean,13.19
1078,751,D24HourMean,QuarterlyMean,Mean,10.88
1075,757,D24HourMean,QuarterlyMean,Mean,9.17
1064,743,D24HourMean,QuarterlyMean,Mean,13.61
1076,750,D24HourMean,QuarterlyMean,Mean,11.79
1082,754,D24HourMean,QuarterlyMean,Mean,9.94
1078,750,D24HourMean,QuarterlyMean,Mean,11.81
1074,755,D24HourMean,QuarterlyMean,Mean,10.42
1074,744,D24HourMean,QuarterlyMean,Mean,14.20
1068,756,D24HourMean,QuarterlyMean,Mean,9.46
1059,743,D24HourMean,QuarterlyMean,Mean,12.65
1075,752,D24HourMean,QuarterlyMean,Mean,13.38
1070,744,D24HourMean,QuarterlyMean,Mean,12.85
1069,758,D24HourMean,QuarterlyMean,Mean,8.76
1083,740,D24HourMean,QuarterlyMean,Mean,11.83
1080,748,D24HourMean,QuarterlyMean,Mean,11.45
1081,754,D24HourMean,QuarterlyMean,Mean,9.43
1061,741,D24HourMean,QuarterlyMean,Mean,14.02
1061,744,D24HourMean,QuarterlyMean,Mean,12.59
1078,745,D24HourMean,QuarterlyMean,Mean,15.95
1078,749,D24HourMean,QuarterlyMean,Mean,11.39
1069,748,D24HourMean,QuarterlyMean,Mean,9.08
1072,755,D24HourMean,QuarterlyMean,Mean,9.43
1070,748,D24HourMean,QuarterlyMean,Mean,9.32
1080,745,D24HourMean,QuarterlyMean,Mean,15.09
1069,749,D24HourMean,QuarterlyMean,Mean,9.36
1067,756,D24HourMean,QuarterlyMean,Mean,8.98
