Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1069,756,2010,7999.87,ALL,ALL,ALL,0TO99
1079,750,2010,20355.76,ALL,ALL,ALL,0TO99
1078,748,2010,25677.63,ALL,ALL,ALL,0TO99
1069,743,2010,29870.92,ALL,ALL,ALL,0TO99
1079,743,2010,43006.10,ALL,ALL,ALL,0TO99
1079,756,2010,37598.70,ALL,ALL,ALL,0TO99
1063,744,2010,21176.22,ALL,ALL,ALL,0TO99
1070,757,2010,26593.82,ALL,ALL,ALL,0TO99
1084,751,2010,9846.71,ALL,ALL,ALL,0TO99
1081,756,2010,17789.40,ALL,ALL,ALL,0TO99
1075,742,2010,32592.05,ALL,ALL,ALL,0TO99
1074,754,2010,45002.88,ALL,ALL,ALL,0TO99
1081,753,2010,18541.64,ALL,ALL,ALL,0TO99
1062,744,2010,18394.47,ALL,ALL,ALL,0TO99
1062,740,2010,23862.41,ALL,ALL,ALL,0TO99
1078,752,2010,21536.03,ALL,ALL,ALL,0TO99
1080,744,2010,24796.78,ALL,ALL,ALL,0TO99
1074,752,2010,33781.05,ALL,ALL,ALL,0TO99
1077,752,2010,24301.38,ALL,ALL,ALL,0TO99
1075,756,2010,45281.86,ALL,ALL,ALL,0TO99
1081,747,2010,29619.53,ALL,ALL,ALL,0TO99
1077,749,2010,24243.99,ALL,ALL,ALL,0TO99
1080,747,2010,34214.97,ALL,ALL,ALL,0TO99
1073,751,2010,19167.12,ALL,ALL,ALL,0TO99
1080,754,2010,24111.72,ALL,ALL,ALL,0TO99
1078,747,2010,41369.72,ALL,ALL,ALL,0TO99
1059,745,2010,28563.87,ALL,ALL,ALL,0TO99
1079,755,2010,33151.01,ALL,ALL,ALL,0TO99
1074,757,2010,33449.46,ALL,ALL,ALL,0TO99
1066,744,2010,23059.73,ALL,ALL,ALL,0TO99
1067,757,2010,15457.44,ALL,ALL,ALL,0TO99
1077,757,2010,25549.54,ALL,ALL,ALL,0TO99
1080,743,2010,43750.04,ALL,ALL,ALL,0TO99
1077,753,2010,21256.93,ALL,ALL,ALL,0TO99
