Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1966,1031,D24HourMean,QuarterlyMean,Mean,12.68
2012,1036,D24HourMean,QuarterlyMean,Mean,13.59
2018,1041,D24HourMean,QuarterlyMean,Mean,14.04
1972,1035,D24HourMean,QuarterlyMean,Mean,12.37
1986,1032,D24HourMean,QuarterlyMean,Mean,12.25
2008,1033,D24HourMean,QuarterlyMean,Mean,13.28
1972,1023,D24HourMean,QuarterlyMean,Mean,12.05
2005,1028,D24HourMean,QuarterlyMean,Mean,14.30
1971,1028,D24HourMean,QuarterlyMean,Mean,13.02
1987,1021,D24HourMean,QuarterlyMean,Mean,13.13
1985,1033,D24HourMean,QuarterlyMean,Mean,11.54
1976,1021,D24HourMean,QuarterlyMean,Mean,12.37
2021,1039,D24HourMean,QuarterlyMean,Mean,13.35
2014,1037,D24HourMean,QuarterlyMean,Mean,13.27
1980,1031,D24HourMean,QuarterlyMean,Mean,11.45
1967,1027,D24HourMean,QuarterlyMean,Mean,12.16
2008,1036,D24HourMean,QuarterlyMean,Mean,13.77
2019,1037,D24HourMean,QuarterlyMean,Mean,12.83
1996,1027,D24HourMean,QuarterlyMean,Mean,13.44
1988,1020,D24HourMean,QuarterlyMean,Mean,13.62
1987,1024,D24HourMean,QuarterlyMean,Mean,12.92
1999,1026,D24HourMean,QuarterlyMean,Mean,13.77
2008,1029,D24HourMean,QuarterlyMean,Mean,14.43
2008,1038,D24HourMean,QuarterlyMean,Mean,13.20
1998,1026,D24HourMean,QuarterlyMean,Mean,13.71
2005,1023,D24HourMean,QuarterlyMean,Mean,14.14
2015,1034,D24HourMean,QuarterlyMean,Mean,13.38
1998,1035,D24HourMean,QuarterlyMean,Mean,12.71
1973,1030,D24HourMean,QuarterlyMean,Mean,11.75
2007,1035,D24HourMean,QuarterlyMean,Mean,13.84
1981,1023,D24HourMean,QuarterlyMean,Mean,12.33
2012,1043,D24HourMean,QuarterlyMean,Mean,12.31
1981,1027,D24HourMean,QuarterlyMean,Mean,12.30
1991,1020,D24HourMean,QuarterlyMean,Mean,12.98
1983,1030,D24HourMean,QuarterlyMean,Mean,11.96
1973,1029,D24HourMean,QuarterlyMean,Mean,12.09
1994,1028,D24HourMean,QuarterlyMean,Mean,13.73
2001,1036,D24HourMean,QuarterlyMean,Mean,13.30
1973,1035,D24HourMean,QuarterlyMean,Mean,12.32
2000,1038,D24HourMean,QuarterlyMean,Mean,12.51
2001,1040,D24HourMean,QuarterlyMean,Mean,12.47
2009,1028,D24HourMean,QuarterlyMean,Mean,14.59
2006,1030,D24HourMean,QuarterlyMean,Mean,13.46
1977,1024,D24HourMean,QuarterlyMean,Mean,13.10
1991,1031,D24HourMean,QuarterlyMean,Mean,13.78
2016,1032,D24HourMean,QuarterlyMean,Mean,13.46
2006,1023,D24HourMean,QuarterlyMean,Mean,14.12
2010,1044,D24HourMean,QuarterlyMean,Mean,12.42
1985,1020,D24HourMean,QuarterlyMean,Mean,12.60
2009,1025,D24HourMean,QuarterlyMean,Mean,14.73
2023,1040,D24HourMean,QuarterlyMean,Mean,13.35
1975,1032,D24HourMean,QuarterlyMean,Mean,11.53
