Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1966,1031,2010,9213.74,ALL,ALL,ALL,0TO99
2012,1036,2010,2175.68,ALL,ALL,ALL,0TO99
2018,1041,2010,7778.96,ALL,ALL,ALL,0TO99
1972,1035,2010,3469.83,ALL,ALL,ALL,0TO99
1986,1032,2010,7586.98,ALL,ALL,ALL,0TO99
2008,1033,2010,4064.81,ALL,ALL,ALL,0TO99
1972,1023,2010,2070.58,ALL,ALL,ALL,0TO99
2005,1028,2010,4107.38,ALL,ALL,ALL,0TO99
1971,1028,2010,3236.91,ALL,ALL,ALL,0TO99
1987,1021,2010,5518.21,ALL,ALL,ALL,0TO99
1985,1033,2010,3433.38,ALL,ALL,ALL,0TO99
1976,1021,2010,1762.93,ALL,ALL,ALL,0TO99
2021,1039,2010,6351.61,ALL,ALL,ALL,0TO99
2014,1037,2010,6744.18,ALL,ALL,ALL,0TO99
1980,1031,2010,26708.70,ALL,ALL,ALL,0TO99
1967,1027,2010,2063.50,ALL,ALL,ALL,0TO99
2008,1036,2010,3040.43,ALL,ALL,ALL,0TO99
2019,1037,2010,5813.47,ALL,ALL,ALL,0TO99
1996,1027,2010,3110.21,ALL,ALL,ALL,0TO99
1988,1020,2010,5949.88,ALL,ALL,ALL,0TO99
1987,1024,2010,4399.96,ALL,ALL,ALL,0TO99
1999,1026,2010,6646.24,ALL,ALL,ALL,0TO99
2008,1029,2010,4437.06,ALL,ALL,ALL,0TO99
2008,1038,2010,3496.48,ALL,ALL,ALL,0TO99
1998,1026,2010,4384.60,ALL,ALL,ALL,0TO99
2005,1023,2010,7087.02,ALL,ALL,ALL,0TO99
2015,1034,2010,6524.02,ALL,ALL,ALL,0TO99
1998,1035,2010,6207.42,ALL,ALL,ALL,0TO99
1973,1030,2010,2964.02,ALL,ALL,ALL,0TO99
2007,1035,2010,2006.71,ALL,ALL,ALL,0TO99
1981,1023,2010,4470.87,ALL,ALL,ALL,0TO99
2012,1043,2010,7963.17,ALL,ALL,ALL,0TO99
1981,1027,2010,5267.00,ALL,ALL,ALL,0TO99
1991,1020,2010,3822.32,ALL,ALL,ALL,0TO99
1983,1030,2010,5258.88,ALL,ALL,ALL,0TO99
1973,1029,2010,5153.69,ALL,ALL,ALL,0TO99
