Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2751,617,D24HourMean,QuarterlyMean,Mean,8.86
2752,616,D24HourMean,QuarterlyMean,Mean,6.84
2753,613,D24HourMean,QuarterlyMean,Mean,5.71
2753,614,D24HourMean,QuarterlyMean,Mean,6.13
2753,615,D24HourMean,QuarterlyMean,Mean,6.46
2753,618,D24HourMean,QuarterlyMean,Mean,7.36
2754,610,D24HourMean,QuarterlyMean,Mean,4.92
2754,611,D24HourMean,QuarterlyMean,Mean,5.05
2754,612,D24HourMean,QuarterlyMean,Mean,5.52
2754,613,D24HourMean,QuarterlyMean,Mean,5.98
2754,614,D24HourMean,QuarterlyMean,Mean,6.77
2754,615,D24HourMean,QuarterlyMean,Mean,7.07
2754,618,D24HourMean,QuarterlyMean,Mean,7.56
2755,608,D24HourMean,QuarterlyMean,Mean,4.28
2755,609,D24HourMean,QuarterlyMean,Mean,4.39
2755,610,D24HourMean,QuarterlyMean,Mean,4.70
2755,611,D24HourMean,QuarterlyMean,Mean,5.12
2755,612,D24HourMean,QuarterlyMean,Mean,5.54
2755,613,D24HourMean,QuarterlyMean,Mean,5.95
2755,614,D24HourMean,QuarterlyMean,Mean,6.52
2755,615,D24HourMean,QuarterlyMean,Mean,6.98
2755,616,D24HourMean,QuarterlyMean,Mean,6.62
2756,607,D24HourMean,QuarterlyMean,Mean,4.25
2756,608,D24HourMean,QuarterlyMean,Mean,4.23
2756,609,D24HourMean,QuarterlyMean,Mean,4.36
2756,610,D24HourMean,QuarterlyMean,Mean,5.23
2756,611,D24HourMean,QuarterlyMean,Mean,5.14
2756,612,D24HourMean,QuarterlyMean,Mean,5.50
2756,613,D24HourMean,QuarterlyMean,Mean,5.97
2756,614,D24HourMean,QuarterlyMean,Mean,6.54
2756,615,D24HourMean,QuarterlyMean,Mean,6.22
2757,606,D24HourMean,QuarterlyMean,Mean,4.06
2757,607,D24HourMean,QuarterlyMean,Mean,4.13
2757,608,D24HourMean,QuarterlyMean,Mean,4.45
2757,609,D24HourMean,QuarterlyMean,Mean,4.76
2757,610,D24HourMean,QuarterlyMean,Mean,5.25
2757,611,D24HourMean,QuarterlyMean,Mean,5.34
2757,612,D24HourMean,QuarterlyMean,Mean,5.34
2757,613,D24HourMean,QuarterlyMean,Mean,5.82
2757,614,D24HourMean,QuarterlyMean,Mean,6.11
2757,615,D24HourMean,QuarterlyMean,Mean,5.70
2758,587,D24HourMean,QuarterlyMean,Mean,4.30
2758,588,D24HourMean,QuarterlyMean,Mean,4.30
2758,605,D24HourMean,QuarterlyMean,Mean,4.36
2758,606,D24HourMean,QuarterlyMean,Mean,4.13
2758,607,D24HourMean,QuarterlyMean,Mean,4.26
2758,608,D24HourMean,QuarterlyMean,Mean,4.50
2758,609,D24HourMean,QuarterlyMean,Mean,4.81
2758,610,D24HourMean,QuarterlyMean,Mean,5.03
2758,611,D24HourMean,QuarterlyMean,Mean,5.27
2758,612,D24HourMean,QuarterlyMean,Mean,5.18
