Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2751,617,2010,124.82,ALL,ALL,ALL,0TO99
2752,616,2010,4180.87,ALL,ALL,ALL,0TO99
2753,613,2010,3179.01,ALL,ALL,ALL,0TO99
2753,614,2010,36967.26,ALL,ALL,ALL,0TO99
2753,615,2010,53297.57,ALL,ALL,ALL,0TO99
2753,618,2010,3056.70,ALL,ALL,ALL,0TO99
2754,610,2010,4627.51,ALL,ALL,ALL,0TO99
2754,611,2010,6670.00,ALL,ALL,ALL,0TO99
2754,612,2010,4396.95,ALL,ALL,ALL,0TO99
2754,613,2010,13367.11,ALL,ALL,ALL,0TO99
2754,614,2010,47442.30,ALL,ALL,ALL,0TO99
2754,615,2010,186867.92,ALL,ALL,ALL,0TO99
2754,618,2010,16842.92,ALL,ALL,ALL,0TO99
2755,608,2010,2332.58,ALL,ALL,ALL,0TO99
2755,609,2010,2986.07,ALL,ALL,ALL,0TO99
2755,610,2010,6967.37,ALL,ALL,ALL,0TO99
2755,611,2010,3327.98,ALL,ALL,ALL,0TO99
2755,612,2010,5410.54,ALL,ALL,ALL,0TO99
2755,613,2010,33550.17,ALL,ALL,ALL,0TO99
2755,614,2010,38562.23,ALL,ALL,ALL,0TO99
2755,615,2010,36338.38,ALL,ALL,ALL,0TO99
2755,616,2010,2176.07,ALL,ALL,ALL,0TO99
2756,607,2010,4963.71,ALL,ALL,ALL,0TO99
2756,608,2010,3499.04,ALL,ALL,ALL,0TO99
2756,609,2010,1618.56,ALL,ALL,ALL,0TO99
2756,610,2010,1296.36,ALL,ALL,ALL,0TO99
2756,611,2010,613.75,ALL,ALL,ALL,0TO99
2756,612,2010,9863.78,ALL,ALL,ALL,0TO99
2756,613,2010,14895.98,ALL,ALL,ALL,0TO99
2756,614,2010,12086.19,ALL,ALL,ALL,0TO99
2756,615,2010,9065.46,ALL,ALL,ALL,0TO99
2757,606,2010,3816.28,ALL,ALL,ALL,0TO99
