Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2483,796,D24HourMean,QuarterlyMean,Mean,30.32
2483,797,D24HourMean,QuarterlyMean,Mean,29.76
2483,798,D24HourMean,QuarterlyMean,Mean,30.86
2484,796,D24HourMean,QuarterlyMean,Mean,31.02
2484,797,D24HourMean,QuarterlyMean,Mean,30.49
2484,798,D24HourMean,QuarterlyMean,Mean,30.80
2484,799,D24HourMean,QuarterlyMean,Mean,31.99
2485,794,D24HourMean,QuarterlyMean,Mean,31.16
2485,795,D24HourMean,QuarterlyMean,Mean,29.07
2485,797,D24HourMean,QuarterlyMean,Mean,29.74
2485,798,D24HourMean,QuarterlyMean,Mean,32.16
2485,799,D24HourMean,QuarterlyMean,Mean,27.24
2486,793,D24HourMean,QuarterlyMean,Mean,28.28
2486,794,D24HourMean,QuarterlyMean,Mean,29.73
2486,795,D24HourMean,QuarterlyMean,Mean,28.86
2486,796,D24HourMean,QuarterlyMean,Mean,28.40
2486,798,D24HourMean,QuarterlyMean,Mean,26.78
2486,799,D24HourMean,QuarterlyMean,Mean,23.59
2487,792,D24HourMean,QuarterlyMean,Mean,31.41
2487,793,D24HourMean,QuarterlyMean,Mean,30.43
2487,794,D24HourMean,QuarterlyMean,Mean,29.20
2487,795,D24HourMean,QuarterlyMean,Mean,28.32
2487,796,D24HourMean,QuarterlyMean,Mean,28.31
2487,797,D24HourMean,QuarterlyMean,Mean,28.32
2487,798,D24HourMean,QuarterlyMean,Mean,27.60
2487,799,D24HourMean,QuarterlyMean,Mean,12.32
2488,791,D24HourMean,QuarterlyMean,Mean,29.66
2488,792,D24HourMean,QuarterlyMean,Mean,31.73
2488,793,D24HourMean,QuarterlyMean,Mean,30.27
2488,794,D24HourMean,QuarterlyMean,Mean,28.15
2488,795,D24HourMean,QuarterlyMean,Mean,27.51
2488,796,D24HourMean,QuarterlyMean,Mean,27.07
2488,797,D24HourMean,QuarterlyMean,Mean,26.96
2488,798,D24HourMean,QuarterlyMean,Mean,27.82
2488,799,D24HourMean,QuarterlyMean,Mean,23.09
2489,790,D24HourMean,QuarterlyMean,Mean,31.98
2489,791,D24HourMean,QuarterlyMean,Mean,32.40
2489,792,D24HourMean,QuarterlyMean,Mean,32.80
2489,793,D24HourMean,QuarterlyMean,Mean,32.01
2489,794,D24HourMean,QuarterlyMean,Mean,28.71
2489,795,D24HourMean,QuarterlyMean,Mean,27.77
2489,796,D24HourMean,QuarterlyMean,Mean,26.97
2489,797,D24HourMean,QuarterlyMean,Mean,26.89
2489,798,D24HourMean,QuarterlyMean,Mean,27.31
2489,799,D24HourMean,QuarterlyMean,Mean,25.94
2489,800,D24HourMean,QuarterlyMean,Mean,-2.98
2489,801,D24HourMean,QuarterlyMean,Mean,27.56
2490,790,D24HourMean,QuarterlyMean,Mean,31.58
2490,791,D24HourMean,QuarterlyMean,Mean,32.20
2490,792,D24HourMean,QuarterlyMean,Mean,31.87
2490,793,D24HourMean,QuarterlyMean,Mean,31.13
2490,794,D24HourMean,QuarterlyMean,Mean,28.50
2490,795,D24HourMean,QuarterlyMean,Mean,27.49
2490,796,D24HourMean,QuarterlyMean,Mean,27.11
2490,797,D24HourMean,QuarterlyMean,Mean,27.39
2490,798,D24HourMean,QuarterlyMean,Mean,24.05
2490,799,D24HourMean,QuarterlyMean,Mean,24.18
2490,800,D24HourMean,QuarterlyMean,Mean,-2.96
2490,801,D24HourMean,QuarterlyMean,Mean,26.43
2490,802,D24HourMean,QuarterlyMean,Mean,26.68
2491,781,D24HourMean,QuarterlyMean,Mean,23.64
2491,782,D24HourMean,QuarterlyMean,Mean,27.57
2491,783,D24HourMean,QuarterlyMean,Mean,29.30
2491,784,D24HourMean,QuarterlyMean,Mean,28.32
2491,789,D24HourMean,QuarterlyMean,Mean,28.26
2491,790,D24HourMean,QuarterlyMean,Mean,29.73
2491,791,D24HourMean,QuarterlyMean,Mean,29.81
2491,792,D24HourMean,QuarterlyMean,Mean,28.93
2491,793,D24HourMean,QuarterlyMean,Mean,28.21
2491,794,D24HourMean,QuarterlyMean,Mean,27.76
2491,795,D24HourMean,QuarterlyMean,Mean,27.08
2491,796,D24HourMean,QuarterlyMean,Mean,26.99
2491,797,D24HourMean,QuarterlyMean,Mean,27.35
2491,798,D24HourMean,QuarterlyMean,Mean,24.57
2491,799,D24HourMean,QuarterlyMean,Mean,20.37
2491,800,D24HourMean,QuarterlyMean,Mean,-2.92
