Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2483,796,2010,765.38,ALL,ALL,ALL,0TO99
2483,797,2010,177.99,ALL,ALL,ALL,0TO99
2483,798,2010,420.22,ALL,ALL,ALL,0TO99
2484,796,2010,548.80,ALL,ALL,ALL,0TO99
2484,797,2010,494.28,ALL,ALL,ALL,0TO99
2484,798,2010,464.81,ALL,ALL,ALL,0TO99
2484,799,2010,1109.98,ALL,ALL,ALL,0TO99
2485,794,2010,2947.37,ALL,ALL,ALL,0TO99
2485,795,2010,769.64,ALL,ALL,ALL,0TO99
2485,797,2010,1409.15,ALL,ALL,ALL,0TO99
2485,798,2010,1153.60,ALL,ALL,ALL,0TO99
2485,799,2010,956.21,ALL,ALL,ALL,0TO99
2486,793,2010,782.82,ALL,ALL,ALL,0TO99
2486,794,2010,2590.50,ALL,ALL,ALL,0TO99
2486,795,2010,2806.28,ALL,ALL,ALL,0TO99
2486,796,2010,2259.77,ALL,ALL,ALL,0TO99
2486,798,2010,982.42,ALL,ALL,ALL,0TO99
2486,799,2010,655.06,ALL,ALL,ALL,0TO99
2487,792,2010,2962.44,ALL,ALL,ALL,0TO99
2487,793,2010,3352.14,ALL,ALL,ALL,0TO99
2487,794,2010,3265.96,ALL,ALL,ALL,0TO99
2487,795,2010,2838.90,ALL,ALL,ALL,0TO99
2487,796,2010,2833.11,ALL,ALL,ALL,0TO99
2487,797,2010,1991.54,ALL,ALL,ALL,0TO99
2487,798,2010,200.90,ALL,ALL,ALL,0TO99
2487,799,2010,222.44,ALL,ALL,ALL,0TO99
2488,791,2010,4551.59,ALL,ALL,ALL,0TO99
2488,792,2010,5172.35,ALL,ALL,ALL,0TO99
2488,793,2010,5200.55,ALL,ALL,ALL,0TO99
2488,794,2010,4113.76,ALL,ALL,ALL,0TO99
2488,795,2010,2838.90,ALL,ALL,ALL,0TO99
2488,796,2010,2836.79,ALL,ALL,ALL,0TO99
2488,797,2010,2793.25,ALL,ALL,ALL,0TO99
2488,798,2010,780.62,ALL,ALL,ALL,0TO99
2488,799,2010,59.60,ALL,ALL,ALL,0TO99
2489,790,2010,3137.14,ALL,ALL,ALL,0TO99
2489,791,2010,5261.88,ALL,ALL,ALL,0TO99
