Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1713,1102,D24HourMean,QuarterlyMean,Mean,8.05
1722,1109,D24HourMean,QuarterlyMean,Mean,7.87
1728,1100,D24HourMean,QuarterlyMean,Mean,8.28
1728,1091,D24HourMean,QuarterlyMean,Mean,8.26
1723,1094,D24HourMean,QuarterlyMean,Mean,8.23
1707,1075,D24HourMean,QuarterlyMean,Mean,14.69
1704,1083,D24HourMean,QuarterlyMean,Mean,12.47
1735,1100,D24HourMean,QuarterlyMean,Mean,8.35
1710,1081,D24HourMean,QuarterlyMean,Mean,7.69
1718,1081,D24HourMean,QuarterlyMean,Mean,8.27
1733,1101,D24HourMean,QuarterlyMean,Mean,8.96
1725,1080,D24HourMean,QuarterlyMean,Mean,10.56
1728,1089,D24HourMean,QuarterlyMean,Mean,8.81
1710,1085,D24HourMean,QuarterlyMean,Mean,7.92
1736,1094,D24HourMean,QuarterlyMean,Mean,8.53
1723,1080,D24HourMean,QuarterlyMean,Mean,9.71
1737,1096,D24HourMean,QuarterlyMean,Mean,8.93
1714,1080,D24HourMean,QuarterlyMean,Mean,8.89
1719,1092,D24HourMean,QuarterlyMean,Mean,8.09
1718,1086,D24HourMean,QuarterlyMean,Mean,7.82
1723,1089,D24HourMean,QuarterlyMean,Mean,8.76
1736,1095,D24HourMean,QuarterlyMean,Mean,8.54
1714,1101,D24HourMean,QuarterlyMean,Mean,9.01
1735,1085,D24HourMean,QuarterlyMean,Mean,11.89
1726,1081,D24HourMean,QuarterlyMean,Mean,10.30
1705,1094,D24HourMean,QuarterlyMean,Mean,11.46
1708,1078,D24HourMean,QuarterlyMean,Mean,10.61
1721,1107,D24HourMean,QuarterlyMean,Mean,6.86
1708,1080,D24HourMean,QuarterlyMean,Mean,9.58
1731,1090,D24HourMean,QuarterlyMean,Mean,9.35
1715,1097,D24HourMean,QuarterlyMean,Mean,7.76
1702,1094,D24HourMean,QuarterlyMean,Mean,13.40
1731,1082,D24HourMean,QuarterlyMean,Mean,12.38
1700,1102,D24HourMean,QuarterlyMean,Mean,12.83
1711,1079,D24HourMean,QuarterlyMean,Mean,9.67
1730,1091,D24HourMean,QuarterlyMean,Mean,8.74
1713,1087,D24HourMean,QuarterlyMean,Mean,8.05
1725,1083,D24HourMean,QuarterlyMean,Mean,10.37
1715,1082,D24HourMean,QuarterlyMean,Mean,7.91
1703,1097,D24HourMean,QuarterlyMean,Mean,13.20
1735,1094,D24HourMean,QuarterlyMean,Mean,9.08
1738,1086,D24HourMean,QuarterlyMean,Mean,11.52
1722,1084,D24HourMean,QuarterlyMean,Mean,8.64
1724,1085,D24HourMean,QuarterlyMean,Mean,8.72
1722,1088,D24HourMean,QuarterlyMean,Mean,8.08
1726,1089,D24HourMean,QuarterlyMean,Mean,9.17
1711,1083,D24HourMean,QuarterlyMean,Mean,7.94
1718,1102,D24HourMean,QuarterlyMean,Mean,8.09
1700,1081,D24HourMean,QuarterlyMean,Mean,14.81
1721,1079,D24HourMean,QuarterlyMean,Mean,10.10
1735,1089,D24HourMean,QuarterlyMean,Mean,9.58
1736,1085,D24HourMean,QuarterlyMean,Mean,12.01
1715,1102,D24HourMean,QuarterlyMean,Mean,7.51
1711,1090,D24HourMean,QuarterlyMean,Mean,8.88
1731,1100,D24HourMean,QuarterlyMean,Mean,8.99
1715,1096,D24HourMean,QuarterlyMean,Mean,7.90
1709,1089,D24HourMean,QuarterlyMean,Mean,8.53
1726,1088,D24HourMean,QuarterlyMean,Mean,9.46
1733,1082,D24HourMean,QuarterlyMean,Mean,12.70
1726,1091,D24HourMean,QuarterlyMean,Mean,7.79
1735,1090,D24HourMean,QuarterlyMean,Mean,8.64
1737,1094,D24HourMean,QuarterlyMean,Mean,9.05
1705,1080,D24HourMean,QuarterlyMean,Mean,11.71
1731,1097,D24HourMean,QuarterlyMean,Mean,8.38
1713,1088,D24HourMean,QuarterlyMean,Mean,8.15
1717,1079,D24HourMean,QuarterlyMean,Mean,10.45
1739,1092,D24HourMean,QuarterlyMean,Mean,8.02
1734,1090,D24HourMean,QuarterlyMean,Mean,9.05
1715,1094,D24HourMean,QuarterlyMean,Mean,7.88
1736,1089,D24HourMean,QuarterlyMean,Mean,9.48
1725,1096,D24HourMean,QuarterlyMean,Mean,8.23
1717,1096,D24HourMean,QuarterlyMean,Mean,7.88
1720,1080,D24HourMean,QuarterlyMean,Mean,8.99
1726,1096,D24HourMean,QuarterlyMean,Mean,9.01
1720,1079,D24HourMean,QuarterlyMean,Mean,9.94
1725,1093,D24HourMean,QuarterlyMean,Mean,8.23
1698,1079,D24HourMean,QuarterlyMean,Mean,14.73
1716,1092,D24HourMean,QuarterlyMean,Mean,7.79
1720,1102,D24HourMean,QuarterlyMean,Mean,8.83
1710,1078,D24HourMean,QuarterlyMean,Mean,10.74
1715,1080,D24HourMean,QuarterlyMean,Mean,9.57
1726,1085,D24HourMean,QuarterlyMean,Mean,9.79
1719,1082,D24HourMean,QuarterlyMean,Mean,7.75
1723,1083,D24HourMean,QuarterlyMean,Mean,9.59
1734,1093,D24HourMean,QuarterlyMean,Mean,8.91
1711,1085,D24HourMean,QuarterlyMean,Mean,7.82
1729,1084,D24HourMean,QuarterlyMean,Mean,10.66
1714,1081,D24HourMean,QuarterlyMean,Mean,8.01
1702,1097,D24HourMean,QuarterlyMean,Mean,13.34
1727,1082,D24HourMean,QuarterlyMean,Mean,10.91
1719,1103,D24HourMean,QuarterlyMean,Mean,7.33
1702,1079,D24HourMean,QuarterlyMean,Mean,13.99
1719,1083,D24HourMean,QuarterlyMean,Mean,7.61
1734,1089,D24HourMean,QuarterlyMean,Mean,9.36
1731,1101,D24HourMean,QuarterlyMean,Mean,8.84
1733,1095,D24HourMean,QuarterlyMean,Mean,7.93
1730,1085,D24HourMean,QuarterlyMean,Mean,11.62
1710,1098,D24HourMean,QuarterlyMean,Mean,8.03
1736,1096,D24HourMean,QuarterlyMean,Mean,8.62
1729,1093,D24HourMean,QuarterlyMean,Mean,7.32
1737,1084,D24HourMean,QuarterlyMean,Mean,12.87
1711,1080,D24HourMean,QuarterlyMean,Mean,8.37
1725,1095,D24HourMean,QuarterlyMean,Mean,8.28
1709,1093,D24HourMean,QuarterlyMean,Mean,8.79
1732,1086,D24HourMean,QuarterlyMean,Mean,10.81
1730,1090,D24HourMean,QuarterlyMean,Mean,9.16
1723,1107,D24HourMean,QuarterlyMean,Mean,7.50
1724,1093,D24HourMean,QuarterlyMean,Mean,8.26
1703,1084,D24HourMean,QuarterlyMean,Mean,13.12
1718,1109,D24HourMean,QuarterlyMean,Mean,6.49
1716,1107,D24HourMean,QuarterlyMean,Mean,6.92
1721,1084,D24HourMean,QuarterlyMean,Mean,8.31
1729,1088,D24HourMean,QuarterlyMean,Mean,9.72
1732,1101,D24HourMean,QuarterlyMean,Mean,8.61
1700,1078,D24HourMean,QuarterlyMean,Mean,14.90
1708,1089,D24HourMean,QuarterlyMean,Mean,9.07
1716,1100,D24HourMean,QuarterlyMean,Mean,7.44
1711,1089,D24HourMean,QuarterlyMean,Mean,8.20
1723,1097,D24HourMean,QuarterlyMean,Mean,8.18
1708,1083,D24HourMean,QuarterlyMean,Mean,8.29
1723,1096,D24HourMean,QuarterlyMean,Mean,7.95
1709,1080,D24HourMean,QuarterlyMean,Mean,8.77
1699,1094,D24HourMean,QuarterlyMean,Mean,13.97
1738,1087,D24HourMean,QuarterlyMean,Mean,10.59
1718,1087,D24HourMean,QuarterlyMean,Mean,8.05
1723,1092,D24HourMean,QuarterlyMean,Mean,8.33
1714,1077,D24HourMean,QuarterlyMean,Mean,11.74
1720,1110,D24HourMean,QuarterlyMean,Mean,6.73
1733,1094,D24HourMean,QuarterlyMean,Mean,8.96
1721,1094,D24HourMean,QuarterlyMean,Mean,7.91
1720,1083,D24HourMean,QuarterlyMean,Mean,8.47
1729,1101,D24HourMean,QuarterlyMean,Mean,7.46
1733,1090,D24HourMean,QuarterlyMean,Mean,8.60
1731,1099,D24HourMean,QuarterlyMean,Mean,8.84
1734,1082,D24HourMean,QuarterlyMean,Mean,12.76
1734,1099,D24HourMean,QuarterlyMean,Mean,8.73
1731,1087,D24HourMean,QuarterlyMean,Mean,10.55
1736,1099,D24HourMean,QuarterlyMean,Mean,8.77
1716,1095,D24HourMean,QuarterlyMean,Mean,7.75
1733,1084,D24HourMean,QuarterlyMean,Mean,12.51
1724,1091,D24HourMean,QuarterlyMean,Mean,7.53
1720,1103,D24HourMean,QuarterlyMean,Mean,7.41
1725,1085,D24HourMean,QuarterlyMean,Mean,9.19
1722,1091,D24HourMean,QuarterlyMean,Mean,8.50
1706,1099,D24HourMean,QuarterlyMean,Mean,10.01
1717,1101,D24HourMean,QuarterlyMean,Mean,8.14
1714,1107,D24HourMean,QuarterlyMean,Mean,6.46
1704,1080,D24HourMean,QuarterlyMean,Mean,12.79
1728,1090,D24HourMean,QuarterlyMean,Mean,9.18
1710,1095,D24HourMean,QuarterlyMean,Mean,8.67
1729,1086,D24HourMean,QuarterlyMean,Mean,11.49
1721,1088,D24HourMean,QuarterlyMean,Mean,7.58
1722,1105,D24HourMean,QuarterlyMean,Mean,9.84
1722,1087,D24HourMean,QuarterlyMean,Mean,8.14
1740,1090,D24HourMean,QuarterlyMean,Mean,8.22
1705,1101,D24HourMean,QuarterlyMean,Mean,10.47
1720,1078,D24HourMean,QuarterlyMean,Mean,11.15
1728,1083,D24HourMean,QuarterlyMean,Mean,10.84
1720,1101,D24HourMean,QuarterlyMean,Mean,8.75
1734,1086,D24HourMean,QuarterlyMean,Mean,11.57
1734,1091,D24HourMean,QuarterlyMean,Mean,8.85
1714,1076,D24HourMean,QuarterlyMean,Mean,13.29
1708,1101,D24HourMean,QuarterlyMean,Mean,8.62
1723,1093,D24HourMean,QuarterlyMean,Mean,8.73
1706,1079,D24HourMean,QuarterlyMean,Mean,10.78
1714,1106,D24HourMean,QuarterlyMean,Mean,6.79
1717,1110,D24HourMean,QuarterlyMean,Mean,6.71
1707,1090,D24HourMean,QuarterlyMean,Mean,9.67
1711,1102,D24HourMean,QuarterlyMean,Mean,8.06
1731,1098,D24HourMean,QuarterlyMean,Mean,8.02
1736,1097,D24HourMean,QuarterlyMean,Mean,8.69
1731,1091,D24HourMean,QuarterlyMean,Mean,9.19
1732,1094,D24HourMean,QuarterlyMean,Mean,9.16
1709,1081,D24HourMean,QuarterlyMean,Mean,7.99
1722,1080,D24HourMean,QuarterlyMean,Mean,9.95
1718,1099,D24HourMean,QuarterlyMean,Mean,8.47
1732,1092,D24HourMean,QuarterlyMean,Mean,9.02
1716,1094,D24HourMean,QuarterlyMean,Mean,7.86
1705,1096,D24HourMean,QuarterlyMean,Mean,11.51
1717,1109,D24HourMean,QuarterlyMean,Mean,6.82
1709,1079,D24HourMean,QuarterlyMean,Mean,9.75
1738,1096,D24HourMean,QuarterlyMean,Mean,8.76
1707,1081,D24HourMean,QuarterlyMean,Mean,9.32
1708,1092,D24HourMean,QuarterlyMean,Mean,8.84
1726,1112,D24HourMean,QuarterlyMean,Mean,8.78
1716,1091,D24HourMean,QuarterlyMean,Mean,8.10
1700,1099,D24HourMean,QuarterlyMean,Mean,13.32
1713,1079,D24HourMean,QuarterlyMean,Mean,9.44
1720,1106,D24HourMean,QuarterlyMean,Mean,8.54
1723,1079,D24HourMean,QuarterlyMean,Mean,10.63
1728,1082,D24HourMean,QuarterlyMean,Mean,11.25
1718,1111,D24HourMean,QuarterlyMean,Mean,7.18
1735,1099,D24HourMean,QuarterlyMean,Mean,8.32
1738,1093,D24HourMean,QuarterlyMean,Mean,9.88
1729,1096,D24HourMean,QuarterlyMean,Mean,8.28
1734,1084,D24HourMean,QuarterlyMean,Mean,12.75
1739,1087,D24HourMean,QuarterlyMean,Mean,11.13
1711,1076,D24HourMean,QuarterlyMean,Mean,12.59
1711,1094,D24HourMean,QuarterlyMean,Mean,8.79
1720,1096,D24HourMean,QuarterlyMean,Mean,8.07
1716,1083,D24HourMean,QuarterlyMean,Mean,7.63
1713,1086,D24HourMean,QuarterlyMean,Mean,8.31
1722,1086,D24HourMean,QuarterlyMean,Mean,8.40
1708,1100,D24HourMean,QuarterlyMean,Mean,8.50
1705,1086,D24HourMean,QuarterlyMean,Mean,11.12
1723,1086,D24HourMean,QuarterlyMean,Mean,8.40
1737,1082,D24HourMean,QuarterlyMean,Mean,13.38
1698,1078,D24HourMean,QuarterlyMean,Mean,14.78
1709,1077,D24HourMean,QuarterlyMean,Mean,11.21
1705,1087,D24HourMean,QuarterlyMean,Mean,11.29
1714,1095,D24HourMean,QuarterlyMean,Mean,7.88
1739,1090,D24HourMean,QuarterlyMean,Mean,8.32
1716,1081,D24HourMean,QuarterlyMean,Mean,8.31
1726,1087,D24HourMean,QuarterlyMean,Mean,9.03
1722,1108,D24HourMean,QuarterlyMean,Mean,6.95
1717,1084,D24HourMean,QuarterlyMean,Mean,7.58
1706,1081,D24HourMean,QuarterlyMean,Mean,10.44
1714,1087,D24HourMean,QuarterlyMean,Mean,8.24
1712,1099,D24HourMean,QuarterlyMean,Mean,7.96
1707,1094,D24HourMean,QuarterlyMean,Mean,9.68
1723,1109,D24HourMean,QuarterlyMean,Mean,8.21
1732,1082,D24HourMean,QuarterlyMean,Mean,12.70
1733,1086,D24HourMean,QuarterlyMean,Mean,11.67
1732,1102,D24HourMean,QuarterlyMean,Mean,9.37
1733,1096,D24HourMean,QuarterlyMean,Mean,7.90
1707,1079,D24HourMean,QuarterlyMean,Mean,10.49
1721,1098,D24HourMean,QuarterlyMean,Mean,7.60
1722,1093,D24HourMean,QuarterlyMean,Mean,8.24
1730,1095,D24HourMean,QuarterlyMean,Mean,7.72
1727,1113,D24HourMean,QuarterlyMean,Mean,8.38
1722,1092,D24HourMean,QuarterlyMean,Mean,8.28
1718,1097,D24HourMean,QuarterlyMean,Mean,8.56
1736,1092,D24HourMean,QuarterlyMean,Mean,8.16
1724,1097,D24HourMean,QuarterlyMean,Mean,7.86
1735,1084,D24HourMean,QuarterlyMean,Mean,12.85
1730,1102,D24HourMean,QuarterlyMean,Mean,9.23
1723,1098,D24HourMean,QuarterlyMean,Mean,7.77
1722,1095,D24HourMean,QuarterlyMean,Mean,7.79
1708,1076,D24HourMean,QuarterlyMean,Mean,13.17
1704,1102,D24HourMean,QuarterlyMean,Mean,11.59
1731,1103,D24HourMean,QuarterlyMean,Mean,9.46
1718,1085,D24HourMean,QuarterlyMean,Mean,7.70
1715,1089,D24HourMean,QuarterlyMean,Mean,8.09
1712,1096,D24HourMean,QuarterlyMean,Mean,8.79
1706,1093,D24HourMean,QuarterlyMean,Mean,10.23
1719,1107,D24HourMean,QuarterlyMean,Mean,6.61
1716,1085,D24HourMean,QuarterlyMean,Mean,7.33
1719,1091,D24HourMean,QuarterlyMean,Mean,8.23
1725,1086,D24HourMean,QuarterlyMean,Mean,9.02
1719,1100,D24HourMean,QuarterlyMean,Mean,8.59
1707,1080,D24HourMean,QuarterlyMean,Mean,9.92
1724,1087,D24HourMean,QuarterlyMean,Mean,8.55
1716,1087,D24HourMean,QuarterlyMean,Mean,8.03
1705,1084,D24HourMean,QuarterlyMean,Mean,11.32
1703,1093,D24HourMean,QuarterlyMean,Mean,13.37
1720,1087,D24HourMean,QuarterlyMean,Mean,7.44
1714,1089,D24HourMean,QuarterlyMean,Mean,8.26
1735,1087,D24HourMean,QuarterlyMean,Mean,10.62
1715,1083,D24HourMean,QuarterlyMean,Mean,7.49
1739,1089,D24HourMean,QuarterlyMean,Mean,8.88
1719,1090,D24HourMean,QuarterlyMean,Mean,8.26
1706,1095,D24HourMean,QuarterlyMean,Mean,10.52
1717,1099,D24HourMean,QuarterlyMean,Mean,7.72
1720,1109,D24HourMean,QuarterlyMean,Mean,7.31
1714,1082,D24HourMean,QuarterlyMean,Mean,7.84
1715,1085,D24HourMean,QuarterlyMean,Mean,7.60
1698,1081,D24HourMean,QuarterlyMean,Mean,15.19
1739,1088,D24HourMean,QuarterlyMean,Mean,9.52
1707,1087,D24HourMean,QuarterlyMean,Mean,9.82
1707,1098,D24HourMean,QuarterlyMean,Mean,9.97
1721,1081,D24HourMean,QuarterlyMean,Mean,8.47
1725,1082,D24HourMean,QuarterlyMean,Mean,10.10
1728,1092,D24HourMean,QuarterlyMean,Mean,7.58
1714,1099,D24HourMean,QuarterlyMean,Mean,7.76
1724,1084,D24HourMean,QuarterlyMean,Mean,9.81
1726,1111,D24HourMean,QuarterlyMean,Mean,9.07
1737,1088,D24HourMean,QuarterlyMean,Mean,9.43
1714,1102,D24HourMean,QuarterlyMean,Mean,8.61
1708,1096,D24HourMean,QuarterlyMean,Mean,9.55
1709,1084,D24HourMean,QuarterlyMean,Mean,8.08
1721,1096,D24HourMean,QuarterlyMean,Mean,7.76
1710,1094,D24HourMean,QuarterlyMean,Mean,8.96
1738,1097,D24HourMean,QuarterlyMean,Mean,9.04
1719,1096,D24HourMean,QuarterlyMean,Mean,8.33
1726,1094,D24HourMean,QuarterlyMean,Mean,8.31
1711,1098,D24HourMean,QuarterlyMean,Mean,7.84
1703,1101,D24HourMean,QuarterlyMean,Mean,12.12
1725,1084,D24HourMean,QuarterlyMean,Mean,10.20
1716,1077,D24HourMean,QuarterlyMean,Mean,12.11
1710,1083,D24HourMean,QuarterlyMean,Mean,8.29
1720,1105,D24HourMean,QuarterlyMean,Mean,8.56
1737,1086,D24HourMean,QuarterlyMean,Mean,11.50
1699,1078,D24HourMean,QuarterlyMean,Mean,14.98
1710,1080,D24HourMean,QuarterlyMean,Mean,8.37
1734,1101,D24HourMean,QuarterlyMean,Mean,8.06
1708,1082,D24HourMean,QuarterlyMean,Mean,8.37
1729,1091,D24HourMean,QuarterlyMean,Mean,8.66
1709,1087,D24HourMean,QuarterlyMean,Mean,8.84
1717,1080,D24HourMean,QuarterlyMean,Mean,9.77
1736,1088,D24HourMean,QuarterlyMean,Mean,9.58
1723,1087,D24HourMean,QuarterlyMean,Mean,8.15
1708,1097,D24HourMean,QuarterlyMean,Mean,9.43
1716,1088,D24HourMean,QuarterlyMean,Mean,7.91
1721,1082,D24HourMean,QuarterlyMean,Mean,9.13
1720,1085,D24HourMean,QuarterlyMean,Mean,8.07
1719,1087,D24HourMean,QuarterlyMean,Mean,7.68
1719,1086,D24HourMean,QuarterlyMean,Mean,7.77
1713,1095,D24HourMean,QuarterlyMean,Mean,7.91
1724,1100,D24HourMean,QuarterlyMean,Mean,7.48
1708,1099,D24HourMean,QuarterlyMean,Mean,8.81
1716,1098,D24HourMean,QuarterlyMean,Mean,7.76
1737,1090,D24HourMean,QuarterlyMean,Mean,8.03
1712,1087,D24HourMean,QuarterlyMean,Mean,8.22
1705,1075,D24HourMean,QuarterlyMean,Mean,15.05
1724,1112,D24HourMean,QuarterlyMean,Mean,9.18
1733,1092,D24HourMean,QuarterlyMean,Mean,9.47
1730,1098,D24HourMean,QuarterlyMean,Mean,7.88
1699,1079,D24HourMean,QuarterlyMean,Mean,14.58
