Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1713,1102,2010,556.58,ALL,ALL,ALL,0TO99
1722,1109,2010,1646.35,ALL,ALL,ALL,0TO99
1728,1100,2010,1709.97,ALL,ALL,ALL,0TO99
1728,1091,2010,3882.49,ALL,ALL,ALL,0TO99
1723,1094,2010,2214.24,ALL,ALL,ALL,0TO99
1707,1075,2010,1823.17,ALL,ALL,ALL,0TO99
1704,1083,2010,2614.10,ALL,ALL,ALL,0TO99
1735,1100,2010,3315.75,ALL,ALL,ALL,0TO99
1710,1081,2010,1406.96,ALL,ALL,ALL,0TO99
1718,1081,2010,6421.22,ALL,ALL,ALL,0TO99
1733,1101,2010,4014.17,ALL,ALL,ALL,0TO99
1725,1080,2010,1544.08,ALL,ALL,ALL,0TO99
1728,1089,2010,1260.72,ALL,ALL,ALL,0TO99
1710,1085,2010,1687.07,ALL,ALL,ALL,0TO99
1736,1094,2010,35320.39,ALL,ALL,ALL,0TO99
1723,1080,2010,1053.84,ALL,ALL,ALL,0TO99
1737,1096,2010,12865.02,ALL,ALL,ALL,0TO99
1714,1080,2010,2629.38,ALL,ALL,ALL,0TO99
1719,1092,2010,1121.71,ALL,ALL,ALL,0TO99
1718,1086,2010,1392.06,ALL,ALL,ALL,0TO99
1723,1089,2010,3694.07,ALL,ALL,ALL,0TO99
1736,1095,2010,7411.87,ALL,ALL,ALL,0TO99
1714,1101,2010,840.30,ALL,ALL,ALL,0TO99
1735,1085,2010,8184.33,ALL,ALL,ALL,0TO99
1726,1081,2010,1647.20,ALL,ALL,ALL,0TO99
1705,1094,2010,283.80,ALL,ALL,ALL,0TO99
1708,1078,2010,632.82,ALL,ALL,ALL,0TO99
1721,1107,2010,709.25,ALL,ALL,ALL,0TO99
1708,1080,2010,1396.74,ALL,ALL,ALL,0TO99
1731,1090,2010,2750.23,ALL,ALL,ALL,0TO99
1715,1097,2010,1298.53,ALL,ALL,ALL,0TO99
1702,1094,2010,144.18,ALL,ALL,ALL,0TO99
1731,1082,2010,2950.79,ALL,ALL,ALL,0TO99
1700,1102,2010,858.86,ALL,ALL,ALL,0TO99
1711,1079,2010,2614.72,ALL,ALL,ALL,0TO99
1730,1091,2010,4139.61,ALL,ALL,ALL,0TO99
1713,1087,2010,3643.21,ALL,ALL,ALL,0TO99
1725,1083,2010,1177.80,ALL,ALL,ALL,0TO99
1715,1082,2010,1294.30,ALL,ALL,ALL,0TO99
1703,1097,2010,884.98,ALL,ALL,ALL,0TO99
1735,1094,2010,9649.02,ALL,ALL,ALL,0TO99
1738,1086,2010,6450.28,ALL,ALL,ALL,0TO99
1722,1084,2010,2211.40,ALL,ALL,ALL,0TO99
1724,1085,2010,1860.91,ALL,ALL,ALL,0TO99
1722,1088,2010,1804.20,ALL,ALL,ALL,0TO99
1726,1089,2010,1904.47,ALL,ALL,ALL,0TO99
1711,1083,2010,1826.52,ALL,ALL,ALL,0TO99
1718,1102,2010,1103.15,ALL,ALL,ALL,0TO99
1700,1081,2010,626.62,ALL,ALL,ALL,0TO99
1721,1079,2010,2196.09,ALL,ALL,ALL,0TO99
1735,1089,2010,817.54,ALL,ALL,ALL,0TO99
1736,1085,2010,2189.21,ALL,ALL,ALL,0TO99
1715,1102,2010,5825.33,ALL,ALL,ALL,0TO99
1711,1090,2010,571.06,ALL,ALL,ALL,0TO99
1731,1100,2010,1415.61,ALL,ALL,ALL,0TO99
1715,1096,2010,1465.11,ALL,ALL,ALL,0TO99
1709,1089,2010,1000.24,ALL,ALL,ALL,0TO99
1726,1088,2010,1604.84,ALL,ALL,ALL,0TO99
1733,1082,2010,2120.73,ALL,ALL,ALL,0TO99
1726,1091,2010,1133.51,ALL,ALL,ALL,0TO99
1735,1090,2010,1257.84,ALL,ALL,ALL,0TO99
1737,1094,2010,28600.27,ALL,ALL,ALL,0TO99
1705,1080,2010,11224.29,ALL,ALL,ALL,0TO99
1731,1097,2010,4434.65,ALL,ALL,ALL,0TO99
1713,1088,2010,1492.65,ALL,ALL,ALL,0TO99
1717,1079,2010,13669.82,ALL,ALL,ALL,0TO99
1739,1092,2010,89035.88,ALL,ALL,ALL,0TO99
1734,1090,2010,2577.77,ALL,ALL,ALL,0TO99
1715,1094,2010,1817.61,ALL,ALL,ALL,0TO99
1736,1089,2010,414.37,ALL,ALL,ALL,0TO99
1725,1096,2010,1341.39,ALL,ALL,ALL,0TO99
1717,1096,2010,958.99,ALL,ALL,ALL,0TO99
1720,1080,2010,1183.96,ALL,ALL,ALL,0TO99
1726,1096,2010,1031.51,ALL,ALL,ALL,0TO99
1720,1079,2010,2554.98,ALL,ALL,ALL,0TO99
1725,1093,2010,2866.12,ALL,ALL,ALL,0TO99
1698,1079,2010,1201.91,ALL,ALL,ALL,0TO99
1716,1092,2010,1074.33,ALL,ALL,ALL,0TO99
1720,1102,2010,466.60,ALL,ALL,ALL,0TO99
1710,1078,2010,1279.12,ALL,ALL,ALL,0TO99
1715,1080,2010,1941.39,ALL,ALL,ALL,0TO99
1726,1085,2010,2032.71,ALL,ALL,ALL,0TO99
1719,1082,2010,2138.29,ALL,ALL,ALL,0TO99
1723,1083,2010,10392.04,ALL,ALL,ALL,0TO99
1734,1093,2010,12498.50,ALL,ALL,ALL,0TO99
1711,1085,2010,3116.28,ALL,ALL,ALL,0TO99
1729,1084,2010,1212.47,ALL,ALL,ALL,0TO99
1714,1081,2010,10890.34,ALL,ALL,ALL,0TO99
1702,1097,2010,575.55,ALL,ALL,ALL,0TO99
1727,1082,2010,2274.56,ALL,ALL,ALL,0TO99
1719,1103,2010,1094.32,ALL,ALL,ALL,0TO99
1702,1079,2010,273.05,ALL,ALL,ALL,0TO99
1719,1083,2010,883.03,ALL,ALL,ALL,0TO99
1734,1089,2010,2351.55,ALL,ALL,ALL,0TO99
1731,1101,2010,2629.18,ALL,ALL,ALL,0TO99
1733,1095,2010,5682.72,ALL,ALL,ALL,0TO99
1730,1085,2010,2219.50,ALL,ALL,ALL,0TO99
1710,1098,2010,1915.15,ALL,ALL,ALL,0TO99
1736,1096,2010,5603.70,ALL,ALL,ALL,0TO99
1729,1093,2010,2253.42,ALL,ALL,ALL,0TO99
1737,1084,2010,2191.31,ALL,ALL,ALL,0TO99
1711,1080,2010,1228.07,ALL,ALL,ALL,0TO99
1725,1095,2010,987.48,ALL,ALL,ALL,0TO99
1709,1093,2010,4215.13,ALL,ALL,ALL,0TO99
1732,1086,2010,1464.24,ALL,ALL,ALL,0TO99
1730,1090,2010,2220.30,ALL,ALL,ALL,0TO99
1723,1107,2010,2049.36,ALL,ALL,ALL,0TO99
1724,1093,2010,3109.28,ALL,ALL,ALL,0TO99
1703,1084,2010,1597.15,ALL,ALL,ALL,0TO99
1718,1109,2010,899.33,ALL,ALL,ALL,0TO99
1716,1107,2010,935.17,ALL,ALL,ALL,0TO99
1721,1084,2010,2020.06,ALL,ALL,ALL,0TO99
