Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2242,952,D24HourMean,QuarterlyMean,Mean,15.15
2242,953,D24HourMean,QuarterlyMean,Mean,15.18
2243,949,D24HourMean,QuarterlyMean,Mean,14.75
2243,950,D24HourMean,QuarterlyMean,Mean,15.13
2243,951,D24HourMean,QuarterlyMean,Mean,14.82
2243,952,D24HourMean,QuarterlyMean,Mean,15.36
2243,953,D24HourMean,QuarterlyMean,Mean,15.64
2244,939,D24HourMean,QuarterlyMean,Mean,19.95
2244,940,D24HourMean,QuarterlyMean,Mean,18.74
2244,944,D24HourMean,QuarterlyMean,Mean,18.41
2244,945,D24HourMean,QuarterlyMean,Mean,17.21
2244,946,D24HourMean,QuarterlyMean,Mean,16.51
2244,947,D24HourMean,QuarterlyMean,Mean,16.24
2244,948,D24HourMean,QuarterlyMean,Mean,14.88
2244,949,D24HourMean,QuarterlyMean,Mean,15.21
2244,950,D24HourMean,QuarterlyMean,Mean,15.39
2244,951,D24HourMean,QuarterlyMean,Mean,14.85
2244,952,D24HourMean,QuarterlyMean,Mean,15.03
2244,953,D24HourMean,QuarterlyMean,Mean,15.68
2245,938,D24HourMean,QuarterlyMean,Mean,18.33
2245,939,D24HourMean,QuarterlyMean,Mean,17.88
2245,940,D24HourMean,QuarterlyMean,Mean,18.22
2245,941,D24HourMean,QuarterlyMean,Mean,18.10
2245,942,D24HourMean,QuarterlyMean,Mean,17.31
2245,944,D24HourMean,QuarterlyMean,Mean,16.49
2245,945,D24HourMean,QuarterlyMean,Mean,16.57
2245,946,D24HourMean,QuarterlyMean,Mean,16.33
2245,947,D24HourMean,QuarterlyMean,Mean,15.22
2245,948,D24HourMean,QuarterlyMean,Mean,15.83
2245,949,D24HourMean,QuarterlyMean,Mean,16.77
2245,950,D24HourMean,QuarterlyMean,Mean,16.51
2245,951,D24HourMean,QuarterlyMean,Mean,16.72
2245,952,D24HourMean,QuarterlyMean,Mean,16.87
2245,953,D24HourMean,QuarterlyMean,Mean,16.58
2245,954,D24HourMean,QuarterlyMean,Mean,16.94
2245,955,D24HourMean,QuarterlyMean,Mean,15.68
2246,938,D24HourMean,QuarterlyMean,Mean,18.96
2246,939,D24HourMean,QuarterlyMean,Mean,19.03
