Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2242,952,2010,4439.33,ALL,ALL,ALL,0TO99
2242,953,2010,4305.60,ALL,ALL,ALL,0TO99
2243,949,2010,4360.67,ALL,ALL,ALL,0TO99
2243,950,2010,4359.35,ALL,ALL,ALL,0TO99
2243,951,2010,4319.47,ALL,ALL,ALL,0TO99
2243,952,2010,4169.05,ALL,ALL,ALL,0TO99
2243,953,2010,4299.56,ALL,ALL,ALL,0TO99
2244,939,2010,8887.03,ALL,ALL,ALL,0TO99
2244,940,2010,8143.35,ALL,ALL,ALL,0TO99
2244,944,2010,7507.28,ALL,ALL,ALL,0TO99
2244,945,2010,7389.94,ALL,ALL,ALL,0TO99
2244,946,2010,7770.01,ALL,ALL,ALL,0TO99
2244,947,2010,7811.40,ALL,ALL,ALL,0TO99
2244,948,2010,4846.60,ALL,ALL,ALL,0TO99
2244,949,2010,4186.34,ALL,ALL,ALL,0TO99
2244,950,2010,4180.19,ALL,ALL,ALL,0TO99
2244,951,2010,4174.42,ALL,ALL,ALL,0TO99
2244,952,2010,4168.44,ALL,ALL,ALL,0TO99
2244,953,2010,4358.68,ALL,ALL,ALL,0TO99
2245,938,2010,14164.21,ALL,ALL,ALL,0TO99
2245,939,2010,9048.89,ALL,ALL,ALL,0TO99
2245,940,2010,8873.04,ALL,ALL,ALL,0TO99
2245,941,2010,8609.55,ALL,ALL,ALL,0TO99
2245,942,2010,8081.58,ALL,ALL,ALL,0TO99
2245,944,2010,8060.04,ALL,ALL,ALL,0TO99
2245,945,2010,8073.01,ALL,ALL,ALL,0TO99
2245,946,2010,8062.08,ALL,ALL,ALL,0TO99
2245,947,2010,8035.82,ALL,ALL,ALL,0TO99
2245,948,2010,6573.72,ALL,ALL,ALL,0TO99
2245,949,2010,4193.52,ALL,ALL,ALL,0TO99
2245,950,2010,4180.19,ALL,ALL,ALL,0TO99
2245,951,2010,4174.42,ALL,ALL,ALL,0TO99
2245,952,2010,4168.44,ALL,ALL,ALL,0TO99
2245,953,2010,4181.06,ALL,ALL,ALL,0TO99
2245,954,2010,4549.09,ALL,ALL,ALL,0TO99
2245,955,2010,4708.62,ALL,ALL,ALL,0TO99
2246,938,2010,19098.87,ALL,ALL,ALL,0TO99
2246,939,2010,12986.03,ALL,ALL,ALL,0TO99
2246,940,2010,8874.43,ALL,ALL,ALL,0TO99
2246,941,2010,8862.61,ALL,ALL,ALL,0TO99
2246,942,2010,8842.62,ALL,ALL,ALL,0TO99
2246,943,2010,8523.09,ALL,ALL,ALL,0TO99
2246,944,2010,8084.69,ALL,ALL,ALL,0TO99
2246,945,2010,8073.01,ALL,ALL,ALL,0TO99
2246,946,2010,8062.08,ALL,ALL,ALL,0TO99
2246,947,2010,8050.75,ALL,ALL,ALL,0TO99
2246,948,2010,7888.58,ALL,ALL,ALL,0TO99
2246,949,2010,5711.08,ALL,ALL,ALL,0TO99
2246,950,2010,4180.19,ALL,ALL,ALL,0TO99
2246,951,2010,4174.42,ALL,ALL,ALL,0TO99
2246,952,2010,4168.44,ALL,ALL,ALL,0TO99
2246,953,2010,4162.45,ALL,ALL,ALL,0TO99
2246,954,2010,4156.65,ALL,ALL,ALL,0TO99
2246,955,2010,4150.43,ALL,ALL,ALL,0TO99
2246,956,2010,4147.91,ALL,ALL,ALL,0TO99
2247,934,2010,14085.11,ALL,ALL,ALL,0TO99
2247,935,2010,15772.88,ALL,ALL,ALL,0TO99
2247,936,2010,17067.90,ALL,ALL,ALL,0TO99
2247,937,2010,17156.62,ALL,ALL,ALL,0TO99
2247,938,2010,19547.74,ALL,ALL,ALL,0TO99
2247,939,2010,17985.96,ALL,ALL,ALL,0TO99
2247,940,2010,9525.26,ALL,ALL,ALL,0TO99
2247,941,2010,8862.61,ALL,ALL,ALL,0TO99
2247,942,2010,8850.37,ALL,ALL,ALL,0TO99
2247,943,2010,8535.65,ALL,ALL,ALL,0TO99
2247,944,2010,8084.69,ALL,ALL,ALL,0TO99
2247,945,2010,8073.01,ALL,ALL,ALL,0TO99
2247,946,2010,8062.08,ALL,ALL,ALL,0TO99
2247,947,2010,8050.75,ALL,ALL,ALL,0TO99
2247,948,2010,7741.99,ALL,ALL,ALL,0TO99
2247,949,2010,5922.29,ALL,ALL,ALL,0TO99
2247,950,2010,4180.19,ALL,ALL,ALL,0TO99
2247,951,2010,4174.42,ALL,ALL,ALL,0TO99
2247,952,2010,4168.44,ALL,ALL,ALL,0TO99
2247,953,2010,4162.45,ALL,ALL,ALL,0TO99
2247,954,2010,4156.65,ALL,ALL,ALL,0TO99
2247,955,2010,4150.43,ALL,ALL,ALL,0TO99
2247,956,2010,4144.60,ALL,ALL,ALL,0TO99
2248,934,2010,19437.74,ALL,ALL,ALL,0TO99
2248,935,2010,19626.67,ALL,ALL,ALL,0TO99
2248,936,2010,19601.05,ALL,ALL,ALL,0TO99
2248,937,2010,19574.40,ALL,ALL,ALL,0TO99
2248,938,2010,19547.74,ALL,ALL,ALL,0TO99
2248,939,2010,19511.31,ALL,ALL,ALL,0TO99
2248,940,2010,13967.13,ALL,ALL,ALL,0TO99
2248,941,2010,8862.61,ALL,ALL,ALL,0TO99
2248,942,2010,8850.37,ALL,ALL,ALL,0TO99
2248,943,2010,8412.42,ALL,ALL,ALL,0TO99
2248,944,2010,8084.69,ALL,ALL,ALL,0TO99
2248,945,2010,8073.01,ALL,ALL,ALL,0TO99
2248,946,2010,8062.08,ALL,ALL,ALL,0TO99
2248,947,2010,8050.75,ALL,ALL,ALL,0TO99
2248,948,2010,6945.12,ALL,ALL,ALL,0TO99
2248,949,2010,4322.35,ALL,ALL,ALL,0TO99
2248,950,2010,4180.19,ALL,ALL,ALL,0TO99
2248,951,2010,4174.42,ALL,ALL,ALL,0TO99
2248,952,2010,4168.44,ALL,ALL,ALL,0TO99
2248,953,2010,4162.45,ALL,ALL,ALL,0TO99
2248,954,2010,4156.65,ALL,ALL,ALL,0TO99
2248,955,2010,4152.36,ALL,ALL,ALL,0TO99
2248,956,2010,4405.61,ALL,ALL,ALL,0TO99
2249,930,2010,10850.41,ALL,ALL,ALL,0TO99
2249,931,2010,16486.52,ALL,ALL,ALL,0TO99
2249,932,2010,17608.96,ALL,ALL,ALL,0TO99
2249,933,2010,18740.90,ALL,ALL,ALL,0TO99
2249,934,2010,19654.08,ALL,ALL,ALL,0TO99
2249,935,2010,19626.67,ALL,ALL,ALL,0TO99
2249,936,2010,19601.05,ALL,ALL,ALL,0TO99
2249,937,2010,19574.40,ALL,ALL,ALL,0TO99
2249,938,2010,19547.74,ALL,ALL,ALL,0TO99
2249,939,2010,19521.94,ALL,ALL,ALL,0TO99
2249,940,2010,15081.33,ALL,ALL,ALL,0TO99
2249,941,2010,8862.61,ALL,ALL,ALL,0TO99
2249,942,2010,8847.79,ALL,ALL,ALL,0TO99
2249,943,2010,8362.95,ALL,ALL,ALL,0TO99
2249,944,2010,8084.69,ALL,ALL,ALL,0TO99
2249,945,2010,8073.01,ALL,ALL,ALL,0TO99
2249,946,2010,8062.08,ALL,ALL,ALL,0TO99
