Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2216,888,D24HourMean,QuarterlyMean,Mean,27.69
2212,885,D24HourMean,QuarterlyMean,Mean,28.69
2254,867,D24HourMean,QuarterlyMean,Mean,29.36
2256,867,D24HourMean,QuarterlyMean,Mean,33.67
2262,911,D24HourMean,QuarterlyMean,Mean,19.79
2260,895,D24HourMean,QuarterlyMean,Mean,24.00
2221,916,D24HourMean,QuarterlyMean,Mean,25.69
2257,873,D24HourMean,QuarterlyMean,Mean,30.98
2203,899,D24HourMean,QuarterlyMean,Mean,21.61
2222,872,D24HourMean,QuarterlyMean,Mean,31.17
2227,929,D24HourMean,QuarterlyMean,Mean,24.65
2246,911,D24HourMean,QuarterlyMean,Mean,25.71
2252,906,D24HourMean,QuarterlyMean,Mean,24.90
2263,875,D24HourMean,QuarterlyMean,Mean,29.77
2228,879,D24HourMean,QuarterlyMean,Mean,29.31
2246,906,D24HourMean,QuarterlyMean,Mean,25.10
2251,903,D24HourMean,QuarterlyMean,Mean,26.10
2251,924,D24HourMean,QuarterlyMean,Mean,21.60
2202,893,D24HourMean,QuarterlyMean,Mean,22.07
2236,885,D24HourMean,QuarterlyMean,Mean,26.33
2197,896,D24HourMean,QuarterlyMean,Mean,25.07
2217,909,D24HourMean,QuarterlyMean,Mean,23.54
2203,889,D24HourMean,QuarterlyMean,Mean,26.23
2273,874,D24HourMean,QuarterlyMean,Mean,31.32
2283,861,D24HourMean,QuarterlyMean,Mean,41.47
2196,890,D24HourMean,QuarterlyMean,Mean,25.64
2193,891,D24HourMean,QuarterlyMean,Mean,25.45
2231,904,D24HourMean,QuarterlyMean,Mean,28.25
2256,870,D24HourMean,QuarterlyMean,Mean,30.92
2238,869,D24HourMean,QuarterlyMean,Mean,30.95
2241,896,D24HourMean,QuarterlyMean,Mean,25.50
2255,855,D24HourMean,QuarterlyMean,Mean,38.38
2218,877,D24HourMean,QuarterlyMean,Mean,28.41
2230,928,D24HourMean,QuarterlyMean,Mean,22.45
2245,905,D24HourMean,QuarterlyMean,Mean,25.82
2269,871,D24HourMean,QuarterlyMean,Mean,30.83
2226,879,D24HourMean,QuarterlyMean,Mean,30.01
2233,865,D24HourMean,QuarterlyMean,Mean,37.03
2248,900,D24HourMean,QuarterlyMean,Mean,26.67
2231,900,D24HourMean,QuarterlyMean,Mean,25.78
2256,871,D24HourMean,QuarterlyMean,Mean,29.38
2241,867,D24HourMean,QuarterlyMean,Mean,32.02
2277,864,D24HourMean,QuarterlyMean,Mean,39.07
2234,914,D24HourMean,QuarterlyMean,Mean,23.01
2225,903,D24HourMean,QuarterlyMean,Mean,28.67
2269,877,D24HourMean,QuarterlyMean,Mean,30.28
2248,926,D24HourMean,QuarterlyMean,Mean,19.26
2245,918,D24HourMean,QuarterlyMean,Mean,23.57
2246,895,D24HourMean,QuarterlyMean,Mean,25.34
2270,874,D24HourMean,QuarterlyMean,Mean,30.33
2261,890,D24HourMean,QuarterlyMean,Mean,26.40
2243,897,D24HourMean,QuarterlyMean,Mean,25.45
2231,890,D24HourMean,QuarterlyMean,Mean,28.77
2228,915,D24HourMean,QuarterlyMean,Mean,24.39
2255,860,D24HourMean,QuarterlyMean,Mean,33.81
2271,871,D24HourMean,QuarterlyMean,Mean,31.72
2234,901,D24HourMean,QuarterlyMean,Mean,24.84
2207,880,D24HourMean,QuarterlyMean,Mean,24.84
2250,877,D24HourMean,QuarterlyMean,Mean,25.37
2282,863,D24HourMean,QuarterlyMean,Mean,38.43
2266,860,D24HourMean,QuarterlyMean,Mean,41.73
2235,886,D24HourMean,QuarterlyMean,Mean,28.11
2255,910,D24HourMean,QuarterlyMean,Mean,23.41
2239,929,D24HourMean,QuarterlyMean,Mean,19.11
2246,857,D24HourMean,QuarterlyMean,Mean,36.03
2219,906,D24HourMean,QuarterlyMean,Mean,25.47
2231,875,D24HourMean,QuarterlyMean,Mean,32.20
2240,882,D24HourMean,QuarterlyMean,Mean,26.65
2260,850,D24HourMean,QuarterlyMean,Mean,41.41
2258,876,D24HourMean,QuarterlyMean,Mean,29.48
2208,876,D24HourMean,QuarterlyMean,Mean,28.88
2220,894,D24HourMean,QuarterlyMean,Mean,30.45
2253,901,D24HourMean,QuarterlyMean,Mean,24.85
2227,898,D24HourMean,QuarterlyMean,Mean,29.14
2224,875,D24HourMean,QuarterlyMean,Mean,30.90
2209,881,D24HourMean,QuarterlyMean,Mean,25.67
2254,908,D24HourMean,QuarterlyMean,Mean,23.15
2197,895,D24HourMean,QuarterlyMean,Mean,26.23
2267,853,D24HourMean,QuarterlyMean,Mean,42.74
2268,886,D24HourMean,QuarterlyMean,Mean,28.84
2214,919,D24HourMean,QuarterlyMean,Mean,23.25
2269,869,D24HourMean,QuarterlyMean,Mean,33.95
2279,868,D24HourMean,QuarterlyMean,Mean,34.17
2252,921,D24HourMean,QuarterlyMean,Mean,21.17
2261,858,D24HourMean,QuarterlyMean,Mean,41.56
2254,857,D24HourMean,QuarterlyMean,Mean,33.29
2255,895,D24HourMean,QuarterlyMean,Mean,25.89
2218,891,D24HourMean,QuarterlyMean,Mean,27.62
2194,884,D24HourMean,QuarterlyMean,Mean,26.98
2216,910,D24HourMean,QuarterlyMean,Mean,26.10
2242,910,D24HourMean,QuarterlyMean,Mean,24.42
2242,924,D24HourMean,QuarterlyMean,Mean,21.32
2225,897,D24HourMean,QuarterlyMean,Mean,24.57
2227,880,D24HourMean,QuarterlyMean,Mean,29.25
2270,856,D24HourMean,QuarterlyMean,Mean,39.49
2244,856,D24HourMean,QuarterlyMean,Mean,38.80
2210,901,D24HourMean,QuarterlyMean,Mean,29.25
2229,918,D24HourMean,QuarterlyMean,Mean,22.77
2244,918,D24HourMean,QuarterlyMean,Mean,23.27
2236,920,D24HourMean,QuarterlyMean,Mean,25.74
2241,916,D24HourMean,QuarterlyMean,Mean,23.95
2261,868,D24HourMean,QuarterlyMean,Mean,35.41
