Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2216,888,2010,1211.95,ALL,ALL,ALL,0TO99
2212,885,2010,1216.01,ALL,ALL,ALL,0TO99
2254,867,2010,939.02,ALL,ALL,ALL,0TO99
2256,867,2010,939.02,ALL,ALL,ALL,0TO99
2262,911,2010,9285.19,ALL,ALL,ALL,0TO99
2260,895,2010,4181.46,ALL,ALL,ALL,0TO99
2221,916,2010,6632.49,ALL,ALL,ALL,0TO99
2257,873,2010,933.12,ALL,ALL,ALL,0TO99
2203,899,2010,1204.61,ALL,ALL,ALL,0TO99
2222,872,2010,1233.34,ALL,ALL,ALL,0TO99
2227,929,2010,6591.72,ALL,ALL,ALL,0TO99
2246,911,2010,9005.41,ALL,ALL,ALL,0TO99
2252,906,2010,7099.52,ALL,ALL,ALL,0TO99
2263,875,2010,10344.90,ALL,ALL,ALL,0TO99
2228,879,2010,1224.13,ALL,ALL,ALL,0TO99
2246,906,2010,4423.42,ALL,ALL,ALL,0TO99
2251,903,2010,7124.98,ALL,ALL,ALL,0TO99
2251,924,2010,10411.32,ALL,ALL,ALL,0TO99
2202,893,2010,1380.33,ALL,ALL,ALL,0TO99
2236,885,2010,1159.67,ALL,ALL,ALL,0TO99
2197,896,2010,1375.58,ALL,ALL,ALL,0TO99
2217,909,2010,1354.48,ALL,ALL,ALL,0TO99
2203,889,2010,1386.69,ALL,ALL,ALL,0TO99
2273,874,2010,4679.70,ALL,ALL,ALL,0TO99
2283,861,2010,16024.64,ALL,ALL,ALL,0TO99
2196,890,2010,1385.05,ALL,ALL,ALL,0TO99
2193,891,2010,1383.52,ALL,ALL,ALL,0TO99
2231,904,2010,1182.63,ALL,ALL,ALL,0TO99
2256,870,2010,936.06,ALL,ALL,ALL,0TO99
2238,869,2010,3517.18,ALL,ALL,ALL,0TO99
2241,896,2010,54489.99,ALL,ALL,ALL,0TO99
2255,855,2010,950.50,ALL,ALL,ALL,0TO99
2218,877,2010,1226.76,ALL,ALL,ALL,0TO99
2230,928,2010,6600.11,ALL,ALL,ALL,0TO99
2245,905,2010,4428.61,ALL,ALL,ALL,0TO99
2269,871,2010,6974.70,ALL,ALL,ALL,0TO99
2226,879,2010,1224.13,ALL,ALL,ALL,0TO99
2233,865,2010,3531.65,ALL,ALL,ALL,0TO99
2248,900,2010,7150.27,ALL,ALL,ALL,0TO99
2231,900,2010,832.85,ALL,ALL,ALL,0TO99
2256,871,2010,935.11,ALL,ALL,ALL,0TO99
2241,867,2010,3524.43,ALL,ALL,ALL,0TO99
2277,864,2010,15975.93,ALL,ALL,ALL,0TO99
2234,914,2010,6758.67,ALL,ALL,ALL,0TO99
2225,903,2010,1364.27,ALL,ALL,ALL,0TO99
2269,877,2010,4664.54,ALL,ALL,ALL,0TO99
2248,926,2010,10049.37,ALL,ALL,ALL,0TO99
2245,918,2010,14465.66,ALL,ALL,ALL,0TO99
2246,895,2010,7192.19,ALL,ALL,ALL,0TO99
