Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1577,1211,D24HourMean,QuarterlyMean,Mean,8.39
1616,1206,D24HourMean,QuarterlyMean,Mean,7.61
1615,1195,D24HourMean,QuarterlyMean,Mean,12.68
1649,1222,D24HourMean,QuarterlyMean,Mean,6.22
1561,1217,D24HourMean,QuarterlyMean,Mean,11.88
1605,1214,D24HourMean,QuarterlyMean,Mean,6.83
1624,1200,D24HourMean,QuarterlyMean,Mean,8.94
1631,1215,D24HourMean,QuarterlyMean,Mean,6.25
1601,1202,D24HourMean,QuarterlyMean,Mean,6.92
1627,1210,D24HourMean,QuarterlyMean,Mean,6.82
1609,1200,D24HourMean,QuarterlyMean,Mean,7.97
1652,1207,D24HourMean,QuarterlyMean,Mean,10.74
1601,1204,D24HourMean,QuarterlyMean,Mean,6.78
1593,1209,D24HourMean,QuarterlyMean,Mean,6.99
1633,1202,D24HourMean,QuarterlyMean,Mean,-1.52
1572,1222,D24HourMean,QuarterlyMean,Mean,7.59
1582,1199,D24HourMean,QuarterlyMean,Mean,10.63
1643,1217,D24HourMean,QuarterlyMean,Mean,7.68
1623,1212,D24HourMean,QuarterlyMean,Mean,7.03
1617,1217,D24HourMean,QuarterlyMean,Mean,6.52
1579,1217,D24HourMean,QuarterlyMean,Mean,7.83
1604,1216,D24HourMean,QuarterlyMean,Mean,6.68
1593,1202,D24HourMean,QuarterlyMean,Mean,7.85
1646,1214,D24HourMean,QuarterlyMean,Mean,6.94
1598,1218,D24HourMean,QuarterlyMean,Mean,6.64
1632,1220,D24HourMean,QuarterlyMean,Mean,6.39
1606,1205,D24HourMean,QuarterlyMean,Mean,7.42
1603,1210,D24HourMean,QuarterlyMean,Mean,7.10
1618,1202,D24HourMean,QuarterlyMean,Mean,7.27
1627,1198,D24HourMean,QuarterlyMean,Mean,10.24
1619,1221,D24HourMean,QuarterlyMean,Mean,6.73
1615,1220,D24HourMean,QuarterlyMean,Mean,7.90
1574,1199,D24HourMean,QuarterlyMean,Mean,12.69
1628,1219,D24HourMean,QuarterlyMean,Mean,6.76
1634,1212,D24HourMean,QuarterlyMean,Mean,7.06
1617,1218,D24HourMean,QuarterlyMean,Mean,7.01
1618,1211,D24HourMean,QuarterlyMean,Mean,7.17
1573,1221,D24HourMean,QuarterlyMean,Mean,7.06
1619,1199,D24HourMean,QuarterlyMean,Mean,9.51
1641,1214,D24HourMean,QuarterlyMean,Mean,7.17
1615,1213,D24HourMean,QuarterlyMean,Mean,6.66
1630,1206,D24HourMean,QuarterlyMean,Mean,5.29
1615,1196,D24HourMean,QuarterlyMean,Mean,11.99
1626,1213,D24HourMean,QuarterlyMean,Mean,6.90
1585,1209,D24HourMean,QuarterlyMean,Mean,7.47
1576,1209,D24HourMean,QuarterlyMean,Mean,9.08
1583,1213,D24HourMean,QuarterlyMean,Mean,8.08
1637,1203,D24HourMean,QuarterlyMean,Mean,-1.63
1648,1215,D24HourMean,QuarterlyMean,Mean,6.48
1616,1218,D24HourMean,QuarterlyMean,Mean,7.36
1636,1208,D24HourMean,QuarterlyMean,Mean,7.26
1610,1196,D24HourMean,QuarterlyMean,Mean,5.78
1616,1217,D24HourMean,QuarterlyMean,Mean,6.87
1615,1207,D24HourMean,QuarterlyMean,Mean,7.20
1611,1210,D24HourMean,QuarterlyMean,Mean,7.05
1617,1201,D24HourMean,QuarterlyMean,Mean,7.90
1611,1215,D24HourMean,QuarterlyMean,Mean,6.92
1637,1216,D24HourMean,QuarterlyMean,Mean,7.50
1602,1218,D24HourMean,QuarterlyMean,Mean,6.48
1646,1207,D24HourMean,QuarterlyMean,Mean,9.50
1581,1198,D24HourMean,QuarterlyMean,Mean,11.83
1594,1205,D24HourMean,QuarterlyMean,Mean,8.01
1595,1211,D24HourMean,QuarterlyMean,Mean,7.17
1644,1214,D24HourMean,QuarterlyMean,Mean,7.24
1648,1217,D24HourMean,QuarterlyMean,Mean,6.39
1614,1210,D24HourMean,QuarterlyMean,Mean,7.24
1617,1205,D24HourMean,QuarterlyMean,Mean,7.68
1649,1220,D24HourMean,QuarterlyMean,Mean,6.52
1601,1208,D24HourMean,QuarterlyMean,Mean,5.04
1562,1207,D24HourMean,QuarterlyMean,Mean,13.73
1602,1211,D24HourMean,QuarterlyMean,Mean,7.13
1641,1210,D24HourMean,QuarterlyMean,Mean,7.05
1609,1198,D24HourMean,QuarterlyMean,Mean,10.24
1601,1213,D24HourMean,QuarterlyMean,Mean,6.94
1606,1202,D24HourMean,QuarterlyMean,Mean,7.17
1651,1209,D24HourMean,QuarterlyMean,Mean,8.55
1590,1213,D24HourMean,QuarterlyMean,Mean,6.50
1589,1206,D24HourMean,QuarterlyMean,Mean,7.59
1622,1206,D24HourMean,QuarterlyMean,Mean,7.40
1647,1209,D24HourMean,QuarterlyMean,Mean,8.01
1648,1204,D24HourMean,QuarterlyMean,Mean,12.17
1622,1214,D24HourMean,QuarterlyMean,Mean,6.99
1583,1202,D24HourMean,QuarterlyMean,Mean,8.32
1598,1213,D24HourMean,QuarterlyMean,Mean,6.83
1621,1212,D24HourMean,QuarterlyMean,Mean,6.94
1580,1219,D24HourMean,QuarterlyMean,Mean,7.99
1655,1207,D24HourMean,QuarterlyMean,Mean,11.12
1602,1204,D24HourMean,QuarterlyMean,Mean,6.89
1639,1208,D24HourMean,QuarterlyMean,Mean,7.13
1622,1211,D24HourMean,QuarterlyMean,Mean,6.94
1637,1201,D24HourMean,QuarterlyMean,Mean,5.89
1629,1198,D24HourMean,QuarterlyMean,Mean,10.56
1615,1216,D24HourMean,QuarterlyMean,Mean,6.32
1642,1204,D24HourMean,QuarterlyMean,Mean,-1.98
1584,1210,D24HourMean,QuarterlyMean,Mean,7.45
1626,1202,D24HourMean,QuarterlyMean,Mean,10.15
1634,1201,D24HourMean,QuarterlyMean,Mean,8.27
1654,1213,D24HourMean,QuarterlyMean,Mean,6.76
1641,1224,D24HourMean,QuarterlyMean,Mean,6.80
1635,1201,D24HourMean,QuarterlyMean,Mean,8.58
1614,1195,D24HourMean,QuarterlyMean,Mean,12.56
1569,1217,D24HourMean,QuarterlyMean,Mean,8.18
1630,1215,D24HourMean,QuarterlyMean,Mean,6.21
1602,1213,D24HourMean,QuarterlyMean,Mean,7.40
1627,1211,D24HourMean,QuarterlyMean,Mean,6.94
1641,1203,D24HourMean,QuarterlyMean,Mean,9.82
1609,1210,D24HourMean,QuarterlyMean,Mean,6.75
1617,1206,D24HourMean,QuarterlyMean,Mean,7.50
1598,1208,D24HourMean,QuarterlyMean,Mean,7.38
