Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1577,1211,2010,7.00,ALL,ALL,ALL,0TO99
1616,1206,2010,5.41,ALL,ALL,ALL,0TO99
1615,1195,2010,4.79,ALL,ALL,ALL,0TO99
1649,1222,2010,10.32,ALL,ALL,ALL,0TO99
1561,1217,2010,30.45,ALL,ALL,ALL,0TO99
1605,1214,2010,19.15,ALL,ALL,ALL,0TO99
1624,1200,2010,4.71,ALL,ALL,ALL,0TO99
1631,1215,2010,3.69,ALL,ALL,ALL,0TO99
1601,1202,2010,17.98,ALL,ALL,ALL,0TO99
1627,1210,2010,1.33,ALL,ALL,ALL,0TO99
1609,1200,2010,9.10,ALL,ALL,ALL,0TO99
1652,1207,2010,29.20,ALL,ALL,ALL,0TO99
1601,1204,2010,27.09,ALL,ALL,ALL,0TO99
1593,1209,2010,14.19,ALL,ALL,ALL,0TO99
1633,1202,2010,0.00,ALL,ALL,ALL,0TO99
1572,1222,2010,34.14,ALL,ALL,ALL,0TO99
1582,1199,2010,1834.18,ALL,ALL,ALL,0TO99
1643,1217,2010,4.36,ALL,ALL,ALL,0TO99
1623,1212,2010,3.75,ALL,ALL,ALL,0TO99
1617,1217,2010,36.92,ALL,ALL,ALL,0TO99
1579,1217,2010,10.13,ALL,ALL,ALL,0TO99
1604,1216,2010,46.81,ALL,ALL,ALL,0TO99
1593,1202,2010,33.42,ALL,ALL,ALL,0TO99
1646,1214,2010,5.91,ALL,ALL,ALL,0TO99
1598,1218,2010,159.05,ALL,ALL,ALL,0TO99
1632,1220,2010,7.94,ALL,ALL,ALL,0TO99
1606,1205,2010,32.06,ALL,ALL,ALL,0TO99
1603,1210,2010,5.39,ALL,ALL,ALL,0TO99
1618,1202,2010,4.47,ALL,ALL,ALL,0TO99
1627,1198,2010,184.38,ALL,ALL,ALL,0TO99
1619,1221,2010,26.82,ALL,ALL,ALL,0TO99
1615,1220,2010,95.88,ALL,ALL,ALL,0TO99
1574,1199,2010,2492.11,ALL,ALL,ALL,0TO99
1628,1219,2010,64.92,ALL,ALL,ALL,0TO99
1634,1212,2010,3.74,ALL,ALL,ALL,0TO99
1617,1218,2010,106.63,ALL,ALL,ALL,0TO99
1618,1211,2010,29.78,ALL,ALL,ALL,0TO99
1573,1221,2010,37.74,ALL,ALL,ALL,0TO99
1619,1199,2010,4.72,ALL,ALL,ALL,0TO99
1641,1214,2010,3.02,ALL,ALL,ALL,0TO99
1615,1213,2010,20.75,ALL,ALL,ALL,0TO99
1630,1206,2010,0.00,ALL,ALL,ALL,0TO99
1615,1196,2010,4.77,ALL,ALL,ALL,0TO99
1626,1213,2010,1.50,ALL,ALL,ALL,0TO99
1585,1209,2010,14.85,ALL,ALL,ALL,0TO99
1576,1209,2010,13.41,ALL,ALL,ALL,0TO99
1583,1213,2010,13.21,ALL,ALL,ALL,0TO99
1637,1203,2010,0.00,ALL,ALL,ALL,0TO99
1648,1215,2010,11.68,ALL,ALL,ALL,0TO99
1616,1218,2010,84.33,ALL,ALL,ALL,0TO99
1636,1208,2010,3.09,ALL,ALL,ALL,0TO99
1610,1196,2010,0.00,ALL,ALL,ALL,0TO99
1616,1217,2010,16.06,ALL,ALL,ALL,0TO99
1615,1207,2010,1.59,ALL,ALL,ALL,0TO99
1611,1210,2010,47.88,ALL,ALL,ALL,0TO99
1617,1201,2010,4.69,ALL,ALL,ALL,0TO99
1611,1215,2010,18.56,ALL,ALL,ALL,0TO99
1637,1216,2010,3.76,ALL,ALL,ALL,0TO99
1602,1218,2010,42.83,ALL,ALL,ALL,0TO99
1646,1207,2010,1.79,ALL,ALL,ALL,0TO99
1581,1198,2010,202.54,ALL,ALL,ALL,0TO99
1594,1205,2010,64.94,ALL,ALL,ALL,0TO99
1595,1211,2010,17.64,ALL,ALL,ALL,0TO99
1644,1214,2010,3.02,ALL,ALL,ALL,0TO99
1648,1217,2010,11.60,ALL,ALL,ALL,0TO99
1614,1210,2010,47.68,ALL,ALL,ALL,0TO99
1617,1205,2010,3.96,ALL,ALL,ALL,0TO99
1649,1220,2010,14.35,ALL,ALL,ALL,0TO99
